Time,prime day
2025-12-11,23
2025-12-12,22
2025-12-13,23
2025-12-14,26
2025-12-15,25
2025-12-16,24
2025-12-17,27
2025-12-18,30
2025-12-19,27
2025-12-20,30
2025-12-21,27
2025-12-22,29
2025-12-23,31
2025-12-24,37
2025-12-25,67
2025-12-26,36
2025-12-27,34
2025-12-28,27
2025-12-29,25
2025-12-30,28
2025-12-31,32
2026-01-01,47
2026-01-02,38
2026-01-03,26
2026-01-04,29
2026-01-05,23
2026-01-06,21
2026-01-07,26
2026-01-08,22
2026-01-09,25
2026-01-10,31
2026-01-11,32
2026-01-12,27
2026-01-13,28
2026-01-14,27
2026-01-15,24
2026-01-16,23
2026-01-17,29
2026-01-18,31
2026-01-19,47
2026-01-20,32
2026-01-21,30
2026-01-22,27
2026-01-23,29
2026-01-24,34
2026-01-25,33
2026-01-26,37
2026-01-27,27
2026-01-28,26
2026-01-29,27
2026-01-30,30
2026-01-31,34
2026-02-01,33
2026-02-02,33
2026-02-03,30
2026-02-04,31
2026-02-05,32
2026-02-06,32
2026-02-07,36
2026-02-08,39
2026-02-09,31
2026-02-10,34
2026-02-11,32
2026-02-12,28
2026-02-13,39
2026-02-14,53
2026-02-15,44
2026-02-16,42
2026-02-17,33
2026-02-18,29
2026-02-19,29
2026-02-20,29
2026-02-21,33
2026-02-22,33
2026-02-23,32
2026-02-24,28
2026-02-25,33
2026-02-26,37
2026-02-27,34
2026-02-28,30
2026-03-01,33
2026-03-02,37
2026-03-03,37
2026-03-04,33
2026-03-05,37
2026-03-06,33
2026-03-07,33
2026-03-08,41
2026-03-09,36
2026-03-10,37
2026-03-11,39
2026-03-12,30
2026-03-13,34
2026-03-14,40
2026-03-15,38
2026-03-16,39
2026-03-17,41
2026-03-18,75
2026-03-19,53
2026-03-20,46
2026-03-21,41
2026-03-22,48
2026-03-23,45
2026-03-24,42
2026-03-25,48
2026-03-26,36
2026-03-27,41
2026-03-28,42
2026-03-29,37
2026-03-30,42
2026-03-31,37
2026-04-01,46
2026-04-02,33
2026-04-03,36
2026-04-04,33
2026-04-05,37
2026-04-06,33
2026-04-07,36
2026-04-08,40
2026-04-09,43
2026-04-10,39
2026-04-11,37
2026-04-12,40
2026-04-13,34
2026-04-14,50
2026-04-15,44
2026-04-16,43
2026-04-17,44
2026-04-18,36
2026-04-19,38
2026-04-20,37
2026-04-21,40
2026-04-22,53
2026-04-23,47
2026-04-24,37
2026-04-25,42
2026-04-26,44
2026-04-27,49
2026-04-28,43
2026-04-29,44
2026-04-30,45
2026-05-01,48
2026-05-02,43
2026-05-03,47
2026-05-04,50
2026-05-05,52
2026-05-06,53
2026-05-07,52
2026-05-08,53
2026-05-09,54
2026-05-10,60
2026-05-11,53
2026-05-12,47
2026-05-13,54
2026-05-14,51
2026-05-15,51
2026-05-16,50
2026-05-17,57
2026-05-18,56
2026-05-19,54
2026-05-20,56
2026-05-21,54
2026-05-22,57
2026-05-23,60
2026-05-24,69
2026-05-25,100
2026-05-26,79
2026-05-27,69
2026-05-28,70
2026-05-29,64
2026-05-30,73
2026-05-31,95
