Time,saute
2023-04-26,44
2023-04-27,42
2023-04-28,37
2023-04-29,43
2023-04-30,62
2023-05-01,46
2023-05-02,67
2023-05-03,42
2023-05-04,47
2023-05-05,35
2023-05-06,42
2023-05-07,54
2023-05-08,42
2023-05-09,40
2023-05-10,43
2023-05-11,34
2023-05-12,34
2023-05-13,44
2023-05-14,60
2023-05-15,49
2023-05-16,47
2023-05-17,42
2023-05-18,44
2023-05-19,36
2023-05-20,40
2023-05-21,48
2023-05-22,46
2023-05-23,46
2023-05-24,44
2023-05-25,37
2023-05-26,42
2023-05-27,45
2023-05-28,47
2023-05-29,54
2023-05-30,49
2023-05-31,41
2023-06-01,38
2023-06-02,39
2023-06-03,38
2023-06-04,53
2023-06-05,45
2023-06-06,46
2023-06-07,43
2023-06-08,43
2023-06-09,40
2023-06-10,39
2023-06-11,59
2023-06-12,48
2023-06-13,47
2023-06-14,52
2023-06-15,42
2023-06-16,35
2023-06-17,47
2023-06-18,56
2023-06-19,52
2023-06-20,43
2023-06-21,41
2023-06-22,44
2023-06-23,44
2023-06-24,41
2023-06-25,58
2023-06-26,45
2023-06-27,45
2023-06-28,45
2023-06-29,39
2023-06-30,32
2023-07-01,44
2023-07-02,47
2023-07-03,47
2023-07-04,57
2023-07-05,44
2023-07-06,43
2023-07-07,37
2023-07-08,42
2023-07-09,53
2023-07-10,46
2023-07-11,50
2023-07-12,46
2023-07-13,42
2023-07-14,35
2023-07-15,47
2023-07-16,55
2023-07-17,49
2023-07-18,47
2023-07-19,37
2023-07-20,41
2023-07-21,39
2023-07-22,47
2023-07-23,52
2023-07-24,50
2023-07-25,42
2023-07-26,45
2023-07-27,38
2023-07-28,35
2023-07-29,48
2023-07-30,50
2023-07-31,43
2023-08-01,41
2023-08-02,43
2023-08-03,38
2023-08-04,41
2023-08-05,45
2023-08-06,52
2023-08-07,48
2023-08-08,44
2023-08-09,46
2023-08-10,34
2023-08-11,34
2023-08-12,43
2023-08-13,50
2023-08-14,46
2023-08-15,51
2023-08-16,40
2023-08-17,39
2023-08-18,42
2023-08-19,36
2023-08-20,48
2023-08-21,44
2023-08-22,44
2023-08-23,41
2023-08-24,49
2023-08-25,36
2023-08-26,50
2023-08-27,59
2023-08-28,45
2023-08-29,48
2023-08-30,40
2023-08-31,43
2023-09-01,37
2023-09-02,44
2023-09-03,51
2023-09-04,65
2023-09-05,47
2023-09-06,38
2023-09-07,39
2023-09-08,35
2023-09-09,43
2023-09-10,56
2023-09-11,53
2023-09-12,44
2023-09-13,41
2023-09-14,44
2023-09-15,40
2023-09-16,41
2023-09-17,54
2023-09-18,48
2023-09-19,41
2023-09-20,37
2023-09-21,43
2023-09-22,46
2023-09-23,43
2023-09-24,50
2023-09-25,46
2023-09-26,44
2023-09-27,42
2023-09-28,40
2023-09-29,33
2023-09-30,45
2023-10-01,46
2023-10-02,41
2023-10-03,48
2023-10-04,42
2023-10-05,40
2023-10-06,38
2023-10-07,38
2023-10-08,50
2023-10-09,45
2023-10-10,43
2023-10-11,50
2023-10-12,41
2023-10-13,38
2023-10-14,43
2023-10-15,58
2023-10-16,50
2023-10-17,52
2023-10-18,43
2023-10-19,44
2023-10-20,34
2023-10-21,38
2023-10-22,49
2023-10-23,55
2023-10-24,45
2023-10-25,44
2023-10-26,44
2023-10-27,32
2023-10-28,39
2023-10-29,47
2023-10-30,44
2023-10-31,45
2023-11-01,44
2023-11-02,45
2023-11-03,34
2023-11-04,41
2023-11-05,50
2023-11-06,50
2023-11-07,39
2023-11-08,48
2023-11-09,45
2023-11-10,42
2023-11-11,46
2023-11-12,59
2023-11-13,39
2023-11-14,51
2023-11-15,45
2023-11-16,48
2023-11-17,42
2023-11-18,48
2023-11-19,59
2023-11-20,50
2023-11-21,55
2023-11-22,69
2023-11-23,100
2023-11-24,58
2023-11-25,53
2023-11-26,59
2023-11-27,61
2023-11-28,53
2023-11-29,50
2023-11-30,45
2023-12-01,45
2023-12-02,46
2023-12-03,63
2023-12-04,56
2023-12-05,47
2023-12-06,51
2023-12-07,44
2023-12-08,44
2023-12-09,52
2023-12-10,54
2023-12-11,48
2023-12-12,52
2023-12-13,46
2023-12-14,44
2023-12-15,39
2023-12-16,50
2023-12-17,55
2023-12-18,48
2023-12-19,43
2023-12-20,47
2023-12-21,37
2023-12-22,44
2023-12-23,48
2023-12-24,69
2023-12-25,76
2023-12-26,48
2023-12-27,42
2023-12-28,45
2023-12-29,51
2023-12-30,55
2023-12-31,63
2024-01-01,97
2024-01-02,49
2024-01-03,62
2024-01-04,50
2024-01-05,50
2024-01-06,60
2024-01-07,65
2024-01-08,56
2024-01-09,54
2024-01-10,52
2024-01-11,44
2024-01-12,44
2024-01-13,52
2024-01-14,55
2024-01-15,59
2024-01-16,54
2024-01-17,60
2024-01-18,46
2024-01-19,39
2024-01-20,52
