Time,saute
2023-12-22,45
2023-12-23,49
2023-12-24,71
2023-12-25,78
2023-12-26,50
2023-12-27,43
2023-12-28,46
2023-12-29,53
2023-12-30,57
2023-12-31,65
2024-01-01,100
2024-01-02,51
2024-01-03,64
2024-01-04,52
2024-01-05,51
2024-01-06,62
2024-01-07,67
2024-01-08,58
2024-01-09,55
2024-01-10,53
2024-01-11,45
2024-01-12,46
2024-01-13,53
2024-01-14,57
2024-01-15,60
2024-01-16,55
2024-01-17,61
2024-01-18,48
2024-01-19,40
2024-01-20,53
2024-01-21,65
2024-01-22,55
2024-01-23,56
2024-01-24,52
2024-01-25,48
2024-01-26,42
2024-01-27,46
2024-01-28,65
2024-01-29,46
2024-01-30,54
2024-01-31,53
2024-02-01,46
2024-02-02,43
2024-02-03,54
2024-02-04,70
2024-02-05,50
2024-02-06,53
2024-02-07,44
2024-02-08,43
2024-02-09,43
2024-02-10,57
2024-02-11,60
2024-02-12,43
2024-02-13,49
2024-02-14,54
2024-02-15,54
2024-02-16,38
2024-02-17,51
2024-02-18,58
2024-02-19,51
2024-02-20,50
2024-02-21,44
2024-02-22,36
2024-02-23,47
2024-02-24,43
2024-02-25,63
2024-02-26,52
2024-02-27,46
2024-02-28,47
2024-02-29,40
2024-03-01,42
2024-03-02,49
2024-03-03,54
2024-03-04,46
2024-03-05,55
2024-03-06,44
2024-03-07,41
2024-03-08,35
2024-03-09,56
2024-03-10,63
2024-03-11,45
2024-03-12,43
2024-03-13,49
2024-03-14,43
2024-03-15,43
2024-03-16,45
2024-03-17,60
2024-03-18,53
2024-03-19,43
2024-03-20,41
2024-03-21,40
2024-03-22,36
2024-03-23,43
2024-03-24,58
2024-03-25,54
2024-03-26,45
2024-03-27,40
2024-03-28,38
2024-03-29,44
2024-03-30,45
2024-03-31,68
2024-04-01,47
2024-04-02,41
2024-04-03,44
2024-04-04,44
2024-04-05,35
2024-04-06,42
2024-04-07,59
2024-04-08,47
2024-04-09,44
2024-04-10,46
2024-04-11,41
2024-04-12,36
2024-04-13,47
2024-04-14,55
2024-04-15,50
2024-04-16,50
2024-04-17,44
2024-04-18,38
2024-04-19,38
2024-04-20,52
2024-04-21,62
2024-04-22,44
2024-04-23,46
2024-04-24,44
2024-04-25,35
2024-04-26,39
2024-04-27,47
2024-04-28,41
2024-04-29,52
2024-04-30,44
2024-05-01,42
2024-05-02,46
2024-05-03,38
2024-05-04,42
2024-05-05,52
2024-05-06,48
2024-05-07,43
2024-05-08,45
2024-05-09,41
2024-05-10,36
2024-05-11,44
2024-05-12,48
2024-05-13,45
2024-05-14,45
2024-05-15,42
2024-05-16,42
2024-05-17,39
2024-05-18,44
2024-05-19,58
2024-05-20,46
2024-05-21,40
2024-05-22,34
2024-05-23,38
2024-05-24,33
2024-05-25,40
2024-05-26,47
2024-05-27,54
2024-05-28,35
2024-05-29,42
2024-05-30,41
2024-05-31,30
2024-06-01,36
2024-06-02,56
2024-06-03,45
2024-06-04,50
2024-06-05,44
2024-06-06,33
2024-06-07,38
2024-06-08,39
2024-06-09,57
2024-06-10,50
2024-06-11,79
2024-06-12,49
2024-06-13,43
2024-06-14,35
2024-06-15,41
2024-06-16,54
2024-06-17,48
2024-06-18,47
2024-06-19,43
2024-06-20,39
2024-06-21,36
2024-06-22,44
2024-06-23,54
2024-06-24,48
2024-06-25,44
2024-06-26,36
2024-06-27,36
2024-06-28,31
2024-06-29,43
2024-06-30,49
2024-07-01,42
2024-07-02,47
2024-07-03,43
2024-07-04,45
2024-07-05,39
2024-07-06,45
2024-07-07,55
2024-07-08,43
2024-07-09,48
2024-07-10,42
2024-07-11,42
2024-07-12,35
2024-07-13,39
2024-07-14,54
2024-07-15,33
2024-07-16,44
2024-07-17,55
2024-07-18,42
2024-07-19,33
2024-07-20,46
2024-07-21,50
2024-07-22,51
2024-07-23,41
2024-07-24,43
2024-07-25,41
2024-07-26,32
2024-07-27,48
2024-07-28,58
2024-07-29,41
2024-07-30,46
2024-07-31,42
2024-08-01,40
2024-08-02,40
2024-08-03,33
2024-08-04,58
2024-08-05,44
2024-08-06,42
2024-08-07,47
2024-08-08,43
2024-08-09,32
2024-08-10,40
2024-08-11,54
2024-08-12,44
2024-08-13,46
2024-08-14,41
2024-08-15,40
2024-08-16,38
2024-08-17,43
2024-08-18,57
2024-08-19,48
2024-08-20,46
2024-08-21,46
2024-08-22,39
2024-08-23,30
2024-08-24,50
2024-08-25,55
2024-08-26,48
2024-08-27,42
2024-08-28,47
2024-08-29,41
2024-08-30,41
2024-08-31,47
2024-09-01,46
2024-09-02,52
2024-09-03,43
2024-09-04,41
2024-09-05,43
2024-09-06,35
2024-09-07,48
2024-09-08,43
2024-09-09,55
2024-09-10,44
2024-09-11,45
2024-09-12,43
2024-09-13,38
2024-09-14,46
2024-09-15,48
2024-09-16,48
