Time,regina king
2023-04-26,17
2023-04-27,16
2023-04-28,12
2023-04-29,17
2023-04-30,20
2023-05-01,13
2023-05-02,12
2023-05-03,18
2023-05-04,11
2023-05-05,12
2023-05-06,15
2023-05-07,24
2023-05-08,10
2023-05-09,13
2023-05-10,10
2023-05-11,16
2023-05-12,10
2023-05-13,11
2023-05-14,15
2023-05-15,10
2023-05-16,10
2023-05-17,14
2023-05-18,12
2023-05-19,15
2023-05-20,19
2023-05-21,18
2023-05-22,8
2023-05-23,12
2023-05-24,12
2023-05-25,14
2023-05-26,10
2023-05-27,14
2023-05-28,19
2023-05-29,16
2023-05-30,11
2023-05-31,12
2023-06-01,8
2023-06-02,13
2023-06-03,33
2023-06-04,32
2023-06-05,21
2023-06-06,17
2023-06-07,16
2023-06-08,12
2023-06-09,13
2023-06-10,14
2023-06-11,14
2023-06-12,13
2023-06-13,16
2023-06-14,17
2023-06-15,16
2023-06-16,18
2023-06-17,19
2023-06-18,19
2023-06-19,15
2023-06-20,18
2023-06-21,14
2023-06-22,12
2023-06-23,15
2023-06-24,15
2023-06-25,14
2023-06-26,13
2023-06-27,14
2023-06-28,14
2023-06-29,12
2023-06-30,14
2023-07-01,13
2023-07-02,12
2023-07-03,15
2023-07-04,16
2023-07-05,15
2023-07-06,11
2023-07-07,15
2023-07-08,15
2023-07-09,19
2023-07-10,10
2023-07-11,10
2023-07-12,12
2023-07-13,9
2023-07-14,14
2023-07-15,13
2023-07-16,15
2023-07-17,10
2023-07-18,12
2023-07-19,13
2023-07-20,11
2023-07-21,19
2023-07-22,20
2023-07-23,19
2023-07-24,14
2023-07-25,15
2023-07-26,14
2023-07-27,13
2023-07-28,9
2023-07-29,21
2023-07-30,19
2023-07-31,13
2023-08-01,16
2023-08-02,13
2023-08-03,16
2023-08-04,21
2023-08-05,31
2023-08-06,26
2023-08-07,21
2023-08-08,17
2023-08-09,19
2023-08-10,16
2023-08-11,12
2023-08-12,16
2023-08-13,21
2023-08-14,20
2023-08-15,19
2023-08-16,12
2023-08-17,16
2023-08-18,16
2023-08-19,11
2023-08-20,15
2023-08-21,10
2023-08-22,9
2023-08-23,15
2023-08-24,9
2023-08-25,12
2023-08-26,14
2023-08-27,16
2023-08-28,12
2023-08-29,10
2023-08-30,10
2023-08-31,13
2023-09-01,16
2023-09-02,13
2023-09-03,13
2023-09-04,15
2023-09-05,11
2023-09-06,15
2023-09-07,16
2023-09-08,10
2023-09-09,12
2023-09-10,18
2023-09-11,14
2023-09-12,11
2023-09-13,9
2023-09-14,13
2023-09-15,16
2023-09-16,17
2023-09-17,16
2023-09-18,12
2023-09-19,9
2023-09-20,12
2023-09-21,13
2023-09-22,12
2023-09-23,16
2023-09-24,19
2023-09-25,15
2023-09-26,7
2023-09-27,9
2023-09-28,11
2023-09-29,16
2023-09-30,20
2023-10-01,15
2023-10-02,8
2023-10-03,14
2023-10-04,13
2023-10-05,11
2023-10-06,11
2023-10-07,14
2023-10-08,13
2023-10-09,10
2023-10-10,12
2023-10-11,12
2023-10-12,13
2023-10-13,12
2023-10-14,17
2023-10-15,18
2023-10-16,14
2023-10-17,11
2023-10-18,11
2023-10-19,8
2023-10-20,11
2023-10-21,12
2023-10-22,11
2023-10-23,10
2023-10-24,11
2023-10-25,12
2023-10-26,11
2023-10-27,10
2023-10-28,19
2023-10-29,14
2023-10-30,11
2023-10-31,13
2023-11-01,13
2023-11-02,12
2023-11-03,12
2023-11-04,14
2023-11-05,20
2023-11-06,11
2023-11-07,15
2023-11-08,10
2023-11-09,11
2023-11-10,10
2023-11-11,12
2023-11-12,18
2023-11-13,11
2023-11-14,9
2023-11-15,12
2023-11-16,9
2023-11-17,11
2023-11-18,12
2023-11-19,12
2023-11-20,8
2023-11-21,11
2023-11-22,9
2023-11-23,15
2023-11-24,20
2023-11-25,18
2023-11-26,17
2023-11-27,14
2023-11-28,9
2023-11-29,8
2023-11-30,9
2023-12-01,9
2023-12-02,10
2023-12-03,12
2023-12-04,10
2023-12-05,12
2023-12-06,13
2023-12-07,12
2023-12-08,11
2023-12-09,16
2023-12-10,17
2023-12-11,14
2023-12-12,11
2023-12-13,14
2023-12-14,11
2023-12-15,11
2023-12-16,15
2023-12-17,20
2023-12-18,12
2023-12-19,14
2023-12-20,12
2023-12-21,12
2023-12-22,15
2023-12-23,11
2023-12-24,20
2023-12-25,25
2023-12-26,13
2023-12-27,11
2023-12-28,15
2023-12-29,15
2023-12-30,10
2023-12-31,16
2024-01-01,9
2024-01-02,16
2024-01-03,14
2024-01-04,12
2024-01-05,10
2024-01-06,17
2024-01-07,13
2024-01-08,12
2024-01-09,17
2024-01-10,100
2024-01-11,80
2024-01-12,42
2024-01-13,26
2024-01-14,17
2024-01-15,40
2024-01-16,57
2024-01-17,38
2024-01-18,20
2024-01-19,19
2024-01-20,23
