Time,wakanda forever
2023-04-26,55
2023-04-27,52
2023-04-28,63
2023-04-29,86
2023-04-30,98
2023-05-01,62
2023-05-02,50
2023-05-03,50
2023-05-04,50
2023-05-05,59
2023-05-06,81
2023-05-07,91
2023-05-08,70
2023-05-09,56
2023-05-10,49
2023-05-11,45
2023-05-12,49
2023-05-13,87
2023-05-14,100
2023-05-15,63
2023-05-16,61
2023-05-17,46
2023-05-18,58
2023-05-19,80
2023-05-20,97
2023-05-21,100
2023-05-22,60
2023-05-23,64
2023-05-24,47
2023-05-25,50
2023-05-26,56
2023-05-27,72
2023-05-28,84
2023-05-29,91
2023-05-30,56
2023-05-31,55
2023-06-01,50
2023-06-02,51
2023-06-03,78
2023-06-04,92
2023-06-05,70
2023-06-06,48
2023-06-07,47
2023-06-08,45
2023-06-09,45
2023-06-10,69
2023-06-11,95
2023-06-12,75
2023-06-13,53
2023-06-14,53
2023-06-15,46
2023-06-16,60
2023-06-17,67
2023-06-18,80
2023-06-19,64
2023-06-20,61
2023-06-21,48
2023-06-22,55
2023-06-23,49
2023-06-24,70
2023-06-25,81
2023-06-26,55
2023-06-27,61
2023-06-28,47
2023-06-29,51
2023-06-30,40
2023-07-01,49
2023-07-02,68
2023-07-03,60
2023-07-04,74
2023-07-05,45
2023-07-06,49
2023-07-07,46
2023-07-08,58
2023-07-09,58
2023-07-10,41
2023-07-11,42
2023-07-12,41
2023-07-13,37
2023-07-14,46
2023-07-15,53
2023-07-16,52
2023-07-17,44
2023-07-18,44
2023-07-19,36
2023-07-20,45
2023-07-21,37
2023-07-22,56
2023-07-23,54
2023-07-24,38
2023-07-25,33
2023-07-26,46
2023-07-27,45
2023-07-28,42
2023-07-29,55
2023-07-30,61
2023-07-31,36
2023-08-01,35
2023-08-02,32
2023-08-03,32
2023-08-04,31
2023-08-05,38
2023-08-06,59
2023-08-07,42
2023-08-08,45
2023-08-09,36
2023-08-10,23
2023-08-11,34
2023-08-12,37
2023-08-13,47
2023-08-14,31
2023-08-15,34
2023-08-16,22
2023-08-17,27
2023-08-18,34
2023-08-19,40
2023-08-20,57
2023-08-21,29
2023-08-22,33
2023-08-23,26
2023-08-24,26
2023-08-25,29
2023-08-26,44
2023-08-27,44
2023-08-28,33
2023-08-29,23
2023-08-30,25
2023-08-31,24
2023-09-01,29
2023-09-02,34
2023-09-03,39
2023-09-04,49
2023-09-05,27
2023-09-06,20
2023-09-07,27
2023-09-08,28
2023-09-09,31
2023-09-10,41
2023-09-11,23
2023-09-12,18
2023-09-13,22
2023-09-14,18
2023-09-15,23
2023-09-16,29
2023-09-17,34
2023-09-18,28
2023-09-19,17
2023-09-20,26
2023-09-21,24
2023-09-22,24
2023-09-23,34
2023-09-24,40
2023-09-25,26
2023-09-26,25
2023-09-27,20
2023-09-28,25
2023-09-29,20
2023-09-30,40
2023-10-01,44
2023-10-02,25
2023-10-03,27
2023-10-04,24
2023-10-05,22
2023-10-06,25
2023-10-07,33
2023-10-08,29
2023-10-09,32
2023-10-10,27
2023-10-11,22
2023-10-12,24
2023-10-13,20
2023-10-14,29
2023-10-15,30
2023-10-16,24
2023-10-17,28
2023-10-18,24
2023-10-19,22
2023-10-20,23
2023-10-21,22
2023-10-22,33
2023-10-23,26
2023-10-24,20
2023-10-25,22
2023-10-26,27
2023-10-27,24
2023-10-28,19
2023-10-29,26
2023-10-30,23
2023-10-31,21
2023-11-01,21
2023-11-02,25
2023-11-03,30
2023-11-04,30
2023-11-05,33
2023-11-06,31
2023-11-07,33
2023-11-08,24
2023-11-09,29
2023-11-10,32
2023-11-11,63
2023-11-12,38
2023-11-13,35
2023-11-14,26
2023-11-15,30
2023-11-16,34
2023-11-17,24
2023-11-18,46
2023-11-19,42
2023-11-20,32
2023-11-21,21
2023-11-22,24
2023-11-23,33
2023-11-24,19
2023-11-25,28
2023-11-26,33
2023-11-27,28
2023-11-28,28
2023-11-29,20
2023-11-30,21
2023-12-01,19
2023-12-02,33
2023-12-03,35
2023-12-04,26
2023-12-05,25
2023-12-06,17
2023-12-07,20
2023-12-08,22
2023-12-09,20
2023-12-10,21
2023-12-11,25
2023-12-12,23
2023-12-13,19
2023-12-14,25
2023-12-15,18
2023-12-16,26
2023-12-17,33
2023-12-18,28
2023-12-19,24
2023-12-20,29
2023-12-21,23
2023-12-22,28
2023-12-23,29
2023-12-24,31
2023-12-25,40
2023-12-26,31
2023-12-27,27
2023-12-28,24
2023-12-29,41
2023-12-30,31
2023-12-31,40
2024-01-01,44
2024-01-02,36
2024-01-03,31
2024-01-04,26
2024-01-05,30
2024-01-06,34
2024-01-07,40
2024-01-08,60
2024-01-09,32
2024-01-10,34
2024-01-11,27
2024-01-12,26
2024-01-13,32
2024-01-14,34
2024-01-15,28
2024-01-16,30
2024-01-17,24
2024-01-18,19
2024-01-19,20
2024-01-20,38
