Time,matthew mcconaughey
2022-08-29,19
2022-08-30,20
2022-08-31,22
2022-09-01,22
2022-09-02,28
2022-09-03,27
2022-09-04,31
2022-09-05,29
2022-09-06,23
2022-09-07,20
2022-09-08,20
2022-09-09,22
2022-09-10,51
2022-09-11,29
2022-09-12,21
2022-09-13,23
2022-09-14,23
2022-09-15,38
2022-09-16,46
2022-09-17,35
2022-09-18,33
2022-09-19,24
2022-09-20,29
2022-09-21,31
2022-09-22,28
2022-09-23,24
2022-09-24,30
2022-09-25,32
2022-09-26,21
2022-09-27,21
2022-09-28,18
2022-09-29,21
2022-09-30,20
2022-10-01,26
2022-10-02,25
2022-10-03,23
2022-10-04,31
2022-10-05,30
2022-10-06,42
2022-10-07,52
2022-10-08,59
2022-10-09,52
2022-10-10,42
2022-10-11,35
2022-10-12,33
2022-10-13,37
2022-10-14,33
2022-10-15,41
2022-10-16,35
2022-10-17,28
2022-10-18,26
2022-10-19,29
2022-10-20,28
2022-10-21,29
2022-10-22,36
2022-10-23,39
2022-10-24,31
2022-10-25,28
2022-10-26,27
2022-10-27,30
2022-10-28,26
2022-10-29,32
2022-10-30,35
2022-10-31,28
2022-11-01,24
2022-11-02,24
2022-11-03,27
2022-11-04,33
2022-11-05,43
2022-11-06,34
2022-11-07,28
2022-11-08,41
2022-11-09,30
2022-11-10,26
2022-11-11,36
2022-11-12,38
2022-11-13,39
2022-11-14,30
2022-11-15,30
2022-11-16,27
2022-11-17,26
2022-11-18,28
2022-11-19,32
2022-11-20,33
2022-11-21,29
2022-11-22,31
2022-11-23,34
2022-11-24,34
2022-11-25,43
2022-11-26,33
2022-11-27,74
2022-11-28,34
2022-11-29,27
2022-11-30,24
2022-12-01,32
2022-12-02,32
2022-12-03,31
2022-12-04,43
2022-12-05,25
2022-12-06,25
2022-12-07,28
2022-12-08,33
2022-12-09,27
2022-12-10,36
2022-12-11,34
2022-12-12,26
2022-12-13,24
2022-12-14,26
2022-12-15,26
2022-12-16,28
2022-12-17,33
2022-12-18,33
2022-12-19,31
2022-12-20,31
2022-12-21,30
2022-12-22,30
2022-12-23,34
2022-12-24,36
2022-12-25,45
2022-12-26,35
2022-12-27,31
2022-12-28,36
2022-12-29,38
2022-12-30,38
2022-12-31,40
2023-01-01,39
2023-01-02,41
2023-01-03,25
2023-01-04,25
2023-01-05,26
2023-01-06,27
2023-01-07,40
2023-01-08,32
2023-01-09,24
2023-01-10,25
2023-01-11,24
2023-01-12,27
2023-01-13,27
2023-01-14,34
2023-01-15,34
2023-01-16,29
2023-01-17,33
2023-01-18,27
2023-01-19,27
2023-01-20,25
2023-01-21,37
2023-01-22,34
2023-01-23,26
2023-01-24,29
2023-01-25,31
2023-01-26,26
2023-01-27,27
2023-01-28,33
2023-01-29,32
2023-01-30,25
2023-01-31,26
2023-02-01,30
2023-02-02,26
2023-02-03,30
2023-02-04,35
2023-02-05,40
2023-02-06,31
2023-02-07,56
2023-02-08,43
2023-02-09,33
2023-02-10,44
2023-02-11,50
2023-02-12,47
2023-02-13,34
2023-02-14,29
2023-02-15,34
2023-02-16,28
2023-02-17,33
2023-02-18,41
2023-02-19,42
2023-02-20,34
2023-02-21,29
2023-02-22,25
2023-02-23,28
2023-02-24,27
2023-02-25,32
2023-02-26,39
2023-02-27,30
2023-02-28,36
2023-03-01,32
2023-03-02,31
2023-03-03,57
2023-03-04,76
2023-03-05,76
2023-03-06,45
2023-03-07,45
2023-03-08,36
2023-03-09,29
2023-03-10,31
2023-03-11,39
2023-03-12,39
2023-03-13,32
2023-03-14,26
2023-03-15,29
2023-03-16,28
2023-03-17,35
2023-03-18,37
2023-03-19,40
2023-03-20,26
2023-03-21,26
2023-03-22,25
2023-03-23,26
2023-03-24,30
2023-03-25,31
2023-03-26,46
2023-03-27,25
2023-03-28,26
2023-03-29,24
2023-03-30,26
2023-03-31,29
2023-04-01,31
2023-04-02,45
2023-04-03,44
2023-04-04,30
2023-04-05,27
2023-04-06,31
2023-04-07,29
2023-04-08,40
2023-04-09,45
2023-04-10,40
2023-04-11,38
2023-04-12,46
2023-04-13,90
2023-04-14,94
2023-04-15,75
2023-04-16,65
2023-04-17,39
2023-04-18,39
2023-04-19,59
2023-04-20,78
2023-04-21,59
2023-04-22,80
2023-04-23,70
2023-04-24,100
2023-04-25,50
2023-04-26,37
2023-04-27,32
2023-04-28,33
2023-04-29,41
2023-04-30,48
2023-05-01,43
2023-05-02,52
2023-05-03,57
2023-05-04,42
2023-05-05,42
2023-05-06,49
2023-05-07,50
2023-05-08,40
2023-05-09,33
2023-05-10,31
2023-05-11,32
2023-05-12,32
2023-05-13,39
2023-05-14,44
2023-05-15,29
2023-05-16,28
2023-05-17,27
2023-05-18,28
2023-05-19,29
2023-05-20,41
2023-05-21,40
2023-05-22,29
2023-05-23,28
2023-05-24,28
2023-05-25,28
