Time,amazon prime
2023-04-26,27
2023-04-27,25
2023-04-28,26
2023-04-29,30
2023-04-30,32
2023-05-01,28
2023-05-02,27
2023-05-03,26
2023-05-04,26
2023-05-05,26
2023-05-06,29
2023-05-07,30
2023-05-08,27
2023-05-09,27
2023-05-10,27
2023-05-11,27
2023-05-12,28
2023-05-13,29
2023-05-14,30
2023-05-15,27
2023-05-16,26
2023-05-17,28
2023-05-18,28
2023-05-19,28
2023-05-20,29
2023-05-21,32
2023-05-22,28
2023-05-23,27
2023-05-24,28
2023-05-25,27
2023-05-26,27
2023-05-27,29
2023-05-28,30
2023-05-29,31
2023-05-30,27
2023-05-31,29
2023-06-01,28
2023-06-02,29
2023-06-03,33
2023-06-04,32
2023-06-05,30
2023-06-06,30
2023-06-07,28
2023-06-08,29
2023-06-09,28
2023-06-10,32
2023-06-11,32
2023-06-12,30
2023-06-13,30
2023-06-14,30
2023-06-15,29
2023-06-16,30
2023-06-17,30
2023-06-18,32
2023-06-19,31
2023-06-20,29
2023-06-21,31
2023-06-22,29
2023-06-23,30
2023-06-24,31
2023-06-25,31
2023-06-26,30
2023-06-27,31
2023-06-28,30
2023-06-29,29
2023-06-30,31
2023-07-01,32
2023-07-02,35
2023-07-03,34
2023-07-04,33
2023-07-05,32
2023-07-06,36
2023-07-07,36
2023-07-08,40
2023-07-09,40
2023-07-10,46
2023-07-11,100
2023-07-12,78
2023-07-13,47
2023-07-14,34
2023-07-15,32
2023-07-16,34
2023-07-17,30
2023-07-18,29
2023-07-19,29
2023-07-20,27
2023-07-21,29
2023-07-22,29
2023-07-23,31
2023-07-24,29
2023-07-25,28
2023-07-26,28
2023-07-27,27
2023-07-28,28
2023-07-29,29
2023-07-30,30
2023-07-31,27
2023-08-01,27
2023-08-02,27
2023-08-03,27
2023-08-04,29
2023-08-05,30
2023-08-06,31
2023-08-07,29
2023-08-08,27
2023-08-09,27
2023-08-10,28
2023-08-11,29
2023-08-12,31
2023-08-13,31
2023-08-14,29
2023-08-15,28
2023-08-16,28
2023-08-17,28
2023-08-18,29
2023-08-19,32
2023-08-20,32
2023-08-21,28
2023-08-22,28
2023-08-23,27
2023-08-24,26
2023-08-25,27
2023-08-26,27
2023-08-27,29
2023-08-28,27
2023-08-29,24
2023-08-30,26
2023-08-31,25
2023-09-01,26
2023-09-02,29
2023-09-03,27
2023-09-04,31
2023-09-05,26
2023-09-06,26
2023-09-07,26
2023-09-08,26
2023-09-09,27
2023-09-10,28
2023-09-11,25
2023-09-12,25
2023-09-13,25
2023-09-14,28
2023-09-15,33
2023-09-16,28
2023-09-17,28
2023-09-18,25
2023-09-19,26
2023-09-20,26
2023-09-21,28
2023-09-22,32
2023-09-23,31
2023-09-24,30
2023-09-25,27
2023-09-26,27
2023-09-27,26
2023-09-28,28
2023-09-29,31
2023-09-30,29
2023-10-01,32
2023-10-02,26
2023-10-03,28
2023-10-04,28
2023-10-05,29
2023-10-06,33
2023-10-07,32
2023-10-08,33
2023-10-09,34
2023-10-10,53
2023-10-11,51
2023-10-12,39
2023-10-13,33
2023-10-14,32
2023-10-15,31
2023-10-16,28
2023-10-17,28
2023-10-18,26
2023-10-19,27
2023-10-20,31
2023-10-21,29
2023-10-22,29
2023-10-23,27
2023-10-24,27
2023-10-25,28
2023-10-26,25
2023-10-27,29
2023-10-28,27
2023-10-29,29
2023-10-30,26
2023-10-31,25
2023-11-01,25
2023-11-02,26
2023-11-03,29
2023-11-04,28
2023-11-05,29
2023-11-06,26
2023-11-07,27
2023-11-08,26
2023-11-09,27
2023-11-10,32
2023-11-11,30
2023-11-12,31
2023-11-13,26
2023-11-14,27
2023-11-15,27
2023-11-16,28
2023-11-17,33
2023-11-18,34
2023-11-19,34
2023-11-20,32
2023-11-21,32
2023-11-22,33
2023-11-23,31
2023-11-24,47
2023-11-25,42
2023-11-26,39
2023-11-27,44
2023-11-28,37
2023-11-29,35
2023-11-30,33
2023-12-01,36
2023-12-02,37
2023-12-03,37
2023-12-04,34
2023-12-05,35
2023-12-06,34
2023-12-07,34
2023-12-08,36
2023-12-09,39
2023-12-10,42
2023-12-11,37
2023-12-12,36
2023-12-13,37
2023-12-14,36
2023-12-15,39
2023-12-16,41
2023-12-17,39
2023-12-18,37
2023-12-19,36
2023-12-20,37
2023-12-21,36
2023-12-22,36
2023-12-23,33
2023-12-24,29
2023-12-25,29
2023-12-26,32
2023-12-27,34
2023-12-28,34
2023-12-29,35
2023-12-30,33
2023-12-31,31
2024-01-01,29
2024-01-02,28
2024-01-03,30
2024-01-04,28
2024-01-05,28
2024-01-06,30
2024-01-07,32
2024-01-08,27
2024-01-09,26
2024-01-10,28
2024-01-11,27
2024-01-12,27
2024-01-13,30
2024-01-14,30
2024-01-15,28
2024-01-16,26
2024-01-17,27
2024-01-18,25
2024-01-19,27
2024-01-20,31
