Time,amazon prime
2025-12-11,88
2025-12-12,100
2025-12-13,94
2025-12-14,94
2025-12-15,86
2025-12-16,83
2025-12-17,95
2025-12-18,91
2025-12-19,100
2025-12-20,89
2025-12-21,95
2025-12-22,80
2025-12-23,80
2025-12-24,72
2025-12-25,67
2025-12-26,78
2025-12-27,77
2025-12-28,79
2025-12-29,73
2025-12-30,68
2025-12-31,68
2026-01-01,66
2026-01-02,71
2026-01-03,78
2026-01-04,73
2026-01-05,61
2026-01-06,63
2026-01-07,65
2026-01-08,64
2026-01-09,64
2026-01-10,84
2026-01-11,96
2026-01-12,61
2026-01-13,64
2026-01-14,60
2026-01-15,63
2026-01-16,63
2026-01-17,73
2026-01-18,73
2026-01-19,69
2026-01-20,63
2026-01-21,62
2026-01-22,61
2026-01-23,64
2026-01-24,71
2026-01-25,70
2026-01-26,64
2026-01-27,65
2026-01-28,61
2026-01-29,62
2026-01-30,63
2026-01-31,74
2026-02-01,73
2026-02-02,63
2026-02-03,59
2026-02-04,61
2026-02-05,61
2026-02-06,61
2026-02-07,67
2026-02-08,71
2026-02-09,52
2026-02-10,59
2026-02-11,60
2026-02-12,57
2026-02-13,57
2026-02-14,59
2026-02-15,70
2026-02-16,66
2026-02-17,59
2026-02-18,55
2026-02-19,56
2026-02-20,57
2026-02-21,66
2026-02-22,65
2026-02-23,59
2026-02-24,58
2026-02-25,58
2026-02-26,59
2026-02-27,57
2026-02-28,67
2026-03-01,70
2026-03-02,62
2026-03-03,62
2026-03-04,58
2026-03-05,71
2026-03-06,63
2026-03-07,71
2026-03-08,70
2026-03-09,62
2026-03-10,58
2026-03-11,62
2026-03-12,57
2026-03-13,63
2026-03-14,77
2026-03-15,71
2026-03-16,60
2026-03-17,60
2026-03-18,69
2026-03-19,62
2026-03-20,63
2026-03-21,70
2026-03-22,73
2026-03-23,63
2026-03-24,65
2026-03-25,66
2026-03-26,64
2026-03-27,62
2026-03-28,73
2026-03-29,71
2026-03-30,62
2026-03-31,65
2026-04-01,62
2026-04-02,64
2026-04-03,63
2026-04-04,67
2026-04-05,63
2026-04-06,64
2026-04-07,60
2026-04-08,66
2026-04-09,67
2026-04-10,66
2026-04-11,70
2026-04-12,69
2026-04-13,60
2026-04-14,62
2026-04-15,67
2026-04-16,65
2026-04-17,62
2026-04-18,77
2026-04-19,76
2026-04-20,62
2026-04-21,63
2026-04-22,64
2026-04-23,63
2026-04-24,64
2026-04-25,72
2026-04-26,68
2026-04-27,63
2026-04-28,62
2026-04-29,61
2026-04-30,64
2026-05-01,64
2026-05-02,71
2026-05-03,71
2026-05-04,61
2026-05-05,63
2026-05-06,67
2026-05-07,63
2026-05-08,67
2026-05-09,73
2026-05-10,66
2026-05-11,63
2026-05-12,64
2026-05-13,69
2026-05-14,68
2026-05-15,68
2026-05-16,79
2026-05-17,75
2026-05-18,71
2026-05-19,66
2026-05-20,68
2026-05-21,69
2026-05-22,68
2026-05-23,76
2026-05-24,79
2026-05-25,76
2026-05-26,67
2026-05-27,68
2026-05-28,67
2026-05-29,71
2026-05-30,74
2026-05-31,74
