Time,jenna ortega
2023-12-22,19
2023-12-23,23
2023-12-24,23
2023-12-25,22
2023-12-26,20
2023-12-27,20
2023-12-28,19
2023-12-29,19
2023-12-30,20
2023-12-31,21
2024-01-01,23
2024-01-02,18
2024-01-03,18
2024-01-04,17
2024-01-05,17
2024-01-06,19
2024-01-07,20
2024-01-08,16
2024-01-09,17
2024-01-10,16
2024-01-11,14
2024-01-12,16
2024-01-13,20
2024-01-14,22
2024-01-15,20
2024-01-16,33
2024-01-17,24
2024-01-18,18
2024-01-19,19
2024-01-20,21
2024-01-21,20
2024-01-22,17
2024-01-23,15
2024-01-24,16
2024-01-25,17
2024-01-26,18
2024-01-27,25
2024-01-28,34
2024-01-29,21
2024-01-30,19
2024-01-31,16
2024-02-01,18
2024-02-02,30
2024-02-03,33
2024-02-04,100
2024-02-05,36
2024-02-06,39
2024-02-07,44
2024-02-08,56
2024-02-09,72
2024-02-10,48
2024-02-11,32
2024-02-12,51
2024-02-13,26
2024-02-14,20
2024-02-15,19
2024-02-16,17
2024-02-17,28
2024-02-18,32
2024-02-19,28
2024-02-20,26
2024-02-21,25
2024-02-22,23
2024-02-23,25
2024-02-24,27
2024-02-25,33
2024-02-26,25
2024-02-27,27
2024-02-28,30
2024-02-29,23
2024-03-01,24
2024-03-02,23
2024-03-03,27
2024-03-04,21
2024-03-05,18
2024-03-06,22
2024-03-07,18
2024-03-08,19
2024-03-09,20
2024-03-10,23
2024-03-11,18
2024-03-12,17
2024-03-13,17
2024-03-14,17
2024-03-15,16
2024-03-16,18
2024-03-17,24
2024-03-18,23
2024-03-19,21
2024-03-20,17
2024-03-21,21
2024-03-22,28
2024-03-23,28
2024-03-24,27
2024-03-25,19
2024-03-26,18
2024-03-27,19
2024-03-28,19
2024-03-29,18
2024-03-30,21
2024-03-31,24
2024-04-01,19
2024-04-02,18
2024-04-03,17
2024-04-04,15
2024-04-05,15
2024-04-06,18
2024-04-07,23
2024-04-08,22
2024-04-09,17
2024-04-10,17
2024-04-11,16
2024-04-12,16
2024-04-13,20
2024-04-14,33
2024-04-15,20
2024-04-16,16
2024-04-17,18
2024-04-18,23
2024-04-19,19
2024-04-20,20
2024-04-21,18
2024-04-22,16
2024-04-23,13
2024-04-24,14
2024-04-25,12
2024-04-26,13
2024-04-27,20
2024-04-28,28
2024-04-29,31
2024-04-30,41
2024-05-01,35
2024-05-02,28
2024-05-03,25
2024-05-04,29
2024-05-05,25
2024-05-06,22
2024-05-07,26
2024-05-08,25
2024-05-09,20
2024-05-10,16
2024-05-11,19
2024-05-12,21
2024-05-13,18
2024-05-14,17
2024-05-15,16
2024-05-16,15
2024-05-17,15
2024-05-18,18
2024-05-19,21
2024-05-20,16
2024-05-21,18
2024-05-22,20
2024-05-23,22
2024-05-24,25
2024-05-25,24
2024-05-26,28
2024-05-27,27
2024-05-28,22
2024-05-29,19
2024-05-30,21
2024-05-31,21
2024-06-01,27
2024-06-02,22
2024-06-03,18
2024-06-04,15
2024-06-05,15
2024-06-06,15
2024-06-07,28
2024-06-08,36
2024-06-09,23
2024-06-10,21
2024-06-11,18
2024-06-12,14
2024-06-13,14
2024-06-14,15
2024-06-15,17
2024-06-16,18
2024-06-17,18
2024-06-18,17
2024-06-19,17
2024-06-20,15
2024-06-21,15
2024-06-22,17
2024-06-23,20
2024-06-24,18
2024-06-25,13
2024-06-26,13
2024-06-27,14
2024-06-28,15
2024-06-29,16
2024-06-30,17
2024-07-01,16
2024-07-02,14
2024-07-03,14
2024-07-04,16
2024-07-05,16
2024-07-06,16
2024-07-07,17
2024-07-08,14
2024-07-09,16
2024-07-10,15
2024-07-11,13
2024-07-12,14
2024-07-13,15
2024-07-14,17
2024-07-15,19
2024-07-16,18
2024-07-17,15
2024-07-18,16
2024-07-19,16
2024-07-20,19
2024-07-21,18
2024-07-22,16
2024-07-23,16
2024-07-24,14
2024-07-25,15
2024-07-26,16
2024-07-27,15
2024-07-28,15
2024-07-29,14
2024-07-30,12
2024-07-31,11
2024-08-01,12
2024-08-02,12
2024-08-03,14
2024-08-04,16
2024-08-05,17
2024-08-06,18
2024-08-07,22
2024-08-08,20
2024-08-09,21
2024-08-10,23
2024-08-11,19
2024-08-12,16
2024-08-13,15
2024-08-14,17
2024-08-15,15
2024-08-16,17
2024-08-17,23
2024-08-18,24
2024-08-19,25
2024-08-20,20
2024-08-21,20
2024-08-22,31
2024-08-23,68
2024-08-24,97
2024-08-25,85
2024-08-26,61
2024-08-27,45
2024-08-28,49
2024-08-29,44
2024-08-30,42
2024-08-31,44
2024-09-01,42
2024-09-02,38
2024-09-03,32
2024-09-04,31
2024-09-05,33
2024-09-06,38
2024-09-07,57
2024-09-08,61
2024-09-09,43
2024-09-10,33
2024-09-11,31
2024-09-12,31
2024-09-13,31
2024-09-14,43
2024-09-15,43
2024-09-16,30
