Time,traductor
2022-08-29,78
2022-08-30,78
2022-08-31,80
2022-09-01,78
2022-09-02,80
2022-09-03,64
2022-09-04,61
2022-09-05,62
2022-09-06,77
2022-09-07,83
2022-09-08,76
2022-09-09,78
2022-09-10,65
2022-09-11,60
2022-09-12,81
2022-09-13,83
2022-09-14,80
2022-09-15,84
2022-09-16,77
2022-09-17,66
2022-09-18,59
2022-09-19,80
2022-09-20,81
2022-09-21,78
2022-09-22,83
2022-09-23,77
2022-09-24,67
2022-09-25,63
2022-09-26,78
2022-09-27,80
2022-09-28,78
2022-09-29,82
2022-09-30,80
2022-10-01,66
2022-10-02,62
2022-10-03,74
2022-10-04,84
2022-10-05,81
2022-10-06,84
2022-10-07,82
2022-10-08,64
2022-10-09,64
2022-10-10,77
2022-10-11,85
2022-10-12,78
2022-10-13,84
2022-10-14,85
2022-10-15,67
2022-10-16,63
2022-10-17,78
2022-10-18,84
2022-10-19,87
2022-10-20,83
2022-10-21,81
2022-10-22,73
2022-10-23,64
2022-10-24,79
2022-10-25,82
2022-10-26,84
2022-10-27,86
2022-10-28,80
2022-10-29,70
2022-10-30,65
2022-10-31,79
2022-11-01,82
2022-11-02,82
2022-11-03,83
2022-11-04,80
2022-11-05,65
2022-11-06,57
2022-11-07,77
2022-11-08,77
2022-11-09,75
2022-11-10,83
2022-11-11,72
2022-11-12,63
2022-11-13,63
2022-11-14,78
2022-11-15,82
2022-11-16,84
2022-11-17,85
2022-11-18,82
2022-11-19,69
2022-11-20,65
2022-11-21,71
2022-11-22,78
2022-11-23,74
2022-11-24,68
2022-11-25,68
2022-11-26,60
2022-11-27,61
2022-11-28,73
2022-11-29,80
2022-11-30,78
2022-12-01,84
2022-12-02,80
2022-12-03,71
2022-12-04,62
2022-12-05,78
2022-12-06,80
2022-12-07,80
2022-12-08,87
2022-12-09,79
2022-12-10,67
2022-12-11,64
2022-12-12,77
2022-12-13,81
2022-12-14,82
2022-12-15,81
2022-12-16,78
2022-12-17,70
2022-12-18,68
2022-12-19,75
2022-12-20,79
2022-12-21,78
2022-12-22,78
2022-12-23,71
2022-12-24,68
2022-12-25,57
2022-12-26,68
2022-12-27,72
2022-12-28,72
2022-12-29,73
2022-12-30,71
2022-12-31,63
2023-01-01,55
2023-01-02,66
2023-01-03,74
2023-01-04,76
2023-01-05,80
2023-01-06,79
2023-01-07,69
2023-01-08,64
2023-01-09,80
2023-01-10,84
2023-01-11,87
2023-01-12,80
2023-01-13,80
2023-01-14,68
2023-01-15,63
2023-01-16,72
2023-01-17,87
2023-01-18,84
2023-01-19,88
2023-01-20,87
2023-01-21,68
2023-01-22,67
2023-01-23,83
2023-01-24,88
2023-01-25,89
2023-01-26,87
2023-01-27,84
2023-01-28,74
2023-01-29,68
2023-01-30,82
2023-01-31,89
2023-02-01,87
2023-02-02,88
2023-02-03,89
2023-02-04,73
2023-02-05,70
2023-02-06,83
2023-02-07,90
2023-02-08,90
2023-02-09,93
2023-02-10,91
2023-02-11,75
2023-02-12,69
2023-02-13,83
2023-02-14,90
2023-02-15,89
2023-02-16,91
2023-02-17,88
2023-02-18,76
2023-02-19,72
2023-02-20,79
2023-02-21,86
2023-02-22,90
2023-02-23,90
2023-02-24,86
2023-02-25,76
2023-02-26,70
2023-02-27,90
2023-02-28,87
2023-03-01,94
2023-03-02,89
2023-03-03,83
2023-03-04,75
2023-03-05,71
2023-03-06,88
2023-03-07,91
2023-03-08,90
2023-03-09,91
2023-03-10,91
2023-03-11,73
2023-03-12,70
2023-03-13,83
2023-03-14,88
2023-03-15,87
2023-03-16,87
2023-03-17,84
2023-03-18,75
2023-03-19,71
2023-03-20,83
2023-03-21,87
2023-03-22,86
2023-03-23,95
2023-03-24,86
2023-03-25,77
2023-03-26,73
2023-03-27,89
2023-03-28,92
2023-03-29,93
2023-03-30,89
2023-03-31,89
2023-04-01,79
2023-04-02,75
2023-04-03,92
2023-04-04,89
2023-04-05,87
2023-04-06,84
2023-04-07,81
2023-04-08,77
2023-04-09,73
2023-04-10,91
2023-04-11,93
2023-04-12,92
2023-04-13,90
2023-04-14,93
2023-04-15,82
2023-04-16,77
2023-04-17,89
2023-04-18,89
2023-04-19,96
2023-04-20,93
2023-04-21,91
2023-04-22,85
2023-04-23,76
2023-04-24,91
2023-04-25,93
2023-04-26,93
2023-04-27,96
2023-04-28,89
2023-04-29,81
2023-04-30,74
2023-05-01,89
2023-05-02,93
2023-05-03,90
2023-05-04,93
2023-05-05,93
2023-05-06,81
2023-05-07,83
2023-05-08,93
2023-05-09,92
2023-05-10,89
2023-05-11,94
2023-05-12,94
2023-05-13,85
2023-05-14,78
2023-05-15,93
2023-05-16,99
2023-05-17,97
2023-05-18,99
2023-05-19,96
2023-05-20,88
2023-05-21,80
2023-05-22,91
2023-05-23,99
2023-05-24,97
2023-05-25,100
