Time,extravagant
2022-01-01,60.0
2022-01-02,44.0
2022-01-03,35.0
2022-01-04,48.0
2022-01-05,82.0
2022-01-06,28.0
2022-01-07,71.0
2022-01-08,56.0
2022-01-09,47.0
2022-01-10,54.0
2022-01-11,54.0
2022-01-12,59.0
2022-01-13,39.0
2022-01-14,34.0
2022-01-15,43.0
2022-01-16,44.0
2022-01-17,64.0
2022-01-18,33.0
2022-01-19,60.0
2022-01-20,48.0
2022-01-21,51.0
2022-01-22,43.0
2022-01-23,51.0
2022-01-24,88.0
2022-01-25,55.0
2022-01-26,47.0
2022-01-27,38.0
2022-01-28,53.0
2022-01-29,39.0
2022-01-30,43.0
2022-01-31,30.0
2022-02-01,63.0
2022-02-02,96.0
2022-02-03,51.0
2022-02-04,49.0
2022-02-05,36.0
2022-02-06,35.0
2022-02-07,56.0
2022-02-08,68.0
2022-02-09,62.0
2022-02-10,59.0
2022-02-11,54.0
2022-02-12,60.0
2022-02-13,33.0
2022-02-14,69.0
2022-02-15,53.0
2022-02-16,63.0
2022-02-17,73.0
2022-02-18,70.0
2022-02-19,54.0
2022-02-20,52.0
2022-02-21,54.0
2022-02-22,48.0
2022-02-23,69.0
2022-02-24,46.0
2022-02-25,59.0
2022-02-26,53.0
2022-02-27,42.0
2022-02-28,68.0
2022-03-01,68.0
2022-03-02,56.0
2022-03-03,79.0
2022-03-04,66.0
2022-03-05,57.0
2022-03-06,46.0
2022-03-07,100.0
2022-03-08,52.0
2022-03-09,49.0
2022-03-10,47.0
2022-03-11,40.0
2022-03-12,53.0
2022-03-13,41.0
2022-03-14,51.0
2022-03-15,56.0
2022-03-16,52.0
2022-03-17,53.0
2022-03-18,51.0
2022-03-19,52.0
2022-03-20,61.0
2022-03-21,49.0
2022-03-22,43.0
2022-03-23,55.0
2022-03-24,64.0
2022-03-25,50.0
2022-03-26,54.0
2022-03-27,49.0
2022-03-28,57.0
2022-03-29,67.0
2022-03-30,52.0
2022-03-31,87.0
2022-04-01,55.0
2022-04-02,62.0
2022-04-03,68.0
2022-04-04,90.0
2022-04-05,70.0
2022-04-06,59.0
2022-04-07,54.0
2022-04-08,71.0
2022-04-09,70.0
2022-04-10,59.0
2022-04-11,63.0
2022-04-12,61.0
2022-04-13,76.0
2022-04-14,71.0
2022-04-15,57.0
2022-04-16,60.0
2022-04-17,59.0
2022-04-18,59.0
2022-04-19,66.0
2022-04-20,69.0
2022-04-21,65.0
2022-04-22,74.0
2022-04-23,64.0
2022-04-24,44.0
2022-04-25,69.0
2022-04-26,70.0
2022-04-27,55.0
2022-04-28,71.0
2022-04-29,64.0
2022-04-30,57.0
2022-05-01,66.0
2022-05-02,60.0
2022-05-03,86.0
2022-05-04,69.0
2022-05-05,68.0
2022-05-06,58.0
2022-05-07,43.0
2022-05-08,56.0
2022-05-09,67.0
2022-05-10,87.0
2022-05-11,79.0
2022-05-12,62.0
2022-05-13,60.0
2022-05-14,51.0
2022-05-15,41.0
2022-05-16,50.0
2022-05-17,46.0
2022-05-18,79.0
2022-05-19,49.0
2022-05-20,64.0
2022-05-21,52.0
2022-05-22,39.0
2022-05-23,50.0
2022-05-24,46.0
2022-05-25,55.0
2022-05-26,56.0
2022-05-27,67.0
2022-05-28,39.0
2022-05-29,41.0
2022-05-30,34.0
2022-05-31,40.0
2022-06-01,45.0
2022-06-02,61.0
2022-06-03,44.0
2022-06-04,35.0
2022-06-05,42.0
2022-06-06,48.0
2022-06-07,38.0
2022-06-08,49.0
2022-06-09,51.0
2022-06-10,44.0
2022-06-11,49.0
2022-06-12,50.0
2022-06-13,41.0
2022-06-14,39.0
2022-06-15,39.0
2022-06-16,51.0
2022-06-17,37.0
2022-06-18,34.0
2022-06-19,50.0
2022-06-20,31.0
2022-06-21,54.0
2022-06-22,33.0
2022-06-23,51.0
2022-06-24,31.0
2022-06-25,48.0
2022-06-26,47.0
2022-06-27,20.0
2022-06-28,43.0
2022-06-29,55.0
2022-06-30,37.0
2022-07-01,36.0
2022-07-02,34.0
2022-07-03,41.0
2022-07-04,37.0
2022-07-05,37.0
2022-07-06,36.0
2022-07-07,42.0
2022-07-08,35.0
2022-07-09,45.0
2022-07-10,40.0
2022-07-11,59.0
2022-07-12,24.0
2022-07-13,36.0
2022-07-14,37.0
2022-07-15,37.0
2022-07-16,43.0
2022-07-17,38.0
2022-07-18,40.0
2022-07-19,40.0
2022-07-20,54.0
2022-07-21,33.0
2022-07-22,44.0
2022-07-23,31.0
2022-07-24,18.0
2022-07-25,51.0
2022-07-26,47.0
2022-07-27,42.0
2022-07-28,40.0
2022-07-29,49.0
2022-07-30,38.0
2022-07-31,63.0
2022-08-01,34.0
2022-08-02,31.0
2022-08-03,43.0
2022-08-04,41.0
2022-08-05,48.0
2022-08-06,27.0
2022-08-07,48.0
2022-08-08,62.0
2022-08-09,41.0
2022-08-10,23.0
2022-08-11,48.0
2022-08-12,37.0
2022-08-13,38.0
2022-08-14,40.0
2022-08-15,43.0
2022-08-16,42.0
2022-08-17,53.0
2022-08-18,47.0
2022-08-19,41.0
2022-08-20,52.0
2022-08-21,35.0
2022-08-22,47.0
2022-08-23,49.0
2022-08-24,50.0
2022-08-25,63.0
2022-08-26,49.0
2022-08-27,40.0
2022-08-28,47.0
2022-08-29,58.48936170212766
2022-08-30,56.08510638297872
2022-08-31,65.26595744680851
2022-09-01,58.98936170212766
2022-09-02,45.93617021276596
2022-09-03,37.72340425531915
2022-09-04,46.40425531914894
2022-09-05,51.24468085106383
2022-09-06,67.70212765957447
2022-09-07,56.08510638297872
2022-09-08,64.79787234042553
2022-09-09,44.0
2022-09-10,47.87234042553192
2022-09-11,38.191489361702125
2022-09-12,61.8936170212766
2022-09-13,55.61702127659575
2022-09-14,75.91489361702128
2022-09-15,63.329787234042556
2022-09-16,59.95744680851064
2022-09-17,33.851063829787236
2022-09-18,55.11702127659575
2022-09-19,56.08510638297872
2022-09-20,57.52127659574468
2022-09-21,54.148936170212764
2022-09-22,58.02127659574468
2022-09-23,44.0
2022-09-24,64.79787234042553
2022-09-25,53.18085106382979
2022-09-26,63.829787234042556
2022-09-27,58.97872340425532
2022-09-28,58.97872340425532
2022-09-29,67.40425531914894
2022-09-30,40.255319148936174
2022-10-01,39.319148936170215
2022-10-02,53.361702127659576
2022-10-03,67.40425531914894
2022-10-04,55.23404255319149
2022-10-05,63.65957446808511
2022-10-06,59.91489361702128
2022-10-07,61.787234042553195
2022-10-08,40.255319148936174
2022-10-09,41.191489361702125
2022-10-10,54.297872340425535
2022-10-11,62.72340425531915
2022-10-12,69.27659574468085
2022-10-13,58.04255319148936
2022-10-14,60.851063829787236
2022-10-15,34.638297872340424
2022-10-16,70.2127659574468
2022-10-17,66.46808510638299
2022-10-18,51.48936170212766
2022-10-19,63.65957446808511
2022-10-20,62.72340425531915
2022-10-21,50.5531914893617
2022-10-22,47.74468085106383
2022-10-23,48.68085106382979
2022-10-24,61.787234042553195
2022-10-25,82.38297872340425
2022-10-26,64.59574468085107
2022-10-27,81.4468085106383
2022-10-28,60.851063829787236
2022-10-29,49.61702127659574
2022-10-30,38.38297872340426
2022-10-31,70.2127659574468
2022-11-01,44.0
2022-11-02,61.787234042553195
2022-11-03,58.97872340425532
2022-11-04,61.787234042553195
2022-11-05,47.74468085106383
2022-11-06,53.361702127659576
2022-11-07,68.34042553191489
2022-11-08,57.1063829787234
2022-11-09,52.42553191489362
2022-11-10,59.91489361702128
2022-11-11,58.97872340425532
2022-11-12,50.5531914893617
2022-11-13,61.787234042553195
2022-11-14,50.5531914893617
2022-11-15,53.361702127659576
2022-11-16,61.787234042553195
2022-11-17,75.82978723404256
2022-11-18,66.46808510638299
2022-11-19,48.68085106382979
2022-11-20,55.23404255319149
2022-11-21,43.06382978723404
2022-11-22,54.297872340425535
2022-11-23,39.319148936170215
2022-11-24,36.51063829787234
2022-11-25,19.659574468085108
2022-11-26,53.361702127659576
2022-11-27,50.5531914893617
2022-11-28,50.5531914893617
2022-11-29,64.59574468085107
2022-11-30,54.297872340425535
2022-12-01,75.82978723404256
2022-12-02,50.5531914893617
2022-12-03,46.808510638297875
2022-12-04,40.255319148936174
2022-12-05,48.68085106382979
2022-12-06,52.42553191489362
2022-12-07,64.59574468085107
2022-12-08,81.4468085106383
2022-12-09,54.297872340425535
2022-12-10,36.51063829787234
2022-12-11,50.5531914893617
2022-12-12,69.27659574468085
2022-12-13,59.91489361702128
2022-12-14,93.61702127659575
2022-12-15,84.25531914893617
2022-12-16,63.65957446808511
2022-12-17,47.74468085106383
2022-12-18,29.02127659574468
2022-12-19,59.91489361702128
2022-12-20,71.14893617021276
2022-12-21,51.48936170212766
2022-12-22,46.808510638297875
2022-12-23,52.42553191489362
2022-12-24,55.23404255319149
2022-12-25,46.808510638297875
2022-12-26,52.42553191489362
2022-12-27,44.0
2022-12-28,41.191489361702125
2022-12-29,35.57446808510638
2022-12-30,45.87234042553192
2022-12-31,37.4468085106383
2023-01-01,41.191489361702125
2023-01-02,46.808510638297875
2023-01-03,53.361702127659576
2023-01-04,57.1063829787234
2023-01-05,42.12765957446808
2023-01-06,54.297872340425535
2023-01-07,44.0
2023-01-08,44.0
2023-01-09,48.68085106382979
2023-01-10,61.787234042553195
2023-01-11,77.70212765957447
2023-01-12,77.70212765957447
2023-01-13,53.361702127659576
2023-01-14,45.87234042553192
2023-01-15,45.87234042553192
2023-01-16,48.68085106382979
2023-01-17,61.787234042553195
2023-01-18,56.170212765957444
2023-01-19,64.59574468085107
2023-01-20,69.27659574468085
2023-01-21,36.51063829787234
2023-01-22,54.297872340425535
2023-01-23,61.787234042553195
2023-01-24,56.170212765957444
2023-01-25,72.08510638297872
2023-01-26,58.97872340425532
2023-01-27,44.93617021276596
2023-01-28,35.57446808510638
2023-01-29,45.87234042553192
2023-01-30,56.170212765957444
2023-01-31,59.91489361702128
2023-02-01,67.40425531914894
2023-02-02,57.1063829787234
2023-02-03,65.53191489361703
2023-02-04,54.297872340425535
2023-02-05,58.04255319148936
2023-02-06,77.70212765957447
2023-02-07,65.53191489361703
2023-02-08,62.72340425531915
2023-02-09,61.787234042553195
2023-02-10,57.1063829787234
2023-02-11,45.87234042553192
2023-02-12,44.93617021276596
2023-02-13,65.53191489361703
2023-02-14,67.40425531914894
2023-02-15,86.12765957446808
2023-02-16,58.04255319148936
2023-02-17,60.851063829787236
2023-02-18,39.319148936170215
2023-02-19,44.0
2023-02-20,47.74468085106383
2023-02-21,63.65957446808511
2023-02-22,70.2127659574468
2023-02-23,66.46808510638299
2023-02-24,49.61702127659574
2023-02-25,56.170212765957444
2023-02-26,45.87234042553192
2023-02-27,50.5531914893617
2023-02-28,56.170212765957444
2023-03-01,73.02127659574468
2023-03-02,55.23404255319149
2023-03-03,49.61702127659574
2023-03-04,37.4468085106383
2023-03-05,51.48936170212766
2023-03-06,63.65957446808511
2023-03-07,51.48936170212766
2023-03-08,66.46808510638299
2023-03-09,64.59574468085107
2023-03-10,49.61702127659574
2023-03-11,43.06382978723404
2023-03-12,44.0
2023-03-13,58.04255319148936
2023-03-14,57.1063829787234
2023-03-15,46.808510638297875
2023-03-16,64.59574468085107
2023-03-17,58.97872340425532
2023-03-18,39.319148936170215
2023-03-19,44.0
2023-03-20,50.5531914893617
2023-03-21,71.14893617021276
2023-03-22,57.1063829787234
2023-03-23,54.297872340425535
2023-03-24,56.170212765957444
2023-03-25,44.0
2023-03-26,43.06382978723404
2023-03-27,68.34042553191489
2023-03-28,55.23404255319149
2023-03-29,63.65957446808511
2023-03-30,53.361702127659576
2023-03-31,55.23404255319149
2023-04-01,32.765957446808514
2023-04-02,29.02127659574468
2023-04-03,49.61702127659574
2023-04-04,65.53191489361703
2023-04-05,46.808510638297875
2023-04-06,64.59574468085107
2023-04-07,70.2127659574468
2023-04-08,54.297872340425535
2023-04-09,57.1063829787234
2023-04-10,55.23404255319149
2023-04-11,43.06382978723404
2023-04-12,42.12765957446808
2023-04-13,50.5531914893617
2023-04-14,59.91489361702128
2023-04-15,27.148936170212767
2023-04-16,56.170212765957444
2023-04-17,72.08510638297872
2023-04-18,53.361702127659576
2023-04-19,61.787234042553195
2023-04-20,75.82978723404256
2023-04-21,60.851063829787236
2023-04-22,36.51063829787234
2023-04-23,68.34042553191489
2023-04-24,67.40425531914894
2023-04-25,73.95744680851064
2023-04-26,46.710363761153054
2023-04-27,49.07343857240906
2023-04-28,54.26012354152368
2023-04-29,36.32944406314344
2023-04-30,52.84831846259437
2023-05-01,58.03500343170899
2023-05-02,75.0219629375429
2023-05-03,54.26012354152368
2023-05-04,61.809883321894304
2023-05-05,58.97872340425532
2023-05-06,44.35483870967742
2023-05-07,32.08647906657515
2023-05-08,54.73575840768703
2023-05-09,52.37268359643102
2023-05-10,51.4289636238847
2023-05-11,55.20384351407001
2023-05-12,60.86616334934797
2023-05-13,43.41111873713109
2023-05-14,53.31640356897735
2023-05-15,73.13452299245023
2023-05-16,63.697323266986956
2023-05-17,62.75360329444063
2023-05-18,51.4289636238847
2023-05-19,56.147563486616335
2023-05-20,45.76664378860673
2023-05-21,36.805078929306795
2023-05-22,51.4289636238847
2023-05-23,58.97872340425532
2023-05-24,54.26012354152368
2023-05-25,56.12491420727522
2023-05-26,34.24571036376115
2023-05-27,41.85586822237474
2023-05-28,56.12491420727522
2023-05-29,38.05078929306794
2023-05-30,59.92999313658201
2023-05-31,38.05078929306794
2023-06-01,56.12491420727522
2023-06-02,30.440631434454357
2023-06-03,46.612216884008234
2023-06-04,38.05078929306794
