Time,vagrant
2022-01-01,15.0
2022-01-02,15.0
2022-01-03,16.0
2022-01-04,17.0
2022-01-05,15.0
2022-01-06,16.0
2022-01-07,16.0
2022-01-08,14.0
2022-01-09,16.0
2022-01-10,19.0
2022-01-11,17.0
2022-01-12,18.0
2022-01-13,21.0
2022-01-14,25.0
2022-01-15,17.0
2022-01-16,12.0
2022-01-17,13.0
2022-01-18,20.0
2022-01-19,15.0
2022-01-20,14.0
2022-01-21,18.0
2022-01-22,13.0
2022-01-23,8.0
2022-01-24,16.0
2022-01-25,19.0
2022-01-26,16.0
2022-01-27,16.0
2022-01-28,20.0
2022-01-29,17.0
2022-01-30,12.0
2022-01-31,17.0
2022-02-01,20.0
2022-02-02,21.0
2022-02-03,20.0
2022-02-04,54.0
2022-02-05,91.0
2022-02-06,100.0
2022-02-07,61.0
2022-02-08,42.0
2022-02-09,44.0
2022-02-10,31.0
2022-02-11,33.0
2022-02-12,34.0
2022-02-13,30.0
2022-02-14,23.0
2022-02-15,29.0
2022-02-16,33.0
2022-02-17,26.0
2022-02-18,21.0
2022-02-19,24.0
2022-02-20,29.0
2022-02-21,23.0
2022-02-22,25.0
2022-02-23,22.0
2022-02-24,21.0
2022-02-25,21.0
2022-02-26,23.0
2022-02-27,25.0
2022-02-28,23.0
2022-03-01,24.0
2022-03-02,21.0
2022-03-03,22.0
2022-03-04,23.0
2022-03-05,23.0
2022-03-06,23.0
2022-03-07,21.0
2022-03-08,24.0
2022-03-09,22.0
2022-03-10,21.0
2022-03-11,22.0
2022-03-12,16.0
2022-03-13,15.0
2022-03-14,21.0
2022-03-15,21.0
2022-03-16,21.0
2022-03-17,20.0
2022-03-18,20.0
2022-03-19,19.0
2022-03-20,16.0
2022-03-21,18.0
2022-03-22,21.0
2022-03-23,16.0
2022-03-24,22.0
2022-03-25,22.0
2022-03-26,18.0
2022-03-27,22.0
2022-03-28,18.0
2022-03-29,23.0
2022-03-30,25.0
2022-03-31,22.0
2022-04-01,23.0
2022-04-02,13.0
2022-04-03,18.0
2022-04-04,22.0
2022-04-05,20.0
2022-04-06,20.0
2022-04-07,21.0
2022-04-08,21.0
2022-04-09,27.0
2022-04-10,17.0
2022-04-11,17.0
2022-04-12,16.0
2022-04-13,19.0
2022-04-14,18.0
2022-04-15,22.0
2022-04-16,17.0
2022-04-17,19.0
2022-04-18,19.0
2022-04-19,17.0
2022-04-20,20.0
2022-04-21,25.0
2022-04-22,19.0
2022-04-23,18.0
2022-04-24,15.0
2022-04-25,18.0
2022-04-26,21.0
2022-04-27,21.0
2022-04-28,21.0
2022-04-29,20.0
2022-04-30,17.0
2022-05-01,18.0
2022-05-02,21.0
2022-05-03,19.0
2022-05-04,22.0
2022-05-05,22.0
2022-05-06,18.0
2022-05-07,12.0
2022-05-08,15.0
2022-05-09,23.0
2022-05-10,27.0
2022-05-11,23.0
2022-05-12,18.0
2022-05-13,22.0
2022-05-14,19.0
2022-05-15,21.0
2022-05-16,25.0
2022-05-17,19.0
2022-05-18,21.0
2022-05-19,17.0
2022-05-20,21.0
2022-05-21,13.0
2022-05-22,15.0
2022-05-23,23.0
2022-05-24,14.0
2022-05-25,19.0
2022-05-26,23.0
2022-05-27,22.0
2022-05-28,29.0
2022-05-29,22.0
2022-05-30,16.0
2022-05-31,17.0
2022-06-01,19.0
2022-06-02,17.0
2022-06-03,17.0
2022-06-04,15.0
2022-06-05,14.0
