Time,security
2022-01-01,52.0
2022-01-02,55.0
2022-01-03,87.0
2022-01-04,100.0
2022-01-05,94.0
2022-01-06,69.0
2022-01-07,81.0
2022-01-08,59.0
2022-01-09,54.0
2022-01-10,76.0
2022-01-11,83.0
2022-01-12,82.0
2022-01-13,90.0
2022-01-14,64.0
2022-01-15,52.0
2022-01-16,46.0
2022-01-17,56.0
2022-01-18,78.0
2022-01-19,76.0
2022-01-20,76.0
2022-01-21,73.0
2022-01-22,55.0
2022-01-23,50.0
2022-01-24,74.0
2022-01-25,76.0
2022-01-26,75.0
2022-01-27,76.0
2022-01-28,76.0
2022-01-29,58.0
2022-01-30,53.0
2022-01-31,77.0
2022-02-01,86.0
2022-02-02,80.0
2022-02-03,79.0
2022-02-04,76.0
2022-02-05,54.0
2022-02-06,53.0
2022-02-07,84.0
2022-02-08,81.0
2022-02-09,83.0
2022-02-10,68.0
2022-02-11,75.0
2022-02-12,54.0
2022-02-13,48.0
2022-02-14,72.0
2022-02-15,82.0
2022-02-16,82.0
2022-02-17,76.0
2022-02-18,77.0
2022-02-19,53.0
2022-02-20,50.0
2022-02-21,70.0
2022-02-22,89.0
2022-02-23,87.0
2022-02-24,82.0
2022-02-25,75.0
2022-02-26,56.0
2022-02-27,52.0
2022-02-28,85.0
2022-03-01,81.0
2022-03-02,82.0
2022-03-03,81.0
2022-03-04,76.0
2022-03-05,55.0
2022-03-06,50.0
2022-03-07,87.0
2022-03-08,86.0
2022-03-09,83.0
2022-03-10,84.0
2022-03-11,75.0
2022-03-12,52.0
2022-03-13,48.0
2022-03-14,82.0
2022-03-15,80.0
2022-03-16,82.0
2022-03-17,74.0
2022-03-18,70.0
2022-03-19,48.0
2022-03-20,49.0
2022-03-21,81.0
2022-03-22,84.0
2022-03-23,81.0
2022-03-24,78.0
2022-03-25,68.0
2022-03-26,51.0
2022-03-27,49.0
2022-03-28,79.0
2022-03-29,77.0
2022-03-30,80.0
2022-03-31,70.0
2022-04-01,74.0
2022-04-02,53.0
2022-04-03,51.0
2022-04-04,81.0
2022-04-05,79.0
2022-04-06,79.0
2022-04-07,79.0
2022-04-08,72.0
2022-04-09,54.0
2022-04-10,51.0
2022-04-11,81.0
2022-04-12,75.0
