Time,breadwinner
2022-01-01,64.0
2022-01-02,62.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,66.0
2022-01-06,39.0
2022-01-07,54.0
2022-01-08,38.0
2022-01-09,0.0
2022-01-10,41.0
2022-01-11,50.0
2022-01-12,54.0
2022-01-13,0.0
2022-01-14,55.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,64.0
2022-01-19,64.0
2022-01-20,45.0
2022-01-21,59.0
2022-01-22,0.0
2022-01-23,58.0
2022-01-24,65.0
2022-01-25,46.0
2022-01-26,49.0
2022-01-27,0.0
2022-01-28,63.0
2022-01-29,50.0
2022-01-30,43.0
2022-01-31,64.0
2022-02-01,56.0
2022-02-02,58.0
2022-02-03,66.0
2022-02-04,78.0
2022-02-05,67.0
2022-02-06,70.0
2022-02-07,61.0
2022-02-08,63.0
2022-02-09,52.0
2022-02-10,66.0
2022-02-11,51.0
2022-02-12,49.0
2022-02-13,63.0
2022-02-14,43.0
2022-02-15,65.0
2022-02-16,98.0
2022-02-17,59.0
2022-02-18,62.0
2022-02-19,57.0
2022-02-20,51.0
2022-02-21,53.0
2022-02-22,85.0
2022-02-23,47.0
2022-02-24,39.0
2022-02-25,54.0
2022-02-26,65.0
2022-02-27,53.0
2022-02-28,47.0
2022-03-01,77.0
2022-03-02,81.0
2022-03-03,39.0
2022-03-04,27.0
2022-03-05,35.0
2022-03-06,49.0
2022-03-07,51.0
2022-03-08,77.0
2022-03-09,74.0
2022-03-10,37.0
2022-03-11,36.0
2022-03-12,45.0
2022-03-13,46.0
2022-03-14,39.0
2022-03-15,0.0
2022-03-16,37.0
2022-03-17,59.0
2022-03-18,36.0
2022-03-19,0.0
2022-03-20,42.0
2022-03-21,35.0
2022-03-22,40.0
2022-03-23,41.0
2022-03-24,53.0
2022-03-25,59.0
2022-03-26,43.0
2022-03-27,58.0
2022-03-28,57.0
2022-03-29,55.0
2022-03-30,35.0
2022-03-31,69.0
2022-04-01,56.0
2022-04-02,0.0
2022-04-03,65.0
2022-04-04,63.0
2022-04-05,69.0
2022-04-06,61.0
2022-04-07,62.0
2022-04-08,58.0
2022-04-09,61.0
2022-04-10,44.0
2022-04-11,49.0
2022-04-12,67.0
2022-04-13,48.0
2022-04-14,64.0
2022-04-15,67.0
2022-04-16,44.0
2022-04-17,0.0
2022-04-18,32.0
2022-04-19,64.0
2022-04-20,79.0
2022-04-21,86.0
2022-04-22,67.0
2022-04-23,0.0
2022-04-24,47.0
2022-04-25,68.0
2022-04-26,78.0
2022-04-27,85.0
2022-04-28,67.0
2022-04-29,69.0
2022-04-30,44.0
2022-05-01,56.0
2022-05-02,95.0
2022-05-03,87.0
2022-05-04,73.0
2022-05-05,68.0
2022-05-06,55.0
2022-05-07,47.0
2022-05-08,42.0
2022-05-09,57.0
2022-05-10,86.0
2022-05-11,92.0
2022-05-12,70.0
2022-05-13,68.0
2022-05-14,36.0
2022-05-15,47.0
2022-05-16,69.0
2022-05-17,74.0
2022-05-18,79.0
2022-05-19,76.0
2022-05-20,72.0
2022-05-21,0.0
2022-05-22,56.0
2022-05-23,77.0
2022-05-24,60.0
2022-05-25,87.0
2022-05-26,89.0
2022-05-27,63.0
2022-05-28,41.0
2022-05-29,51.0
2022-05-30,53.0
2022-05-31,60.0
2022-06-01,83.0
2022-06-02,44.0
2022-06-03,80.0
2022-06-04,48.0
2022-06-05,0.0
2022-06-06,37.0
2022-06-07,63.0
2022-06-08,54.0
2022-06-09,100.0
2022-06-10,56.0
2022-06-11,47.0
2022-06-12,0.0
2022-06-13,59.0
2022-06-14,39.0
2022-06-15,33.0
2022-06-16,38.0
2022-06-17,52.0
2022-06-18,44.0
2022-06-19,35.0
2022-06-20,61.0
2022-06-21,45.0
2022-06-22,36.0
2022-06-23,64.0
2022-06-24,32.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,44.0
2022-06-28,56.0
2022-06-29,60.0
2022-06-30,51.0
2022-07-01,44.0
2022-07-02,0.0
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,45.0
2022-07-07,49.0
2022-07-08,35.0
2022-07-09,0.0
2022-07-10,0.0
2022-07-11,43.0
2022-07-12,28.0
2022-07-13,0.0
2022-07-14,60.0
2022-07-15,0.0
2022-07-16,49.0
2022-07-17,33.0
2022-07-18,38.0
2022-07-19,59.0
2022-07-20,42.0
2022-07-21,30.0
2022-07-22,50.0
2022-07-23,0.0
2022-07-24,54.0
2022-07-25,41.0
2022-07-26,58.0
2022-07-27,0.0
2022-07-28,53.0
2022-07-29,46.0
2022-07-30,0.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,41.0
2022-08-03,74.0
2022-08-04,46.0
2022-08-05,52.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,46.0
2022-08-09,53.0
2022-08-10,56.0
2022-08-11,60.0
2022-08-12,36.0
2022-08-13,50.0
2022-08-14,37.0
2022-08-15,53.0
2022-08-16,55.0
2022-08-17,39.0
2022-08-18,33.0
2022-08-19,58.0
2022-08-20,63.0
2022-08-21,0.0
2022-08-22,53.0
2022-08-23,34.0
2022-08-24,53.0
2022-08-25,31.0
2022-08-26,56.0
2022-08-27,43.0
2022-08-28,80.0
2022-08-29,84.5
2022-08-30,61.3125
2022-08-31,48.9375
2022-09-01,74.1875
2022-09-02,61.8125
2022-09-03,0.0
2022-09-04,34.0
2022-09-05,42.75
2022-09-06,59.75
2022-09-07,49.4375
2022-09-08,49.4375
2022-09-09,42.75
2022-09-10,34.0
2022-09-11,46.875
2022-09-12,63.375
2022-09-13,50.5
2022-09-14,48.4375
2022-09-15,61.3125
2022-09-16,51.0
2022-09-17,36.0625
2022-09-18,0.0
2022-09-19,57.6875
2022-09-20,48.4375
2022-09-21,48.9375
2022-09-22,80.875
2022-09-23,40.1875
2022-09-24,48.4375
2022-09-25,36.5625
2022-09-26,55.125
2022-09-27,93.5
2022-09-28,63.75
2022-09-29,80.75
2022-09-30,87.125
2022-10-01,55.25
2022-10-02,42.5
2022-10-03,82.875
2022-10-04,48.875
2022-10-05,61.625
2022-10-06,53.125
2022-10-07,38.25
2022-10-08,51.0
2022-10-09,36.125
2022-10-10,76.5
2022-10-11,78.625
2022-10-12,44.625
2022-10-13,65.875
2022-10-14,61.625
2022-10-15,0.0
2022-10-16,61.625
2022-10-17,63.75
2022-10-18,63.75
2022-10-19,46.75
2022-10-20,34.0
2022-10-21,61.625
2022-10-22,55.25
2022-10-23,72.25
2022-10-24,72.25
2022-10-25,53.125
2022-10-26,68.0
2022-10-27,0.0
2022-10-28,63.75
2022-10-29,42.5
2022-10-30,68.0
2022-10-31,61.625
2022-11-01,80.75
2022-11-02,65.875
2022-11-03,68.0
2022-11-04,65.875
2022-11-05,44.625
2022-11-06,42.5
2022-11-07,72.25
2022-11-08,51.0
2022-11-09,63.75
2022-11-10,53.125
2022-11-11,57.375
2022-11-12,38.25
2022-11-13,40.375
2022-11-14,51.0
2022-11-15,61.625
2022-11-16,38.25
2022-11-17,85.0
2022-11-18,61.625
2022-11-19,0.0
2022-11-20,34.0
2022-11-21,70.125
2022-11-22,57.375
2022-11-23,46.75
2022-11-24,38.25
2022-11-25,31.875
2022-11-26,0.0
2022-11-27,48.875
2022-11-28,74.375
2022-11-29,57.375
2022-11-30,70.125
2022-12-01,82.875
2022-12-02,63.75
2022-12-03,46.75
2022-12-04,0.0
2022-12-05,55.25
2022-12-06,93.5
2022-12-07,108.375
2022-12-08,76.5
2022-12-09,59.5
2022-12-10,0.0
2022-12-11,63.75
2022-12-12,65.875
2022-12-13,78.625
2022-12-14,74.375
2022-12-15,76.5
2022-12-16,44.625
2022-12-17,48.875
2022-12-18,40.375
2022-12-19,36.125
2022-12-20,72.25
2022-12-21,78.625
2022-12-22,48.875
2022-12-23,31.875
2022-12-24,38.25
2022-12-25,0.0
2022-12-26,0.0
2022-12-27,70.125
2022-12-28,104.125
2022-12-29,51.0
2022-12-30,59.5
2022-12-31,42.5
2023-01-01,38.25
