Time,cost
2022-01-01,69.0
2022-01-02,75.0
2022-01-03,78.0
2022-01-04,86.0
2022-01-05,87.0
2022-01-06,68.0
2022-01-07,77.0
2022-01-08,80.0
2022-01-09,80.0
2022-01-10,76.0
2022-01-11,83.0
2022-01-12,80.0
2022-01-13,95.0
2022-01-14,67.0
2022-01-15,77.0
2022-01-16,70.0
2022-01-17,69.0
2022-01-18,71.0
2022-01-19,77.0
2022-01-20,82.0
2022-01-21,76.0
2022-01-22,82.0
2022-01-23,81.0
2022-01-24,100.0
2022-01-25,77.0
2022-01-26,76.0
2022-01-27,78.0
2022-01-28,82.0
2022-01-29,78.0
2022-01-30,79.0
2022-01-31,84.0
2022-02-01,83.0
2022-02-02,86.0
2022-02-03,83.0
2022-02-04,83.0
2022-02-05,81.0
2022-02-06,85.0
2022-02-07,89.0
2022-02-08,89.0
2022-02-09,94.0
2022-02-10,71.0
2022-02-11,83.0
2022-02-12,81.0
2022-02-13,90.0
2022-02-14,92.0
2022-02-15,90.0
2022-02-16,90.0
2022-02-17,88.0
2022-02-18,89.0
2022-02-19,88.0
2022-02-20,91.0
2022-02-21,95.0
2022-02-22,91.0
2022-02-23,91.0
2022-02-24,83.0
2022-02-25,82.0
2022-02-26,86.0
2022-02-27,89.0
2022-02-28,91.0
2022-03-01,88.0
2022-03-02,88.0
2022-03-03,89.0
2022-03-04,87.0
2022-03-05,87.0
2022-03-06,89.0
2022-03-07,95.0
2022-03-08,95.0
2022-03-09,97.0
2022-03-10,94.0
2022-03-11,89.0
2022-03-12,89.0
2022-03-13,85.0
2022-03-14,85.0
2022-03-15,95.0
2022-03-16,96.0
2022-03-17,89.0
2022-03-18,87.0
2022-03-19,86.0
2022-03-20,88.0
2022-03-21,91.0
2022-03-22,90.0
2022-03-23,93.0
2022-03-24,86.0
2022-03-25,86.0
2022-03-26,87.0
2022-03-27,90.0
2022-03-28,88.0
2022-03-29,96.0
2022-03-30,95.0
2022-03-31,92.0
2022-04-01,88.0
2022-04-02,88.0
2022-04-03,90.0
2022-04-04,92.0
2022-04-05,89.0
2022-04-06,95.0
2022-04-07,90.0
2022-04-08,86.0
2022-04-09,85.0
2022-04-10,87.0
2022-04-11,85.0
2022-04-12,86.0
2022-04-13,81.0
2022-04-14,91.0
2022-04-15,89.0
2022-04-16,87.0
2022-04-17,83.0
2022-04-18,96.0
2022-04-19,95.0
2022-04-20,92.0
2022-04-21,93.0
2022-04-22,88.0
2022-04-23,86.0
2022-04-24,88.0
2022-04-25,88.0
2022-04-26,92.0
2022-04-27,91.0
2022-04-28,94.0
2022-04-29,82.0
2022-04-30,83.0
2022-05-01,86.0
2022-05-02,88.0
2022-05-03,90.0
2022-05-04,90.0
2022-05-05,89.0
2022-05-06,82.0
2022-05-07,90.0
2022-05-08,80.0
2022-05-09,90.0
2022-05-10,91.0
2022-05-11,96.0
2022-05-12,87.0
2022-05-13,82.0
2022-05-14,79.0
2022-05-15,81.0
2022-05-16,85.0
2022-05-17,88.0
2022-05-18,87.0
2022-05-19,87.0
2022-05-20,83.0
2022-05-21,82.0
2022-05-22,81.0
2022-05-23,86.0
2022-05-24,84.0
2022-05-25,80.0
2022-05-26,82.0
2022-05-27,77.0
2022-05-28,76.0
2022-05-29,78.0
2022-05-30,80.0
2022-05-31,86.0
2022-06-01,84.0
2022-06-02,82.0
2022-06-03,81.0
2022-06-04,81.0
2022-06-05,81.0
2022-06-06,85.0
2022-06-07,88.0
2022-06-08,89.0
2022-06-09,85.0
2022-06-10,83.0
2022-06-11,78.0
2022-06-12,83.0
2022-06-13,89.0
2022-06-14,81.0
2022-06-15,87.0
2022-06-16,87.0
2022-06-17,80.0
2022-06-18,80.0
2022-06-19,81.0
2022-06-20,84.0
2022-06-21,86.0
2022-06-22,89.0
2022-06-23,87.0
2022-06-24,79.0
2022-06-25,85.0
2022-06-26,83.0
2022-06-27,86.0
2022-06-28,83.0
2022-06-29,77.0
2022-06-30,85.0
2022-07-01,83.0
2022-07-02,80.0
2022-07-03,77.0
2022-07-04,76.0
2022-07-05,84.0
2022-07-06,85.0
2022-07-07,84.0
2022-07-08,84.0
2022-07-09,83.0
2022-07-10,83.0
2022-07-11,90.0
2022-07-12,86.0
2022-07-13,84.0
2022-07-14,88.0
2022-07-15,84.0
2022-07-16,84.0
2022-07-17,87.0
2022-07-18,88.0
2022-07-19,89.0
2022-07-20,89.0
2022-07-21,88.0
2022-07-22,85.0
2022-07-23,85.0
2022-07-24,83.0
2022-07-25,86.0
2022-07-26,92.0
2022-07-27,85.0
2022-07-28,92.0
2022-07-29,88.0
2022-07-30,79.0
2022-07-31,85.0
2022-08-01,85.0
2022-08-02,86.0
2022-08-03,84.0
2022-08-04,85.0
2022-08-05,85.0
2022-08-06,84.0
2022-08-07,84.0
2022-08-08,84.0
2022-08-09,84.0
2022-08-10,84.0
2022-08-11,81.0
2022-08-12,81.0
2022-08-13,76.0
2022-08-14,81.0
2022-08-15,86.0
2022-08-16,83.0
2022-08-17,85.0
2022-08-18,85.0
2022-08-19,79.0
2022-08-20,82.0
2022-08-21,83.0
2022-08-22,84.0
2022-08-23,82.0
2022-08-24,84.0
2022-08-25,85.0
2022-08-26,84.0
2022-08-27,84.0
2022-08-28,82.0
2022-08-29,87.76470588235294
2022-08-30,84.85294117647058
2022-08-31,83.38235294117646
2022-09-01,81.94117647058823
2022-09-02,82.91176470588235
2022-09-03,79.02941176470588
2022-09-04,79.02941176470588
2022-09-05,80.0
2022-09-06,81.94117647058823
2022-09-07,80.97058823529412
2022-09-08,77.08823529411765
2022-09-09,78.05882352941177
2022-09-10,77.08823529411765
2022-09-11,78.05882352941177
2022-09-12,82.91176470588235
2022-09-13,80.97058823529412
2022-09-14,84.85294117647058
2022-09-15,86.79411764705883
2022-09-16,79.02941176470588
2022-09-17,81.94117647058823
2022-09-18,78.05882352941177
2022-09-19,84.35294117647058
2022-09-20,82.91176470588235
2022-09-21,80.97058823529412
2022-09-22,83.38235294117646
2022-09-23,80.0
2022-09-24,76.11764705882354
2022-09-25,80.0
2022-09-26,75.14705882352942
2022-09-27,81.88235294117646
2022-09-28,76.23529411764706
2022-09-29,75.29411764705883
2022-09-30,75.29411764705883
2022-10-01,75.29411764705883
2022-10-02,75.29411764705883
2022-10-03,83.76470588235294
2022-10-04,80.94117647058823
2022-10-05,82.82352941176471
2022-10-06,81.88235294117646
2022-10-07,80.0
2022-10-08,76.23529411764706
2022-10-09,76.23529411764706
2022-10-10,85.6470588235294
2022-10-11,80.94117647058823
2022-10-12,80.94117647058823
2022-10-13,81.88235294117646
2022-10-14,77.17647058823529
2022-10-15,74.3529411764706
2022-10-16,76.23529411764706
2022-10-17,83.76470588235294
2022-10-18,88.47058823529412
2022-10-19,82.82352941176471
2022-10-20,81.88235294117646
2022-10-21,80.94117647058823
2022-10-22,75.29411764705883
2022-10-23,78.11764705882352
2022-10-24,80.0
2022-10-25,80.0
2022-10-26,81.88235294117646
2022-10-27,76.23529411764706
2022-10-28,77.17647058823529
2022-10-29,73.41176470588235
2022-10-30,68.70588235294117
2022-10-31,76.23529411764706
2022-11-01,78.11764705882352
2022-11-02,80.0
2022-11-03,79.05882352941177
2022-11-04,76.23529411764706
2022-11-05,75.29411764705883
2022-11-06,73.41176470588235
2022-11-07,80.94117647058823
2022-11-08,76.23529411764706
2022-11-09,72.47058823529412
2022-11-10,79.05882352941177
2022-11-11,72.47058823529412
2022-11-12,75.29411764705883
2022-11-13,71.52941176470588
2022-11-14,80.0
2022-11-15,79.05882352941177
2022-11-16,80.0
2022-11-17,78.11764705882352
2022-11-18,77.17647058823529
2022-11-19,74.3529411764706
2022-11-20,69.6470588235294
2022-11-21,76.23529411764706
2022-11-22,74.3529411764706
2022-11-23,66.82352941176471
2022-11-24,56.470588235294116
2022-11-25,67.76470588235294
2022-11-26,66.82352941176471
2022-11-27,68.70588235294117
2022-11-28,74.3529411764706
2022-11-29,77.17647058823529
2022-11-30,75.29411764705883
2022-12-01,78.11764705882352
2022-12-02,75.29411764705883
2022-12-03,70.58823529411765
2022-12-04,72.47058823529412
2022-12-05,79.05882352941177
2022-12-06,79.05882352941177
2022-12-07,72.47058823529412
2022-12-08,76.23529411764706
2022-12-09,73.41176470588235
2022-12-10,69.6470588235294
2022-12-11,71.52941176470588
2022-12-12,77.17647058823529
2022-12-13,74.3529411764706
2022-12-14,76.23529411764706
2022-12-15,76.23529411764706
2022-12-16,72.47058823529412
2022-12-17,73.41176470588235
2022-12-18,63.05882352941176
2022-12-19,74.3529411764706
2022-12-20,74.3529411764706
2022-12-21,75.29411764705883
2022-12-22,73.41176470588235
2022-12-23,67.76470588235294
2022-12-24,64.94117647058823
2022-12-25,60.23529411764706
2022-12-26,72.47058823529412
2022-12-27,77.17647058823529
2022-12-28,81.88235294117646
2022-12-29,81.88235294117646
2022-12-30,76.23529411764706
2022-12-31,70.58823529411765
2023-01-01,65.88235294117646
2023-01-02,78.11764705882352
2023-01-03,75.29411764705883
2023-01-04,86.58823529411765
2023-01-05,82.82352941176471
2023-01-06,83.76470588235294
2023-01-07,81.88235294117646
2023-01-08,80.0
2023-01-09,82.82352941176471
2023-01-10,82.82352941176471
2023-01-11,87.52941176470588
2023-01-12,84.70588235294117
2023-01-13,80.94117647058823
2023-01-14,80.94117647058823
2023-01-15,76.23529411764706
2023-01-16,85.6470588235294
2023-01-17,84.70588235294117
2023-01-18,84.70588235294117
2023-01-19,83.76470588235294
2023-01-20,80.0
2023-01-21,80.94117647058823
2023-01-22,78.11764705882352
2023-01-23,85.6470588235294
2023-01-24,87.52941176470588
2023-01-25,85.6470588235294
2023-01-26,85.6470588235294
2023-01-27,82.82352941176471
2023-01-28,81.88235294117646
2023-01-29,80.0
2023-01-30,82.82352941176471
