Time,backer
2022-01-01,48.0
2022-01-02,64.0
2022-01-03,47.0
2022-01-04,62.0
2022-01-05,60.0
2022-01-06,57.0
2022-01-07,61.0
2022-01-08,68.0
2022-01-09,78.0
2022-01-10,63.0
2022-01-11,78.0
2022-01-12,72.0
2022-01-13,87.0
2022-01-14,54.0
2022-01-15,73.0
2022-01-16,66.0
2022-01-17,69.0
2022-01-18,72.0
2022-01-19,69.0
2022-01-20,69.0
2022-01-21,72.0
2022-01-22,82.0
2022-01-23,81.0
2022-01-24,100.0
2022-01-25,57.0
2022-01-26,68.0
2022-01-27,68.0
2022-01-28,55.0
2022-01-29,65.0
2022-01-30,61.0
2022-01-31,75.0
2022-02-01,68.0
2022-02-02,69.0
2022-02-03,62.0
2022-02-04,64.0
2022-02-05,57.0
2022-02-06,66.0
2022-02-07,67.0
2022-02-08,70.0
2022-02-09,55.0
2022-02-10,60.0
2022-02-11,64.0
2022-02-12,62.0
2022-02-13,73.0
2022-02-14,62.0
2022-02-15,70.0
2022-02-16,67.0
2022-02-17,63.0
2022-02-18,59.0
2022-02-19,80.0
2022-02-20,74.0
2022-02-21,78.0
2022-02-22,78.0
2022-02-23,81.0
2022-02-24,68.0
2022-02-25,62.0
2022-02-26,57.0
2022-02-27,58.0
2022-02-28,71.0
2022-03-01,72.0
2022-03-02,67.0
2022-03-03,64.0
2022-03-04,69.0
2022-03-05,69.0
2022-03-06,67.0
2022-03-07,71.0
2022-03-08,65.0
2022-03-09,74.0
2022-03-10,63.0
2022-03-11,68.0
2022-03-12,55.0
2022-03-13,61.0
2022-03-14,57.0
2022-03-15,77.0
2022-03-16,63.0
2022-03-17,60.0
2022-03-18,67.0
2022-03-19,73.0
2022-03-20,71.0
2022-03-21,77.0
2022-03-22,59.0
2022-03-23,65.0
2022-03-24,63.0
2022-03-25,60.0
2022-03-26,67.0
2022-03-27,77.0
2022-03-28,59.0
2022-03-29,59.0
2022-03-30,62.0
2022-03-31,60.0
2022-04-01,62.0
2022-04-02,69.0
2022-04-03,60.0
2022-04-04,72.0
2022-04-05,64.0
2022-04-06,57.0
2022-04-07,63.0
2022-04-08,56.0
2022-04-09,67.0
2022-04-10,68.0
2022-04-11,66.0
2022-04-12,72.0
2022-04-13,56.0
2022-04-14,71.0
2022-04-15,63.0
2022-04-16,55.0
2022-04-17,48.0
2022-04-18,51.0
2022-04-19,60.0
2022-04-20,64.0
2022-04-21,66.0
2022-04-22,58.0
2022-04-23,54.0
2022-04-24,62.0
2022-04-25,74.0
2022-04-26,71.0
2022-04-27,64.0
2022-04-28,64.0
2022-04-29,63.0
2022-04-30,70.0
2022-05-01,59.0
2022-05-02,64.0
2022-05-03,62.0
2022-05-04,67.0
2022-05-05,70.0
2022-05-06,59.0
2022-05-07,62.0
2022-05-08,49.0
2022-05-09,70.0
2022-05-10,73.0
2022-05-11,62.0
2022-05-12,70.0
2022-05-13,50.0
2022-05-14,54.0
2022-05-15,56.0
2022-05-16,62.0
2022-05-17,62.0
2022-05-18,74.0
2022-05-19,58.0
2022-05-20,54.0
2022-05-21,55.0
2022-05-22,57.0
2022-05-23,57.0
2022-05-24,64.0
2022-05-25,46.0
2022-05-26,59.0
2022-05-27,50.0
2022-05-28,58.0
2022-05-29,54.0
2022-05-30,58.0
2022-05-31,66.0
2022-06-01,62.0
2022-06-02,60.0
2022-06-03,52.0
2022-06-04,53.0
2022-06-05,45.0
2022-06-06,59.0
2022-06-07,58.0
2022-06-08,64.0
2022-06-09,66.0
2022-06-10,60.0
2022-06-11,65.0
2022-06-12,64.0
2022-06-13,63.0
2022-06-14,59.0
2022-06-15,53.0
2022-06-16,57.0
2022-06-17,54.0
2022-06-18,54.0
2022-06-19,58.0
2022-06-20,71.0
2022-06-21,67.0
2022-06-22,76.0
2022-06-23,54.0
2022-06-24,50.0
2022-06-25,51.0
2022-06-26,46.0
2022-06-27,56.0
2022-06-28,54.0
2022-06-29,62.0
2022-06-30,63.0
2022-07-01,60.0
2022-07-02,57.0
2022-07-03,59.0
2022-07-04,45.0
2022-07-05,59.0
2022-07-06,67.0
2022-07-07,59.0
2022-07-08,63.0
2022-07-09,46.0
2022-07-10,51.0
2022-07-11,65.0
2022-07-12,63.0
2022-07-13,68.0
2022-07-14,62.0
2022-07-15,54.0
2022-07-16,62.0
2022-07-17,45.0
2022-07-18,62.0
2022-07-19,71.0
2022-07-20,65.0
2022-07-21,62.0
2022-07-22,61.0
2022-07-23,52.0
2022-07-24,54.0
2022-07-25,63.0
2022-07-26,67.0
2022-07-27,60.0
2022-07-28,55.0
2022-07-29,59.0
2022-07-30,54.0
2022-07-31,67.0
2022-08-01,62.0
2022-08-02,70.0
2022-08-03,74.0
2022-08-04,68.0
2022-08-05,58.0
2022-08-06,52.0
2022-08-07,60.0
2022-08-08,72.0
2022-08-09,73.0
2022-08-10,63.0
2022-08-11,68.0
2022-08-12,63.0
2022-08-13,52.0
2022-08-14,59.0
2022-08-15,61.0
2022-08-16,58.0
2022-08-17,67.0
2022-08-18,73.0
2022-08-19,77.0
2022-08-20,70.0
2022-08-21,57.0
2022-08-22,67.0
2022-08-23,65.0
2022-08-24,78.0
2022-08-25,60.0
2022-08-26,68.0
2022-08-27,71.0
2022-08-28,63.0
2022-08-29,76.13157894736842
2022-08-30,63.91447368421053
2022-08-31,66.15789473684211
2022-09-01,63.0
2022-09-02,64.82894736842105
2022-09-03,71.14473684210526
2022-09-04,65.24342105263159
2022-09-05,69.31578947368422
2022-09-06,65.24342105263159
2022-09-07,70.73026315789474
2022-09-08,63.91447368421053
2022-09-09,58.01315789473684
2022-09-10,71.64473684210526
2022-09-11,70.73026315789474
2022-09-12,67.07236842105263
2022-09-13,64.82894736842105
2022-09-14,69.31578947368422
2022-09-15,69.81578947368422
2022-09-16,68.90131578947368
2022-09-17,64.82894736842105
2022-09-18,72.97368421052632
2022-09-19,67.98684210526315
2022-09-20,75.21710526315789
2022-09-21,63.0
2022-09-22,66.15789473684211
2022-09-23,65.74342105263159
2022-09-24,63.41447368421053
2022-09-25,65.24342105263159
2022-09-26,77.04605263157895
2022-09-27,68.80263157894737
2022-09-28,63.828947368421055
2022-09-29,60.51315789473684
2022-09-30,57.19736842105263
2022-10-01,72.11842105263158
2022-10-02,72.11842105263158
2022-10-03,58.85526315789474
2022-10-04,67.14473684210526
2022-10-05,61.3421052631579
2022-10-06,61.3421052631579
2022-10-07,59.684210526315795
2022-10-08,76.26315789473685
2022-10-09,75.4342105263158
2022-10-10,66.31578947368422
2022-10-11,52.223684210526315
2022-10-12,61.3421052631579
2022-10-13,72.94736842105263
2022-10-14,81.23684210526316
2022-10-15,58.85526315789474
2022-10-16,64.65789473684211
2022-10-17,68.80263157894737
2022-10-18,60.51315789473684
2022-10-19,61.3421052631579
2022-10-20,58.026315789473685
2022-10-21,52.223684210526315
2022-10-22,64.65789473684211
2022-10-23,64.65789473684211
2022-10-24,71.28947368421053
2022-10-25,61.3421052631579
2022-10-26,59.684210526315795
2022-10-27,57.19736842105263
2022-10-28,63.0
2022-10-29,60.51315789473684
2022-10-30,57.19736842105263
2022-10-31,60.51315789473684
2022-11-01,61.3421052631579
2022-11-02,61.3421052631579
2022-11-03,58.85526315789474
2022-11-04,67.14473684210526
2022-11-05,60.51315789473684
2022-11-06,64.65789473684211
2022-11-07,67.14473684210526
2022-11-08,62.17105263157895
2022-11-09,67.14473684210526
2022-11-10,57.19736842105263
2022-11-11,53.05263157894737
2022-11-12,57.19736842105263
2022-11-13,66.31578947368422
2022-11-14,51.39473684210527
2022-11-15,54.71052631578947
2022-11-16,54.71052631578947
2022-11-17,60.51315789473684
2022-11-18,53.881578947368425
2022-11-19,53.881578947368425
2022-11-20,67.14473684210526
2022-11-21,56.36842105263158
2022-11-22,53.881578947368425
2022-11-23,53.881578947368425
2022-11-24,46.421052631578945
2022-11-25,37.30263157894737
2022-11-26,49.73684210526316
2022-11-27,48.078947368421055
2022-11-28,46.421052631578945
2022-11-29,50.56578947368421
2022-11-30,49.73684210526316
2022-12-01,58.026315789473685
2022-12-02,57.19736842105263
2022-12-03,49.73684210526316
2022-12-04,48.90789473684211
2022-12-05,59.684210526315795
2022-12-06,64.65789473684211
2022-12-07,58.026315789473685
2022-12-08,44.76315789473684
2022-12-09,59.684210526315795
2022-12-10,48.90789473684211
2022-12-11,53.881578947368425
2022-12-12,43.93421052631579
2022-12-13,48.078947368421055
2022-12-14,60.51315789473684
2022-12-15,48.078947368421055
2022-12-16,63.0
2022-12-17,61.3421052631579
2022-12-18,42.276315789473685
2022-12-19,41.44736842105263
2022-12-20,57.19736842105263
2022-12-21,43.10526315789474
2022-12-22,58.026315789473685
2022-12-23,39.78947368421053
2022-12-24,39.78947368421053
2022-12-25,30.67105263157895
2022-12-26,53.881578947368425
2022-12-27,60.51315789473684
2022-12-28,63.828947368421055
2022-12-29,49.73684210526316
2022-12-30,57.19736842105263
2022-12-31,57.19736842105263
2023-01-01,53.881578947368425
2023-01-02,55.53947368421053
2023-01-03,60.51315789473684
2023-01-04,58.026315789473685
2023-01-05,52.223684210526315
2023-01-06,59.684210526315795
2023-01-07,59.684210526315795
2023-01-08,82.89473684210526
2023-01-09,58.85526315789474
2023-01-10,57.19736842105263
2023-01-11,56.36842105263158
2023-01-12,64.65789473684211
2023-01-13,64.65789473684211
2023-01-14,67.14473684210526
2023-01-15,69.63157894736842
2023-01-16,54.71052631578947
2023-01-17,64.65789473684211
2023-01-18,59.684210526315795
2023-01-19,58.85526315789474
2023-01-20,54.71052631578947
2023-01-21,61.3421052631579
2023-01-22,63.828947368421055
2023-01-23,65.48684210526316
2023-01-24,64.65789473684211
2023-01-25,58.026315789473685
2023-01-26,60.51315789473684
2023-01-27,53.881578947368425
2023-01-28,59.684210526315795
2023-01-29,57.19736842105263
2023-01-30,53.881578947368425
2023-01-31,58.026315789473685
2023-02-01,63.828947368421055
2023-02-02,63.828947368421055
2023-02-03,62.17105263157895
2023-02-04,58.026315789473685
