Time,charity
2022-01-01,36.0
2022-01-02,28.0
2022-01-03,33.0
2022-01-04,40.0
2022-01-05,39.0
2022-01-06,26.0
2022-01-07,33.0
2022-01-08,27.0
2022-01-09,28.0
2022-01-10,31.0
2022-01-11,35.0
2022-01-12,35.0
2022-01-13,37.0
2022-01-14,27.0
2022-01-15,28.0
2022-01-16,24.0
2022-01-17,34.0
2022-01-18,33.0
2022-01-19,33.0
2022-01-20,33.0
2022-01-21,33.0
2022-01-22,29.0
2022-01-23,29.0
2022-01-24,43.0
2022-01-25,36.0
2022-01-26,34.0
2022-01-27,36.0
2022-01-28,36.0
2022-01-29,34.0
2022-01-30,37.0
2022-01-31,37.0
2022-02-01,39.0
2022-02-02,36.0
2022-02-03,37.0
2022-02-04,35.0
2022-02-05,34.0
2022-02-06,36.0
2022-02-07,41.0
2022-02-08,40.0
2022-02-09,40.0
2022-02-10,32.0
2022-02-11,34.0
2022-02-12,31.0
2022-02-13,34.0
2022-02-14,37.0
2022-02-15,41.0
2022-02-16,50.0
2022-02-17,40.0
2022-02-18,39.0
2022-02-19,32.0
2022-02-20,32.0
2022-02-21,39.0
2022-02-22,37.0
2022-02-23,39.0
2022-02-24,39.0
2022-02-25,41.0
2022-02-26,43.0
2022-02-27,47.0
2022-02-28,50.0
2022-03-01,50.0
2022-03-02,48.0
2022-03-03,51.0
2022-03-04,50.0
2022-03-05,46.0
2022-03-06,44.0
2022-03-07,51.0
2022-03-08,51.0
2022-03-09,51.0
2022-03-10,48.0
2022-03-11,45.0
2022-03-12,40.0
2022-03-13,41.0
2022-03-14,43.0
2022-03-15,45.0
2022-03-16,43.0
2022-03-17,42.0
2022-03-18,37.0
2022-03-19,37.0
2022-03-20,37.0
2022-03-21,40.0
2022-03-22,44.0
2022-03-23,40.0
2022-03-24,43.0
2022-03-25,42.0
2022-03-26,36.0
2022-03-27,41.0
2022-03-28,42.0
2022-03-29,42.0
2022-03-30,41.0
2022-03-31,42.0
2022-04-01,42.0
2022-04-02,36.0
2022-04-03,37.0
2022-04-04,45.0
2022-04-05,43.0
2022-04-06,44.0
2022-04-07,42.0
2022-04-08,42.0
2022-04-09,36.0
2022-04-10,39.0
2022-04-11,41.0
2022-04-12,40.0
2022-04-13,42.0
2022-04-14,42.0
2022-04-15,39.0
2022-04-16,39.0
2022-04-17,36.0
2022-04-18,46.0
2022-04-19,45.0
2022-04-20,41.0
2022-04-21,40.0
2022-04-22,39.0
2022-04-23,33.0
2022-04-24,35.0
2022-04-25,38.0
2022-04-26,42.0
2022-04-27,40.0
2022-04-28,44.0
2022-04-29,36.0
2022-04-30,34.0
2022-05-01,33.0
2022-05-02,38.0
2022-05-03,41.0
2022-05-04,45.0
2022-05-05,42.0
2022-05-06,34.0
2022-05-07,32.0
2022-05-08,30.0
2022-05-09,38.0
2022-05-10,38.0
2022-05-11,38.0
2022-05-12,37.0
2022-05-13,33.0
2022-05-14,29.0
2022-05-15,30.0
2022-05-16,37.0
2022-05-17,37.0
2022-05-18,37.0
2022-05-19,36.0
2022-05-20,34.0
2022-05-21,30.0
2022-05-22,30.0
2022-05-23,41.0
2022-05-24,38.0
2022-05-25,39.0
2022-05-26,32.0
2022-05-27,32.0
2022-05-28,30.0
2022-05-29,26.0
2022-05-30,28.0
2022-05-31,33.0
2022-06-01,37.0
2022-06-02,38.0
2022-06-03,36.0
2022-06-04,32.0
2022-06-05,36.0
2022-06-06,34.0
2022-06-07,36.0
2022-06-08,36.0
2022-06-09,33.0
2022-06-10,32.0
2022-06-11,28.0
2022-06-12,30.0
2022-06-13,32.0
2022-06-14,33.0
2022-06-15,32.0
2022-06-16,32.0
2022-06-17,30.0
2022-06-18,28.0
2022-06-19,24.0
2022-06-20,30.0
2022-06-21,34.0
2022-06-22,33.0
2022-06-23,32.0
2022-06-24,31.0
2022-06-25,28.0
2022-06-26,29.0
2022-06-27,32.0
2022-06-28,33.0
2022-06-29,33.0
2022-06-30,32.0
2022-07-01,30.0
2022-07-02,24.0
2022-07-03,26.0
2022-07-04,25.0
2022-07-05,31.0
2022-07-06,31.0
2022-07-07,31.0
2022-07-08,31.0
2022-07-09,29.0
