Time,nobleman
2022-01-01,24.0
2022-01-02,38.0
2022-01-03,0.0
2022-01-04,31.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,34.0
2022-01-09,0.0
2022-01-10,20.0
2022-01-11,21.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,32.0
2022-01-15,20.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,29.0
2022-01-19,25.0
2022-01-20,27.0
2022-01-21,18.0
2022-01-22,0.0
2022-01-23,19.0
2022-01-24,39.0
2022-01-25,30.0
2022-01-26,22.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,26.0
2022-01-30,0.0
2022-01-31,25.0
2022-02-01,0.0
2022-02-02,28.0
2022-02-03,25.0
2022-02-04,28.0
2022-02-05,30.0
2022-02-06,0.0
2022-02-07,21.0
2022-02-08,28.0
2022-02-09,22.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,21.0
2022-02-13,0.0
2022-02-14,17.0
2022-02-15,23.0
2022-02-16,29.0
2022-02-17,16.0
2022-02-18,19.0
2022-02-19,0.0
2022-02-20,29.0
2022-02-21,22.0
2022-02-22,25.0
2022-02-23,17.0
2022-02-24,0.0
2022-02-25,15.0
2022-02-26,0.0
2022-02-27,23.0
2022-02-28,33.0
2022-03-01,22.0
2022-03-02,20.0
2022-03-03,30.0
2022-03-04,17.0
2022-03-05,22.0
2022-03-06,25.0
2022-03-07,24.0
2022-03-08,26.0
2022-03-09,25.0
2022-03-10,21.0
2022-03-11,22.0
2022-03-12,29.0
2022-03-13,23.0
2022-03-14,34.0
2022-03-15,25.0
2022-03-16,23.0
2022-03-17,30.0
2022-03-18,35.0
2022-03-19,16.0
2022-03-20,0.0
2022-03-21,21.0
2022-03-22,23.0
2022-03-23,29.0
2022-03-24,28.0
2022-03-25,22.0
2022-03-26,28.0
2022-03-27,37.0
2022-03-28,24.0
2022-03-29,23.0
2022-03-30,19.0
2022-03-31,41.0
2022-04-01,33.0
2022-04-02,23.0
2022-04-03,32.0
2022-04-04,30.0
2022-04-05,27.0
2022-04-06,33.0
2022-04-07,28.0
2022-04-08,37.0
2022-04-09,100.0
2022-04-10,51.0
2022-04-11,24.0
2022-04-12,28.0
2022-04-13,15.0
2022-04-14,23.0
2022-04-15,28.0
2022-04-16,16.0
2022-04-17,27.0
2022-04-18,24.0
2022-04-19,18.0
2022-04-20,25.0
2022-04-21,35.0
2022-04-22,15.0
2022-04-23,25.0
2022-04-24,26.0
2022-04-25,21.0
2022-04-26,26.0
2022-04-27,24.0
2022-04-28,34.0
2022-04-29,21.0
2022-04-30,25.0
2022-05-01,22.0
2022-05-02,21.0
2022-05-03,18.0
2022-05-04,20.0
2022-05-05,26.0
2022-05-06,29.0
2022-05-07,19.0
2022-05-08,20.0
2022-05-09,17.0
2022-05-10,23.0
2022-05-11,27.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,19.0
2022-05-15,32.0
2022-05-16,0.0
2022-05-17,22.0
2022-05-18,21.0
2022-05-19,19.0
2022-05-20,30.0
2022-05-21,0.0
2022-05-22,21.0
2022-05-23,20.0
2022-05-24,0.0
2022-05-25,17.0
2022-05-26,23.0
2022-05-27,0.0
2022-05-28,18.0
2022-05-29,0.0
2022-05-30,30.0
2022-05-31,17.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,20.0
2022-06-04,30.0
2022-06-05,0.0
2022-06-06,19.0
2022-06-07,25.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,19.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,18.0
2022-06-15,17.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,21.0
2022-06-19,0.0
2022-06-20,17.0
2022-06-21,25.0
2022-06-22,0.0
2022-06-23,18.0
2022-06-24,18.0
2022-06-25,0.0
2022-06-26,0.0
2022-06-27,23.0
2022-06-28,18.0
2022-06-29,20.0
2022-06-30,24.0
2022-07-01,25.0
2022-07-02,18.0
2022-07-03,0.0
2022-07-04,31.0
2022-07-05,20.0
2022-07-06,24.0
2022-07-07,16.0
2022-07-08,0.0
2022-07-09,19.0
2022-07-10,38.0
2022-07-11,18.0
2022-07-12,20.0
2022-07-13,16.0
2022-07-14,17.0
2022-07-15,19.0
2022-07-16,20.0
2022-07-17,0.0
2022-07-18,22.0
2022-07-19,21.0
2022-07-20,21.0
2022-07-21,0.0
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,23.0
2022-07-25,0.0
2022-07-26,25.0
2022-07-27,0.0
2022-07-28,38.0
2022-07-29,22.0
2022-07-30,19.0
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,18.0
2022-08-03,26.0
2022-08-04,34.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,23.0
2022-08-09,26.0
2022-08-10,18.0
2022-08-11,23.0
2022-08-12,0.0
2022-08-13,0.0
2022-08-14,26.0
2022-08-15,16.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,21.0
2022-08-19,0.0
2022-08-20,18.0
2022-08-21,22.0
2022-08-22,0.0
2022-08-23,25.0
2022-08-24,17.0
2022-08-25,23.0
2022-08-26,21.0
2022-08-27,24.0
2022-08-28,0.0
2022-08-29,20.85942923254917
2022-08-30,21.173351330505206
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,26.68472811415349
2022-09-05,0.0
2022-09-06,24.242961820285384
2022-09-07,16.975896644812956
2022-09-08,0.0
2022-09-09,22.801195526417278
2022-09-10,21.987273428461243
2022-09-11,23.115117624373312
2022-09-12,15.034130350944851
2022-09-13,15.848052448900887
2022-09-14,29.754338603933668
2022-09-15,22.801195526417278
2022-09-16,28.126494408021596
2022-09-17,37.02140377940609
2022-09-18,19.2315850366371
2022-09-19,23.92903972232935
2022-09-20,28.126494408021596
2022-09-21,28.126494408021596
2022-09-22,29.254338603933668
2022-09-23,30.068260701889702
2022-09-24,19.7315850366371
2022-09-25,0.0
2022-09-26,23.92903972232935
2022-09-27,19.4631700732742
2022-09-28,25.11376783648284
2022-09-29,16.951793289625915
2022-09-30,18.83532587736213
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,31.39220979560355
2022-10-04,20.09101426918627
2022-10-05,16.323949093713846
2022-10-06,28.252988816043192
2022-10-07,23.230235248746627
2022-10-08,16.951793289625915
2022-10-09,21.34670266101041
2022-10-10,26.36945622830698
2022-10-11,18.83532587736213
2022-10-12,26.997300424219052
2022-10-13,31.39220979560355
2022-10-14,30.136521403779405
2022-10-15,24.485923640570768
2022-10-16,0.0
2022-10-17,25.11376783648284
2022-10-18,15.696104897801774
2022-10-19,23.858079444658696
2022-10-20,25.11376783648284
2022-10-21,20.718858465098343
2022-10-22,0.0
2022-10-23,25.11376783648284
2022-10-24,0.0
2022-10-25,17.579637485537987
2022-10-26,22.602391052834555
2022-10-27,25.11376783648284
2022-10-28,38.29849595063633
2022-10-29,22.602391052834555
2022-10-30,21.974546856922483
2022-10-31,35.15927497107597
2022-11-01,24.485923640570768
2022-11-02,19.4631700732742
2022-11-03,30.764365599691477
2022-11-04,23.230235248746627
2022-11-05,23.230235248746627
2022-11-06,0.0
2022-11-07,19.4631700732742
2022-11-08,19.4631700732742
2022-11-09,27.625144620131124
2022-11-10,24.485923640570768
2022-11-11,16.951793289625915
2022-11-12,0.0
2022-11-13,33.27574238333976
2022-11-14,33.90358657925183
2022-11-15,33.27574238333976
2022-11-16,25.11376783648284
2022-11-17,30.764365599691477
2022-11-18,28.880833011955264
2022-11-19,0.0
2022-11-20,0.0
2022-11-21,25.11376783648284
2022-11-22,21.974546856922483
2022-11-23,20.718858465098343
2022-11-24,0.0
2022-11-25,20.718858465098343
2022-11-26,21.34670266101041
2022-11-27,32.02005399151562
2022-11-28,30.136521403779405
2022-11-29,25.741612032394908
2022-11-30,24.485923640570768
2022-12-01,18.83532587736213
2022-12-02,35.15927497107597
2022-12-03,23.858079444658696
2022-12-04,28.880833011955264
2022-12-05,19.4631700732742
2022-12-06,30.136521403779405
2022-12-07,21.34670266101041
2022-12-08,20.09101426918627
2022-12-09,29.508677207867336
2022-12-10,17.579637485537987
2022-12-11,0.0
2022-12-12,0.0
2022-12-13,0.0
2022-12-14,26.36945622830698
2022-12-15,25.11376783648284
2022-12-16,24.485923640570768
2022-12-17,20.718858465098343
2022-12-18,28.252988816043192
2022-12-19,20.09101426918627
2022-12-20,26.997300424219052
2022-12-21,28.252988816043192
2022-12-22,17.579637485537987
2022-12-23,0.0
2022-12-24,23.230235248746627
2022-12-25,21.34670266101041
2022-12-26,0.0
2022-12-27,0.0
2022-12-28,30.136521403779405
2022-12-29,0.0
2022-12-30,17.579637485537987
2022-12-31,18.20748168145006
2023-01-01,0.0
2023-01-02,26.36945622830698
2023-01-03,25.11376783648284
2023-01-04,48.971847281141535
2023-01-05,40.18202853837254
2023-01-06,25.741612032394908
2023-01-07,16.951793289625915
2023-01-08,0.0
2023-01-09,20.718858465098343
2023-01-10,26.36945622830698
2023-01-11,23.230235248746627
2023-01-12,0.0
2023-01-13,29.508677207867336
2023-01-14,34.531430775163905
2023-01-15,0.0
2023-01-16,19.4631700732742
2023-01-17,24.485923640570768
2023-01-18,32.64789818742769
2023-01-19,25.741612032394908
2023-01-20,26.997300424219052
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,16.323949093713846
2023-01-24,23.230235248746627
2023-01-25,22.602391052834555
2023-01-26,0.0
2023-01-27,15.068260701889702
2023-01-28,24.485923640570768
2023-01-29,23.230235248746627
2023-01-30,29.508677207867336
2023-01-31,48.971847281141535
2023-02-01,62.7844195912071
2023-02-02,29.508677207867336
2023-02-03,33.27574238333976
2023-02-04,45.20478210566911
2023-02-05,49.599691477053604
2023-02-06,40.18202853837254
2023-02-07,33.27574238333976
2023-02-08,27.625144620131124
