Time,equity
2022-01-01,32.0
2022-01-02,38.0
2022-01-03,62.0
2022-01-04,82.0
2022-01-05,80.0
2022-01-06,62.0
2022-01-07,66.0
2022-01-08,44.0
2022-01-09,40.0
2022-01-10,65.0
2022-01-11,83.0
2022-01-12,84.0
2022-01-13,98.0
2022-01-14,66.0
2022-01-15,47.0
2022-01-16,40.0
2022-01-17,54.0
2022-01-18,70.0
2022-01-19,80.0
2022-01-20,82.0
2022-01-21,80.0
2022-01-22,53.0
2022-01-23,52.0
2022-01-24,100.0
2022-01-25,78.0
2022-01-26,81.0
2022-01-27,84.0
2022-01-28,78.0
2022-01-29,54.0
2022-01-30,52.0
2022-01-31,85.0
2022-02-01,97.0
2022-02-02,86.0
2022-02-03,89.0
2022-02-04,76.0
2022-02-05,56.0
2022-02-06,54.0
2022-02-07,83.0
2022-02-08,93.0
2022-02-09,91.0
2022-02-10,84.0
2022-02-11,85.0
2022-02-12,53.0
2022-02-13,52.0
2022-02-14,73.0
2022-02-15,84.0
2022-02-16,85.0
2022-02-17,96.0
2022-02-18,75.0
2022-02-19,55.0
2022-02-20,55.0
2022-02-21,73.0
2022-02-22,80.0
2022-02-23,93.0
2022-02-24,77.0
2022-02-25,69.0
2022-02-26,51.0
2022-02-27,55.0
2022-02-28,86.0
2022-03-01,85.0
2022-03-02,78.0
2022-03-03,83.0
2022-03-04,70.0
2022-03-05,53.0
2022-03-06,53.0
2022-03-07,74.0
2022-03-08,83.0
2022-03-09,84.0
2022-03-10,76.0
2022-03-11,73.0
2022-03-12,54.0
2022-03-13,53.0
2022-03-14,77.0
2022-03-15,76.0
2022-03-16,78.0
2022-03-17,75.0
2022-03-18,78.0
2022-03-19,52.0
2022-03-20,51.0
2022-03-21,83.0
2022-03-22,80.0
2022-03-23,84.0
2022-03-24,80.0
2022-03-25,74.0
2022-03-26,52.0
2022-03-27,66.0
2022-03-28,80.0
2022-03-29,86.0
2022-03-30,85.0
2022-03-31,90.0
2022-04-01,78.0
2022-04-02,56.0
2022-04-03,55.0
2022-04-04,84.0
2022-04-05,86.0
2022-04-06,92.0
2022-04-07,83.0
2022-04-08,78.0
2022-04-09,59.0
2022-04-10,59.0
2022-04-11,78.0
2022-04-12,82.0
2022-04-13,82.0
2022-04-14,88.0
2022-04-15,72.0
2022-04-16,53.0
2022-04-17,55.0
2022-04-18,91.0
2022-04-19,94.0
2022-04-20,90.0
2022-04-21,90.0
2022-04-22,73.0
2022-04-23,55.0
2022-04-24,60.0
2022-04-25,83.0
2022-04-26,99.0
2022-04-27,86.0
2022-04-28,89.0
2022-04-29,68.0
2022-04-30,54.0
2022-05-01,53.0
2022-05-02,87.0
2022-05-03,91.0
2022-05-04,90.0
2022-05-05,87.0
2022-05-06,77.0
2022-05-07,54.0
2022-05-08,46.0
2022-05-09,78.0
2022-05-10,81.0
2022-05-11,90.0
2022-05-12,79.0
2022-05-13,71.0
2022-05-14,44.0
