Time,cheap
2022-01-01,67.0
2022-01-02,79.0
2022-01-03,73.0
2022-01-04,80.0
2022-01-05,79.0
2022-01-06,59.0
2022-01-07,74.0
2022-01-08,79.0
2022-01-09,79.0
2022-01-10,73.0
2022-01-11,73.0
2022-01-12,73.0
2022-01-13,85.0
2022-01-14,62.0
2022-01-15,75.0
2022-01-16,66.0
2022-01-17,69.0
2022-01-18,64.0
2022-01-19,70.0
2022-01-20,70.0
2022-01-21,72.0
2022-01-22,79.0
2022-01-23,80.0
2022-01-24,92.0
2022-01-25,67.0
2022-01-26,66.0
2022-01-27,67.0
2022-01-28,73.0
2022-01-29,82.0
2022-01-30,79.0
2022-01-31,76.0
2022-02-01,75.0
2022-02-02,77.0
2022-02-03,84.0
2022-02-04,88.0
2022-02-05,86.0
2022-02-06,83.0
2022-02-07,81.0
2022-02-08,83.0
2022-02-09,80.0
2022-02-10,72.0
2022-02-11,74.0
2022-02-12,81.0
2022-02-13,78.0
2022-02-14,74.0
2022-02-15,79.0
2022-02-16,83.0
2022-02-17,87.0
2022-02-18,90.0
2022-02-19,94.0
2022-02-20,96.0
2022-02-21,90.0
2022-02-22,86.0
2022-02-23,93.0
2022-02-24,87.0
2022-02-25,89.0
2022-02-26,94.0
2022-02-27,94.0
2022-02-28,87.0
2022-03-01,88.0
2022-03-02,89.0
2022-03-03,98.0
2022-03-04,95.0
2022-03-05,98.0
2022-03-06,99.0
2022-03-07,97.0
2022-03-08,95.0
2022-03-09,95.0
2022-03-10,94.0
2022-03-11,95.0
2022-03-12,100.0
2022-03-13,99.0
2022-03-14,93.0
2022-03-15,94.0
2022-03-16,96.0
2022-03-17,92.0
2022-03-18,90.0
2022-03-19,94.0
2022-03-20,95.0
2022-03-21,89.0
2022-03-22,87.0
2022-03-23,92.0
2022-03-24,93.0
2022-03-25,86.0
2022-03-26,86.0
2022-03-27,90.0
2022-03-28,77.0
2022-03-29,80.0
2022-03-30,91.0
2022-03-31,88.0
2022-04-01,87.0
2022-04-02,93.0
2022-04-03,89.0
2022-04-04,83.0
2022-04-05,80.0
2022-04-06,83.0
2022-04-07,79.0
2022-04-08,79.0
2022-04-09,90.0
2022-04-10,88.0
2022-04-11,79.0
2022-04-12,76.0
2022-04-13,76.0
2022-04-14,83.0
2022-04-15,82.0
2022-04-16,86.0
2022-04-17,80.0
2022-04-18,81.0
2022-04-19,79.0
2022-04-20,79.0
2022-04-21,79.0
2022-04-22,80.0
2022-04-23,86.0
2022-04-24,86.0
2022-04-25,77.0
2022-04-26,78.0
2022-04-27,86.0
2022-04-28,78.0
2022-04-29,81.0
2022-04-30,91.0
2022-05-01,89.0
2022-05-02,81.0
2022-05-03,82.0
2022-05-04,80.0
2022-05-05,80.0
2022-05-06,73.0
2022-05-07,90.0
2022-05-08,83.0
2022-05-09,80.0
2022-05-10,79.0
2022-05-11,84.0
2022-05-12,82.0
2022-05-13,82.0
2022-05-14,88.0
2022-05-15,89.0
2022-05-16,82.0
2022-05-17,80.0
2022-05-18,84.0
2022-05-19,80.0
2022-05-20,81.0
2022-05-21,93.0
2022-05-22,87.0
2022-05-23,79.0
2022-05-24,80.0
2022-05-25,78.0
2022-05-26,82.0
2022-05-27,81.0
2022-05-28,81.0
2022-05-29,86.0
2022-05-30,86.0
2022-05-31,80.0
2022-06-01,78.0
2022-06-02,83.0
2022-06-03,83.0
2022-06-04,95.0
2022-06-05,88.0
2022-06-06,84.0
2022-06-07,86.0
2022-06-08,87.0
2022-06-09,91.0
2022-06-10,86.0
2022-06-11,96.0
2022-06-12,95.0
2022-06-13,89.0
2022-06-14,88.0
2022-06-15,83.0
2022-06-16,84.0
2022-06-17,85.0
2022-06-18,85.0
2022-06-19,92.0
2022-06-20,94.0
2022-06-21,85.0
2022-06-22,85.0
2022-06-23,84.0
2022-06-24,80.0
2022-06-25,87.0
2022-06-26,94.0
2022-06-27,86.0
2022-06-28,81.0
2022-06-29,83.0
2022-06-30,82.0
2022-07-01,87.0
2022-07-02,94.0
2022-07-03,93.0
2022-07-04,81.0
2022-07-05,77.0
2022-07-06,89.0
2022-07-07,88.0
2022-07-08,87.0
2022-07-09,87.0
2022-07-10,89.0
2022-07-11,86.0
2022-07-12,90.0
2022-07-13,88.0
2022-07-14,85.0
2022-07-15,85.0
2022-07-16,89.0
2022-07-17,95.0
2022-07-18,87.0
2022-07-19,90.0
2022-07-20,88.0
2022-07-21,84.0
2022-07-22,83.0
2022-07-23,93.0
2022-07-24,94.0
2022-07-25,86.0
2022-07-26,84.0
2022-07-27,82.0
2022-07-28,80.0
2022-07-29,86.0
2022-07-30,90.0
2022-07-31,91.0
2022-08-01,84.0
2022-08-02,88.0
2022-08-03,91.0
2022-08-04,82.0
2022-08-05,84.0
2022-08-06,94.0
2022-08-07,88.0
2022-08-08,83.0
2022-08-09,86.0
2022-08-10,79.0
2022-08-11,81.0
2022-08-12,82.0
2022-08-13,88.0
2022-08-14,91.0
2022-08-15,82.0
2022-08-16,82.0
2022-08-17,82.0
2022-08-18,81.0
2022-08-19,79.0
2022-08-20,90.0
2022-08-21,90.0
2022-08-22,78.0
2022-08-23,80.0
2022-08-24,76.0
2022-08-25,76.0
2022-08-26,74.0
2022-08-27,89.0
2022-08-28,84.0
2022-08-29,78.11494252873564
2022-08-30,72.78735632183907
2022-08-31,72.78735632183907
2022-09-01,84.91379310344827
2022-09-02,81.02873563218391
2022-09-03,88.29885057471265
2022-09-04,82.47126436781609
2022-09-05,82.0
2022-09-06,74.22988505747126
2022-09-07,71.816091954023
2022-09-08,67.93103448275862
2022-09-09,72.78735632183907
2022-09-10,82.97126436781609
2022-09-11,78.11494252873564
2022-09-12,73.25862068965517
2022-09-13,73.75862068965517
2022-09-14,72.78735632183907
2022-09-15,73.25862068965517
2022-09-16,72.78735632183907
2022-09-17,88.79885057471265
2022-09-18,78.11494252873564
2022-09-19,76.17241379310344
2022-09-20,72.78735632183907
2022-09-21,73.25862068965517
2022-09-22,68.90229885057471
2022-09-23,70.34482758620689
2022-09-24,82.97126436781609
2022-09-25,76.17241379310344
2022-09-26,74.22988505747126
