Time,colony
2022-01-01,46.0
2022-01-02,42.0
2022-01-03,50.0
2022-01-04,61.0
2022-01-05,54.0
2022-01-06,48.0
2022-01-07,54.0
2022-01-08,50.0
2022-01-09,45.0
2022-01-10,51.0
2022-01-11,70.0
2022-01-12,88.0
2022-01-13,100.0
2022-01-14,72.0
2022-01-15,90.0
2022-01-16,74.0
2022-01-17,68.0
2022-01-18,63.0
2022-01-19,57.0
2022-01-20,56.0
2022-01-21,61.0
2022-01-22,55.0
2022-01-23,56.0
2022-01-24,75.0
2022-01-25,55.0
2022-01-26,55.0
2022-01-27,54.0
2022-01-28,58.0
2022-01-29,54.0
2022-01-30,51.0
2022-01-31,57.0
2022-02-01,61.0
2022-02-02,57.0
2022-02-03,56.0
2022-02-04,56.0
2022-02-05,57.0
2022-02-06,55.0
2022-02-07,60.0
2022-02-08,60.0
2022-02-09,59.0
2022-02-10,51.0
2022-02-11,58.0
2022-02-12,55.0
2022-02-13,48.0
2022-02-14,53.0
2022-02-15,58.0
2022-02-16,59.0
2022-02-17,55.0
2022-02-18,60.0
2022-02-19,54.0
2022-02-20,54.0
2022-02-21,54.0
2022-02-22,55.0
2022-02-23,57.0
2022-02-24,52.0
2022-02-25,51.0
2022-02-26,51.0
2022-02-27,47.0
2022-02-28,60.0
2022-03-01,54.0
2022-03-02,54.0
2022-03-03,59.0
2022-03-04,57.0
2022-03-05,54.0
2022-03-06,47.0
2022-03-07,55.0
2022-03-08,54.0
2022-03-09,52.0
2022-03-10,56.0
2022-03-11,51.0
2022-03-12,55.0
2022-03-13,48.0
2022-03-14,53.0
2022-03-15,55.0
2022-03-16,53.0
2022-03-17,50.0
2022-03-18,54.0
2022-03-19,51.0
2022-03-20,47.0
2022-03-21,55.0
2022-03-22,54.0
2022-03-23,48.0
2022-03-24,53.0
2022-03-25,60.0
2022-03-26,51.0
2022-03-27,50.0
2022-03-28,58.0
2022-03-29,57.0
2022-03-30,55.0
2022-03-31,66.0
2022-04-01,61.0
2022-04-02,53.0
2022-04-03,52.0
2022-04-04,56.0
2022-04-05,57.0
2022-04-06,59.0
2022-04-07,59.0
2022-04-08,58.0
2022-04-09,54.0
2022-04-10,53.0
2022-04-11,59.0
2022-04-12,54.0
2022-04-13,54.0
2022-04-14,56.0
2022-04-15,54.0
2022-04-16,51.0
2022-04-17,49.0
2022-04-18,55.0
2022-04-19,58.0
2022-04-20,59.0
2022-04-21,58.0
2022-04-22,57.0
2022-04-23,50.0
2022-04-24,50.0
2022-04-25,56.0
2022-04-26,61.0
2022-04-27,58.0
2022-04-28,61.0
2022-04-29,61.0
2022-04-30,53.0
2022-05-01,51.0
2022-05-02,65.0
2022-05-03,63.0
2022-05-04,59.0
2022-05-05,59.0
2022-05-06,59.0
2022-05-07,50.0
2022-05-08,48.0
2022-05-09,59.0
2022-05-10,56.0
2022-05-11,64.0
2022-05-12,58.0
2022-05-13,59.0
2022-05-14,48.0
2022-05-15,48.0
2022-05-16,54.0
2022-05-17,54.0
2022-05-18,52.0
2022-05-19,53.0
2022-05-20,55.0
2022-05-21,49.0
2022-05-22,47.0
2022-05-23,52.0
2022-05-24,52.0
2022-05-25,50.0
2022-05-26,50.0
2022-05-27,50.0
2022-05-28,52.0
2022-05-29,50.0
2022-05-30,50.0
2022-05-31,53.0
2022-06-01,52.0
2022-06-02,51.0
2022-06-03,54.0
2022-06-04,52.0
2022-06-05,52.0
2022-06-06,53.0
2022-06-07,52.0
2022-06-08,52.0
2022-06-09,52.0
2022-06-10,55.0
2022-06-11,52.0
2022-06-12,51.0
2022-06-13,53.0
2022-06-14,50.0
2022-06-15,54.0
2022-06-16,51.0
2022-06-17,49.0
2022-06-18,51.0
2022-06-19,51.0
2022-06-20,53.0
2022-06-21,47.0
2022-06-22,52.0
2022-06-23,52.0
2022-06-24,51.0
2022-06-25,50.0
2022-06-26,48.0
2022-06-27,50.0
2022-06-28,49.0
2022-06-29,46.0
2022-06-30,48.0
2022-07-01,53.0
2022-07-02,53.0
2022-07-03,52.0
2022-07-04,53.0
2022-07-05,53.0
2022-07-06,47.0
2022-07-07,55.0
2022-07-08,52.0
2022-07-09,52.0
2022-07-10,48.0
2022-07-11,50.0
2022-07-12,47.0
2022-07-13,49.0
2022-07-14,47.0
2022-07-15,50.0
2022-07-16,51.0
2022-07-17,48.0
2022-07-18,52.0
2022-07-19,49.0
2022-07-20,50.0
2022-07-21,51.0
2022-07-22,48.0
2022-07-23,51.0
2022-07-24,50.0
2022-07-25,52.0
2022-07-26,52.0
2022-07-27,52.0
2022-07-28,51.0
2022-07-29,52.0
2022-07-30,49.0
2022-07-31,50.0
2022-08-01,53.0
2022-08-02,51.0
2022-08-03,51.0
2022-08-04,91.0
2022-08-05,84.0
2022-08-06,61.0
2022-08-07,54.0
2022-08-08,58.0
2022-08-09,52.0
2022-08-10,55.0
2022-08-11,57.0
2022-08-12,57.0
2022-08-13,54.0
2022-08-14,50.0
2022-08-15,57.0
2022-08-16,57.0
2022-08-17,63.0
2022-08-18,66.0
2022-08-19,67.0
2022-08-20,52.0
2022-08-21,51.0
2022-08-22,85.0
2022-08-23,76.0
2022-08-24,71.0
2022-08-25,75.0
2022-08-26,77.0
2022-08-27,53.0
2022-08-28,56.0
2022-08-29,77.97321428571428
2022-08-30,76.60714285714286
2022-08-31,79.83928571428572
2022-09-01,86.30357142857143
2022-09-02,84.9375
2022-09-03,57.08035714285714
2022-09-04,57.08035714285714
2022-09-05,57.08035714285714
2022-09-06,81.20535714285714
2022-09-07,84.4375
2022-09-08,88.16964285714286
2022-09-09,95.13392857142858
2022-09-10,58.94642857142857
2022-09-11,55.714285714285715
2022-09-12,83.57142857142857
2022-09-13,88.16964285714286
2022-09-14,93.26785714285714
2022-09-15,97.0
2022-09-16,84.9375
2022-09-17,55.714285714285715
2022-09-18,57.08035714285714
2022-09-19,86.80357142857143
2022-09-20,90.03571428571428
2022-09-21,91.40178571428572
2022-09-22,83.07142857142857
2022-09-23,88.66964285714286
2022-09-24,50.61607142857143
2022-09-25,51.98214285714286
2022-09-26,84.9375
2022-09-27,86.60714285714286
2022-09-28,76.21428571428572
2022-09-29,88.33928571428572
2022-09-30,95.26785714285715
2022-10-01,57.160714285714285
2022-10-02,55.42857142857143
2022-10-03,77.94642857142857
2022-10-04,76.21428571428572
2022-10-05,74.48214285714286
2022-10-06,81.41071428571429
2022-10-07,76.21428571428572
2022-10-08,48.5
2022-10-09,46.767857142857146
2022-10-10,71.01785714285714
2022-10-11,81.41071428571429
2022-10-12,72.75
2022-10-13,72.75
2022-10-14,71.01785714285714
2022-10-15,46.767857142857146
2022-10-16,45.035714285714285
2022-10-17,74.48214285714286
2022-10-18,72.75
2022-10-19,71.01785714285714
