Time,recession
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,1.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,2.0
2022-01-07,2.0
2022-01-08,1.0
2022-01-09,1.0
2022-01-10,2.0
2022-01-11,2.0
2022-01-12,2.0
2022-01-13,2.0
2022-01-14,2.0
2022-01-15,2.0
2022-01-16,1.0
2022-01-17,2.0
2022-01-18,2.0
2022-01-19,2.0
2022-01-20,2.0
2022-01-21,3.0
2022-01-22,3.0
2022-01-23,3.0
2022-01-24,5.0
2022-01-25,3.0
2022-01-26,3.0
2022-01-27,3.0
2022-01-28,3.0
2022-01-29,2.0
2022-01-30,2.0
2022-01-31,3.0
2022-02-01,3.0
2022-02-02,2.0
2022-02-03,3.0
2022-02-04,2.0
2022-02-05,2.0
2022-02-06,2.0
2022-02-07,3.0
2022-02-08,3.0
2022-02-09,3.0
2022-02-10,3.0
2022-02-11,4.0
2022-02-12,2.0
2022-02-13,3.0
2022-02-14,3.0
2022-02-15,4.0
2022-02-16,3.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,2.0
2022-02-20,2.0
2022-02-21,3.0
2022-02-22,4.0
2022-02-23,4.0
2022-02-24,5.0
2022-02-25,3.0
2022-02-26,2.0
2022-02-27,3.0
2022-02-28,3.0
2022-03-01,3.0
2022-03-02,3.0
2022-03-03,4.0
2022-03-04,4.0
2022-03-05,4.0
2022-03-06,4.0
2022-03-07,7.0
2022-03-08,9.0
2022-03-09,7.0
2022-03-10,9.0
2022-03-11,7.0
2022-03-12,5.0
2022-03-13,5.0
2022-03-14,7.0
2022-03-15,9.0
2022-03-16,7.0
2022-03-17,6.0
2022-03-18,5.0
2022-03-19,3.0
2022-03-20,3.0
2022-03-21,4.0
2022-03-22,5.0
2022-03-23,5.0
2022-03-24,4.0
2022-03-25,5.0
2022-03-26,4.0
2022-03-27,5.0
2022-03-28,6.0
2022-03-29,8.0
2022-03-30,9.0
2022-03-31,7.0
2022-04-01,7.0
2022-04-02,5.0
2022-04-03,4.0
2022-04-04,6.0
2022-04-05,9.0
2022-04-06,15.0
2022-04-07,11.0
2022-04-08,10.0
2022-04-09,10.0
2022-04-10,10.0
2022-04-11,12.0
2022-04-12,15.0
2022-04-13,13.0
2022-04-14,9.0
2022-04-15,6.0
2022-04-16,6.0
2022-04-17,6.0
2022-04-18,10.0
2022-04-19,8.0
2022-04-20,7.0
2022-04-21,7.0
2022-04-22,8.0
2022-04-23,6.0
2022-04-24,6.0
2022-04-25,7.0
2022-04-26,13.0
2022-04-27,14.0
2022-04-28,17.0
2022-04-29,16.0
2022-04-30,14.0
2022-05-01,10.0
2022-05-02,13.0
2022-05-03,10.0
2022-05-04,10.0
2022-05-05,13.0
2022-05-06,13.0
2022-05-07,9.0
2022-05-08,7.0
2022-05-09,15.0
2022-05-10,16.0
2022-05-11,15.0
2022-05-12,17.0
2022-05-13,10.0
2022-05-14,8.0
2022-05-15,7.0
2022-05-16,12.0
2022-05-17,12.0
2022-05-18,18.0
2022-05-19,24.0
2022-05-20,23.0
2022-05-21,19.0
2022-05-22,15.0
2022-05-23,16.0
2022-05-24,16.0
2022-05-25,12.0
2022-05-26,10.0
2022-05-27,11.0
2022-05-28,7.0
2022-05-29,6.0
2022-05-30,6.0
2022-05-31,8.0
2022-06-01,11.0
2022-06-02,11.0
2022-06-03,13.0
2022-06-04,11.0
2022-06-05,21.0
2022-06-06,20.0
2022-06-07,17.0
2022-06-08,20.0
2022-06-09,20.0
2022-06-10,26.0
2022-06-11,22.0
2022-06-12,19.0
2022-06-13,38.0
2022-06-14,50.0
2022-06-15,48.0
2022-06-16,54.0
2022-06-17,40.0
2022-06-18,26.0
2022-06-19,27.0
2022-06-20,33.0
2022-06-21,30.0
2022-06-22,28.0
2022-06-23,23.0
2022-06-24,17.0
2022-06-25,14.0
2022-06-26,13.0
2022-06-27,15.0
2022-06-28,14.0
2022-06-29,16.0
2022-06-30,15.0
2022-07-01,18.0
2022-07-02,14.0
2022-07-03,12.0
2022-07-04,11.0
2022-07-05,17.0
2022-07-06,18.0
2022-07-07,15.0
2022-07-08,15.0
2022-07-09,11.0
2022-07-10,10.0
