Time,ruin
2022-01-01,62.0
2022-01-02,65.0
2022-01-03,58.0
2022-01-04,69.0
2022-01-05,64.0
2022-01-06,53.0
2022-01-07,63.0
2022-01-08,70.0
2022-01-09,72.0
2022-01-10,59.0
2022-01-11,59.0
2022-01-12,63.0
2022-01-13,71.0
2022-01-14,53.0
2022-01-15,71.0
2022-01-16,64.0
2022-01-17,61.0
2022-01-18,52.0
2022-01-19,54.0
2022-01-20,59.0
2022-01-21,58.0
2022-01-22,71.0
2022-01-23,63.0
2022-01-24,71.0
2022-01-25,53.0
2022-01-26,52.0
2022-01-27,55.0
2022-01-28,60.0
2022-01-29,70.0
2022-01-30,74.0
2022-01-31,59.0
2022-02-01,59.0
2022-02-02,58.0
2022-02-03,62.0
2022-02-04,58.0
2022-02-05,65.0
2022-02-06,70.0
2022-02-07,60.0
2022-02-08,58.0
2022-02-09,55.0
2022-02-10,52.0
2022-02-11,58.0
2022-02-12,63.0
2022-02-13,60.0
2022-02-14,54.0
2022-02-15,60.0
2022-02-16,55.0
2022-02-17,57.0
2022-02-18,56.0
2022-02-19,63.0
2022-02-20,65.0
2022-02-21,61.0
2022-02-22,59.0
2022-02-23,67.0
2022-02-24,60.0
2022-02-25,70.0
2022-02-26,75.0
2022-02-27,87.0
2022-02-28,73.0
2022-03-01,72.0
2022-03-02,71.0
2022-03-03,72.0
2022-03-04,70.0
2022-03-05,83.0
2022-03-06,89.0
2022-03-07,80.0
2022-03-08,83.0
2022-03-09,77.0
2022-03-10,79.0
2022-03-11,83.0
2022-03-12,89.0
2022-03-13,89.0
2022-03-14,83.0
2022-03-15,74.0
2022-03-16,76.0
2022-03-17,73.0
2022-03-18,76.0
2022-03-19,77.0
2022-03-20,84.0
2022-03-21,72.0
2022-03-22,71.0
2022-03-23,73.0
2022-03-24,75.0
2022-03-25,67.0
2022-03-26,78.0
2022-03-27,77.0
2022-03-28,69.0
2022-03-29,64.0
2022-03-30,71.0
2022-03-31,69.0
2022-04-01,66.0
2022-04-02,80.0
2022-04-03,80.0
2022-04-04,65.0
2022-04-05,64.0
2022-04-06,64.0
2022-04-07,65.0
2022-04-08,68.0
2022-04-09,70.0
2022-04-10,76.0
2022-04-11,61.0
2022-04-12,67.0
2022-04-13,59.0
2022-04-14,68.0
2022-04-15,70.0
2022-04-16,74.0
2022-04-17,72.0
2022-04-18,63.0
2022-04-19,63.0
2022-04-20,61.0
2022-04-21,67.0
2022-04-22,62.0
2022-04-23,75.0
2022-04-24,76.0
2022-04-25,64.0
2022-04-26,65.0
2022-04-27,64.0
2022-04-28,61.0
2022-04-29,60.0
2022-04-30,67.0
2022-05-01,71.0
2022-05-02,60.0
2022-05-03,60.0
2022-05-04,63.0
2022-05-05,60.0
2022-05-06,61.0
2022-05-07,70.0
2022-05-08,71.0
2022-05-09,62.0
2022-05-10,63.0
2022-05-11,68.0
2022-05-12,61.0
2022-05-13,63.0
2022-05-14,71.0
2022-05-15,84.0
2022-05-16,78.0
2022-05-17,59.0
2022-05-18,66.0
2022-05-19,59.0
2022-05-20,59.0
2022-05-21,68.0
2022-05-22,69.0
2022-05-23,58.0
2022-05-24,62.0
2022-05-25,59.0
2022-05-26,59.0
2022-05-27,62.0
2022-05-28,65.0
2022-05-29,70.0
2022-05-30,73.0
2022-05-31,68.0
2022-06-01,70.0
2022-06-02,61.0
2022-06-03,62.0
2022-06-04,67.0
2022-06-05,70.0
2022-06-06,55.0
2022-06-07,63.0
2022-06-08,62.0
2022-06-09,61.0
2022-06-10,61.0
2022-06-11,66.0
2022-06-12,74.0
2022-06-13,69.0
2022-06-14,69.0
2022-06-15,71.0
2022-06-16,64.0
2022-06-17,60.0
2022-06-18,68.0
2022-06-19,65.0
2022-06-20,67.0
2022-06-21,63.0
2022-06-22,64.0
2022-06-23,61.0
2022-06-24,58.0
2022-06-25,67.0
2022-06-26,66.0
2022-06-27,61.0
2022-06-28,56.0
2022-06-29,66.0
2022-06-30,59.0
2022-07-01,58.0
2022-07-02,63.0
2022-07-03,69.0
2022-07-04,68.0
2022-07-05,59.0
2022-07-06,61.0
2022-07-07,57.0
2022-07-08,63.0
2022-07-09,64.0
2022-07-10,70.0
2022-07-11,60.0
2022-07-12,66.0
2022-07-13,62.0
2022-07-14,62.0
2022-07-15,62.0
2022-07-16,65.0
2022-07-17,67.0
2022-07-18,62.0
2022-07-19,64.0
2022-07-20,63.0
2022-07-21,64.0
2022-07-22,76.0
2022-07-23,67.0
2022-07-24,100.0
2022-07-25,64.0
2022-07-26,64.0
2022-07-27,56.0
2022-07-28,60.0
2022-07-29,62.0
2022-07-30,68.0
2022-07-31,73.0
2022-08-01,62.0
2022-08-02,58.0
2022-08-03,59.0
2022-08-04,57.0
2022-08-05,58.0
2022-08-06,67.0
2022-08-07,66.0
2022-08-08,59.0
2022-08-09,63.0
2022-08-10,60.0
2022-08-11,58.0
2022-08-12,63.0
2022-08-13,67.0
2022-08-14,73.0
2022-08-15,59.0
2022-08-16,61.0
2022-08-17,59.0
2022-08-18,60.0
2022-08-19,61.0
2022-08-20,65.0
2022-08-21,61.0
2022-08-22,58.0
2022-08-23,60.0
2022-08-24,59.0
2022-08-25,56.0
2022-08-26,60.0
2022-08-27,64.0
2022-08-28,71.0
2022-08-29,58.07857142857142
2022-08-30,54.607142857142854
2022-08-31,57.58571428571429
2022-09-01,55.599999999999994
2022-09-02,59.07142857142857
2022-09-03,60.06428571428572
2022-09-04,69.0
2022-09-05,64.03571428571428
2022-09-06,54.607142857142854
2022-09-07,50.135714285714286
2022-09-08,53.114285714285714
2022-09-09,54.107142857142854
2022-09-10,56.09285714285714
2022-09-11,61.55714285714286
2022-09-12,53.114285714285714
2022-09-13,52.62142857142857
2022-09-14,56.09285714285714
2022-09-15,52.62142857142857
2022-09-16,52.12142857142857
2022-09-17,62.05
2022-09-18,58.07857142857142
2022-09-19,56.59285714285714
2022-09-20,53.614285714285714
2022-09-21,56.59285714285714
2022-09-22,55.599999999999994
2022-09-23,55.599999999999994
2022-09-24,62.05
2022-09-25,60.56428571428572
2022-09-26,54.607142857142854
2022-09-27,53.22857142857143
2022-09-28,55.199999999999996
2022-09-29,54.21428571428571
2022-09-30,53.22857142857143
2022-10-01,59.14285714285714
2022-10-02,57.17142857142857
2022-10-03,50.271428571428565
2022-10-04,52.24285714285714
2022-10-05,55.199999999999996
2022-10-06,51.25714285714285
2022-10-07,53.22857142857143
2022-10-08,60.128571428571426
2022-10-09,60.128571428571426
2022-10-10,49.285714285714285
2022-10-11,53.22857142857143
2022-10-12,53.22857142857143
2022-10-13,60.128571428571426
2022-10-14,55.199999999999996
2022-10-15,61.114285714285714
2022-10-16,59.14285714285714
2022-10-17,54.21428571428571
2022-10-18,56.18571428571428
2022-10-19,57.17142857142857
2022-10-20,54.21428571428571
2022-10-21,59.14285714285714
2022-10-22,55.199999999999996
2022-10-23,62.099999999999994
2022-10-24,55.199999999999996
2022-10-25,56.18571428571428
2022-10-26,59.14285714285714
2022-10-27,56.18571428571428
2022-10-28,50.271428571428565
2022-10-29,56.18571428571428
2022-10-30,56.18571428571428
2022-10-31,52.24285714285714
2022-11-01,51.25714285714285
2022-11-02,51.25714285714285
2022-11-03,52.24285714285714
2022-11-04,53.22857142857143
2022-11-05,53.22857142857143
2022-11-06,57.17142857142857
2022-11-07,50.271428571428565
2022-11-08,52.24285714285714
2022-11-09,51.25714285714285
2022-11-10,53.22857142857143
2022-11-11,49.285714285714285
2022-11-12,55.199999999999996
2022-11-13,60.128571428571426
2022-11-14,50.271428571428565
2022-11-15,50.271428571428565
2022-11-16,56.18571428571428
2022-11-17,56.18571428571428
2022-11-18,57.17142857142857
2022-11-19,61.114285714285714
2022-11-20,58.15714285714285
2022-11-21,54.21428571428571
2022-11-22,57.17142857142857
2022-11-23,61.114285714285714
2022-11-24,61.114285714285714
2022-11-25,56.18571428571428
2022-11-26,60.128571428571426
2022-11-27,67.02857142857142
2022-11-28,57.17142857142857
2022-11-29,57.17142857142857
2022-11-30,57.17142857142857
2022-12-01,55.199999999999996
2022-12-02,56.18571428571428
2022-12-03,62.099999999999994
2022-12-04,60.128571428571426
2022-12-05,57.17142857142857
2022-12-06,57.17142857142857
2022-12-07,51.25714285714285
2022-12-08,60.128571428571426
2022-12-09,59.14285714285714
2022-12-10,75.89999999999999
2022-12-11,73.92857142857143
2022-12-12,69.98571428571428
2022-12-13,58.15714285714285
2022-12-14,61.114285714285714
2022-12-15,60.128571428571426
2022-12-16,58.15714285714285
2022-12-17,63.08571428571428
2022-12-18,60.128571428571426
2022-12-19,56.18571428571428
2022-12-20,57.17142857142857
2022-12-21,60.128571428571426
2022-12-22,61.114285714285714
2022-12-23,64.07142857142857
2022-12-24,69.0
2022-12-25,64.07142857142857
2022-12-26,68.0142857142857
2022-12-27,66.04285714285714
2022-12-28,63.08571428571428
2022-12-29,68.0142857142857
2022-12-30,65.05714285714285
2022-12-31,69.0
2023-01-01,67.02857142857142
2023-01-02,65.05714285714285
2023-01-03,56.18571428571428
2023-01-04,59.14285714285714
2023-01-05,59.14285714285714
2023-01-06,61.114285714285714
2023-01-07,68.0142857142857
2023-01-08,69.98571428571428
2023-01-09,57.17142857142857
2023-01-10,58.15714285714285
2023-01-11,54.21428571428571
2023-01-12,55.199999999999996
2023-01-13,59.14285714285714
2023-01-14,62.099999999999994
2023-01-15,65.05714285714285
2023-01-16,62.099999999999994
2023-01-17,60.128571428571426
2023-01-18,55.199999999999996
2023-01-19,59.14285714285714
2023-01-20,58.15714285714285
2023-01-21,62.099999999999994
2023-01-22,61.114285714285714
2023-01-23,55.199999999999996
2023-01-24,54.21428571428571
2023-01-25,54.21428571428571
2023-01-26,58.15714285714285
2023-01-27,58.15714285714285
2023-01-28,65.05714285714285
2023-01-29,63.08571428571428
2023-01-30,58.15714285714285
2023-01-31,57.17142857142857
2023-02-01,60.128571428571426
2023-02-02,59.14285714285714
2023-02-03,62.099999999999994
2023-02-04,69.0
2023-02-05,98.57142857142857
2023-02-06,74.91428571428571
2023-02-07,75.89999999999999
2023-02-08,71.95714285714286
2023-02-09,66.04285714285714
2023-02-10,61.114285714285714
2023-02-11,70.97142857142856
2023-02-12,75.89999999999999
2023-02-13,56.18571428571428
2023-02-14,59.14285714285714
2023-02-15,59.14285714285714
2023-02-16,57.17142857142857
2023-02-17,58.15714285714285
2023-02-18,61.114285714285714
2023-02-19,65.05714285714285
2023-02-20,64.07142857142857
2023-02-21,60.128571428571426
2023-02-22,60.128571428571426
2023-02-23,60.128571428571426
2023-02-24,58.15714285714285
2023-02-25,67.02857142857142
2023-02-26,61.114285714285714
2023-02-27,54.21428571428571
2023-02-28,57.17142857142857
2023-03-01,54.21428571428571
2023-03-02,57.17142857142857
2023-03-03,55.199999999999996
2023-03-04,61.114285714285714
2023-03-05,64.07142857142857
2023-03-06,54.21428571428571
2023-03-07,57.17142857142857
2023-03-08,56.18571428571428
2023-03-09,54.21428571428571
2023-03-10,56.18571428571428
2023-03-11,62.099999999999994
2023-03-12,65.05714285714285
2023-03-13,52.24285714285714
2023-03-14,60.128571428571426
2023-03-15,58.15714285714285
2023-03-16,57.17142857142857
2023-03-17,54.21428571428571
2023-03-18,60.128571428571426
2023-03-19,63.08571428571428
2023-03-20,57.17142857142857
2023-03-21,67.02857142857142
2023-03-22,65.05714285714285
2023-03-23,63.08571428571428
2023-03-24,61.114285714285714
2023-03-25,65.05714285714285
2023-03-26,65.05714285714285
2023-03-27,57.17142857142857
2023-03-28,57.17142857142857
2023-03-29,59.14285714285714
2023-03-30,56.18571428571428
2023-03-31,58.15714285714285
2023-04-01,64.07142857142857
2023-04-02,67.02857142857142
2023-04-03,67.02857142857142
2023-04-04,66.04285714285714
2023-04-05,62.099999999999994
2023-04-06,62.099999999999994
2023-04-07,62.099999999999994
2023-04-08,66.04285714285714
2023-04-09,67.02857142857142
2023-04-10,61.114285714285714
2023-04-11,58.15714285714285
2023-04-12,64.07142857142857
2023-04-13,69.0
2023-04-14,57.17142857142857
2023-04-15,66.04285714285714
2023-04-16,67.02857142857142
2023-04-17,55.199999999999996
2023-04-18,56.18571428571428
2023-04-19,60.128571428571426
2023-04-20,66.04285714285714
2023-04-21,62.099999999999994
2023-04-22,66.04285714285714
2023-04-23,71.95714285714286
2023-04-24,58.15714285714285
2023-04-25,61.114285714285714
2023-04-26,59.537142857142854
2023-04-27,59.537142857142854
2023-04-28,60.029999999999994
2023-04-29,61.01571428571428
2023-04-30,63.874285714285705
2023-05-01,59.04428571428571
2023-05-02,55.692857142857136
2023-05-03,53.327142857142846
2023-05-04,59.537142857142854
2023-05-05,52.83428571428571
2023-05-06,59.04428571428571
2023-05-07,60.029999999999994
2023-05-08,56.67857142857142
2023-05-09,59.537142857142854
2023-05-10,56.67857142857142
2023-05-11,60.029999999999994
2023-05-12,59.04428571428571
2023-05-13,68.21142857142857
2023-05-14,71.07
2023-05-15,74.91428571428571
2023-05-16,62.888571428571424
2023-05-17,63.381428571428565
2023-05-18,60.522857142857134
2023-05-19,71.56285714285713
2023-05-20,89.79857142857142
2023-05-21,86.44714285714284
2023-05-22,74.91428571428571
2023-05-23,70.57714285714285
2023-05-24,67.71857142857141
2023-05-25,74.9142857142857
2023-05-26,71.16857142857141
2023-05-27,71.16857142857141
2023-05-28,74.9142857142857
2023-05-29,71.16857142857141
2023-05-30,63.67714285714285
2023-05-31,56.185714285714276
2023-06-01,63.67714285714285
2023-06-02,71.16857142857141
2023-06-03,74.9142857142857
2023-06-04,82.40571428571427
2023-06-05,71.16857142857141
2023-06-06,71.16857142857141
2023-06-07,71.16857142857141
2023-06-08,71.16857142857141
2023-06-09,63.67714285714285
2023-06-10,67.42285714285713
2023-06-11,78.65999999999998
2023-06-12,71.16857142857141
2023-06-13,59.93142857142856
2023-06-14,63.67714285714285
2023-06-15,63.67714285714285
2023-06-16,71.16857142857141
2023-06-17,67.42285714285713
2023-06-18,74.9142857142857
2023-06-19,71.16857142857141
2023-06-20,63.67714285714285
2023-06-21,71.16857142857141
2023-06-22,59.93142857142856
2023-06-23,63.67714285714285
2023-06-24,93.64285714285712
2023-06-25,93.64285714285712
2023-06-26,74.9142857142857
2023-06-27,101.1342857142857
2023-06-28,74.9142857142857
2023-06-29,78.65999999999998
2023-06-30,74.9142857142857
2023-07-01,89.89714285714284
2023-07-02,97.38857142857141
2023-07-03,89.89714285714284
2023-07-04,97.38857142857141
2023-07-05,86.15142857142855
2023-07-06,86.15142857142855
2023-07-07,82.40571428571427
2023-07-08,93.64285714285712
