Time,beggar
2022-01-01,63.0
2022-01-02,55.0
2022-01-03,43.0
2022-01-04,71.0
2022-01-05,60.0
2022-01-06,44.0
2022-01-07,63.0
2022-01-08,59.0
2022-01-09,74.0
2022-01-10,61.0
2022-01-11,62.0
2022-01-12,86.0
2022-01-13,55.0
2022-01-14,39.0
2022-01-15,33.0
2022-01-16,56.0
2022-01-17,57.0
2022-01-18,59.0
2022-01-19,48.0
2022-01-20,69.0
2022-01-21,47.0
2022-01-22,69.0
2022-01-23,59.0
2022-01-24,71.0
2022-01-25,58.0
2022-01-26,57.0
2022-01-27,77.0
2022-01-28,65.0
2022-01-29,45.0
2022-01-30,72.0
2022-01-31,47.0
2022-02-01,74.0
2022-02-02,66.0
2022-02-03,51.0
2022-02-04,56.0
2022-02-05,44.0
2022-02-06,61.0
2022-02-07,49.0
2022-02-08,72.0
2022-02-09,61.0
2022-02-10,40.0
2022-02-11,55.0
2022-02-12,35.0
2022-02-13,74.0
2022-02-14,54.0
2022-02-15,53.0
2022-02-16,69.0
2022-02-17,74.0
2022-02-18,66.0
2022-02-19,82.0
2022-02-20,66.0
2022-02-21,75.0
2022-02-22,77.0
2022-02-23,81.0
2022-02-24,61.0
2022-02-25,61.0
2022-02-26,67.0
2022-02-27,81.0
2022-02-28,55.0
2022-03-01,46.0
2022-03-02,79.0
2022-03-03,65.0
2022-03-04,56.0
2022-03-05,44.0
2022-03-06,47.0
2022-03-07,62.0
2022-03-08,52.0
2022-03-09,66.0
2022-03-10,52.0
2022-03-11,67.0
2022-03-12,59.0
2022-03-13,65.0
2022-03-14,45.0
2022-03-15,45.0
2022-03-16,89.0
2022-03-17,64.0
2022-03-18,66.0
2022-03-19,64.0
2022-03-20,77.0
2022-03-21,51.0
2022-03-22,66.0
2022-03-23,63.0
2022-03-24,79.0
2022-03-25,54.0
2022-03-26,52.0
2022-03-27,56.0
2022-03-28,69.0
2022-03-29,93.0
2022-03-30,60.0
2022-03-31,67.0
2022-04-01,68.0
2022-04-02,58.0
2022-04-03,72.0
2022-04-04,52.0
2022-04-05,60.0
2022-04-06,74.0
2022-04-07,68.0
2022-04-08,77.0
2022-04-09,60.0
2022-04-10,61.0
2022-04-11,72.0
2022-04-12,62.0
2022-04-13,64.0
2022-04-14,78.0
2022-04-15,63.0
2022-04-16,75.0
2022-04-17,80.0
2022-04-18,36.0
2022-04-19,55.0
2022-04-20,62.0
2022-04-21,73.0
2022-04-22,66.0
2022-04-23,75.0
2022-04-24,54.0
2022-04-25,94.0
2022-04-26,67.0
2022-04-27,55.0
2022-04-28,78.0
2022-04-29,50.0
2022-04-30,63.0
2022-05-01,72.0
2022-05-02,91.0
2022-05-03,79.0
2022-05-04,61.0
2022-05-05,79.0
2022-05-06,71.0
2022-05-07,63.0
2022-05-08,74.0
2022-05-09,100.0
2022-05-10,78.0
2022-05-11,86.0
2022-05-12,64.0
2022-05-13,68.0
2022-05-14,75.0
2022-05-15,69.0
2022-05-16,42.0
2022-05-17,70.0
2022-05-18,44.0
2022-05-19,65.0
2022-05-20,57.0
2022-05-21,56.0
2022-05-22,58.0
2022-05-23,76.0
2022-05-24,97.0
2022-05-25,67.0
2022-05-26,46.0
2022-05-27,60.0
2022-05-28,62.0
2022-05-29,76.0
2022-05-30,38.0
2022-05-31,56.0
2022-06-01,50.0
2022-06-02,69.0
2022-06-03,47.0
2022-06-04,57.0
2022-06-05,53.0
2022-06-06,57.0
2022-06-07,51.0
2022-06-08,42.0
2022-06-09,53.0
2022-06-10,67.0
2022-06-11,58.0
2022-06-12,59.0
2022-06-13,59.0
2022-06-14,69.0
2022-06-15,41.0
2022-06-16,46.0
2022-06-17,45.0
2022-06-18,63.0
2022-06-19,52.0
2022-06-20,36.0
2022-06-21,62.0
2022-06-22,39.0
2022-06-23,50.0
2022-06-24,53.0
2022-06-25,52.0
2022-06-26,62.0
2022-06-27,61.0
2022-06-28,53.0
2022-06-29,77.0
2022-06-30,75.0
2022-07-01,47.0
2022-07-02,44.0
2022-07-03,53.0
2022-07-04,52.0
2022-07-05,50.0
2022-07-06,53.0
2022-07-07,55.0
2022-07-08,41.0
2022-07-09,70.0
2022-07-10,75.0
2022-07-11,37.0
2022-07-12,55.0
2022-07-13,48.0
2022-07-14,44.0
2022-07-15,58.0
2022-07-16,56.0
2022-07-17,51.0
2022-07-18,51.0
2022-07-19,49.0
2022-07-20,40.0
2022-07-21,45.0
2022-07-22,62.0
2022-07-23,50.0
2022-07-24,59.0
2022-07-25,0.0
2022-07-26,34.0
2022-07-27,53.0
2022-07-28,39.0
2022-07-29,52.0
2022-07-30,44.0
2022-07-31,52.0
2022-08-01,43.0
2022-08-02,0.0
2022-08-03,72.0
2022-08-04,36.0
2022-08-05,75.0
2022-08-06,55.0
2022-08-07,86.0
2022-08-08,55.0
2022-08-09,41.0
2022-08-10,53.0
2022-08-11,46.0
2022-08-12,40.0
2022-08-13,46.0
2022-08-14,78.0
2022-08-15,58.0
2022-08-16,47.0
2022-08-17,63.0
2022-08-18,47.0
2022-08-19,62.0
2022-08-20,50.0
2022-08-21,49.0
2022-08-22,44.0
2022-08-23,62.0
2022-08-24,38.0
2022-08-25,47.0
2022-08-26,86.0
2022-08-27,49.0
2022-08-28,70.0
2022-08-29,76.0
2022-08-30,69.0
2022-08-31,63.0
2022-09-01,54.0
2022-09-02,50.0
2022-09-03,39.0
2022-09-04,58.0
2022-09-05,58.0
2022-09-06,60.0
2022-09-07,46.5
2022-09-08,55.0
2022-09-09,67.0
2022-09-10,83.0
2022-09-11,57.0
2022-09-12,47.5
2022-09-13,61.0
2022-09-14,78.0
2022-09-15,53.0
2022-09-16,46.0
2022-09-17,45.0
2022-09-18,67.0
2022-09-19,56.0
2022-09-20,84.0
2022-09-21,66.0
2022-09-22,73.0
2022-09-23,68.0
2022-09-24,48.0
2022-09-25,56.0
2022-09-26,58.0
2022-09-27,51.0
2022-09-28,82.0
2022-09-29,30.0
2022-09-30,40.0
2022-10-01,54.0
2022-10-02,60.0
2022-10-03,56.0
2022-10-04,52.0
2022-10-05,54.0
2022-10-06,49.0
2022-10-07,67.0
2022-10-08,48.0
2022-10-09,61.0
2022-10-10,61.0
2022-10-11,59.0
2022-10-12,60.0
2022-10-13,75.0
2022-10-14,68.0
2022-10-15,57.0
2022-10-16,97.0
2022-10-17,66.0
2022-10-18,50.0
2022-10-19,61.0
2022-10-20,74.0
2022-10-21,79.0
2022-10-22,88.0
2022-10-23,76.0
2022-10-24,50.0
2022-10-25,62.0
2022-10-26,63.0
2022-10-27,63.0
2022-10-28,82.0
2022-10-29,65.0
2022-10-30,88.0
2022-10-31,73.0
2022-11-01,56.0
2022-11-02,68.0
2022-11-03,81.0
2022-11-04,49.0
2022-11-05,64.0
2022-11-06,67.0
2022-11-07,75.0
2022-11-08,42.0
2022-11-09,78.0
2022-11-10,71.0
2022-11-11,36.0
2022-11-12,42.0
2022-11-13,63.0
2022-11-14,59.0
2022-11-15,66.0
2022-11-16,73.0
2022-11-17,68.0
2022-11-18,55.0
2022-11-19,64.0
2022-11-20,47.0
2022-11-21,58.0
2022-11-22,53.0
2022-11-23,53.0
2022-11-24,48.0
2022-11-25,48.0
2022-11-26,52.0
2022-11-27,70.0
2022-11-28,68.0
2022-11-29,56.0
2022-11-30,77.0
2022-12-01,65.0
2022-12-02,49.0
2022-12-03,78.0
2022-12-04,43.0
2022-12-05,55.0
2022-12-06,73.0
2022-12-07,87.0
2022-12-08,79.0
2022-12-09,100.0
2022-12-10,41.0
2022-12-11,71.0
2022-12-12,60.0
2022-12-13,85.0
2022-12-14,70.0
2022-12-15,64.0
2022-12-16,94.0
2022-12-17,65.0
2022-12-18,83.0
2022-12-19,54.0
2022-12-20,49.0
2022-12-21,70.0
2022-12-22,58.0
2022-12-23,63.0
2022-12-24,50.0
2022-12-25,55.0
2022-12-26,79.0
2022-12-27,52.0
2022-12-28,57.0
2022-12-29,65.0
2022-12-30,41.0
2022-12-31,60.0
2023-01-01,54.0
2023-01-02,64.0
2023-01-03,45.0
2023-01-04,43.0
2023-01-05,82.0
2023-01-06,79.0
2023-01-07,52.0
2023-01-08,41.0
2023-01-09,53.0
2023-01-10,55.0
2023-01-11,66.0
2023-01-12,62.0
2023-01-13,61.0
2023-01-14,66.0
2023-01-15,48.0
2023-01-16,54.0
2023-01-17,69.0
2023-01-18,76.0
2023-01-19,70.0
2023-01-20,45.0
2023-01-21,46.0
2023-01-22,75.0
2023-01-23,77.0
2023-01-24,54.0
2023-01-25,56.0
2023-01-26,70.0
2023-01-27,65.0
2023-01-28,40.0
2023-01-29,59.0
2023-01-30,44.0
2023-01-31,62.0
2023-02-01,54.0
2023-02-02,67.0
2023-02-03,57.0
2023-02-04,59.0
2023-02-05,67.0
2023-02-06,64.0
2023-02-07,62.0
2023-02-08,51.0
2023-02-09,59.0
2023-02-10,50.0
2023-02-11,66.0
2023-02-12,61.0
2023-02-13,71.0
2023-02-14,72.0
2023-02-15,73.0
2023-02-16,55.0
2023-02-17,56.0
2023-02-18,44.0
2023-02-19,42.0
2023-02-20,66.0
2023-02-21,74.0
2023-02-22,62.0
2023-02-23,63.0
2023-02-24,84.0
2023-02-25,66.0
2023-02-26,71.0
2023-02-27,64.0
2023-02-28,61.0
2023-03-01,61.0
2023-03-02,79.0
2023-03-03,54.0
2023-03-04,72.0
2023-03-05,65.0
2023-03-06,73.0
2023-03-07,67.0
2023-03-08,65.0
2023-03-09,67.0
2023-03-10,53.0
2023-03-11,51.0
2023-03-12,79.0
2023-03-13,38.0
2023-03-14,50.0
2023-03-15,74.0
2023-03-16,59.0
2023-03-17,52.0
2023-03-18,86.0
2023-03-19,82.0
2023-03-20,77.0
2023-03-21,65.0
2023-03-22,48.0
2023-03-23,81.0
2023-03-24,78.0
2023-03-25,46.0
2023-03-26,79.0
2023-03-27,97.0
2023-03-28,79.0
2023-03-29,52.0
2023-03-30,49.0
2023-03-31,42.0
2023-04-01,57.0
2023-04-02,65.0
2023-04-03,64.0
2023-04-04,61.0
2023-04-05,64.0
2023-04-06,70.0
2023-04-07,42.0
2023-04-08,29.0
2023-04-09,48.0
2023-04-10,53.0
2023-04-11,48.0
2023-04-12,74.0
2023-04-13,50.0
2023-04-14,43.0
2023-04-15,44.0
2023-04-16,58.0
2023-04-17,60.0
2023-04-18,62.0
2023-04-19,55.0
2023-04-20,76.0
2023-04-21,81.0
2023-04-22,39.0
2023-04-23,64.0
2023-04-24,63.0
2023-04-25,79.0
2023-04-26,59.38679245283019
2023-04-27,87.58490566037736
2023-04-28,77.60377358490567
2023-04-29,73.73584905660377
2023-04-30,63.75471698113208
2023-05-01,59.88679245283019
2023-05-02,87.08490566037736
2023-05-03,73.73584905660377
2023-05-04,68.24528301886792
2023-05-05,56.01886792452831
2023-05-06,51.028301886792455
2023-05-07,62.132075471698116
2023-05-08,64.37735849056604
2023-05-09,66.0
2023-05-10,98.68867924528303
2023-05-11,73.23584905660377
2023-05-12,76.4811320754717
2023-05-13,44.91509433962264
2023-05-14,70.99056603773585
2023-05-15,63.75471698113208
2023-05-16,68.24528301886792
2023-05-17,63.25471698113208
2023-05-18,69.3679245283019
2023-05-19,66.0
2023-05-20,64.87735849056604
2023-05-21,69.3679245283019
2023-05-22,66.0
2023-05-23,61.009433962264154
2023-05-24,62.132075471698116
2023-05-25,48.566037735849065
2023-05-26,67.24528301886794
2023-05-27,57.28301886792454
2023-05-28,72.22641509433963
2023-05-29,79.69811320754718
2023-05-30,54.79245283018869
2023-05-31,49.81132075471699
2023-06-01,48.566037735849065
2023-06-02,66.00000000000001
2023-06-03,57.28301886792454
2023-06-04,73.47169811320755
2023-06-05,52.301886792452834
2023-06-06,82.18867924528303
2023-06-07,44.83018867924529
2023-06-08,46.07547169811321
2023-06-09,54.79245283018869
2023-06-10,56.03773584905661
2023-06-11,98.37735849056605
2023-06-12,59.773584905660385
2023-06-13,56.03773584905661
2023-06-14,47.32075471698114
2023-06-15,53.547169811320764
2023-06-16,73.47169811320755
2023-06-17,64.75471698113208
2023-06-18,70.9811320754717
2023-06-19,69.73584905660378
2023-06-20,59.773584905660385
2023-06-21,83.43396226415095
2023-06-22,75.96226415094341
2023-06-23,124.52830188679246
2023-06-24,78.45283018867926
2023-06-25,92.15094339622642
2023-06-26,62.26415094339623
2023-06-27,74.71698113207549
2023-06-28,73.47169811320755
2023-06-29,73.47169811320755
2023-06-30,74.71698113207549
2023-07-01,61.01886792452831
2023-07-02,74.71698113207549
2023-07-03,41.09433962264151
2023-07-04,54.79245283018869
2023-07-05,52.301886792452834
2023-07-06,63.50943396226416
2023-07-07,61.01886792452831
2023-07-08,64.75471698113208
2023-07-09,82.18867924528303
2023-07-10,68.49056603773586
2023-07-11,88.41509433962266
2023-07-12,85.92452830188681
2023-07-13,61.01886792452831
2023-07-14,67.24528301886794
2023-07-15,48.566037735849065
2023-07-16,99.62264150943398
2023-07-17,57.28301886792454
2023-07-18,89.66037735849058
2023-07-19,63.50943396226416
2023-07-20,29.886792452830193
2023-07-21,51.05660377358491
2023-07-22,46.07547169811321
2023-07-23,46.07547169811321
2023-07-24,67.24528301886794
2023-07-25,54.79245283018869
2023-07-26,47.32075471698114
2023-07-27,46.07547169811321
2023-07-28,37.358490566037744
