Time,buy
2022-01-01,94.0
2022-01-02,91.0
2022-01-03,89.0
2022-01-04,96.0
2022-01-05,100.0
2022-01-06,76.0
2022-01-07,83.0
2022-01-08,97.0
2022-01-09,91.0
2022-01-10,79.0
2022-01-11,78.0
2022-01-12,83.0
2022-01-13,100.0
2022-01-14,71.0
2022-01-15,91.0
2022-01-16,81.0
2022-01-17,74.0
2022-01-18,72.0
2022-01-19,71.0
2022-01-20,77.0
2022-01-21,82.0
2022-01-22,86.0
2022-01-23,89.0
2022-01-24,96.0
2022-01-25,75.0
2022-01-26,74.0
2022-01-27,69.0
2022-01-28,83.0
2022-01-29,89.0
2022-01-30,85.0
2022-01-31,79.0
2022-02-01,78.0
2022-02-02,76.0
2022-02-03,79.0
2022-02-04,78.0
2022-02-05,93.0
2022-02-06,88.0
2022-02-07,81.0
2022-02-08,78.0
2022-02-09,78.0
2022-02-10,66.0
2022-02-11,82.0
2022-02-12,95.0
2022-02-13,88.0
2022-02-14,80.0
2022-02-15,77.0
2022-02-16,77.0
2022-02-17,80.0
2022-02-18,86.0
2022-02-19,98.0
2022-02-20,92.0
2022-02-21,87.0
2022-02-22,79.0
2022-02-23,81.0
2022-02-24,82.0
2022-02-25,83.0
2022-02-26,93.0
2022-02-27,96.0
2022-02-28,84.0
2022-03-01,81.0
2022-03-02,82.0
2022-03-03,79.0
2022-03-04,84.0
2022-03-05,93.0
2022-03-06,91.0
2022-03-07,83.0
2022-03-08,81.0
2022-03-09,82.0
2022-03-10,86.0
2022-03-11,83.0
2022-03-12,92.0
2022-03-13,87.0
2022-03-14,80.0
2022-03-15,82.0
2022-03-16,81.0
2022-03-17,78.0
2022-03-18,81.0
2022-03-19,91.0
2022-03-20,95.0
2022-03-21,77.0
2022-03-22,78.0
2022-03-23,82.0
2022-03-24,83.0
2022-03-25,74.0
2022-03-26,89.0
2022-03-27,90.0
2022-03-28,70.0
2022-03-29,73.0
2022-03-30,76.0
2022-03-31,76.0
2022-04-01,76.0
2022-04-02,86.0
2022-04-03,90.0
2022-04-04,78.0
2022-04-05,72.0
2022-04-06,72.0
2022-04-07,75.0
2022-04-08,81.0
2022-04-09,91.0
2022-04-10,93.0
2022-04-11,72.0
2022-04-12,70.0
2022-04-13,73.0
2022-04-14,79.0
2022-04-15,85.0
2022-04-16,91.0
2022-04-17,85.0
2022-04-18,83.0
2022-04-19,70.0
2022-04-20,76.0
2022-04-21,78.0
2022-04-22,76.0
2022-04-23,89.0
2022-04-24,90.0
2022-04-25,75.0
2022-04-26,81.0
2022-04-27,76.0
2022-04-28,76.0
2022-04-29,77.0
2022-04-30,88.0
2022-05-01,96.0
2022-05-02,75.0
2022-05-03,73.0
2022-05-04,75.0
2022-05-05,72.0
2022-05-06,75.0
2022-05-07,89.0
2022-05-08,83.0
2022-05-09,75.0
2022-05-10,71.0
2022-05-11,78.0
2022-05-12,74.0
2022-05-13,78.0
2022-05-14,86.0
2022-05-15,88.0
2022-05-16,69.0
2022-05-17,73.0
2022-05-18,71.0
2022-05-19,72.0
2022-05-20,70.0
2022-05-21,85.0
2022-05-22,81.0
2022-05-23,70.0
2022-05-24,70.0
2022-05-25,78.0
2022-05-26,78.0
2022-05-27,78.0
2022-05-28,90.0
2022-05-29,87.0
2022-05-30,88.0
2022-05-31,71.0
2022-06-01,73.0
2022-06-02,71.0
2022-06-03,75.0
2022-06-04,89.0
2022-06-05,85.0
2022-06-06,74.0
2022-06-07,77.0
2022-06-08,76.0
2022-06-09,79.0
2022-06-10,77.0
2022-06-11,87.0
2022-06-12,83.0
2022-06-13,77.0
2022-06-14,76.0
2022-06-15,76.0
2022-06-16,80.0
2022-06-17,80.0
2022-06-18,86.0
2022-06-19,86.0
2022-06-20,83.0
2022-06-21,77.0
2022-06-22,77.0
2022-06-23,75.0
2022-06-24,79.0
2022-06-25,82.0
2022-06-26,85.0
2022-06-27,75.0
2022-06-28,79.0
2022-06-29,75.0
2022-06-30,74.0
2022-07-01,80.0
2022-07-02,93.0
2022-07-03,90.0
2022-07-04,89.0
2022-07-05,76.0
2022-07-06,80.0
2022-07-07,79.0
2022-07-08,80.0
2022-07-09,86.0
2022-07-10,86.0
2022-07-11,84.0
2022-07-12,83.0
2022-07-13,82.0
2022-07-14,83.0
2022-07-15,83.0
2022-07-16,84.0
2022-07-17,90.0
2022-07-18,81.0
2022-07-19,79.0
2022-07-20,78.0
2022-07-21,75.0
2022-07-22,77.0
2022-07-23,88.0
2022-07-24,91.0
2022-07-25,78.0
2022-07-26,81.0
2022-07-27,84.0
2022-07-28,84.0
2022-07-29,94.0
2022-07-30,100.0
2022-07-31,90.0
2022-08-01,79.0
2022-08-02,76.0
2022-08-03,76.0
2022-08-04,75.0
2022-08-05,76.0
2022-08-06,91.0
2022-08-07,90.0
2022-08-08,79.0
2022-08-09,78.0
2022-08-10,75.0
2022-08-11,74.0
2022-08-12,77.0
2022-08-13,87.0
2022-08-14,93.0
2022-08-15,75.0
2022-08-16,74.0
2022-08-17,81.0
2022-08-18,75.0
2022-08-19,76.0
2022-08-20,92.0
2022-08-21,89.0
2022-08-22,72.0
2022-08-23,76.0
2022-08-24,71.0
2022-08-25,74.0
2022-08-26,75.0
2022-08-27,94.0
2022-08-28,85.0
2022-08-29,75.0
2022-08-30,75.0
2022-08-31,75.0
2022-09-01,74.5
2022-09-02,76.91463414634146
2022-09-03,91.73170731707317
2022-09-04,89.3170731707317
2022-09-05,91.23170731707317
2022-09-06,71.17073170731707
2022-09-07,69.2560975609756
2022-09-08,71.67073170731707
2022-09-09,76.91463414634146
2022-09-10,89.3170731707317
2022-09-11,82.65853658536585
2022-09-12,69.2560975609756
2022-09-13,67.84146341463415
2022-09-14,73.08536585365854
2022-09-15,71.67073170731707
2022-09-16,73.58536585365854
2022-09-17,87.40243902439025
2022-09-18,80.2439024390244
2022-09-19,67.84146341463415
2022-09-20,69.7560975609756
2022-09-21,72.58536585365854
2022-09-22,69.7560975609756
2022-09-23,71.67073170731707
2022-09-24,83.57317073170732
2022-09-25,78.82926829268293
2022-09-26,67.84146341463415
2022-09-27,67.6829268292683
2022-09-28,65.85365853658537
2022-09-29,64.02439024390245
2022-09-30,71.34146341463415
2022-10-01,85.97560975609757
2022-10-02,76.82926829268293
2022-10-03,67.6829268292683
2022-10-04,67.6829268292683
2022-10-05,67.6829268292683
2022-10-06,71.34146341463415
2022-10-07,71.34146341463415
2022-10-08,84.14634146341464
2022-10-09,76.82926829268293
2022-10-10,80.48780487804878
2022-10-11,73.17073170731707
2022-10-12,75.0
2022-10-13,69.51219512195122
2022-10-14,75.0
2022-10-15,84.14634146341464
2022-10-16,76.82926829268293
2022-10-17,69.51219512195122
2022-10-18,71.34146341463415
2022-10-19,67.6829268292683
2022-10-20,67.6829268292683
2022-10-21,71.34146341463415
2022-10-22,82.31707317073172
2022-10-23,78.65853658536585
2022-10-24,67.6829268292683
2022-10-25,67.6829268292683
2022-10-26,67.6829268292683
2022-10-27,73.17073170731707
2022-10-28,76.82926829268293
2022-10-29,84.14634146341464
2022-10-30,80.48780487804878
2022-10-31,71.34146341463415
2022-11-01,71.34146341463415
2022-11-02,75.0
2022-11-03,76.82926829268293
2022-11-04,78.65853658536585
2022-11-05,96.95121951219512
2022-11-06,89.63414634146342
2022-11-07,80.48780487804878
2022-11-08,78.65853658536585
2022-11-09,67.6829268292683
2022-11-10,73.17073170731707
2022-11-11,75.0
2022-11-12,89.63414634146342
2022-11-13,87.8048780487805
2022-11-14,75.0
2022-11-15,73.17073170731707
2022-11-16,75.0
2022-11-17,76.82926829268293
2022-11-18,82.31707317073172
2022-11-19,96.95121951219512
2022-11-20,98.78048780487805
2022-11-21,89.63414634146342
2022-11-22,87.8048780487805
2022-11-23,98.78048780487805
2022-11-24,111.58536585365854
2022-11-25,182.9268292682927
2022-11-26,124.39024390243902
2022-11-27,107.92682926829269
2022-11-28,104.26829268292683
2022-11-29,87.8048780487805
2022-11-30,71.34146341463415
2022-12-01,73.17073170731707
2022-12-02,78.65853658536585
2022-12-03,91.46341463414635
2022-12-04,87.8048780487805
2022-12-05,73.17073170731707
2022-12-06,75.0
2022-12-07,78.65853658536585
2022-12-08,76.82926829268293
2022-12-09,78.65853658536585
2022-12-10,95.1219512195122
2022-12-11,96.95121951219512
2022-12-12,82.31707317073172
2022-12-13,76.82926829268293
2022-12-14,76.82926829268293
2022-12-15,82.31707317073172
2022-12-16,84.14634146341464
2022-12-17,109.75609756097562
2022-12-18,100.60975609756098
2022-12-19,91.46341463414635
2022-12-20,98.78048780487805
2022-12-21,96.95121951219512
2022-12-22,98.78048780487805
2022-12-23,104.26829268292683
2022-12-24,107.92682926829269
2022-12-25,84.14634146341464
2022-12-26,106.09756097560977
2022-12-27,95.1219512195122
2022-12-28,89.63414634146342
2022-12-29,85.97560975609757
2022-12-30,87.8048780487805
2022-12-31,96.95121951219512
2023-01-01,82.31707317073172
2023-01-02,85.97560975609757
2023-01-03,71.34146341463415
2023-01-04,73.17073170731707
2023-01-05,76.82926829268293
2023-01-06,76.82926829268293
2023-01-07,91.46341463414635
2023-01-08,84.14634146341464
2023-01-09,69.51219512195122
2023-01-10,69.51219512195122
2023-01-11,73.17073170731707
2023-01-12,71.34146341463415
2023-01-13,75.0
2023-01-14,89.63414634146342
2023-01-15,80.48780487804878
2023-01-16,76.82926829268293
2023-01-17,65.85365853658537
2023-01-18,67.6829268292683
2023-01-19,69.51219512195122
2023-01-20,69.51219512195122
2023-01-21,89.63414634146342
2023-01-22,80.48780487804878
2023-01-23,69.51219512195122
2023-01-24,65.85365853658537
2023-01-25,67.6829268292683
2023-01-26,65.85365853658537
2023-01-27,67.6829268292683
2023-01-28,80.48780487804878
2023-01-29,78.65853658536585
2023-01-30,65.85365853658537
2023-01-31,65.85365853658537
2023-02-01,69.51219512195122
2023-02-02,69.51219512195122
2023-02-03,71.34146341463415
2023-02-04,85.97560975609757
2023-02-05,82.31707317073172
2023-02-06,67.6829268292683
2023-02-07,65.85365853658537
2023-02-08,69.51219512195122
2023-02-09,67.6829268292683
2023-02-10,75.0
2023-02-11,91.46341463414635
2023-02-12,80.48780487804878
2023-02-13,64.02439024390245
2023-02-14,67.6829268292683
2023-02-15,65.85365853658537
2023-02-16,64.02439024390245
2023-02-17,69.51219512195122
2023-02-18,87.8048780487805
2023-02-19,85.97560975609757
2023-02-20,78.65853658536585
2023-02-21,67.6829268292683
2023-02-22,67.6829268292683
2023-02-23,69.51219512195122
2023-02-24,71.34146341463415
2023-02-25,87.8048780487805
2023-02-26,82.31707317073172
2023-02-27,69.51219512195122
2023-02-28,67.6829268292683
2023-03-01,67.6829268292683
2023-03-02,69.51219512195122
2023-03-03,69.51219512195122
2023-03-04,78.65853658536585
