Time,ghetto
2022-01-01,90.0
2022-01-02,81.0
2022-01-03,75.0
2022-01-04,88.0
2022-01-05,86.0
2022-01-06,71.0
2022-01-07,83.0
2022-01-08,94.0
2022-01-09,86.0
2022-01-10,84.0
2022-01-11,83.0
2022-01-12,82.0
2022-01-13,96.0
2022-01-14,72.0
2022-01-15,90.0
2022-01-16,74.0
2022-01-17,69.0
2022-01-18,69.0
2022-01-19,69.0
2022-01-20,81.0
2022-01-21,85.0
2022-01-22,90.0
2022-01-23,86.0
2022-01-24,91.0
2022-01-25,71.0
2022-01-26,74.0
2022-01-27,84.0
2022-01-28,89.0
2022-01-29,95.0
2022-01-30,85.0
2022-01-31,80.0
2022-02-01,82.0
2022-02-02,79.0
2022-02-03,84.0
2022-02-04,85.0
2022-02-05,90.0
2022-02-06,90.0
2022-02-07,85.0
2022-02-08,85.0
2022-02-09,90.0
2022-02-10,68.0
2022-02-11,85.0
2022-02-12,98.0
2022-02-13,84.0
2022-02-14,78.0
2022-02-15,85.0
2022-02-16,82.0
2022-02-17,80.0
2022-02-18,80.0
2022-02-19,95.0
2022-02-20,86.0
2022-02-21,78.0
2022-02-22,73.0
2022-02-23,85.0
2022-02-24,75.0
2022-02-25,91.0
2022-02-26,100.0
2022-02-27,86.0
2022-02-28,80.0
2022-03-01,79.0
2022-03-02,75.0
2022-03-03,75.0
2022-03-04,84.0
2022-03-05,84.0
2022-03-06,81.0
2022-03-07,75.0
2022-03-08,78.0
2022-03-09,76.0
2022-03-10,74.0
2022-03-11,76.0
2022-03-12,93.0
2022-03-13,82.0
2022-03-14,74.0
2022-03-15,76.0
2022-03-16,77.0
2022-03-17,80.0
2022-03-18,83.0
2022-03-19,85.0
2022-03-20,86.0
2022-03-21,72.0
2022-03-22,82.0
2022-03-23,83.0
2022-03-24,83.0
2022-03-25,86.0
2022-03-26,90.0
2022-03-27,93.0
2022-03-28,90.0
2022-03-29,89.0
2022-03-30,86.0
2022-03-31,92.0
2022-04-01,88.0
2022-04-02,92.0
2022-04-03,93.0
2022-04-04,100.0
2022-04-05,95.0
2022-04-06,88.0
2022-04-07,95.0
2022-04-08,95.0
2022-04-09,88.0
2022-04-10,90.0
2022-04-11,89.0
2022-04-12,84.0
2022-04-13,83.0
2022-04-14,88.0
2022-04-15,78.0
2022-04-16,95.0
2022-04-17,89.0
2022-04-18,92.0
2022-04-19,90.0
2022-04-20,95.0
2022-04-21,91.0
2022-04-22,90.0
2022-04-23,96.0
2022-04-24,98.0
2022-04-25,88.0
2022-04-26,89.0
