Time,segregation
2022-01-01,13.0
2022-01-02,11.0
2022-01-03,18.0
2022-01-04,28.0
2022-01-05,32.0
2022-01-06,22.0
2022-01-07,31.0
2022-01-08,17.0
2022-01-09,16.0
2022-01-10,30.0
2022-01-11,46.0
2022-01-12,44.0
2022-01-13,58.0
2022-01-14,45.0
2022-01-15,21.0
2022-01-16,20.0
2022-01-17,33.0
2022-01-18,56.0
2022-01-19,48.0
2022-01-20,46.0
2022-01-21,41.0
2022-01-22,21.0
2022-01-23,26.0
2022-01-24,46.0
2022-01-25,46.0
2022-01-26,38.0
2022-01-27,39.0
2022-01-28,45.0
2022-01-29,20.0
2022-01-30,25.0
2022-01-31,43.0
2022-02-01,47.0
2022-02-02,55.0
2022-02-03,51.0
2022-02-04,43.0
2022-02-05,25.0
2022-02-06,30.0
2022-02-07,55.0
2022-02-08,59.0
2022-02-09,55.0
2022-02-10,54.0
2022-02-11,53.0
2022-02-12,26.0
2022-02-13,28.0
2022-02-14,53.0
2022-02-15,65.0
2022-02-16,60.0
2022-02-17,65.0
2022-02-18,53.0
2022-02-19,29.0
2022-02-20,35.0
2022-02-21,41.0
2022-02-22,59.0
2022-02-23,56.0
2022-02-24,52.0
2022-02-25,53.0
2022-02-26,35.0
2022-02-27,37.0
2022-02-28,62.0
2022-03-01,60.0
2022-03-02,51.0
2022-03-03,57.0
2022-03-04,52.0
2022-03-05,25.0
2022-03-06,24.0
2022-03-07,57.0
2022-03-08,50.0
2022-03-09,50.0
2022-03-10,50.0
2022-03-11,46.0
2022-03-12,24.0
2022-03-13,26.0
2022-03-14,40.0
2022-03-15,42.0
2022-03-16,42.0
2022-03-17,43.0
2022-03-18,43.0
2022-03-19,19.0
2022-03-20,21.0
2022-03-21,50.0
2022-03-22,48.0
2022-03-23,47.0
2022-03-24,49.0
2022-03-25,73.0
2022-03-26,30.0
2022-03-27,34.0
2022-03-28,91.0
2022-03-29,91.0
2022-03-30,58.0
2022-03-31,88.0
2022-04-01,72.0
2022-04-02,30.0
2022-04-03,34.0
2022-04-04,98.0
2022-04-05,80.0
2022-04-06,85.0
2022-04-07,83.0
2022-04-08,75.0
2022-04-09,30.0
2022-04-10,33.0
2022-04-11,75.0
2022-04-12,65.0
2022-04-13,64.0
2022-04-14,74.0
2022-04-15,42.0
2022-04-16,28.0
2022-04-17,29.0
2022-04-18,73.0
2022-04-19,80.0
2022-04-20,84.0
2022-04-21,85.0
2022-04-22,81.0
2022-04-23,31.0
2022-04-24,33.0
2022-04-25,82.0
2022-04-26,92.0
2022-04-27,89.0
2022-04-28,97.0
2022-04-29,78.0
2022-04-30,34.0
2022-05-01,35.0
2022-05-02,89.0
2022-05-03,83.0
2022-05-04,87.0
2022-05-05,87.0
2022-05-06,67.0
2022-05-07,39.0
2022-05-08,32.0
2022-05-09,90.0
2022-05-10,77.0
2022-05-11,100.0
2022-05-12,67.0
2022-05-13,66.0
2022-05-14,23.0
2022-05-15,31.0
2022-05-16,69.0
2022-05-17,70.0
2022-05-18,61.0
2022-05-19,64.0
2022-05-20,54.0
2022-05-21,22.0
2022-05-22,22.0
2022-05-23,56.0
2022-05-24,59.0
2022-05-25,51.0
2022-05-26,46.0
2022-05-27,38.0
2022-05-28,14.0
2022-05-29,18.0
2022-05-30,21.0
2022-05-31,40.0
2022-06-01,37.0
2022-06-02,35.0
2022-06-03,33.0
2022-06-04,16.0
2022-06-05,19.0
2022-06-06,28.0
2022-06-07,37.0
2022-06-08,32.0
2022-06-09,34.0
2022-06-10,29.0
2022-06-11,13.0
2022-06-12,16.0
2022-06-13,28.0
2022-06-14,29.0
2022-06-15,24.0
2022-06-16,25.0
2022-06-17,21.0
2022-06-18,16.0
2022-06-19,15.0
2022-06-20,21.0
2022-06-21,23.0
2022-06-22,21.0
2022-06-23,19.0
2022-06-24,29.0
2022-06-25,50.0
2022-06-26,72.0
2022-06-27,50.0
2022-06-28,40.0
2022-06-29,33.0
2022-06-30,31.0
2022-07-01,25.0
2022-07-02,17.0
2022-07-03,21.0
2022-07-04,21.0
2022-07-05,22.0
2022-07-06,24.0
2022-07-07,24.0
2022-07-08,21.0
2022-07-09,16.0
2022-07-10,16.0
2022-07-11,22.0
2022-07-12,19.0
2022-07-13,18.0
2022-07-14,21.0
2022-07-15,17.0
2022-07-16,13.0
2022-07-17,16.0
2022-07-18,20.0
2022-07-19,20.0
2022-07-20,19.0
2022-07-21,20.0
2022-07-22,19.0
2022-07-23,16.0
2022-07-24,16.0
2022-07-25,18.0
2022-07-26,17.0
2022-07-27,20.0
2022-07-28,21.0
2022-07-29,17.0
2022-07-30,13.0
2022-07-31,18.0
2022-08-01,18.0
2022-08-02,16.0
2022-08-03,19.0
2022-08-04,15.0
2022-08-05,15.0
2022-08-06,12.0
2022-08-07,14.0
2022-08-08,16.0
2022-08-09,15.0
2022-08-10,16.0
2022-08-11,19.0
2022-08-12,15.0
2022-08-13,14.0
2022-08-14,14.0
2022-08-15,19.0
2022-08-16,18.0
2022-08-17,21.0
2022-08-18,20.0
2022-08-19,15.0
2022-08-20,13.0
2022-08-21,17.0
2022-08-22,22.0
2022-08-23,22.0
2022-08-24,26.0
2022-08-25,26.0
2022-08-26,24.0
2022-08-27,13.0
2022-08-28,15.0
2022-08-29,27.918367346938776
2022-08-30,27.418367346938776
2022-08-31,26.96938775510204
2022-09-01,29.816326530612248
2022-09-02,27.918367346938776
2022-09-03,18.92857142857143
2022-09-04,19.877551020408163
2022-09-05,20.3265306122449
2022-09-06,35.01020408163265
2022-09-07,35.01020408163265
2022-09-08,35.01020408163265
2022-09-09,34.06122448979592
2022-09-10,17.979591836734695
2022-09-11,20.8265306122449
2022-09-12,35.01020408163265
2022-09-13,35.01020408163265
2022-09-14,39.255102040816325
2022-09-15,38.30612244897959
2022-09-16,38.80612244897959
2022-09-17,17.979591836734695
2022-09-18,24.122448979591837
2022-09-19,37.35714285714286
2022-09-20,36.90816326530613
2022-09-21,40.204081632653065
2022-09-22,44.0
2022-09-23,43.05102040816327
2022-09-24,17.979591836734695
2022-09-25,27.918367346938776
2022-09-26,40.704081632653065
2022-09-27,43.102040816326536
2022-09-28,42.204081632653065
2022-09-29,43.102040816326536
2022-09-30,37.71428571428572
2022-10-01,23.346938775510207
2022-10-02,26.040816326530617
2022-10-03,45.79591836734694
2022-10-04,38.61224489795919
2022-10-05,39.51020408163266
2022-10-06,45.79591836734694
2022-10-07,37.71428571428572
2022-10-08,18.85714285714286
2022-10-09,20.653061224489797
2022-10-10,38.61224489795919
2022-10-11,44.00000000000001
2022-10-12,36.81632653061225
2022-10-13,40.40816326530613
2022-10-14,40.40816326530613
2022-10-15,20.653061224489797
2022-10-16,23.346938775510207
2022-10-17,44.89795918367348
2022-10-18,42.204081632653065
2022-10-19,45.79591836734694
2022-10-20,47.591836734693885
2022-10-21,42.204081632653065
2022-10-22,17.06122448979592
2022-10-23,21.551020408163268
2022-10-24,43.102040816326536
2022-10-25,48.48979591836735
2022-10-26,48.48979591836735
2022-10-27,49.38775510204082
2022-10-28,43.102040816326536
2022-10-29,20.653061224489797
2022-10-30,24.244897959183675
2022-10-31,50.28571428571429
2022-11-01,45.79591836734694
2022-11-02,48.48979591836735
2022-11-03,49.38775510204082
2022-11-04,50.28571428571429
2022-11-05,18.85714285714286
2022-11-06,21.551020408163268
2022-11-07,50.28571428571429
2022-11-08,41.30612244897959
2022-11-09,46.693877551020414
2022-11-10,50.28571428571429
2022-11-11,35.02040816326531
2022-11-12,24.244897959183675
2022-11-13,27.836734693877553
2022-11-14,58.36734693877552
2022-11-15,52.9795918367347
2022-11-16,53.87755102040817
2022-11-17,61.061224489795926
2022-11-18,44.89795918367348
2022-11-19,25.142857142857146
