Time,aristocracy
2022-01-01,15.0
2022-01-02,23.0
2022-01-03,36.0
2022-01-04,25.0
2022-01-05,27.0
2022-01-06,37.0
2022-01-07,22.0
2022-01-08,20.0
2022-01-09,30.0
2022-01-10,47.0
2022-01-11,29.0
2022-01-12,41.0
2022-01-13,38.0
2022-01-14,29.0
2022-01-15,29.0
2022-01-16,17.0
2022-01-17,19.0
2022-01-18,32.0
2022-01-19,27.0
2022-01-20,31.0
2022-01-21,40.0
2022-01-22,23.0
2022-01-23,29.0
2022-01-24,47.0
2022-01-25,37.0
2022-01-26,26.0
2022-01-27,34.0
2022-01-28,39.0
2022-01-29,26.0
2022-01-30,33.0
2022-01-31,36.0
2022-02-01,43.0
2022-02-02,35.0
2022-02-03,44.0
2022-02-04,29.0
2022-02-05,17.0
2022-02-06,31.0
2022-02-07,50.0
2022-02-08,37.0
2022-02-09,30.0
2022-02-10,38.0
2022-02-11,28.0
2022-02-12,27.0
2022-02-13,21.0
2022-02-14,24.0
2022-02-15,39.0
2022-02-16,32.0
2022-02-17,43.0
2022-02-18,37.0
2022-02-19,33.0
2022-02-20,32.0
2022-02-21,37.0
2022-02-22,40.0
2022-02-23,34.0
2022-02-24,32.0
2022-02-25,31.0
2022-02-26,27.0
2022-02-27,29.0
2022-02-28,39.0
2022-03-01,39.0
2022-03-02,42.0
2022-03-03,47.0
2022-03-04,46.0
2022-03-05,19.0
2022-03-06,19.0
2022-03-07,31.0
2022-03-08,32.0
2022-03-09,39.0
2022-03-10,41.0
2022-03-11,30.0
2022-03-12,32.0
2022-03-13,29.0
2022-03-14,29.0
2022-03-15,27.0
2022-03-16,33.0
2022-03-17,38.0
2022-03-18,25.0
2022-03-19,21.0
2022-03-20,28.0
2022-03-21,23.0
2022-03-22,31.0
2022-03-23,35.0
2022-03-24,30.0
2022-03-25,38.0
2022-03-26,29.0
2022-03-27,28.0
2022-03-28,49.0
2022-03-29,56.0
2022-03-30,38.0
2022-03-31,49.0
2022-04-01,44.0
2022-04-02,29.0
2022-04-03,34.0
2022-04-04,52.0
2022-04-05,46.0
2022-04-06,41.0
2022-04-07,42.0
2022-04-08,29.0
2022-04-09,23.0
2022-04-10,27.0
2022-04-11,42.0
2022-04-12,34.0
2022-04-13,37.0
2022-04-14,42.0
2022-04-15,25.0
2022-04-16,27.0
2022-04-17,23.0
2022-04-18,36.0
2022-04-19,43.0
2022-04-20,36.0
2022-04-21,35.0
2022-04-22,38.0
2022-04-23,26.0
2022-04-24,15.0
2022-04-25,30.0
2022-04-26,45.0
2022-04-27,36.0
2022-04-28,40.0
2022-04-29,41.0
2022-04-30,17.0
2022-05-01,29.0
2022-05-02,48.0
2022-05-03,38.0
2022-05-04,38.0
2022-05-05,36.0
2022-05-06,37.0
2022-05-07,22.0
2022-05-08,23.0
2022-05-09,36.0
2022-05-10,34.0
2022-05-11,36.0
2022-05-12,32.0
2022-05-13,35.0
2022-05-14,14.0
2022-05-15,26.0
2022-05-16,27.0
2022-05-17,29.0
2022-05-18,28.0
2022-05-19,16.0
2022-05-20,25.0
2022-05-21,18.0
2022-05-22,15.0
2022-05-23,26.0
2022-05-24,29.0
2022-05-25,24.0
2022-05-26,25.0
2022-05-27,13.0
2022-05-28,13.0
2022-05-29,20.0
2022-05-30,15.0
2022-05-31,22.0
2022-06-01,22.0
2022-06-02,15.0
2022-06-03,14.0
2022-06-04,14.0
2022-06-05,21.0
2022-06-06,19.0
2022-06-07,22.0
2022-06-08,23.0
2022-06-09,19.0
2022-06-10,14.0
2022-06-11,10.0
2022-06-12,17.0
2022-06-13,26.0
2022-06-14,18.0
2022-06-15,21.0
2022-06-16,19.0
2022-06-17,18.0
2022-06-18,15.0
2022-06-19,13.0
2022-06-20,19.0
2022-06-21,21.0
2022-06-22,21.0
2022-06-23,15.0
2022-06-24,16.0
2022-06-25,13.0
2022-06-26,23.0
2022-06-27,14.0
2022-06-28,24.0
2022-06-29,14.0
2022-06-30,22.0
2022-07-01,0.0
2022-07-02,15.0
2022-07-03,21.0
2022-07-04,23.0
2022-07-05,18.0
2022-07-06,18.0
2022-07-07,20.0
2022-07-08,20.0
2022-07-09,18.0
2022-07-10,19.0
2022-07-11,20.0
2022-07-12,15.0
2022-07-13,22.0
2022-07-14,19.0
2022-07-15,13.0
2022-07-16,13.0
2022-07-17,18.0
2022-07-18,22.0
2022-07-19,18.0
2022-07-20,20.0
2022-07-21,9.0
2022-07-22,14.0
2022-07-23,13.0
2022-07-24,14.0
2022-07-25,18.0
2022-07-26,16.0
2022-07-27,13.0
2022-07-28,15.0
2022-07-29,12.0
2022-07-30,12.0
2022-07-31,19.0
2022-08-01,0.0
2022-08-02,20.0
2022-08-03,15.0
2022-08-04,13.0
2022-08-05,17.0
2022-08-06,12.0
2022-08-07,12.0
2022-08-08,17.0
2022-08-09,20.0
2022-08-10,16.0
2022-08-11,24.0
2022-08-12,25.0
2022-08-13,16.0
2022-08-14,15.0
2022-08-15,21.0
2022-08-16,41.0
2022-08-17,41.0
2022-08-18,42.0
2022-08-19,45.0
2022-08-20,23.0
2022-08-21,28.0
2022-08-22,44.0
2022-08-23,60.0
2022-08-24,51.0
2022-08-25,68.0
2022-08-26,54.0
2022-08-27,18.0
2022-08-28,30.0
2022-08-29,68.0
2022-08-30,69.0
2022-08-31,73.0
2022-09-01,68.0
2022-09-02,58.0
2022-09-03,17.0
2022-09-04,17.0
2022-09-05,45.0
2022-09-06,74.0
2022-09-07,65.0
2022-09-08,79.0
2022-09-09,100.0
2022-09-10,55.0
2022-09-11,38.0
2022-09-12,87.0
2022-09-13,70.0
2022-09-14,72.0
2022-09-15,85.0
2022-09-16,59.0
2022-09-17,30.0
2022-09-18,28.0
2022-09-19,77.0
2022-09-20,64.0
2022-09-21,64.0
2022-09-22,58.0
2022-09-23,76.0
2022-09-24,24.0
2022-09-25,34.0
2022-09-26,55.0
2022-09-27,64.0
2022-09-28,54.0
2022-09-29,60.0
2022-09-30,49.0
2022-10-01,23.0
2022-10-02,30.0
2022-10-03,58.0
2022-10-04,53.0
2022-10-05,50.0
2022-10-06,58.0
2022-10-07,48.0
2022-10-08,23.0
2022-10-09,19.0
2022-10-10,52.0
2022-10-11,53.0
2022-10-12,52.0
2022-10-13,37.0
2022-10-14,45.0
2022-10-15,23.0
2022-10-16,26.0
2022-10-17,46.0
2022-10-18,54.0
2022-10-19,60.0
2022-10-20,50.0
2022-10-21,40.0
2022-10-22,18.0
2022-10-23,28.0
2022-10-24,55.0
2022-10-25,45.0
2022-10-26,57.0
2022-10-27,58.0
2022-10-28,37.0
2022-10-29,17.0
2022-10-30,17.0
2022-10-31,53.0
2022-11-01,46.0
2022-11-02,46.0
2022-11-03,51.0
2022-11-04,40.0
2022-11-05,26.0
2022-11-06,28.0
2022-11-07,50.0
2022-11-08,41.0
2022-11-09,50.0
2022-11-10,47.0
2022-11-11,31.0
2022-11-12,22.0
2022-11-13,19.0
2022-11-14,56.0
2022-11-15,51.0
2022-11-16,41.0
2022-11-17,61.0
2022-11-18,41.0
2022-11-19,22.0
2022-11-20,26.0
2022-11-21,41.0
2022-11-22,31.0
2022-11-23,20.0
2022-11-24,27.0
2022-11-25,16.0
2022-11-26,18.0
2022-11-27,20.0
2022-11-28,44.0
2022-11-29,46.0
2022-11-30,48.0
2022-12-01,47.0
2022-12-02,53.0
2022-12-03,20.0
2022-12-04,30.0
2022-12-05,53.0
2022-12-06,45.0
2022-12-07,47.0
2022-12-08,57.0
2022-12-09,46.0
2022-12-10,23.0
2022-12-11,29.0
2022-12-12,59.0
2022-12-13,46.0
2022-12-14,50.0
2022-12-15,43.0
2022-12-16,30.0
2022-12-17,23.0
2022-12-18,13.0
2022-12-19,34.0
2022-12-20,25.0
2022-12-21,22.0
2022-12-22,20.0
2022-12-23,12.0
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,17.0
2022-12-27,17.0
2022-12-28,11.0
2022-12-29,11.0
2022-12-30,14.0
2022-12-31,14.0
2023-01-01,12.0
2023-01-02,16.0
2023-01-03,23.0
2023-01-04,34.0
2023-01-05,38.0
2023-01-06,43.0
2023-01-07,20.0
2023-01-08,24.0
2023-01-09,47.0
2023-01-10,50.0
2023-01-11,66.0
2023-01-12,58.0
2023-01-13,53.0
2023-01-14,14.0
2023-01-15,13.0
2023-01-16,27.0
2023-01-17,54.0
2023-01-18,53.0
2023-01-19,59.0
2023-01-20,48.0
2023-01-21,18.0
2023-01-22,23.0
2023-01-23,58.0
2023-01-24,60.0
2023-01-25,44.0
2023-01-26,57.0
2023-01-27,52.0
2023-01-28,17.0
2023-01-29,17.0
2023-01-30,64.0
2023-01-31,58.0
2023-02-01,43.0
2023-02-02,50.0
2023-02-03,49.0
2023-02-04,20.0
2023-02-05,31.0
2023-02-06,57.0
2023-02-07,57.0
2023-02-08,52.0
2023-02-09,56.0
2023-02-10,46.0
2023-02-11,16.0
2023-02-12,25.0
2023-02-13,38.0
2023-02-14,49.0
2023-02-15,44.0
2023-02-16,45.0
2023-02-17,25.0
2023-02-18,24.0
2023-02-19,16.0
2023-02-20,30.0
2023-02-21,41.0
2023-02-22,37.0
2023-02-23,40.0
2023-02-24,39.0
2023-02-25,30.0
2023-02-26,23.0
2023-02-27,51.0
2023-02-28,47.0
2023-03-01,39.0
2023-03-02,47.0
2023-03-03,44.0
2023-03-04,29.0
2023-03-05,31.0
2023-03-06,56.0
2023-03-07,44.0
2023-03-08,33.0
2023-03-09,39.0
2023-03-10,41.0
2023-03-11,25.0
2023-03-12,19.0
2023-03-13,38.0
2023-03-14,34.0
2023-03-15,27.0
2023-03-16,30.0
2023-03-17,22.0
2023-03-18,20.0
2023-03-19,19.0
2023-03-20,28.0
2023-03-21,33.0
2023-03-22,37.0
2023-03-23,33.0
2023-03-24,35.0
2023-03-25,22.0
2023-03-26,19.0
2023-03-27,46.0
2023-03-28,39.0
2023-03-29,38.0
2023-03-30,40.0
2023-03-31,27.0
2023-04-01,20.0
2023-04-02,19.0
2023-04-03,38.0
2023-04-04,32.0
2023-04-05,33.0
2023-04-06,29.0
2023-04-07,10.0
2023-04-08,21.0
2023-04-09,20.0
2023-04-10,40.0
2023-04-11,41.0
2023-04-12,36.0
2023-04-13,40.0
2023-04-14,27.0
2023-04-15,14.0
2023-04-16,23.0
2023-04-17,41.0
2023-04-18,32.0
2023-04-19,37.0
2023-04-20,43.0
2023-04-21,29.0
2023-04-22,24.0
2023-04-23,17.0
2023-04-24,41.0
2023-04-25,38.0
2023-04-26,34.33333333333333
2023-04-27,33.888888888888886
2023-04-28,27.77777777777778
2023-04-29,24.0
2023-04-30,17.88888888888889
2023-05-01,40.94444444444444
2023-05-02,33.888888888888886
2023-05-03,29.166666666666664
2023-05-04,39.05555555555556
2023-05-05,32.0
2023-05-06,22.11111111111111
2023-05-07,16.944444444444443
2023-05-08,42.33333333333333
2023-05-09,45.166666666666664
2023-05-10,43.77777777777777
2023-05-11,38.111111111111114
2023-05-12,24.944444444444443
2023-05-13,16.0
2023-05-14,11.777777777777779
2023-05-15,31.055555555555557
2023-05-16,21.166666666666664
2023-05-17,25.888888888888886
2023-05-18,28.22222222222222
2023-05-19,26.833333333333332
2023-05-20,18.333333333333332
2023-05-21,16.0
2023-05-22,28.22222222222222
2023-05-23,25.388888888888886
2023-05-24,31.055555555555557
2023-05-25,23.11111111111111
2023-05-26,15.11111111111111
2023-05-27,0.0
2023-05-28,16.0
2023-05-29,12.444444444444443
2023-05-30,26.666666666666664
2023-05-31,19.555555555555554
2023-06-01,20.444444444444443
