Time,benefactor
2022-01-01,32.0
2022-01-02,43.0
2022-01-03,32.0
2022-01-04,49.0
2022-01-05,64.0
2022-01-06,39.0
2022-01-07,37.0
2022-01-08,44.0
2022-01-09,44.0
2022-01-10,51.0
2022-01-11,72.0
2022-01-12,48.0
2022-01-13,57.0
2022-01-14,47.0
2022-01-15,47.0
2022-01-16,57.0
2022-01-17,37.0
2022-01-18,46.0
2022-01-19,47.0
2022-01-20,47.0
2022-01-21,45.0
2022-01-22,32.0
2022-01-23,60.0
2022-01-24,65.0
2022-01-25,56.0
2022-01-26,34.0
2022-01-27,50.0
2022-01-28,46.0
2022-01-29,36.0
2022-01-30,41.0
2022-01-31,57.0
2022-02-01,52.0
2022-02-02,48.0
2022-02-03,48.0
2022-02-04,45.0
2022-02-05,57.0
2022-02-06,40.0
2022-02-07,41.0
2022-02-08,61.0
2022-02-09,72.0
2022-02-10,56.0
2022-02-11,51.0
2022-02-12,52.0
2022-02-13,40.0
2022-02-14,47.0
2022-02-15,55.0
2022-02-16,34.0
2022-02-17,45.0
2022-02-18,46.0
2022-02-19,42.0
2022-02-20,42.0
2022-02-21,53.0
2022-02-22,53.0
2022-02-23,46.0
2022-02-24,53.0
2022-02-25,52.0
2022-02-26,35.0
2022-02-27,38.0
2022-02-28,45.0
2022-03-01,47.0
2022-03-02,52.0
2022-03-03,55.0
2022-03-04,48.0
2022-03-05,27.0
2022-03-06,48.0
2022-03-07,60.0
2022-03-08,46.0
2022-03-09,48.0
2022-03-10,58.0
2022-03-11,36.0
2022-03-12,37.0
2022-03-13,28.0
2022-03-14,26.0
2022-03-15,36.0
2022-03-16,52.0
2022-03-17,46.0
2022-03-18,44.0
2022-03-19,37.0
2022-03-20,37.0
2022-03-21,51.0
2022-03-22,50.0
2022-03-23,51.0
2022-03-24,31.0
2022-03-25,53.0
2022-03-26,38.0
2022-03-27,42.0
2022-03-28,52.0
2022-03-29,57.0
2022-03-30,40.0
2022-03-31,50.0
2022-04-01,55.0
2022-04-02,35.0
2022-04-03,40.0
2022-04-04,51.0
2022-04-05,51.0
2022-04-06,56.0
2022-04-07,55.0
2022-04-08,48.0
2022-04-09,33.0
2022-04-10,51.0
2022-04-11,45.0
2022-04-12,49.0
2022-04-13,50.0
2022-04-14,58.0
2022-04-15,30.0
2022-04-16,30.0
2022-04-17,33.0
2022-04-18,56.0
2022-04-19,46.0
2022-04-20,57.0
2022-04-21,67.0
2022-04-22,50.0
2022-04-23,33.0
2022-04-24,53.0
2022-04-25,76.0
2022-04-26,58.0
2022-04-27,54.0
2022-04-28,56.0
2022-04-29,35.0
2022-04-30,35.0
2022-05-01,24.0
2022-05-02,66.0
2022-05-03,45.0
2022-05-04,60.0
2022-05-05,50.0
2022-05-06,37.0
2022-05-07,28.0
2022-05-08,30.0
2022-05-09,47.0
2022-05-10,51.0
2022-05-11,72.0
2022-05-12,46.0
2022-05-13,66.0
2022-05-14,32.0
2022-05-15,27.0
2022-05-16,43.0
2022-05-17,43.0
2022-05-18,37.0
2022-05-19,41.0
2022-05-20,35.0
2022-05-21,30.0
2022-05-22,38.0
2022-05-23,41.0
2022-05-24,34.0
2022-05-25,38.0
2022-05-26,43.0
2022-05-27,35.0
2022-05-28,19.0
2022-05-29,53.0
2022-05-30,27.0
2022-05-31,43.0
2022-06-01,31.0
2022-06-02,35.0
2022-06-03,35.0
2022-06-04,34.0
2022-06-05,43.0
2022-06-06,35.0
2022-06-07,38.0
2022-06-08,31.0
2022-06-09,39.0
2022-06-10,35.0
2022-06-11,28.0
2022-06-12,26.0
2022-06-13,31.0
2022-06-14,25.0
2022-06-15,33.0
2022-06-16,42.0
2022-06-17,38.0
2022-06-18,38.0
2022-06-19,32.0
2022-06-20,40.0
2022-06-21,31.0
2022-06-22,36.0
2022-06-23,57.0
2022-06-24,35.0
2022-06-25,43.0
2022-06-26,33.0
2022-06-27,37.0
2022-06-28,39.0
2022-06-29,56.0
2022-06-30,28.0
2022-07-01,41.0
2022-07-02,37.0
2022-07-03,33.0
2022-07-04,29.0
2022-07-05,35.0
2022-07-06,33.0
2022-07-07,28.0
2022-07-08,36.0
2022-07-09,34.0
2022-07-10,51.0
2022-07-11,24.0
2022-07-12,42.0
2022-07-13,22.0
2022-07-14,41.0
2022-07-15,35.0
2022-07-16,39.0
2022-07-17,38.0
2022-07-18,59.0
2022-07-19,45.0
2022-07-20,35.0
2022-07-21,26.0
2022-07-22,47.0
2022-07-23,34.0
2022-07-24,33.0
2022-07-25,32.0
2022-07-26,78.0
2022-07-27,58.0
2022-07-28,69.0
2022-07-29,50.0
2022-07-30,52.0
2022-07-31,52.0
2022-08-01,51.0
2022-08-02,42.0
2022-08-03,38.0
2022-08-04,87.0
2022-08-05,100.0
2022-08-06,69.0
2022-08-07,58.0
2022-08-08,52.0
2022-08-09,52.0
2022-08-10,59.0
2022-08-11,61.0
2022-08-12,58.0
2022-08-13,54.0
2022-08-14,58.0
2022-08-15,46.0
2022-08-16,51.0
2022-08-17,42.0
2022-08-18,42.0
2022-08-19,53.0
2022-08-20,45.0
2022-08-21,58.0
2022-08-22,39.0
2022-08-23,50.0
2022-08-24,37.0
2022-08-25,57.0
2022-08-26,58.0
2022-08-27,51.0
2022-08-28,36.0
2022-08-29,56.26086956521739
2022-08-30,55.88405797101449
2022-08-31,42.10144927536232
2022-09-01,44.731884057971016
2022-09-02,55.007246376811594
2022-09-03,49.869565217391305
2022-09-04,41.22463768115942
2022-09-05,55.88405797101449
2022-09-06,64.90579710144928
2022-09-07,52.8768115942029
2022-09-08,28.818840579710145
2022-09-09,36.96376811594203
2022-09-10,41.22463768115942
2022-09-11,61.89855072463769
2022-09-12,65.28260869565217
2022-09-13,59.768115942028984
2022-09-14,47.23913043478261
2022-09-15,52.3768115942029
2022-09-16,47.23913043478261
2022-09-17,52.0
2022-09-18,39.971014492753625
2022-09-19,64.90579710144928
2022-09-20,52.0
2022-09-21,56.26086956521739
2022-09-22,50.2463768115942
2022-09-23,46.86231884057971
2022-09-24,30.07246376811594
2022-09-25,36.08695652173913
2022-09-26,44.231884057971016
2022-09-27,37.68115942028986
2022-09-28,36.92753623188406
2022-09-29,45.21739130434783
2022-09-30,47.47826086956522
2022-10-01,29.391304347826086
2022-10-02,44.46376811594203
2022-10-03,67.07246376811594
2022-10-04,37.68115942028986
2022-10-05,64.05797101449275
2022-10-06,42.20289855072464
2022-10-07,55.768115942028984
2022-10-08,26.3768115942029
2022-10-09,40.69565217391305
2022-10-10,36.92753623188406
2022-10-11,49.73913043478261
2022-10-12,70.08695652173913
2022-10-13,52.0
2022-10-14,59.53623188405797
2022-10-15,31.65217391304348
2022-10-16,36.173913043478265
2022-10-17,59.53623188405797
2022-10-18,56.52173913043478
2022-10-19,62.550724637681164
2022-10-20,53.507246376811594
2022-10-21,47.47826086956522
2022-10-22,47.47826086956522
2022-10-23,21.10144927536232
2022-10-24,58.028985507246375
2022-10-25,75.36231884057972
2022-10-26,52.0
2022-10-27,58.78260869565217
2022-10-28,48.231884057971016
2022-10-29,32.405797101449274
2022-10-30,20.347826086956523
2022-10-31,47.47826086956522
2022-11-01,51.2463768115942
2022-11-02,54.26086956521739
2022-11-03,45.21739130434783
2022-11-04,39.94202898550725
2022-11-05,41.44927536231884
2022-11-06,42.20289855072464
2022-11-07,39.94202898550725
2022-11-08,46.72463768115942
2022-11-09,53.507246376811594
2022-11-10,44.46376811594203
2022-11-11,53.507246376811594
2022-11-12,44.46376811594203
2022-11-13,41.44927536231884
2022-11-14,69.33333333333333
2022-11-15,54.26086956521739
2022-11-16,52.0
2022-11-17,41.44927536231884
2022-11-18,35.42028985507246
2022-11-19,26.3768115942029
2022-11-20,40.69565217391305
2022-11-21,25.6231884057971
2022-11-22,54.26086956521739
2022-11-23,42.95652173913044
2022-11-24,30.898550724637683
2022-11-25,29.391304347826086
2022-11-26,42.95652173913044
2022-11-27,42.95652173913044
2022-11-28,51.2463768115942
2022-11-29,45.971014492753625
2022-11-30,45.971014492753625
2022-12-01,55.01449275362319
2022-12-02,36.92753623188406
2022-12-03,27.884057971014492
2022-12-04,27.884057971014492
2022-12-05,54.26086956521739
2022-12-06,47.47826086956522
2022-12-07,52.0
2022-12-08,44.46376811594203
2022-12-09,43.710144927536234
2022-12-10,27.130434782608695
2022-12-11,36.92753623188406
2022-12-12,50.492753623188406
2022-12-13,42.20289855072464
2022-12-14,33.91304347826087
2022-12-15,49.73913043478261
2022-12-16,39.18840579710145
2022-12-17,37.68115942028986
2022-12-18,23.36231884057971
2022-12-19,36.92753623188406
2022-12-20,34.666666666666664
2022-12-21,22.608695652173914
2022-12-22,52.7536231884058
2022-12-23,44.46376811594203
2022-12-24,31.65217391304348
2022-12-25,32.405797101449274
2022-12-26,32.405797101449274
2022-12-27,29.391304347826086
2022-12-28,36.173913043478265
2022-12-29,41.44927536231884
2022-12-30,44.46376811594203
2022-12-31,35.42028985507246
2023-01-01,27.884057971014492
2023-01-02,27.130434782608695
2023-01-03,47.47826086956522
2023-01-04,54.26086956521739
2023-01-05,40.69565217391305
2023-01-06,52.7536231884058
2023-01-07,44.46376811594203
2023-01-08,29.391304347826086
2023-01-09,44.46376811594203
2023-01-10,53.507246376811594
2023-01-11,51.2463768115942
2023-01-12,48.231884057971016
2023-01-13,40.69565217391305
2023-01-14,33.91304347826087
2023-01-15,38.434782608695656
2023-01-16,48.98550724637681
2023-01-17,62.550724637681164
2023-01-18,61.04347826086957
2023-01-19,58.028985507246375
2023-01-20,63.30434782608696
2023-01-21,42.95652173913044
