Time,patron
2022-01-01,91.0
2022-01-02,63.0
2022-01-03,51.0
2022-01-04,60.0
2022-01-05,56.0
2022-01-06,46.0
2022-01-07,63.0
2022-01-08,73.0
2022-01-09,73.0
2022-01-10,52.0
2022-01-11,54.0
2022-01-12,50.0
2022-01-13,58.0
2022-01-14,54.0
2022-01-15,72.0
2022-01-16,58.0
2022-01-17,46.0
2022-01-18,45.0
2022-01-19,50.0
2022-01-20,56.0
2022-01-21,51.0
2022-01-22,70.0
2022-01-23,73.0
2022-01-24,71.0
2022-01-25,49.0
2022-01-26,49.0
2022-01-27,52.0
2022-01-28,78.0
2022-01-29,80.0
2022-01-30,79.0
2022-01-31,56.0
2022-02-01,56.0
2022-02-02,60.0
2022-02-03,61.0
2022-02-04,67.0
2022-02-05,79.0
2022-02-06,77.0
2022-02-07,54.0
2022-02-08,58.0
2022-02-09,55.0
2022-02-10,52.0
2022-02-11,65.0
2022-02-12,78.0
2022-02-13,76.0
2022-02-14,64.0
2022-02-15,62.0
2022-02-16,60.0
2022-02-17,59.0
2022-02-18,60.0
2022-02-19,73.0
2022-02-20,75.0
2022-02-21,82.0
2022-02-22,73.0
2022-02-23,67.0
2022-02-24,65.0
2022-02-25,61.0
2022-02-26,76.0
2022-02-27,77.0
2022-02-28,59.0
2022-03-01,61.0
2022-03-02,58.0
2022-03-03,60.0
2022-03-04,63.0
2022-03-05,72.0
2022-03-06,74.0
2022-03-07,55.0
2022-03-08,56.0
2022-03-09,57.0
2022-03-10,60.0
2022-03-11,62.0
2022-03-12,78.0
2022-03-13,76.0
2022-03-14,62.0
2022-03-15,59.0
2022-03-16,58.0
2022-03-17,87.0
2022-03-18,81.0
2022-03-19,85.0
2022-03-20,73.0
2022-03-21,57.0
2022-03-22,55.0
2022-03-23,56.0
2022-03-24,60.0
2022-03-25,67.0
2022-03-26,76.0
2022-03-27,80.0
2022-03-28,60.0
2022-03-29,57.0
2022-03-30,59.0
2022-03-31,59.0
2022-04-01,79.0
2022-04-02,79.0
2022-04-03,77.0
2022-04-04,73.0
2022-04-05,58.0
2022-04-06,61.0
2022-04-07,63.0
2022-04-08,70.0
2022-04-09,77.0
2022-04-10,83.0
2022-04-11,62.0
2022-04-12,56.0
2022-04-13,57.0
2022-04-14,60.0
2022-04-15,64.0
2022-04-16,78.0
2022-04-17,74.0
2022-04-18,55.0
2022-04-19,56.0
2022-04-20,55.0
2022-04-21,62.0
2022-04-22,67.0
2022-04-23,79.0
2022-04-24,75.0
2022-04-25,62.0
2022-04-26,67.0
2022-04-27,62.0
2022-04-28,65.0
2022-04-29,71.0
2022-04-30,74.0
2022-05-01,71.0
2022-05-02,64.0
2022-05-03,56.0
2022-05-04,66.0
2022-05-05,100.0
2022-05-06,77.0
2022-05-07,81.0
2022-05-08,87.0
2022-05-09,71.0
2022-05-10,63.0
2022-05-11,61.0
2022-05-12,61.0
2022-05-13,66.0
2022-05-14,69.0
2022-05-15,73.0
2022-05-16,55.0
2022-05-17,58.0
2022-05-18,56.0
2022-05-19,59.0
2022-05-20,66.0
2022-05-21,75.0
2022-05-22,69.0
2022-05-23,58.0
2022-05-24,53.0
2022-05-25,54.0
