Time,bequeath
2022-01-01,62.0
2022-01-02,57.0
2022-01-03,55.0
2022-01-04,85.0
2022-01-05,72.0
2022-01-06,72.0
2022-01-07,43.0
2022-01-08,66.0
2022-01-09,0.0
2022-01-10,44.0
2022-01-11,60.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,63.0
2022-01-15,0.0
2022-01-16,0.0
2022-01-17,0.0
2022-01-18,45.0
2022-01-19,51.0
2022-01-20,0.0
2022-01-21,58.0
2022-01-22,0.0
2022-01-23,0.0
2022-01-24,100.0
2022-01-25,59.0
2022-01-26,68.0
2022-01-27,56.0
2022-01-28,55.0
2022-01-29,0.0
2022-01-30,55.0
2022-01-31,0.0
2022-02-01,53.0
2022-02-02,63.0
2022-02-03,67.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,55.0
2022-02-07,61.0
2022-02-08,50.0
2022-02-09,65.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,41.0
2022-02-15,47.0
2022-02-16,43.0
2022-02-17,55.0
2022-02-18,45.0
2022-02-19,0.0
2022-02-20,36.0
2022-02-21,49.0
2022-02-22,38.0
2022-02-23,0.0
2022-02-24,58.0
2022-02-25,45.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,63.0
2022-03-01,0.0
2022-03-02,35.0
2022-03-03,52.0
2022-03-04,57.0
2022-03-05,47.0
2022-03-06,0.0
2022-03-07,63.0
2022-03-08,57.0
2022-03-09,43.0
2022-03-10,0.0
2022-03-11,45.0
2022-03-12,48.0
2022-03-13,63.0
2022-03-14,40.0
2022-03-15,0.0
2022-03-16,40.0
2022-03-17,35.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,33.0
2022-03-22,65.0
2022-03-23,0.0
2022-03-24,40.0
2022-03-25,80.0
2022-03-26,52.0
2022-03-27,66.0
2022-03-28,55.0
2022-03-29,62.0
2022-03-30,40.0
2022-03-31,46.0
2022-04-01,64.0
2022-04-02,0.0
2022-04-03,45.0
2022-04-04,87.0
2022-04-05,70.0
2022-04-06,51.0
2022-04-07,69.0
2022-04-08,49.0
2022-04-09,47.0
2022-04-10,45.0
2022-04-11,45.0
2022-04-12,63.0
2022-04-13,74.0
2022-04-14,73.0
2022-04-15,40.0
2022-04-16,34.0
