Time,depression
2022-01-01,38.0
2022-01-02,41.0
2022-01-03,48.0
2022-01-04,58.0
2022-01-05,56.0
2022-01-06,44.0
2022-01-07,47.0
2022-01-08,45.0
2022-01-09,45.0
2022-01-10,52.0
2022-01-11,58.0
2022-01-12,53.0
2022-01-13,65.0
2022-01-14,51.0
2022-01-15,44.0
2022-01-16,39.0
2022-01-17,45.0
2022-01-18,50.0
2022-01-19,52.0
2022-01-20,52.0
2022-01-21,45.0
2022-01-22,48.0
2022-01-23,47.0
2022-01-24,71.0
2022-01-25,51.0
2022-01-26,54.0
2022-01-27,54.0
2022-01-28,59.0
2022-01-29,46.0
2022-01-30,47.0
2022-01-31,61.0
2022-02-01,56.0
2022-02-02,60.0
2022-02-03,71.0
2022-02-04,58.0
2022-02-05,51.0
2022-02-06,56.0
2022-02-07,66.0
2022-02-08,69.0
2022-02-09,66.0
2022-02-10,54.0
2022-02-11,56.0
2022-02-12,49.0
2022-02-13,46.0
2022-02-14,59.0
2022-02-15,67.0
2022-02-16,68.0
2022-02-17,70.0
2022-02-18,63.0
2022-02-19,45.0
2022-02-20,48.0
2022-02-21,60.0
2022-02-22,67.0
2022-02-23,67.0
2022-02-24,70.0
2022-02-25,58.0
2022-02-26,46.0
2022-02-27,50.0
2022-02-28,75.0
2022-03-01,68.0
2022-03-02,67.0
2022-03-03,72.0
2022-03-04,59.0
2022-03-05,48.0
2022-03-06,48.0
2022-03-07,68.0
2022-03-08,73.0
2022-03-09,69.0
2022-03-10,68.0
2022-03-11,59.0
2022-03-12,45.0
2022-03-13,51.0
2022-03-14,63.0
2022-03-15,61.0
2022-03-16,62.0
2022-03-17,59.0
2022-03-18,54.0
2022-03-19,43.0
2022-03-20,44.0
2022-03-21,62.0
2022-03-22,66.0
2022-03-23,66.0
2022-03-24,64.0
2022-03-25,71.0
2022-03-26,46.0
2022-03-27,51.0
2022-03-28,74.0
2022-03-29,79.0
2022-03-30,69.0
2022-03-31,75.0
2022-04-01,66.0
2022-04-02,42.0
2022-04-03,53.0
2022-04-04,78.0
2022-04-05,80.0
2022-04-06,83.0
2022-04-07,77.0
2022-04-08,70.0
2022-04-09,48.0
2022-04-10,47.0
2022-04-11,78.0
2022-04-12,71.0
2022-04-13,68.0
2022-04-14,73.0
2022-04-15,52.0
2022-04-16,44.0
2022-04-17,50.0
2022-04-18,71.0
2022-04-19,75.0
2022-04-20,75.0
2022-04-21,76.0
2022-04-22,67.0
2022-04-23,49.0
2022-04-24,54.0
2022-04-25,76.0
2022-04-26,81.0
2022-04-27,75.0
2022-04-28,77.0
2022-04-29,67.0
2022-04-30,56.0
2022-05-01,62.0
2022-05-02,85.0
2022-05-03,76.0
2022-05-04,77.0
2022-05-05,76.0
2022-05-06,64.0
2022-05-07,49.0
2022-05-08,46.0
2022-05-09,74.0
2022-05-10,69.0
2022-05-11,71.0
2022-05-12,68.0
2022-05-13,64.0
2022-05-14,45.0
2022-05-15,46.0
2022-05-16,65.0
2022-05-17,71.0
2022-05-18,61.0
2022-05-19,64.0
