Time,luxury
2022-01-01,77.0
2022-01-02,83.0
2022-01-03,70.0
2022-01-04,81.0
2022-01-05,85.0
2022-01-06,58.0
2022-01-07,67.0
2022-01-08,80.0
2022-01-09,83.0
2022-01-10,67.0
2022-01-11,72.0
2022-01-12,69.0
2022-01-13,79.0
2022-01-14,60.0
2022-01-15,73.0
2022-01-16,73.0
2022-01-17,72.0
2022-01-18,71.0
2022-01-19,66.0
2022-01-20,62.0
2022-01-21,66.0
2022-01-22,77.0
2022-01-23,81.0
2022-01-24,85.0
2022-01-25,65.0
2022-01-26,68.0
2022-01-27,66.0
2022-01-28,68.0
2022-01-29,74.0
2022-01-30,80.0
2022-01-31,64.0
2022-02-01,68.0
2022-02-02,71.0
2022-02-03,70.0
2022-02-04,69.0
2022-02-05,78.0
2022-02-06,82.0
2022-02-07,70.0
2022-02-08,79.0
2022-02-09,75.0
2022-02-10,58.0
2022-02-11,64.0
2022-02-12,75.0
2022-02-13,74.0
2022-02-14,62.0
2022-02-15,75.0
2022-02-16,78.0
2022-02-17,79.0
2022-02-18,87.0
2022-02-19,91.0
2022-02-20,89.0
2022-02-21,87.0
2022-02-22,82.0
2022-02-23,87.0
2022-02-24,68.0
2022-02-25,69.0
2022-02-26,79.0
2022-02-27,79.0
2022-02-28,75.0
2022-03-01,81.0
2022-03-02,100.0
2022-03-03,79.0
2022-03-04,83.0
2022-03-05,84.0
2022-03-06,91.0
2022-03-07,79.0
2022-03-08,71.0
2022-03-09,78.0
2022-03-10,77.0
2022-03-11,73.0
2022-03-12,85.0
2022-03-13,81.0
2022-03-14,74.0
2022-03-15,76.0
2022-03-16,86.0
2022-03-17,77.0
2022-03-18,73.0
2022-03-19,83.0
2022-03-20,88.0
2022-03-21,88.0
2022-03-22,81.0
2022-03-23,81.0
2022-03-24,76.0
2022-03-25,70.0
2022-03-26,77.0
2022-03-27,84.0
2022-03-28,73.0
2022-03-29,73.0
2022-03-30,84.0
2022-03-31,73.0
2022-04-01,78.0
2022-04-02,88.0
2022-04-03,87.0
2022-04-04,78.0
2022-04-05,69.0
2022-04-06,76.0
2022-04-07,74.0
2022-04-08,71.0
2022-04-09,84.0
2022-04-10,85.0
2022-04-11,67.0
2022-04-12,71.0
2022-04-13,66.0
2022-04-14,68.0
2022-04-15,76.0
2022-04-16,82.0
2022-04-17,81.0
2022-04-18,80.0
2022-04-19,75.0
2022-04-20,78.0
2022-04-21,81.0
2022-04-22,76.0
2022-04-23,86.0
2022-04-24,88.0
2022-04-25,72.0
2022-04-26,74.0
2022-04-27,76.0
2022-04-28,73.0
2022-04-29,77.0
2022-04-30,83.0
2022-05-01,82.0
2022-05-02,76.0
2022-05-03,76.0
2022-05-04,77.0
2022-05-05,69.0
2022-05-06,62.0
2022-05-07,82.0
2022-05-08,74.0
2022-05-09,71.0
2022-05-10,65.0
2022-05-11,76.0
2022-05-12,62.0
2022-05-13,63.0
2022-05-14,69.0
2022-05-15,66.0
2022-05-16,62.0
2022-05-17,63.0
2022-05-18,68.0
2022-05-19,64.0
2022-05-20,62.0
2022-05-21,77.0
2022-05-22,69.0
2022-05-23,69.0
2022-05-24,62.0
2022-05-25,64.0
2022-05-26,63.0
2022-05-27,65.0
2022-05-28,69.0
2022-05-29,71.0
2022-05-30,75.0
2022-05-31,68.0
2022-06-01,65.0
2022-06-02,66.0
