Time,legal
2022-01-01,35.0
2022-01-02,35.0
2022-01-03,38.0
2022-01-04,49.0
2022-01-05,45.0
2022-01-06,37.0
2022-01-07,41.0
2022-01-08,37.0
2022-01-09,35.0
2022-01-10,42.0
2022-01-11,44.0
2022-01-12,46.0
2022-01-13,51.0
2022-01-14,35.0
2022-01-15,38.0
2022-01-16,30.0
2022-01-17,33.0
2022-01-18,41.0
2022-01-19,42.0
2022-01-20,43.0
2022-01-21,43.0
2022-01-22,37.0
2022-01-23,38.0
2022-01-24,57.0
2022-01-25,43.0
2022-01-26,41.0
2022-01-27,43.0
2022-01-28,43.0
2022-01-29,38.0
2022-01-30,38.0
2022-01-31,46.0
2022-02-01,42.0
2022-02-02,45.0
2022-02-03,45.0
2022-02-04,45.0
2022-02-05,38.0
2022-02-06,38.0
2022-02-07,47.0
2022-02-08,51.0
2022-02-09,48.0
2022-02-10,38.0
2022-02-11,46.0
2022-02-12,38.0
2022-02-13,37.0
2022-02-14,43.0
2022-02-15,48.0
2022-02-16,48.0
2022-02-17,49.0
2022-02-18,48.0
2022-02-19,38.0
2022-02-20,39.0
2022-02-21,47.0
2022-02-22,48.0
2022-02-23,48.0
2022-02-24,45.0
2022-02-25,44.0
2022-02-26,38.0
2022-02-27,38.0
2022-02-28,47.0
2022-03-01,50.0
2022-03-02,50.0
2022-03-03,47.0
2022-03-04,46.0
2022-03-05,40.0
2022-03-06,40.0
2022-03-07,48.0
2022-03-08,50.0
2022-03-09,48.0
2022-03-10,48.0
2022-03-11,49.0
2022-03-12,40.0
2022-03-13,41.0
2022-03-14,48.0
2022-03-15,47.0
2022-03-16,47.0
2022-03-17,47.0
2022-03-18,46.0
2022-03-19,41.0
2022-03-20,40.0
2022-03-21,48.0
2022-03-22,49.0
2022-03-23,49.0
2022-03-24,49.0
2022-03-25,47.0
2022-03-26,44.0
2022-03-27,41.0
2022-03-28,47.0
2022-03-29,50.0
2022-03-30,49.0
2022-03-31,50.0
2022-04-01,53.0
2022-04-02,53.0
2022-04-03,43.0
2022-04-04,49.0
2022-04-05,52.0
2022-04-06,48.0
2022-04-07,51.0
2022-04-08,46.0
2022-04-09,43.0
2022-04-10,41.0
2022-04-11,49.0
2022-04-12,49.0
2022-04-13,47.0
2022-04-14,51.0
2022-04-15,48.0
2022-04-16,42.0
2022-04-17,39.0
2022-04-18,48.0
2022-04-19,52.0
2022-04-20,54.0
2022-04-21,53.0
2022-04-22,52.0
2022-04-23,45.0
2022-04-24,44.0
2022-04-25,49.0
2022-04-26,53.0
2022-04-27,50.0
2022-04-28,51.0
2022-04-29,46.0
2022-04-30,44.0
2022-05-01,42.0
2022-05-02,48.0
2022-05-03,62.0
2022-05-04,57.0
2022-05-05,57.0
2022-05-06,48.0
2022-05-07,44.0
2022-05-08,40.0
2022-05-09,50.0
2022-05-10,49.0
2022-05-11,52.0
2022-05-12,49.0
2022-05-13,44.0
2022-05-14,40.0
2022-05-15,40.0
2022-05-16,46.0
2022-05-17,50.0
2022-05-18,44.0
2022-05-19,47.0
2022-05-20,47.0
2022-05-21,40.0
2022-05-22,39.0
2022-05-23,48.0
2022-05-24,51.0
2022-05-25,53.0
2022-05-26,53.0
2022-05-27,48.0
2022-05-28,42.0
2022-05-29,42.0
2022-05-30,41.0
2022-05-31,47.0
2022-06-01,49.0
2022-06-02,50.0
2022-06-03,48.0
2022-06-04,42.0
2022-06-05,40.0
2022-06-06,47.0
2022-06-07,48.0
2022-06-08,49.0
2022-06-09,48.0
2022-06-10,47.0
2022-06-11,42.0
2022-06-12,42.0
2022-06-13,48.0
2022-06-14,46.0
2022-06-15,47.0
2022-06-16,47.0
2022-06-17,45.0
2022-06-18,43.0
2022-06-19,41.0
2022-06-20,46.0
2022-06-21,47.0
2022-06-22,49.0
2022-06-23,50.0
2022-06-24,99.0
2022-06-25,100.0
2022-06-26,71.0
2022-06-27,68.0
2022-06-28,62.0
2022-06-29,59.0
2022-06-30,58.0
2022-07-01,54.0
2022-07-02,52.0
2022-07-03,53.0
2022-07-04,55.0
2022-07-05,60.0
2022-07-06,51.0
2022-07-07,53.0
2022-07-08,52.0
2022-07-09,44.0
2022-07-10,39.0
2022-07-11,50.0
2022-07-12,49.0
2022-07-13,50.0
2022-07-14,50.0
2022-07-15,49.0
2022-07-16,45.0
2022-07-17,43.0
2022-07-18,48.0
2022-07-19,49.0
2022-07-20,51.0
2022-07-21,50.0
2022-07-22,49.0
2022-07-23,42.0
2022-07-24,42.0
2022-07-25,48.0
2022-07-26,49.0
2022-07-27,48.0
2022-07-28,48.0
2022-07-29,50.0
2022-07-30,41.0
2022-07-31,42.0
2022-08-01,46.0
2022-08-02,47.0
2022-08-03,48.0
2022-08-04,49.0
2022-08-05,48.0
2022-08-06,41.0
2022-08-07,41.0
2022-08-08,46.0
2022-08-09,49.0
2022-08-10,48.0
2022-08-11,47.0
2022-08-12,45.0
2022-08-13,41.0
2022-08-14,41.0
2022-08-15,47.0
2022-08-16,47.0
2022-08-17,47.0
2022-08-18,50.0
2022-08-19,47.0
2022-08-20,40.0
2022-08-21,40.0
2022-08-22,48.0
2022-08-23,48.0
2022-08-24,49.0
2022-08-25,51.0
2022-08-26,47.0
2022-08-27,42.0
2022-08-28,42.0
2022-08-29,48.859756097560975
2022-08-30,46.71341463414634
2022-08-31,46.71341463414634
2022-09-01,48.859756097560975
2022-09-02,45.92682926829268
2022-09-03,38.201219512195124
2022-09-04,40.0609756097561
2022-09-05,40.84756097560975
2022-09-06,47.0
2022-09-07,47.0
2022-09-08,46.21341463414634
2022-09-09,44.353658536585364
2022-09-10,39.27439024390244
2022-09-11,38.98780487804878
2022-09-12,46.71341463414634
2022-09-13,47.286585365853654
2022-09-14,48.859756097560975
2022-09-15,48.073170731707314
2022-09-16,47.0
2022-09-17,40.0609756097561
2022-09-18,38.98780487804878
2022-09-19,47.786585365853654
2022-09-20,47.286585365853654
2022-09-21,48.073170731707314
2022-09-22,48.073170731707314
2022-09-23,45.140243902439025
2022-09-24,38.701219512195124
2022-09-25,38.201219512195124
2022-09-26,44.853658536585364
2022-09-27,45.28048780487804
2022-09-28,44.70731707317073
2022-09-29,46.42682926829268
2022-09-30,43.56097560975609
2022-10-01,37.829268292682926
2022-10-02,37.256097560975604
2022-10-03,46.42682926829268
2022-10-04,49.292682926829265
2022-10-05,44.70731707317073
2022-10-06,50.4390243902439
2022-10-07,48.71951219512195
2022-10-08,40.12195121951219
2022-10-09,39.548780487804876
2022-10-10,43.56097560975609
2022-10-11,48.14634146341463
2022-10-12,47.573170731707314
2022-10-13,48.14634146341463
2022-10-14,46.42682926829268
2022-10-15,37.256097560975604
2022-10-16,36.109756097560975
2022-10-17,46.99999999999999
2022-10-18,48.14634146341463
2022-10-19,50.4390243902439
2022-10-20,49.86585365853658
2022-10-21,45.28048780487804
2022-10-22,40.12195121951219
2022-10-23,37.829268292682926
2022-10-24,46.99999999999999
2022-10-25,48.71951219512195
2022-10-26,47.573170731707314
2022-10-27,48.14634146341463
