Time,ke huy quan
2023-12-22,6
2023-12-23,6
2023-12-24,10
2023-12-25,10
2023-12-26,11
2023-12-27,18
2023-12-28,15
2023-12-29,10
2023-12-30,9
2023-12-31,10
2024-01-01,15
2024-01-02,12
2024-01-03,9
2024-01-04,7
2024-01-05,11
2024-01-06,12
2024-01-07,14
2024-01-08,11
2024-01-09,8
2024-01-10,7
2024-01-11,6
2024-01-12,6
2024-01-13,7
2024-01-14,11
2024-01-15,10
2024-01-16,13
2024-01-17,10
2024-01-18,9
2024-01-19,9
2024-01-20,8
2024-01-21,10
2024-01-22,9
2024-01-23,7
2024-01-24,6
2024-01-25,6
2024-01-26,8
2024-01-27,12
2024-01-28,10
2024-01-29,4
2024-01-30,7
2024-01-31,4
2024-02-01,5
2024-02-02,10
2024-02-03,13
2024-02-04,10
2024-02-05,7
2024-02-06,0
2024-02-07,4
2024-02-08,4
2024-02-09,0
2024-02-10,6
2024-02-11,8
2024-02-12,0
2024-02-13,4
2024-02-14,7
2024-02-15,5
2024-02-16,6
2024-02-17,6
2024-02-18,10
2024-02-19,8
2024-02-20,6
2024-02-21,5
2024-02-22,8
2024-02-23,10
2024-02-24,10
2024-02-25,11
2024-02-26,8
2024-02-27,10
2024-02-28,7
2024-02-29,7
2024-03-01,7
2024-03-02,8
2024-03-03,7
2024-03-04,5
2024-03-05,4
2024-03-06,0
2024-03-07,0
2024-03-08,8
2024-03-09,19
2024-03-10,39
2024-03-11,100
2024-03-12,66
2024-03-13,49
2024-03-14,28
2024-03-15,23
2024-03-16,27
2024-03-17,16
2024-03-18,11
2024-03-19,10
2024-03-20,9
2024-03-21,11
2024-03-22,9
2024-03-23,10
2024-03-24,10
2024-03-25,9
2024-03-26,9
2024-03-27,7
2024-03-28,6
2024-03-29,8
2024-03-30,10
2024-03-31,10
2024-04-01,7
2024-04-02,5
2024-04-03,5
2024-04-04,6
2024-04-05,5
2024-04-06,5
2024-04-07,5
2024-04-08,0
2024-04-09,5
2024-04-10,8
2024-04-11,4
2024-04-12,4
2024-04-13,5
2024-04-14,6
2024-04-15,5
2024-04-16,0
2024-04-17,4
2024-04-18,4
2024-04-19,6
2024-04-20,0
2024-04-21,5
2024-04-22,4
2024-04-23,4
2024-04-24,7
2024-04-25,5
2024-04-26,4
2024-04-27,6
2024-04-28,7
2024-04-29,4
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,4
2024-05-04,6
2024-05-05,10
2024-05-06,0
2024-05-07,0
2024-05-08,4
2024-05-09,3
2024-05-10,0
2024-05-11,0
2024-05-12,5
2024-05-13,4
2024-05-14,0
2024-05-15,0
2024-05-16,0
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,4
2024-05-21,0
2024-05-22,0
2024-05-23,4
2024-05-24,0
2024-05-25,0
2024-05-26,5
2024-05-27,0
2024-05-28,0
2024-05-29,4
2024-05-30,16
2024-05-31,5
2024-06-01,5
2024-06-02,7
2024-06-03,4
2024-06-04,8
2024-06-05,0
2024-06-06,4
2024-06-07,5
2024-06-08,9
2024-06-09,0
2024-06-10,4
2024-06-11,4
2024-06-12,0
2024-06-13,0
2024-06-14,0
2024-06-15,0
2024-06-16,0
2024-06-17,7
2024-06-18,0
2024-06-19,0
2024-06-20,0
2024-06-21,6
2024-06-22,0
2024-06-23,5
2024-06-24,5
2024-06-25,0
2024-06-26,0
2024-06-27,5
2024-06-28,5
2024-06-29,10
2024-06-30,5
2024-07-01,5
2024-07-02,0
2024-07-03,4
2024-07-04,6
2024-07-05,6
2024-07-06,4
2024-07-07,7
2024-07-08,0
2024-07-09,0
2024-07-10,4
2024-07-11,4
2024-07-12,5
2024-07-13,4
2024-07-14,7
2024-07-15,44
2024-07-16,39
2024-07-17,24
2024-07-18,19
2024-07-19,12
2024-07-20,14
2024-07-21,9
2024-07-22,10
2024-07-23,6
2024-07-24,8
2024-07-25,12
2024-07-26,11
2024-07-27,6
2024-07-28,5
2024-07-29,4
2024-07-30,10
2024-07-31,16
2024-08-01,11
2024-08-02,8
2024-08-03,14
2024-08-04,15
2024-08-05,8
2024-08-06,6
2024-08-07,5
2024-08-08,7
2024-08-09,5
2024-08-10,23
2024-08-11,15
2024-08-12,9
2024-08-13,7
2024-08-14,7
2024-08-15,6
2024-08-16,9
2024-08-17,7
2024-08-18,9
2024-08-19,6
2024-08-20,7
2024-08-21,8
2024-08-22,6
2024-08-23,6
2024-08-24,9
2024-08-25,5
2024-08-26,4
2024-08-27,0
2024-08-28,0
2024-08-29,4
2024-08-30,6
2024-08-31,0
2024-09-01,0
2024-09-02,7
2024-09-03,5
2024-09-04,4
2024-09-05,4
2024-09-06,4
2024-09-07,5
2024-09-08,5
2024-09-09,7
2024-09-10,4
2024-09-11,6
2024-09-12,6
2024-09-13,4
2024-09-14,7
2024-09-15,6
2024-09-16,4
