Time,flights
2022-08-29,48
2022-08-30,50
2022-08-31,49
2022-09-01,49
2022-09-02,44
2022-09-03,41
2022-09-04,45
2022-09-05,52
2022-09-06,52
2022-09-07,50
2022-09-08,46
2022-09-09,45
2022-09-10,43
2022-09-11,47
2022-09-12,51
2022-09-13,50
2022-09-14,52
2022-09-15,48
2022-09-16,44
2022-09-17,44
2022-09-18,46
2022-09-19,51
2022-09-20,49
2022-09-21,49
2022-09-22,49
2022-09-23,45
2022-09-24,41
2022-09-25,47
2022-09-26,49
2022-09-27,54
2022-09-28,48
2022-09-29,45
2022-09-30,42
2022-10-01,44
2022-10-02,44
2022-10-03,48
2022-10-04,51
2022-10-05,47
2022-10-06,50
2022-10-07,46
2022-10-08,41
2022-10-09,43
2022-10-10,49
2022-10-11,50
2022-10-12,48
2022-10-13,45
2022-10-14,44
2022-10-15,41
2022-10-16,45
2022-10-17,47
2022-10-18,49
2022-10-19,46
2022-10-20,44
2022-10-21,43
2022-10-22,41
2022-10-23,43
2022-10-24,45
2022-10-25,49
2022-10-26,47
2022-10-27,44
2022-10-28,41
2022-10-29,40
2022-10-30,42
2022-10-31,44
2022-11-01,46
2022-11-02,45
2022-11-03,47
2022-11-04,45
2022-11-05,44
2022-11-06,43
2022-11-07,47
2022-11-08,48
2022-11-09,45
2022-11-10,45
2022-11-11,42
2022-11-12,40
2022-11-13,44
2022-11-14,48
2022-11-15,49
2022-11-16,50
2022-11-17,44
2022-11-18,44
2022-11-19,43
2022-11-20,42
2022-11-21,45
2022-11-22,43
2022-11-23,42
2022-11-24,37
2022-11-25,44
2022-11-26,42
2022-11-27,50
2022-11-28,53
2022-11-29,58
2022-11-30,50
2022-12-01,47
2022-12-02,42
2022-12-03,40
2022-12-04,44
2022-12-05,45
2022-12-06,42
2022-12-07,45
2022-12-08,43
2022-12-09,38
2022-12-10,38
2022-12-11,42
2022-12-12,44
2022-12-13,43
2022-12-14,42
2022-12-15,43
2022-12-16,42
2022-12-17,43
2022-12-18,39
2022-12-19,46
2022-12-20,49
2022-12-21,53
2022-12-22,59
2022-12-23,63
2022-12-24,55
2022-12-25,52
2022-12-26,73
2022-12-27,94
2022-12-28,74
2022-12-29,61
2022-12-30,52
2022-12-31,45
2023-01-01,46
2023-01-02,59
2023-01-03,62
2023-01-04,63
2023-01-05,61
2023-01-06,55
2023-01-07,55
2023-01-08,60
2023-01-09,60
2023-01-10,63
2023-01-11,100
2023-01-12,66
2023-01-13,55
2023-01-14,55
2023-01-15,53
2023-01-16,59
2023-01-17,60
2023-01-18,60
2023-01-19,56
2023-01-20,54
2023-01-21,53
2023-01-22,57
2023-01-23,60
2023-01-24,60
2023-01-25,59
2023-01-26,57
2023-01-27,55
2023-01-28,52
2023-01-29,56
2023-01-30,58
2023-01-31,62
2023-02-01,60
2023-02-02,58
2023-02-03,54
2023-02-04,55
2023-02-05,60
2023-02-06,57
2023-02-07,58
2023-02-08,57
2023-02-09,54
2023-02-10,54
2023-02-11,53
2023-02-12,51
2023-02-13,51
2023-02-14,54
2023-02-15,57
2023-02-16,59
2023-02-17,57
2023-02-18,56
2023-02-19,60
2023-02-20,61
2023-02-21,62
2023-02-22,64
2023-02-23,63
2023-02-24,59
2023-02-25,59
2023-02-26,61
2023-02-27,65
2023-02-28,62
2023-03-01,60
2023-03-02,60
2023-03-03,52
2023-03-04,57
2023-03-05,63
2023-03-06,60
2023-03-07,62
2023-03-08,61
2023-03-09,59
2023-03-10,55
2023-03-11,56
2023-03-12,59
2023-03-13,59
2023-03-14,63
2023-03-15,59
2023-03-16,56
2023-03-17,52
2023-03-18,53
2023-03-19,59
2023-03-20,61
2023-03-21,60
2023-03-22,59
2023-03-23,55
2023-03-24,55
2023-03-25,53
2023-03-26,58
2023-03-27,60
2023-03-28,58
2023-03-29,56
2023-03-30,54
2023-03-31,52
2023-04-01,54
2023-04-02,59
2023-04-03,57
2023-04-04,58
2023-04-05,54
2023-04-06,54
2023-04-07,50
2023-04-08,48
2023-04-09,50
2023-04-10,58
2023-04-11,61
2023-04-12,61
2023-04-13,56
2023-04-14,55
2023-04-15,50
2023-04-16,56
2023-04-17,56
2023-04-18,60
2023-04-19,63
2023-04-20,61
2023-04-21,55
2023-04-22,54
2023-04-23,56
2023-04-24,56
2023-04-25,56
2023-04-26,56
2023-04-27,53
2023-04-28,48
2023-04-29,49
2023-04-30,55
2023-05-01,56
2023-05-02,57
2023-05-03,56
2023-05-04,51
2023-05-05,45
2023-05-06,46
2023-05-07,52
2023-05-08,56
2023-05-09,57
2023-05-10,55
2023-05-11,52
2023-05-12,53
2023-05-13,50
2023-05-14,51
2023-05-15,59
2023-05-16,61
2023-05-17,58
2023-05-18,56
2023-05-19,54
2023-05-20,51
2023-05-21,55
2023-05-22,55
2023-05-23,59
2023-05-24,57
2023-05-25,57
