Time,fetterman
2023-04-26,4
2023-04-27,3
2023-04-28,3
2023-04-29,2
2023-04-30,3
2023-05-01,2
2023-05-02,3
2023-05-03,3
2023-05-04,3
2023-05-05,4
2023-05-06,2
2023-05-07,2
2023-05-08,3
2023-05-09,5
2023-05-10,3
2023-05-11,3
2023-05-12,2
2023-05-13,2
2023-05-14,2
2023-05-15,2
2023-05-16,6
2023-05-17,13
2023-05-18,15
2023-05-19,43
2023-05-20,32
2023-05-21,22
2023-05-22,13
2023-05-23,7
2023-05-24,5
2023-05-25,5
2023-05-26,4
2023-05-27,3
2023-05-28,3
2023-05-29,3
2023-05-30,2
2023-05-31,2
2023-06-01,2
2023-06-02,4
2023-06-03,3
2023-06-04,14
2023-06-05,4
2023-06-06,2
2023-06-07,2
2023-06-08,2
2023-06-09,2
2023-06-10,2
2023-06-11,3
2023-06-12,2
2023-06-13,2
2023-06-14,2
2023-06-15,1
2023-06-16,3
2023-06-17,41
2023-06-18,47
2023-06-19,74
2023-06-20,64
2023-06-21,12
2023-06-22,9
2023-06-23,26
2023-06-24,24
2023-06-25,5
2023-06-26,4
2023-06-27,4
2023-06-28,4
2023-06-29,4
2023-06-30,3
2023-07-01,3
2023-07-02,4
2023-07-03,3
2023-07-04,2
2023-07-05,2
2023-07-06,2
2023-07-07,2
2023-07-08,2
2023-07-09,2
2023-07-10,2
2023-07-11,2
2023-07-12,2
2023-07-13,2
2023-07-14,1
2023-07-15,2
2023-07-16,2
2023-07-17,1
2023-07-18,2
2023-07-19,2
2023-07-20,3
2023-07-21,3
2023-07-22,2
2023-07-23,1
2023-07-24,2
2023-07-25,2
2023-07-26,4
2023-07-27,6
2023-07-28,5
2023-07-29,5
2023-07-30,4
2023-07-31,3
2023-08-01,2
2023-08-02,2
2023-08-03,2
2023-08-04,2
2023-08-05,2
2023-08-06,2
2023-08-07,2
2023-08-08,3
2023-08-09,1
2023-08-10,2
2023-08-11,2
2023-08-12,2
2023-08-13,2
2023-08-14,2
2023-08-15,2
2023-08-16,2
2023-08-17,1
2023-08-18,3
2023-08-19,2
2023-08-20,6
2023-08-21,14
2023-08-22,9
2023-08-23,4
2023-08-24,4
2023-08-25,3
2023-08-26,3
2023-08-27,3
2023-08-28,3
2023-08-29,2
2023-08-30,3
2023-08-31,6
2023-09-01,4
2023-09-02,3
2023-09-03,2
2023-09-04,3
2023-09-05,2
2023-09-06,2
2023-09-07,5
2023-09-08,4
2023-09-09,2
2023-09-10,2
2023-09-11,2
2023-09-12,9
2023-09-13,18
2023-09-14,10
2023-09-15,10
2023-09-16,8
2023-09-17,7
2023-09-18,23
2023-09-19,51
2023-09-20,56
2023-09-21,60
2023-09-22,60
2023-09-23,43
2023-09-24,30
2023-09-25,23
2023-09-26,16
2023-09-27,12
2023-09-28,31
2023-09-29,25
2023-09-30,13
2023-10-01,10
2023-10-02,6
2023-10-03,5
2023-10-04,6
2023-10-05,7
2023-10-06,7
2023-10-07,5
2023-10-08,4
2023-10-09,2
2023-10-10,3
2023-10-11,3
2023-10-12,16
2023-10-13,13
2023-10-14,6
2023-10-15,4
2023-10-16,4
2023-10-17,4
2023-10-18,8
2023-10-19,14
2023-10-20,7
2023-10-21,4
2023-10-22,3
2023-10-23,3
2023-10-24,3
2023-10-25,4
2023-10-26,7
2023-10-27,5
2023-10-28,4
2023-10-29,3
2023-10-30,5
2023-10-31,8
2023-11-01,8
2023-11-02,5
2023-11-03,4
2023-11-04,4
2023-11-05,3
2023-11-06,4
2023-11-07,5
2023-11-08,6
2023-11-09,4
2023-11-10,9
2023-11-11,7
2023-11-12,3
2023-11-13,3
2023-11-14,5
2023-11-15,5
2023-11-16,3
2023-11-17,2
2023-11-18,1
2023-11-19,2
2023-11-20,3
2023-11-21,2
2023-11-22,2
2023-11-23,3
2023-11-24,2
2023-11-25,2
2023-11-26,2
2023-11-27,2
2023-11-28,2
2023-11-29,2
2023-11-30,2
2023-12-01,7
2023-12-02,6
2023-12-03,3
2023-12-04,3
2023-12-05,11
2023-12-06,6
2023-12-07,4
2023-12-08,4
2023-12-09,2
2023-12-10,3
2023-12-11,2
2023-12-12,2
2023-12-13,3
2023-12-14,2
2023-12-15,19
2023-12-16,100
2023-12-17,38
2023-12-18,6
2023-12-19,8
2023-12-20,7
2023-12-21,9
2023-12-22,8
2023-12-23,4
2023-12-24,3
2023-12-25,2
2023-12-26,3
2023-12-27,5
2023-12-28,5
2023-12-29,4
2023-12-30,3
2023-12-31,9
2024-01-01,6
2024-01-02,3
2024-01-03,3
2024-01-04,2
2024-01-05,4
2024-01-06,7
2024-01-07,3
2024-01-08,3
2024-01-09,2
2024-01-10,2
2024-01-11,5
2024-01-12,6
2024-01-13,4
2024-01-14,3
2024-01-15,2
2024-01-16,2
2024-01-17,2
2024-01-18,3
2024-01-19,4
2024-01-20,3
