Time,lainey wilson
2022-01-01,100
2022-01-02,11
2022-01-03,74
2022-01-04,17
2022-01-05,9
2022-01-06,7
2022-01-07,6
2022-01-08,6
2022-01-09,5
2022-01-10,3
2022-01-11,2
2022-01-12,3
2022-01-13,4
2022-01-14,3
2022-01-15,7
2022-01-16,6
2022-01-17,2
2022-01-18,4
2022-01-19,2
2022-01-20,4
2022-01-21,4
2022-01-22,5
2022-01-23,2
2022-01-24,3
2022-01-25,3
2022-01-26,2
2022-01-27,3
2022-01-28,3
2022-01-29,3
2022-01-30,2
2022-01-31,0
2022-02-01,3
2022-02-02,2
2022-02-03,3
2022-02-04,3
2022-02-05,5
2022-02-06,6
2022-02-07,3
2022-02-08,2
2022-02-09,0
2022-02-10,0
2022-02-11,3
2022-02-12,3
2022-02-13,4
2022-02-14,2
2022-02-15,3
2022-02-16,2
2022-02-17,3
2022-02-18,2
2022-02-19,4
2022-02-20,0
2022-02-21,3
2022-02-22,2
2022-02-23,3
2022-02-24,2
2022-02-25,3
2022-02-26,3
2022-02-27,3
2022-02-28,3
2022-03-01,4
2022-03-02,3
2022-03-03,2
2022-03-04,4
2022-03-05,8
2022-03-06,6
2022-03-07,6
2022-03-08,72
2022-03-09,21
2022-03-10,10
2022-03-11,7
2022-03-12,9
2022-03-13,7
2022-03-14,3
2022-03-15,5
2022-03-16,4
2022-03-17,2
2022-03-18,4
2022-03-19,5
2022-03-20,4
2022-03-21,4
2022-03-22,3
2022-03-23,9
2022-03-24,5
2022-03-25,6
2022-03-26,5
2022-03-27,4
2022-03-28,2
2022-03-29,4
2022-03-30,4
2022-03-31,5
2022-04-01,5
2022-04-02,5
2022-04-03,4
2022-04-04,4
2022-04-05,3
2022-04-06,3
2022-04-07,2
2022-04-08,4
2022-04-09,4
2022-04-10,4
2022-04-11,13
2022-04-12,31
2022-04-13,7
2022-04-14,4
2022-04-15,5
2022-04-16,7
2022-04-17,6
2022-04-18,6
2022-04-19,3
2022-04-20,4
2022-04-21,4
2022-04-22,3
2022-04-23,3
2022-04-24,6
2022-04-25,2
2022-04-26,4
2022-04-27,5
2022-04-28,4
2022-04-29,5
2022-04-30,6
2022-05-01,9
2022-05-02,3
2022-05-03,4
2022-05-04,5
2022-05-05,4
2022-05-06,3
2022-05-07,5
2022-05-08,5
2022-05-09,4
2022-05-10,3
2022-05-11,3
2022-05-12,3
2022-05-13,4
2022-05-14,5
2022-05-15,5
2022-05-16,6
2022-05-17,3
2022-05-18,3
2022-05-19,4
2022-05-20,20
2022-05-21,9
2022-05-22,7
2022-05-23,5
2022-05-24,15
2022-05-25,4
2022-05-26,5
2022-05-27,13
2022-05-28,8
2022-05-29,5
2022-05-30,5
2022-05-31,3
2022-06-01,3
2022-06-02,6
2022-06-03,6
2022-06-04,6
2022-06-05,5
2022-06-06,5
2022-06-07,3
2022-06-08,4
2022-06-09,5
2022-06-10,6
2022-06-11,24
2022-06-12,14
2022-06-13,10
2022-06-14,9
2022-06-15,8
2022-06-16,6
2022-06-17,9
2022-06-18,10
2022-06-19,8
2022-06-20,5
2022-06-21,4
2022-06-22,3
2022-06-23,3
2022-06-24,4
2022-06-25,3
2022-06-26,10
2022-06-27,5
2022-06-28,4
2022-06-29,5
2022-06-30,5
2022-07-01,4
2022-07-02,7
2022-07-03,8
2022-07-04,6
2022-07-05,6
2022-07-06,4
2022-07-07,4
2022-07-08,3
2022-07-09,6
2022-07-10,4
2022-07-11,5
2022-07-12,3
2022-07-13,5
2022-07-14,3
2022-07-15,4
2022-07-16,6
2022-07-17,7
2022-07-18,4
2022-07-19,9
2022-07-20,8
2022-07-21,6
2022-07-22,5
2022-07-23,7
2022-07-24,7
2022-07-25,7
2022-07-26,5
2022-07-27,6
2022-07-28,15
2022-07-29,12
2022-07-30,8
2022-07-31,7
2022-08-01,3
2022-08-02,4
2022-08-03,6
2022-08-04,41
2022-08-05,8
2022-08-06,10
2022-08-07,7
2022-08-08,3
2022-08-09,3
2022-08-10,5
2022-08-11,4
2022-08-12,6
2022-08-13,4
2022-08-14,7
2022-08-15,4
2022-08-16,4
2022-08-17,4
2022-08-18,4
2022-08-19,6
2022-08-20,6
2022-08-21,7
2022-08-22,4
2022-08-23,5
2022-08-24,6
2022-08-25,6
2022-08-26,23
2022-08-27,19
2022-08-28,15
2022-08-29,11
2022-08-30,11
2022-08-31,9
2022-09-01,8
2022-09-02,8
2022-09-03,10
2022-09-04,10
2022-09-05,10
2022-09-06,6
2022-09-07,17
2022-09-08,16
2022-09-09,11
2022-09-10,16
2022-09-11,11
2022-09-12,10
2022-09-13,8
2022-09-14,87
2022-09-15,17
2022-09-16,16
2022-09-17,16
2022-09-18,17
2022-09-19,9
2022-09-20,8
2022-09-21,9
2022-09-22,19
2022-09-23,25
2022-09-24,14
2022-09-25,12
2022-09-26,10
2022-09-27,7
