Time,credit karma
2022-01-01,49.0
2022-01-02,52.0
2022-01-03,65.0
2022-01-04,82.0
2022-01-05,75.0
2022-01-06,61.0
2022-01-07,70.0
2022-01-08,68.0
2022-01-09,58.0
2022-01-10,64.0
2022-01-11,66.0
2022-01-12,70.0
2022-01-13,85.0
2022-01-14,61.0
2022-01-15,66.0
2022-01-16,57.0
2022-01-17,61.0
2022-01-18,66.0
2022-01-19,69.0
2022-01-20,66.0
2022-01-21,70.0
2022-01-22,67.0
2022-01-23,58.0
2022-01-24,91.0
2022-01-25,77.0
2022-01-26,70.0
2022-01-27,74.0
2022-01-28,81.0
2022-01-29,76.0
2022-01-30,69.0
2022-01-31,82.0
2022-02-01,94.0
2022-02-02,90.0
2022-02-03,86.0
2022-02-04,85.0
2022-02-05,83.0
2022-02-06,72.0
2022-02-07,90.0
2022-02-08,87.0
2022-02-09,80.0
2022-02-10,74.0
2022-02-11,88.0
2022-02-12,78.0
2022-02-13,68.0
2022-02-14,70.0
2022-02-15,90.0
2022-02-16,95.0
2022-02-17,88.0
2022-02-18,89.0
2022-02-19,90.0
2022-02-20,71.0
2022-02-21,82.0
2022-02-22,96.0
2022-02-23,98.0
2022-02-24,100.0
2022-02-25,97.0
2022-02-26,78.0
2022-02-27,70.0
2022-02-28,90.0
2022-03-01,94.0
2022-03-02,99.0
2022-03-03,90.0
2022-03-04,93.0
2022-03-05,79.0
2022-03-06,71.0
2022-03-07,89.0
2022-03-08,91.0
2022-03-09,94.0
2022-03-10,87.0
2022-03-11,84.0
2022-03-12,75.0
2022-03-13,68.0
2022-03-14,87.0
2022-03-15,91.0
2022-03-16,86.0
2022-03-17,84.0
2022-03-18,83.0
2022-03-19,68.0
2022-03-20,63.0
2022-03-21,87.0
2022-03-22,89.0
2022-03-23,82.0
2022-03-24,81.0
2022-03-25,73.0
2022-03-26,96.0
2022-03-27,67.0
2022-03-28,73.0
2022-03-29,74.0
2022-03-30,73.0
2022-03-31,73.0
2022-04-01,79.0
2022-04-02,69.0
2022-04-03,64.0
2022-04-04,80.0
2022-04-05,81.0
2022-04-06,81.0
2022-04-07,82.0
2022-04-08,81.0
2022-04-09,78.0
2022-04-10,69.0
2022-04-11,85.0
2022-04-12,83.0
2022-04-13,82.0
2022-04-14,82.0
2022-04-15,81.0
2022-04-16,72.0
2022-04-17,74.0
