Time,spotify
2023-04-26,21
2023-04-27,26
2023-04-28,21
2023-04-29,15
2023-04-30,15
2023-05-01,21
2023-05-02,22
2023-05-03,21
2023-05-04,22
2023-05-05,21
2023-05-06,15
2023-05-07,13
2023-05-08,20
2023-05-09,21
2023-05-10,21
2023-05-11,22
2023-05-12,22
2023-05-13,15
2023-05-14,14
2023-05-15,20
2023-05-16,22
2023-05-17,20
2023-05-18,22
2023-05-19,21
2023-05-20,15
2023-05-21,14
2023-05-22,19
2023-05-23,19
2023-05-24,20
2023-05-25,20
2023-05-26,19
2023-05-27,16
2023-05-28,14
2023-05-29,15
2023-05-30,19
2023-05-31,19
2023-06-01,19
2023-06-02,19
2023-06-03,16
2023-06-04,16
2023-06-05,18
2023-06-06,18
2023-06-07,20
2023-06-08,18
2023-06-09,18
2023-06-10,15
2023-06-11,15
2023-06-12,17
2023-06-13,17
2023-06-14,17
2023-06-15,17
2023-06-16,18
2023-06-17,16
2023-06-18,15
2023-06-19,17
2023-06-20,17
2023-06-21,17
2023-06-22,16
2023-06-23,17
2023-06-24,15
2023-06-25,14
2023-06-26,16
2023-06-27,17
2023-06-28,17
2023-06-29,17
2023-06-30,19
2023-07-01,15
2023-07-02,14
2023-07-03,16
2023-07-04,16
2023-07-05,15
2023-07-06,17
2023-07-07,20
2023-07-08,16
2023-07-09,15
2023-07-10,17
2023-07-11,18
2023-07-12,17
2023-07-13,18
2023-07-14,18
2023-07-15,15
2023-07-16,15
2023-07-17,17
2023-07-18,15
2023-07-19,17
2023-07-20,16
2023-07-21,16
2023-07-22,15
2023-07-23,15
2023-07-24,20
2023-07-25,21
2023-07-26,19
2023-07-27,21
2023-07-28,18
2023-07-29,15
2023-07-30,14
2023-07-31,17
2023-08-01,17
2023-08-02,16
2023-08-03,16
2023-08-04,18
2023-08-05,14
2023-08-06,14
2023-08-07,16
2023-08-08,17
2023-08-09,17
2023-08-10,16
2023-08-11,18
2023-08-12,14
2023-08-13,14
2023-08-14,17
2023-08-15,18
2023-08-16,18
2023-08-17,19
2023-08-18,19
2023-08-19,15
2023-08-20,14
2023-08-21,19
2023-08-22,20
2023-08-23,21
2023-08-24,21
2023-08-25,21
2023-08-26,15
2023-08-27,15
2023-08-28,20
2023-08-29,22
2023-08-30,21
2023-08-31,21
2023-09-01,21
2023-09-02,15
2023-09-03,16
2023-09-04,16
2023-09-05,20
2023-09-06,22
2023-09-07,23
2023-09-08,23
2023-09-09,16
2023-09-10,14
2023-09-11,21
2023-09-12,22
2023-09-13,23
2023-09-14,24
2023-09-15,22
2023-09-16,15
2023-09-17,14
2023-09-18,21
2023-09-19,23
2023-09-20,23
2023-09-21,25
2023-09-22,24
2023-09-23,16
2023-09-24,15
2023-09-25,21
2023-09-26,22
2023-09-27,22
2023-09-28,25
2023-09-29,25
2023-09-30,16
2023-10-01,15
2023-10-02,22
2023-10-03,22
2023-10-04,25
2023-10-05,25
2023-10-06,25
2023-10-07,16
2023-10-08,17
2023-10-09,19
2023-10-10,23
2023-10-11,25
2023-10-12,24
2023-10-13,23
2023-10-14,16
2023-10-15,15
2023-10-16,21
2023-10-17,21
2023-10-18,23
2023-10-19,25
2023-10-20,23
2023-10-21,15
2023-10-22,15
2023-10-23,21
2023-10-24,23
2023-10-25,22
2023-10-26,22
2023-10-27,24
2023-10-28,14
2023-10-29,13
2023-10-30,19
2023-10-31,20
2023-11-01,20
2023-11-02,21
2023-11-03,21
2023-11-04,15
2023-11-05,14
2023-11-06,20
2023-11-07,20
2023-11-08,22
2023-11-09,24
2023-11-10,20
2023-11-11,15
2023-11-12,15
2023-11-13,20
2023-11-14,21
2023-11-15,23
2023-11-16,23
2023-11-17,23
2023-11-18,16
2023-11-19,15
2023-11-20,19
2023-11-21,20
2023-11-22,18
2023-11-23,15
2023-11-24,14
2023-11-25,16
2023-11-26,17
2023-11-27,22
2023-11-28,29
2023-11-29,100
2023-11-30,54
2023-12-01,33
2023-12-02,22
2023-12-03,19
2023-12-04,24
2023-12-05,26
2023-12-06,26
2023-12-07,24
2023-12-08,23
2023-12-09,18
2023-12-10,16
2023-12-11,22
2023-12-12,22
2023-12-13,23
2023-12-14,23
2023-12-15,23
2023-12-16,17
2023-12-17,16
2023-12-18,19
2023-12-19,20
2023-12-20,20
2023-12-21,20
2023-12-22,17
2023-12-23,15
2023-12-24,15
2023-12-25,18
2023-12-26,16
2023-12-27,16
2023-12-28,15
2023-12-29,15
2023-12-30,14
2023-12-31,15
2024-01-01,15
2024-01-02,16
2024-01-03,19
2024-01-04,19
2024-01-05,20
2024-01-06,15
2024-01-07,14
2024-01-08,19
2024-01-09,18
2024-01-10,20
2024-01-11,21
2024-01-12,21
2024-01-13,15
2024-01-14,14
2024-01-15,14
2024-01-16,19
2024-01-17,20
2024-01-18,21
2024-01-19,20
2024-01-20,16
