Time,wbc
2023-04-26,93
2023-04-27,93
2023-04-28,83
2023-04-29,66
2023-04-30,59
2023-05-01,78
2023-05-02,90
2023-05-03,96
2023-05-04,87
2023-05-05,79
2023-05-06,72
2023-05-07,66
2023-05-08,78
2023-05-09,81
2023-05-10,89
2023-05-11,81
2023-05-12,84
2023-05-13,68
2023-05-14,56
2023-05-15,76
2023-05-16,83
2023-05-17,83
2023-05-18,85
2023-05-19,85
2023-05-20,68
2023-05-21,58
2023-05-22,74
2023-05-23,82
2023-05-24,89
2023-05-25,88
2023-05-26,85
2023-05-27,62
2023-05-28,52
2023-05-29,54
2023-05-30,76
2023-05-31,83
2023-06-01,87
2023-06-02,81
2023-06-03,71
2023-06-04,53
2023-06-05,70
2023-06-06,91
2023-06-07,88
2023-06-08,87
2023-06-09,79
2023-06-10,70
2023-06-11,55
2023-06-12,76
2023-06-13,84
2023-06-14,91
2023-06-15,84
2023-06-16,82
2023-06-17,72
2023-06-18,61
2023-06-19,77
2023-06-20,76
2023-06-21,87
2023-06-22,90
2023-06-23,87
2023-06-24,67
2023-06-25,56
2023-06-26,68
2023-06-27,92
2023-06-28,88
2023-06-29,87
2023-06-30,79
2023-07-01,67
2023-07-02,58
2023-07-03,65
2023-07-04,57
2023-07-05,70
2023-07-06,87
2023-07-07,88
2023-07-08,72
2023-07-09,56
2023-07-10,73
2023-07-11,89
2023-07-12,90
2023-07-13,82
2023-07-14,82
2023-07-15,66
2023-07-16,57
2023-07-17,69
2023-07-18,88
2023-07-19,85
2023-07-20,78
2023-07-21,77
2023-07-22,69
2023-07-23,50
2023-07-24,76
2023-07-25,84
2023-07-26,88
2023-07-27,82
2023-07-28,82
2023-07-29,60
2023-07-30,62
2023-07-31,74
2023-08-01,81
2023-08-02,78
2023-08-03,87
2023-08-04,83
2023-08-05,55
2023-08-06,60
2023-08-07,66
2023-08-08,86
2023-08-09,85
2023-08-10,83
2023-08-11,83
2023-08-12,67
2023-08-13,53
2023-08-14,69
2023-08-15,80
2023-08-16,82
2023-08-17,76
2023-08-18,86
2023-08-19,67
2023-08-20,52
2023-08-21,77
2023-08-22,75
2023-08-23,93
2023-08-24,87
2023-08-25,73
2023-08-26,62
2023-08-27,56
2023-08-28,70
2023-08-29,88
2023-08-30,88
2023-08-31,78
2023-09-01,86
2023-09-02,63
2023-09-03,50
2023-09-04,52
2023-09-05,61
2023-09-06,91
2023-09-07,81
2023-09-08,74
2023-09-09,65
2023-09-10,55
2023-09-11,76
2023-09-12,84
2023-09-13,91
2023-09-14,91
2023-09-15,81
2023-09-16,65
2023-09-17,50
2023-09-18,76
2023-09-19,90
2023-09-20,91
2023-09-21,88
2023-09-22,78
2023-09-23,69
2023-09-24,58
2023-09-25,80
2023-09-26,88
2023-09-27,95
2023-09-28,88
2023-09-29,84
2023-09-30,71
2023-10-01,71
2023-10-02,74
2023-10-03,88
2023-10-04,95
2023-10-05,87
2023-10-06,87
2023-10-07,66
2023-10-08,53
2023-10-09,77
2023-10-10,83
2023-10-11,91
2023-10-12,87
2023-10-13,84
2023-10-14,62
2023-10-15,54
2023-10-16,76
2023-10-17,85
2023-10-18,94
2023-10-19,88
2023-10-20,88
2023-10-21,69
2023-10-22,57
2023-10-23,74
2023-10-24,89
2023-10-25,86
2023-10-26,82
2023-10-27,81
2023-10-28,72
2023-10-29,68
2023-10-30,78
2023-10-31,92
2023-11-01,91
2023-11-02,96
2023-11-03,79
2023-11-04,68
2023-11-05,56
2023-11-06,81
2023-11-07,86
2023-11-08,94
2023-11-09,96
2023-11-10,87
2023-11-11,66
2023-11-12,56
2023-11-13,78
2023-11-14,89
2023-11-15,92
2023-11-16,100
2023-11-17,81
2023-11-18,67
2023-11-19,58
2023-11-20,74
2023-11-21,84
2023-11-22,86
2023-11-23,55
2023-11-24,46
2023-11-25,51
2023-11-26,45
2023-11-27,70
2023-11-28,85
2023-11-29,85
2023-11-30,86
2023-12-01,81
2023-12-02,71
2023-12-03,50
2023-12-04,68
2023-12-05,86
2023-12-06,90
2023-12-07,95
2023-12-08,90
2023-12-09,75
2023-12-10,60
2023-12-11,73
2023-12-12,85
2023-12-13,86
2023-12-14,76
2023-12-15,81
2023-12-16,61
2023-12-17,47
2023-12-18,62
2023-12-19,79
2023-12-20,78
2023-12-21,77
2023-12-22,79
2023-12-23,57
2023-12-24,48
2023-12-25,38
2023-12-26,59
2023-12-27,67
2023-12-28,76
2023-12-29,67
2023-12-30,66
2023-12-31,43
2024-01-01,40
2024-01-02,66
2024-01-03,77
2024-01-04,74
2024-01-05,80
2024-01-06,62
2024-01-07,48
2024-01-08,57
2024-01-09,82
2024-01-10,88
2024-01-11,80
2024-01-12,78
2024-01-13,61
2024-01-14,43
2024-01-15,57
2024-01-16,69
2024-01-17,84
2024-01-18,85
2024-01-19,86
2024-01-20,67
