Time,wbc
2023-12-22,56
2023-12-23,40
2023-12-24,34
2023-12-25,26
2023-12-26,42
2023-12-27,47
2023-12-28,53
2023-12-29,47
2023-12-30,47
2023-12-31,30
2024-01-01,28
2024-01-02,47
2024-01-03,54
2024-01-04,52
2024-01-05,56
2024-01-06,44
2024-01-07,34
2024-01-08,40
2024-01-09,57
2024-01-10,62
2024-01-11,56
2024-01-12,55
2024-01-13,43
2024-01-14,30
2024-01-15,40
2024-01-16,49
2024-01-17,59
2024-01-18,59
2024-01-19,60
2024-01-20,47
2024-01-21,38
2024-01-22,53
2024-01-23,62
2024-01-24,66
2024-01-25,61
2024-01-26,60
2024-01-27,53
2024-01-28,40
2024-01-29,51
2024-01-30,61
2024-01-31,66
2024-02-01,67
2024-02-02,61
2024-02-03,52
2024-02-04,45
2024-02-05,57
2024-02-06,65
2024-02-07,64
2024-02-08,66
2024-02-09,65
2024-02-10,51
2024-02-11,39
2024-02-12,51
2024-02-13,62
2024-02-14,67
2024-02-15,61
2024-02-16,62
2024-02-17,58
2024-02-18,45
2024-02-19,54
2024-02-20,64
2024-02-21,69
2024-02-22,65
2024-02-23,66
2024-02-24,55
2024-02-25,37
2024-02-26,57
2024-02-27,66
2024-02-28,66
2024-02-29,66
2024-03-01,65
2024-03-02,52
2024-03-03,39
2024-03-04,54
2024-03-05,67
2024-03-06,62
2024-03-07,68
2024-03-08,62
2024-03-09,51
2024-03-10,41
2024-03-11,51
2024-03-12,61
2024-03-13,63
2024-03-14,60
2024-03-15,62
2024-03-16,46
2024-03-17,37
2024-03-18,57
2024-03-19,67
2024-03-20,70
2024-03-21,56
2024-03-22,60
2024-03-23,53
2024-03-24,44
2024-03-25,57
2024-03-26,63
2024-03-27,65
2024-03-28,70
2024-03-29,58
2024-03-30,46
2024-03-31,42
2024-04-01,52
2024-04-02,60
2024-04-03,68
2024-04-04,63
2024-04-05,57
2024-04-06,47
2024-04-07,39
2024-04-08,51
2024-04-09,62
2024-04-10,64
2024-04-11,64
2024-04-12,60
2024-04-13,52
2024-04-14,44
2024-04-15,56
2024-04-16,64
2024-04-17,66
2024-04-18,64
2024-04-19,60
2024-04-20,52
2024-04-21,54
2024-04-22,63
2024-04-23,63
2024-04-24,70
2024-04-25,62
2024-04-26,60
2024-04-27,50
2024-04-28,39
2024-04-29,58
2024-04-30,60
2024-05-01,63
2024-05-02,60
2024-05-03,62
2024-05-04,51
2024-05-05,48
2024-05-06,53
2024-05-07,61
2024-05-08,64
2024-05-09,61
2024-05-10,64
2024-05-11,42
2024-05-12,37
2024-05-13,54
2024-05-14,61
2024-05-15,62
2024-05-16,62
2024-05-17,58
2024-05-18,48
2024-05-19,44
2024-05-20,50
2024-05-21,61
2024-05-22,59
2024-05-23,59
2024-05-24,60
2024-05-25,47
2024-05-26,32
2024-05-27,35
2024-05-28,48
2024-05-29,60
2024-05-30,60
2024-05-31,56
2024-06-01,48
2024-06-02,34
2024-06-03,48
2024-06-04,57
2024-06-05,60
2024-06-06,66
2024-06-07,56
2024-06-08,47
2024-06-09,34
2024-06-10,53
2024-06-11,64
2024-06-12,59
2024-06-13,64
2024-06-14,61
2024-06-15,45
2024-06-16,43
2024-06-17,56
2024-06-18,60
2024-06-19,58
2024-06-20,60
2024-06-21,55
2024-06-22,44
2024-06-23,34
2024-06-24,51
2024-06-25,61
2024-06-26,62
2024-06-27,60
2024-06-28,56
2024-06-29,41
2024-06-30,37
2024-07-01,53
2024-07-02,58
2024-07-03,63
2024-07-04,45
2024-07-05,100
2024-07-06,55
2024-07-07,48
2024-07-08,49
2024-07-09,60
2024-07-10,62
2024-07-11,58
2024-07-12,62
2024-07-13,44
2024-07-14,33
2024-07-15,51
2024-07-16,61
2024-07-17,63
2024-07-18,62
2024-07-19,55
2024-07-20,42
2024-07-21,33
2024-07-22,55
2024-07-23,59
2024-07-24,60
2024-07-25,60
2024-07-26,53
2024-07-27,46
2024-07-28,36
2024-07-29,52
2024-07-30,56
2024-07-31,60
2024-08-01,57
2024-08-02,54
2024-08-03,47
2024-08-04,40
2024-08-05,49
2024-08-06,53
2024-08-07,62
2024-08-08,56
2024-08-09,52
2024-08-10,45
2024-08-11,36
2024-08-12,49
2024-08-13,56
2024-08-14,62
2024-08-15,59
2024-08-16,56
2024-08-17,43
2024-08-18,33
2024-08-19,47
2024-08-20,58
2024-08-21,61
2024-08-22,60
2024-08-23,55
2024-08-24,43
2024-08-25,36
2024-08-26,48
2024-08-27,56
2024-08-28,55
2024-08-29,61
2024-08-30,55
2024-08-31,41
2024-09-01,35
2024-09-02,33
2024-09-03,44
2024-09-04,55
2024-09-05,56
2024-09-06,54
2024-09-07,47
2024-09-08,35
2024-09-09,49
2024-09-10,56
2024-09-11,59
2024-09-12,59
2024-09-13,56
2024-09-14,45
2024-09-15,41
2024-09-16,54
