Time,russia
2023-12-22,20
2023-12-23,22
2023-12-24,22
2023-12-25,22
2023-12-26,24
2023-12-27,21
2023-12-28,23
2023-12-29,23
2023-12-30,24
2023-12-31,25
2024-01-01,23
2024-01-02,22
2024-01-03,25
2024-01-04,22
2024-01-05,23
2024-01-06,20
2024-01-07,21
2024-01-08,23
2024-01-09,25
2024-01-10,28
2024-01-11,26
2024-01-12,25
2024-01-13,20
2024-01-14,22
2024-01-15,21
2024-01-16,24
2024-01-17,24
2024-01-18,27
2024-01-19,25
2024-01-20,22
2024-01-21,23
2024-01-22,32
2024-01-23,28
2024-01-24,31
2024-01-25,30
2024-01-26,27
2024-01-27,24
2024-01-28,23
2024-01-29,27
2024-01-30,31
2024-01-31,29
2024-02-01,29
2024-02-02,26
2024-02-03,21
2024-02-04,22
2024-02-05,31
2024-02-06,34
2024-02-07,28
2024-02-08,31
2024-02-09,42
2024-02-10,28
2024-02-11,26
2024-02-12,26
2024-02-13,30
2024-02-14,43
2024-02-15,50
2024-02-16,49
2024-02-17,36
2024-02-18,35
2024-02-19,32
2024-02-20,41
2024-02-21,37
2024-02-22,38
2024-02-23,39
2024-02-24,32
2024-02-25,28
2024-02-26,31
2024-02-27,31
2024-02-28,30
2024-02-29,29
2024-03-01,30
2024-03-02,26
2024-03-03,26
2024-03-04,29
2024-03-05,27
2024-03-06,28
2024-03-07,31
2024-03-08,29
2024-03-09,24
2024-03-10,24
2024-03-11,28
2024-03-12,30
2024-03-13,32
2024-03-14,29
2024-03-15,28
2024-03-16,26
2024-03-17,30
2024-03-18,31
2024-03-19,29
2024-03-20,30
2024-03-21,28
2024-03-22,65
2024-03-23,100
2024-03-24,66
2024-03-25,64
2024-03-26,49
2024-03-27,35
2024-03-28,31
2024-03-29,33
2024-03-30,28
2024-03-31,34
2024-04-01,32
2024-04-02,32
2024-04-03,27
2024-04-04,28
2024-04-05,27
2024-04-06,23
2024-04-07,23
2024-04-08,26
2024-04-09,29
2024-04-10,28
2024-04-11,25
2024-04-12,27
2024-04-13,26
2024-04-14,32
2024-04-15,32
2024-04-16,28
2024-04-17,27
2024-04-18,28
2024-04-19,27
2024-04-20,23
2024-04-21,26
2024-04-22,27
2024-04-23,28
2024-04-24,28
2024-04-25,26
2024-04-26,26
2024-04-27,23
2024-04-28,30
2024-04-29,27
2024-04-30,28
2024-05-01,27
2024-05-02,28
2024-05-03,29
2024-05-04,22
2024-05-05,24
2024-05-06,26
2024-05-07,30
2024-05-08,28
2024-05-09,26
2024-05-10,27
2024-05-11,23
2024-05-12,24
2024-05-13,27
2024-05-14,26
2024-05-15,26
2024-05-16,26
2024-05-17,26
2024-05-18,27
2024-05-19,25
2024-05-20,26
2024-05-21,26
2024-05-22,23
2024-05-23,29
2024-05-24,24
2024-05-25,22
2024-05-26,22
2024-05-27,23
2024-05-28,23
2024-05-29,23
2024-05-30,24
2024-05-31,27
2024-06-01,27
2024-06-02,25
2024-06-03,23
2024-06-04,24
2024-06-05,25
2024-06-06,28
2024-06-07,26
2024-06-08,31
2024-06-09,39
2024-06-10,34
2024-06-11,40
2024-06-12,46
2024-06-13,47
2024-06-14,37
2024-06-15,31
2024-06-16,35
2024-06-17,32
2024-06-18,29
2024-06-19,29
2024-06-20,28
2024-06-21,25
2024-06-22,28
2024-06-23,31
2024-06-24,33
2024-06-25,32
2024-06-26,28
2024-06-27,29
2024-06-28,34
2024-06-29,27
2024-06-30,27
2024-07-01,23
2024-07-02,27
2024-07-03,22
2024-07-04,24
2024-07-05,22
2024-07-06,22
2024-07-07,23
2024-07-08,23
2024-07-09,26
2024-07-10,23
2024-07-11,25
2024-07-12,24
2024-07-13,23
2024-07-14,26
2024-07-15,22
2024-07-16,20
2024-07-17,21
2024-07-18,22
2024-07-19,24
2024-07-20,22
2024-07-21,24
2024-07-22,23
2024-07-23,21
2024-07-24,21
2024-07-25,29
2024-07-26,35
2024-07-27,68
2024-07-28,53
2024-07-29,50
2024-07-30,52
2024-07-31,43
2024-08-01,65
2024-08-02,57
2024-08-03,37
2024-08-04,45
2024-08-05,35
2024-08-06,28
2024-08-07,32
2024-08-08,40
2024-08-09,37
2024-08-10,40
2024-08-11,48
2024-08-12,39
2024-08-13,33
2024-08-14,31
2024-08-15,32
2024-08-16,28
2024-08-17,32
2024-08-18,41
2024-08-19,32
2024-08-20,28
2024-08-21,26
2024-08-22,26
2024-08-23,26
2024-08-24,25
2024-08-25,25
2024-08-26,26
2024-08-27,25
2024-08-28,26
2024-08-29,23
2024-08-30,25
2024-08-31,21
2024-09-01,24
2024-09-02,24
2024-09-03,24
2024-09-04,25
2024-09-05,33
2024-09-06,25
2024-09-07,24
2024-09-08,29
2024-09-09,24
2024-09-10,25
2024-09-11,35
2024-09-12,28
2024-09-13,32
2024-09-14,26
2024-09-15,26
2024-09-16,25
