Time,russia
2022-08-29,22
2022-08-30,24
2022-08-31,24
2022-09-01,22
2022-09-02,22
2022-09-03,20
2022-09-04,21
2022-09-05,24
2022-09-06,27
2022-09-07,24
2022-09-08,24
2022-09-09,25
2022-09-10,24
2022-09-11,28
2022-09-12,33
2022-09-13,33
2022-09-14,30
2022-09-15,31
2022-09-16,28
2022-09-17,25
2022-09-18,24
2022-09-19,27
2022-09-20,32
2022-09-21,58
2022-09-22,54
2022-09-23,47
2022-09-24,42
2022-09-25,39
2022-09-26,46
2022-09-27,49
2022-09-28,53
2022-09-29,46
2022-09-30,54
2022-10-01,44
2022-10-02,42
2022-10-03,43
2022-10-04,47
2022-10-05,45
2022-10-06,44
2022-10-07,49
2022-10-08,50
2022-10-09,42
2022-10-10,51
2022-10-11,47
2022-10-12,41
2022-10-13,41
2022-10-14,39
2022-10-15,32
2022-10-16,33
2022-10-17,36
2022-10-18,38
2022-10-19,38
2022-10-20,38
2022-10-21,34
2022-10-22,26
2022-10-23,28
2022-10-24,33
2022-10-25,39
2022-10-26,36
2022-10-27,34
2022-10-28,30
2022-10-29,23
2022-10-30,24
2022-10-31,30
2022-11-01,26
2022-11-02,30
2022-11-03,28
2022-11-04,28
2022-11-05,21
2022-11-06,21
2022-11-07,25
2022-11-08,25
2022-11-09,30
2022-11-10,32
2022-11-11,28
2022-11-12,24
2022-11-13,24
2022-11-14,27
2022-11-15,100
2022-11-16,86
2022-11-17,41
2022-11-18,34
2022-11-19,24
2022-11-20,27
2022-11-21,27
2022-11-22,26
2022-11-23,23
2022-11-24,24
2022-11-25,20
2022-11-26,21
2022-11-27,23
2022-11-28,26
2022-11-29,29
2022-11-30,28
2022-12-01,31
2022-12-02,28
2022-12-03,21
2022-12-04,23
2022-12-05,31
2022-12-06,29
2022-12-07,29
2022-12-08,96
2022-12-09,81
2022-12-10,42
2022-12-11,34
2022-12-12,35
2022-12-13,32
2022-12-14,32
2022-12-15,31
2022-12-16,29
2022-12-17,22
2022-12-18,21
2022-12-19,23
2022-12-20,22
2022-12-21,24
2022-12-22,29
2022-12-23,24
2022-12-24,22
2022-12-25,23
2022-12-26,23
2022-12-27,22
2022-12-28,23
2022-12-29,23
2022-12-30,20
2022-12-31,22
2023-01-01,21
2023-01-02,21
2023-01-03,22
2023-01-04,27
2023-01-05,26
2023-01-06,26
2023-01-07,19
2023-01-08,20
2023-01-09,24
2023-01-10,27
2023-01-11,28
2023-01-12,28
2023-01-13,27
2023-01-14,21
2023-01-15,18
2023-01-16,20
2023-01-17,27
2023-01-18,26
2023-01-19,27
2023-01-20,28
2023-01-21,21
2023-01-22,21
2023-01-23,29
2023-01-24,32
2023-01-25,36
2023-01-26,41
2023-01-27,33
2023-01-28,24
2023-01-29,31
2023-01-30,33
2023-01-31,31
2023-02-01,33
2023-02-02,30
2023-02-03,33
2023-02-04,23
2023-02-05,26
2023-02-06,33
2023-02-07,33
2023-02-08,31
2023-02-09,30
2023-02-10,31
2023-02-11,27
2023-02-12,26
2023-02-13,32
2023-02-14,38
2023-02-15,35
2023-02-16,33
2023-02-17,27
2023-02-18,23
2023-02-19,27
2023-02-20,34
2023-02-21,48
2023-02-22,45
2023-02-23,39
2023-02-24,42
2023-02-25,32
2023-02-26,34
2023-02-27,36
2023-02-28,33
2023-03-01,34
2023-03-02,31
2023-03-03,27
2023-03-04,23
2023-03-05,22
2023-03-06,29
2023-03-07,27
2023-03-08,28
2023-03-09,31
2023-03-10,30
2023-03-11,25
2023-03-12,22
2023-03-13,25
2023-03-14,34
2023-03-15,37
2023-03-16,36
2023-03-17,30
2023-03-18,22
2023-03-19,23
2023-03-20,30
2023-03-21,31
2023-03-22,31
2023-03-23,35
2023-03-24,29
2023-03-25,24
2023-03-26,25
2023-03-27,29
2023-03-28,29
2023-03-29,29
2023-03-30,36
2023-03-31,30
2023-04-01,25
2023-04-02,27
2023-04-03,32
2023-04-04,33
2023-04-05,31
2023-04-06,29
2023-04-07,23
2023-04-08,20
2023-04-09,21
2023-04-10,22
2023-04-11,25
2023-04-12,27
2023-04-13,25
2023-04-14,28
2023-04-15,20
2023-04-16,21
2023-04-17,27
2023-04-18,24
2023-04-19,23
2023-04-20,22
2023-04-21,25
2023-04-22,20
2023-04-23,22
2023-04-24,25
2023-04-25,25
2023-04-26,25
2023-04-27,24
2023-04-28,23
2023-04-29,17
2023-04-30,20
2023-05-01,24
2023-05-02,23
2023-05-03,28
2023-05-04,31
2023-05-05,27
2023-05-06,19
2023-05-07,26
2023-05-08,24
2023-05-09,26
2023-05-10,24
2023-05-11,23
2023-05-12,22
2023-05-13,20
2023-05-14,21
2023-05-15,27
2023-05-16,26
2023-05-17,24
2023-05-18,23
2023-05-19,22
2023-05-20,20
2023-05-21,22
2023-05-22,27
2023-05-23,26
2023-05-24,23
2023-05-25,20
