Time,chicago bears
2022-08-29,15
2022-08-30,16
2022-08-31,16
2022-09-01,14
2022-09-02,13
2022-09-03,13
2022-09-04,17
2022-09-05,14
2022-09-06,16
2022-09-07,14
2022-09-08,14
2022-09-09,14
2022-09-10,15
2022-09-11,100
2022-09-12,27
2022-09-13,16
2022-09-14,14
2022-09-15,12
2022-09-16,12
2022-09-17,13
2022-09-18,39
2022-09-19,76
2022-09-20,13
2022-09-21,11
2022-09-22,10
2022-09-23,10
2022-09-24,11
2022-09-25,82
2022-09-26,21
2022-09-27,13
2022-09-28,11
2022-09-29,11
2022-09-30,11
2022-10-01,13
2022-10-02,67
2022-10-03,17
2022-10-04,10
2022-10-05,9
2022-10-06,9
2022-10-07,10
2022-10-08,10
2022-10-09,62
2022-10-10,16
2022-10-11,12
2022-10-12,13
2022-10-13,29
2022-10-14,92
2022-10-15,10
2022-10-16,18
2022-10-17,11
2022-10-18,10
2022-10-19,8
2022-10-20,8
2022-10-21,8
2022-10-22,9
2022-10-23,25
2022-10-24,26
2022-10-25,78
2022-10-26,15
2022-10-27,13
2022-10-28,11
2022-10-29,12
2022-10-30,68
2022-10-31,21
2022-11-01,22
2022-11-02,14
2022-11-03,11
2022-11-04,12
2022-11-05,12
2022-11-06,64
2022-11-07,19
2022-11-08,11
2022-11-09,9
2022-11-10,9
2022-11-11,10
2022-11-12,10
2022-11-13,62
2022-11-14,17
2022-11-15,10
2022-11-16,9
2022-11-17,9
2022-11-18,10
2022-11-19,10
2022-11-20,50
2022-11-21,15
2022-11-22,10
2022-11-23,9
2022-11-24,11
2022-11-25,10
2022-11-26,9
2022-11-27,44
2022-11-28,13
2022-11-29,8
2022-11-30,7
2022-12-01,7
2022-12-02,8
2022-12-03,9
2022-12-04,48
2022-12-05,14
2022-12-06,8
2022-12-07,7
2022-12-08,7
2022-12-09,7
2022-12-10,8
2022-12-11,23
2022-12-12,11
2022-12-13,8
2022-12-14,7
2022-12-15,7
2022-12-16,8
2022-12-17,9
2022-12-18,46
2022-12-19,15
2022-12-20,10
2022-12-21,9
2022-12-22,9
2022-12-23,12
2022-12-24,43
2022-12-25,17
2022-12-26,10
2022-12-27,8
2022-12-28,7
2022-12-29,8
2022-12-30,8
2022-12-31,8
2023-01-01,30
2023-01-02,13
2023-01-03,7
2023-01-04,7
2023-01-05,7
2023-01-06,7
2023-01-07,7
2023-01-08,34
2023-01-09,19
2023-01-10,11
2023-01-11,9
2023-01-12,9
2023-01-13,8
2023-01-14,8
2023-01-15,10
2023-01-16,8
2023-01-17,8
2023-01-18,7
2023-01-19,7
2023-01-20,6
2023-01-21,7
2023-01-22,8
2023-01-23,8
2023-01-24,7
2023-01-25,6
2023-01-26,6
2023-01-27,6
2023-01-28,6
2023-01-29,7
2023-01-30,8
2023-01-31,7
2023-02-01,7
2023-02-02,7
2023-02-03,6
2023-02-04,7
2023-02-05,7
2023-02-06,7
2023-02-07,7
2023-02-08,6
2023-02-09,6
2023-02-10,6
2023-02-11,6
2023-02-12,7
2023-02-13,9
2023-02-14,7
2023-02-15,7
2023-02-16,8
2023-02-17,7
2023-02-18,6
2023-02-19,6
2023-02-20,7
2023-02-21,6
2023-02-22,7
2023-02-23,6
2023-02-24,6
2023-02-25,6
2023-02-26,6
2023-02-27,6
2023-02-28,7
2023-03-01,7
2023-03-02,7
2023-03-03,7
2023-03-04,7
2023-03-05,8
2023-03-06,8
2023-03-07,10
2023-03-08,9
2023-03-09,9
2023-03-10,17
2023-03-11,26
2023-03-12,15
2023-03-13,26
2023-03-14,29
2023-03-15,26
2023-03-16,20
2023-03-17,18
2023-03-18,14
2023-03-19,12
2023-03-20,12
2023-03-21,11
2023-03-22,10
2023-03-23,11
2023-03-24,10
2023-03-25,9
2023-03-26,9
2023-03-27,9
2023-03-28,9
2023-03-29,9
2023-03-30,8
2023-03-31,7
2023-04-01,8
2023-04-02,8
2023-04-03,7
2023-04-04,7
2023-04-05,7
2023-04-06,8
2023-04-07,8
2023-04-08,6
2023-04-09,7
2023-04-10,8
2023-04-11,8
2023-04-12,7
2023-04-13,7
2023-04-14,7
2023-04-15,7
2023-04-16,7
2023-04-17,8
2023-04-18,7
2023-04-19,7
2023-04-20,7
2023-04-21,7
2023-04-22,6
2023-04-23,7
2023-04-24,8
2023-04-25,9
2023-04-26,8
2023-04-27,12
2023-04-28,34
2023-04-29,44
2023-04-30,20
2023-05-01,11
2023-05-02,8
2023-05-03,7
2023-05-04,8
2023-05-05,7
2023-05-06,8
2023-05-07,8
2023-05-08,8
2023-05-09,7
2023-05-10,8
2023-05-11,13
2023-05-12,18
2023-05-13,9
2023-05-14,8
2023-05-15,8
2023-05-16,8
2023-05-17,7
2023-05-18,7
2023-05-19,7
2023-05-20,6
2023-05-21,6
2023-05-22,6
2023-05-23,7
2023-05-24,6
2023-05-25,7
