Time,cool math games
2025-04-15,54
2025-04-16,58
2025-04-17,67
2025-04-18,30
2025-04-19,10
2025-04-20,8
2025-04-21,31
2025-04-22,54
2025-04-23,58
2025-04-24,63
2025-04-25,82
2025-04-26,10
2025-04-27,9
2025-04-28,54
2025-04-29,67
2025-04-30,67
2025-05-01,77
2025-05-02,91
2025-05-03,11
2025-05-04,9
2025-05-05,60
2025-05-06,72
2025-05-07,70
2025-05-08,79
2025-05-09,92
2025-05-10,11
2025-05-11,10
2025-05-12,71
2025-05-13,80
2025-05-14,77
2025-05-15,80
2025-05-16,91
2025-05-17,11
2025-05-18,9
2025-05-19,68
2025-05-20,72
2025-05-21,75
2025-05-22,70
2025-05-23,59
2025-05-24,10
2025-05-25,8
2025-05-26,8
2025-05-27,38
2025-05-28,45
2025-05-29,42
2025-05-30,39
2025-05-31,8
2025-06-01,8
2025-06-02,30
2025-06-03,35
2025-06-04,32
2025-06-05,29
2025-06-06,28
2025-06-07,7
2025-06-08,6
2025-06-09,22
2025-06-10,23
2025-06-11,23
2025-06-12,23
2025-06-13,19
2025-06-14,7
2025-06-15,6
2025-06-16,14
2025-06-17,15
2025-06-18,14
2025-06-19,7
2025-06-20,11
2025-06-21,5
2025-06-22,5
2025-06-23,11
2025-06-24,12
2025-06-25,11
2025-06-26,11
2025-06-27,7
2025-06-28,5
2025-06-29,5
2025-06-30,7
2025-07-01,6
2025-07-02,7
2025-07-03,6
2025-07-04,6
2025-07-05,4
2025-07-06,5
2025-07-07,6
2025-07-08,7
2025-07-09,6
2025-07-10,7
2025-07-11,6
2025-07-12,5
2025-07-13,4
2025-07-14,6
2025-07-15,6
2025-07-16,7
2025-07-17,6
2025-07-18,6
2025-07-19,5
2025-07-20,5
2025-07-21,6
2025-07-22,6
2025-07-23,7
2025-07-24,7
2025-07-25,6
2025-07-26,5
2025-07-27,5
2025-07-28,7
2025-07-29,7
2025-07-30,8
2025-07-31,9
2025-08-01,9
2025-08-02,5
2025-08-03,5
2025-08-04,10
2025-08-05,13
2025-08-06,16
2025-08-07,18
2025-08-08,23
2025-08-09,6
2025-08-10,6
2025-08-11,20
2025-08-12,28
2025-08-13,34
2025-08-14,41
2025-08-15,61
2025-08-16,10
2025-08-17,8
2025-08-18,39
2025-08-19,54
2025-08-20,60
2025-08-21,66
2025-08-22,83
2025-08-23,11
2025-08-24,10
2025-08-25,53
2025-08-26,64
2025-08-27,69
2025-08-28,77
2025-08-29,86
2025-08-30,13
2025-08-31,10
2025-09-01,9
2025-09-02,55
2025-09-03,69
2025-09-04,75
2025-09-05,96
2025-09-06,12
2025-09-07,9
2025-09-08,60
2025-09-09,71
2025-09-10,68
2025-09-11,74
2025-09-12,100
2025-09-13,13
2025-09-14,10
2025-09-15,57
2025-09-16,65
2025-09-17,68
2025-09-18,73
2025-09-19,90
2025-09-20,13
2025-09-21,10
2025-09-22,53
2025-09-23,59
2025-09-24,62
2025-09-25,73
2025-09-26,86
2025-09-27,13
2025-09-28,9
2025-09-29,51
2025-09-30,61
2025-10-01,60
2025-10-02,57
2025-10-03,81
2025-10-04,11
2025-10-05,9
2025-10-06,45
2025-10-07,56
2025-10-08,59
2025-10-09,64
2025-10-10,68
2025-10-11,12
2025-10-12,9
2025-10-13,31
2025-10-14,54
2025-10-15,57
2025-10-16,59
2025-10-17,74
2025-10-18,12
2025-10-19,9
2025-10-20,47
2025-10-21,57
2025-10-22,61
2025-10-23,64
2025-10-24,86
2025-10-25,11
2025-10-26,9
2025-10-27,51
2025-10-28,60
2025-10-29,66
2025-10-30,72
2025-10-31,80
2025-11-01,9
2025-11-02,8
2025-11-03,44
2025-11-04,41
2025-11-05,54
2025-11-06,60
2025-11-07,78
2025-11-08,13
2025-11-09,9
2025-11-10,45
2025-11-11,35
2025-11-12,53
2025-11-13,63
2025-11-14,81
2025-11-15,12
2025-11-16,10
2025-11-17,48
2025-11-18,54
2025-11-19,59
2025-11-20,70
2025-11-21,90
2025-11-22,13
2025-11-23,10
2025-11-24,29
2025-11-25,38
2025-11-26,18
2025-11-27,10
2025-11-28,8
2025-11-29,7
2025-11-30,7
2025-12-01,40
2025-12-02,50
2025-12-03,52
2025-12-04,61
2025-12-05,71
2025-12-06,12
2025-12-07,9
2025-12-08,46
2025-12-09,57
2025-12-10,55
2025-12-11,62
2025-12-12,77
2025-12-13,12
2025-12-14,10
2025-12-15,53
2025-12-16,64
2025-12-17,77
2025-12-18,85
2025-12-19,81
2025-12-20,12
2025-12-21,9
2025-12-22,17
2025-12-23,16
2025-12-24,8
2025-12-25,8
2025-12-26,7
2025-12-27,6
2025-12-28,6
2025-12-29,6
2025-12-30,6
2025-12-31,6
2026-01-01,6
2026-01-02,6
2026-01-03,5
2026-01-04,5
2026-01-05,25
2026-01-06,35
2026-01-07,36
2026-01-08,46
2026-01-09,68
