Time,cool math games
2023-12-22,31
2023-12-23,11
2023-12-24,10
2023-12-25,9
2023-12-26,7
2023-12-27,7
2023-12-28,6
2023-12-29,6
2023-12-30,6
2023-12-31,6
2024-01-01,6
2024-01-02,13
2024-01-03,23
2024-01-04,29
2024-01-05,46
2024-01-06,9
2024-01-07,7
2024-01-08,39
2024-01-09,48
2024-01-10,55
2024-01-11,62
2024-01-12,72
2024-01-13,13
2024-01-14,10
2024-01-15,10
2024-01-16,38
2024-01-17,49
2024-01-18,64
2024-01-19,67
2024-01-20,13
2024-01-21,10
2024-01-22,54
2024-01-23,64
2024-01-24,69
2024-01-25,73
2024-01-26,86
2024-01-27,15
2024-01-28,11
2024-01-29,53
2024-01-30,63
2024-01-31,69
2024-02-01,74
2024-02-02,90
2024-02-03,14
2024-02-04,11
2024-02-05,56
2024-02-06,65
2024-02-07,65
2024-02-08,69
2024-02-09,81
2024-02-10,15
2024-02-11,10
2024-02-12,50
2024-02-13,58
2024-02-14,61
2024-02-15,68
2024-02-16,72
2024-02-17,14
2024-02-18,10
2024-02-19,16
2024-02-20,51
2024-02-21,55
2024-02-22,61
2024-02-23,78
2024-02-24,13
2024-02-25,9
2024-02-26,49
2024-02-27,60
2024-02-28,68
2024-02-29,70
2024-03-01,88
2024-03-02,15
2024-03-03,11
2024-03-04,50
2024-03-05,63
2024-03-06,68
2024-03-07,77
2024-03-08,91
2024-03-09,15
2024-03-10,11
2024-03-11,43
2024-03-12,47
2024-03-13,49
2024-03-14,60
2024-03-15,64
2024-03-16,12
2024-03-17,10
2024-03-18,49
2024-03-19,58
2024-03-20,58
2024-03-21,64
2024-03-22,76
2024-03-23,13
2024-03-24,9
2024-03-25,41
2024-03-26,50
2024-03-27,54
2024-03-28,57
2024-03-29,23
2024-03-30,9
2024-03-31,7
2024-04-01,24
2024-04-02,42
2024-04-03,44
2024-04-04,51
2024-04-05,64
2024-04-06,10
2024-04-07,8
2024-04-08,46
2024-04-09,60
2024-04-10,56
2024-04-11,67
2024-04-12,84
2024-04-13,11
2024-04-14,9
2024-04-15,52
2024-04-16,61
2024-04-17,66
2024-04-18,69
2024-04-19,84
2024-04-20,12
2024-04-21,9
2024-04-22,53
2024-04-23,63
2024-04-24,70
2024-04-25,69
2024-04-26,82
2024-04-27,13
2024-04-28,9
2024-04-29,61
2024-04-30,71
2024-05-01,71
2024-05-02,79
2024-05-03,91
2024-05-04,12
2024-05-05,9
2024-05-06,65
2024-05-07,72
2024-05-08,73
2024-05-09,82
2024-05-10,94
2024-05-11,13
2024-05-12,10
2024-05-13,72
2024-05-14,80
2024-05-15,82
2024-05-16,85
2024-05-17,88
2024-05-18,13
2024-05-19,10
2024-05-20,74
2024-05-21,74
2024-05-22,72
2024-05-23,69
2024-05-24,57
2024-05-25,12
2024-05-26,8
2024-05-27,8
2024-05-28,38
2024-05-29,41
2024-05-30,42
2024-05-31,39
2024-06-01,9
2024-06-02,7
2024-06-03,27
2024-06-04,29
2024-06-05,31
2024-06-06,29
2024-06-07,25
2024-06-08,7
2024-06-09,6
2024-06-10,20
2024-06-11,20
2024-06-12,19
2024-06-13,19
2024-06-14,15
2024-06-15,6
2024-06-16,6
2024-06-17,13
2024-06-18,14
2024-06-19,7
2024-06-20,13
2024-06-21,11
2024-06-22,6
2024-06-23,5
2024-06-24,11
2024-06-25,11
2024-06-26,10
2024-06-27,9
2024-06-28,8
2024-06-29,5
2024-06-30,5
2024-07-01,7
2024-07-02,7
2024-07-03,7
2024-07-04,5
2024-07-05,5
2024-07-06,5
2024-07-07,4
2024-07-08,6
2024-07-09,7
2024-07-10,7
2024-07-11,7
2024-07-12,7
2024-07-13,5
2024-07-14,4
2024-07-15,6
2024-07-16,7
2024-07-17,7
2024-07-18,7
2024-07-19,5
2024-07-20,5
2024-07-21,5
2024-07-22,6
2024-07-23,6
2024-07-24,7
2024-07-25,7
2024-07-26,6
2024-07-27,4
2024-07-28,5
2024-07-29,6
2024-07-30,7
2024-07-31,8
2024-08-01,9
2024-08-02,10
2024-08-03,5
2024-08-04,5
2024-08-05,9
2024-08-06,12
2024-08-07,15
2024-08-08,17
2024-08-09,23
2024-08-10,6
2024-08-11,6
2024-08-12,20
2024-08-13,27
2024-08-14,31
2024-08-15,45
2024-08-16,56
2024-08-17,10
2024-08-18,8
2024-08-19,43
2024-08-20,52
2024-08-21,59
2024-08-22,65
2024-08-23,82
2024-08-24,12
2024-08-25,9
2024-08-26,55
2024-08-27,65
2024-08-28,68
2024-08-29,74
2024-08-30,86
2024-08-31,13
2024-09-01,9
2024-09-02,9
2024-09-03,55
2024-09-04,66
2024-09-05,75
2024-09-06,97
2024-09-07,14
2024-09-08,10
2024-09-09,63
2024-09-10,66
2024-09-11,70
2024-09-12,76
2024-09-13,100
2024-09-14,14
2024-09-15,11
2024-09-16,59
