Time,calculator
2022-01-01,39
2022-01-02,41
2022-01-03,55
2022-01-04,72
2022-01-05,70
2022-01-06,58
2022-01-07,65
2022-01-08,49
2022-01-09,46
2022-01-10,65
2022-01-11,70
2022-01-12,72
2022-01-13,71
2022-01-14,59
2022-01-15,47
2022-01-16,42
2022-01-17,48
2022-01-18,62
2022-01-19,73
2022-01-20,71
2022-01-21,66
2022-01-22,53
2022-01-23,53
2022-01-24,87
2022-01-25,69
2022-01-26,66
2022-01-27,68
2022-01-28,75
2022-01-29,53
2022-01-30,51
2022-01-31,73
2022-02-01,78
2022-02-02,77
2022-02-03,76
2022-02-04,69
2022-02-05,52
2022-02-06,53
2022-02-07,76
2022-02-08,80
2022-02-09,78
2022-02-10,66
2022-02-11,70
2022-02-12,52
2022-02-13,48
2022-02-14,61
2022-02-15,79
2022-02-16,77
2022-02-17,78
2022-02-18,71
2022-02-19,50
2022-02-20,49
2022-02-21,63
2022-02-22,67
2022-02-23,72
2022-02-24,67
2022-02-25,66
2022-02-26,51
2022-02-27,51
2022-02-28,74
2022-03-01,75
2022-03-02,74
2022-03-03,74
2022-03-04,67
2022-03-05,50
2022-03-06,50
2022-03-07,72
2022-03-08,72
2022-03-09,75
2022-03-10,73
2022-03-11,67
2022-03-12,51
2022-03-13,47
2022-03-14,63
2022-03-15,68
2022-03-16,69
2022-03-17,66
2022-03-18,62
2022-03-19,48
2022-03-20,49
2022-03-21,69
2022-03-22,72
2022-03-23,71
2022-03-24,71
2022-03-25,86
2022-03-26,50
2022-03-27,54
2022-03-28,85
2022-03-29,94
2022-03-30,79
2022-03-31,90
2022-04-01,85
2022-04-02,54
2022-04-03,54
2022-04-04,90
2022-04-05,88
2022-04-06,91
2022-04-07,86
2022-04-08,86
2022-04-09,53
2022-04-10,52
2022-04-11,91
2022-04-12,92
2022-04-13,88
2022-04-14,85
2022-04-15,70
2022-04-16,49
2022-04-17,49
2022-04-18,83
2022-04-19,91
2022-04-20,89
2022-04-21,91
2022-04-22,83
2022-04-23,52
2022-04-24,53
2022-04-25,95
2022-04-26,99
2022-04-27,95
2022-04-28,98
2022-04-29,86
2022-04-30,55
2022-05-01,53
2022-05-02,91
2022-05-03,100
2022-05-04,96
2022-05-05,94
2022-05-06,90
2022-05-07,55
2022-05-08,51
2022-05-09,96
2022-05-10,96
2022-05-11,95
2022-05-12,89
2022-05-13,84
2022-05-14,48
2022-05-15,47
2022-05-16,83
2022-05-17,86
2022-05-18,85
2022-05-19,86
2022-05-20,80
2022-05-21,47
2022-05-22,46
2022-05-23,79
2022-05-24,79
2022-05-25,72
2022-05-26,75
2022-05-27,65
2022-05-28,43
2022-05-29,42
2022-05-30,43
2022-05-31,67
2022-06-01,70
2022-06-02,67
2022-06-03,63
2022-06-04,46
2022-06-05,45
2022-06-06,64
2022-06-07,65
2022-06-08,60
2022-06-09,64
2022-06-10,58
2022-06-11,43
2022-06-12,44
2022-06-13,61
2022-06-14,61
2022-06-15,62
2022-06-16,61
2022-06-17,53
2022-06-18,43
2022-06-19,44
2022-06-20,54
2022-06-21,61
2022-06-22,60
2022-06-23,56
2022-06-24,52
2022-06-25,42
2022-06-26,43
2022-06-27,55
2022-06-28,55
2022-06-29,58
2022-06-30,57
2022-07-01,53
2022-07-02,40
2022-07-03,39
2022-07-04,41
2022-07-05,52
2022-07-06,57
2022-07-07,56
2022-07-08,53
2022-07-09,45
2022-07-10,42
2022-07-11,54
2022-07-12,57
2022-07-13,56
2022-07-14,56
2022-07-15,54
2022-07-16,45
2022-07-17,41
2022-07-18,55
2022-07-19,58
2022-07-20,57
2022-07-21,56
2022-07-22,53
2022-07-23,41
2022-07-24,43
2022-07-25,57
2022-07-26,57
2022-07-27,58
2022-07-28,57
2022-07-29,57
2022-07-30,44
2022-07-31,43
2022-08-01,56
2022-08-02,56
2022-08-03,56
2022-08-04,55
2022-08-05,53
2022-08-06,44
2022-08-07,42
2022-08-08,53
2022-08-09,58
2022-08-10,60
2022-08-11,61
2022-08-12,57
2022-08-13,43
2022-08-14,43
2022-08-15,60
2022-08-16,64
2022-08-17,66
2022-08-18,69
2022-08-19,67
2022-08-20,45
2022-08-21,45
2022-08-22,66
2022-08-23,76
2022-08-24,76
2022-08-25,77
2022-08-26,72
2022-08-27,46
2022-08-28,48
2022-08-29,77
2022-08-30,81
2022-08-31,82
2022-09-01,84
2022-09-02,74
2022-09-03,44
2022-09-04,42
2022-09-05,51
2022-09-06,82
2022-09-07,85
2022-09-08,88
2022-09-09,81
2022-09-10,47
2022-09-11,48
2022-09-12,85
2022-09-13,87
2022-09-14,93
2022-09-15,95
2022-09-16,84
2022-09-17,49
2022-09-18,47
2022-09-19,87
2022-09-20,94
2022-09-21,92
2022-09-22,90
2022-09-23,86
2022-09-24,48
2022-09-25,48
2022-09-26,80
2022-09-27,86
