Time,cvs
2022-08-29,52
2022-08-30,53
2022-08-31,53
2022-09-01,51
2022-09-02,57
2022-09-03,50
2022-09-04,53
2022-09-05,56
2022-09-06,61
2022-09-07,62
2022-09-08,57
2022-09-09,55
2022-09-10,52
2022-09-11,51
2022-09-12,59
2022-09-13,58
2022-09-14,58
2022-09-15,55
2022-09-16,56
2022-09-17,53
2022-09-18,53
2022-09-19,59
2022-09-20,55
2022-09-21,58
2022-09-22,50
2022-09-23,54
2022-09-24,51
2022-09-25,53
2022-09-26,57
2022-09-27,57
2022-09-28,52
2022-09-29,54
2022-09-30,54
2022-10-01,49
2022-10-02,48
2022-10-03,56
2022-10-04,56
2022-10-05,55
2022-10-06,55
2022-10-07,56
2022-10-08,50
2022-10-09,50
2022-10-10,62
2022-10-11,59
2022-10-12,58
2022-10-13,59
2022-10-14,58
2022-10-15,49
2022-10-16,50
2022-10-17,57
2022-10-18,60
2022-10-19,58
2022-10-20,55
2022-10-21,54
2022-10-22,51
2022-10-23,50
2022-10-24,60
2022-10-25,61
2022-10-26,60
2022-10-27,62
2022-10-28,56
2022-10-29,52
2022-10-30,54
2022-10-31,58
2022-11-01,58
2022-11-02,60
2022-11-03,55
2022-11-04,56
2022-11-05,50
2022-11-06,49
2022-11-07,56
2022-11-08,56
2022-11-09,49
2022-11-10,52
2022-11-11,52
2022-11-12,47
2022-11-13,49
2022-11-14,56
2022-11-15,54
2022-11-16,54
2022-11-17,54
2022-11-18,55
2022-11-19,51
2022-11-20,49
2022-11-21,55
2022-11-22,57
2022-11-23,64
2022-11-24,67
2022-11-25,53
2022-11-26,46
2022-11-27,51
2022-11-28,54
2022-11-29,53
2022-11-30,54
2022-12-01,55
2022-12-02,53
2022-12-03,48
2022-12-04,50
2022-12-05,54
2022-12-06,58
2022-12-07,58
2022-12-08,57
2022-12-09,56
2022-12-10,53
2022-12-11,53
2022-12-12,58
2022-12-13,60
2022-12-14,57
2022-12-15,59
2022-12-16,61
2022-12-17,57
2022-12-18,56
2022-12-19,64
2022-12-20,67
2022-12-21,66
2022-12-22,67
2022-12-23,66
2022-12-24,74
2022-12-25,100
2022-12-26,58
2022-12-27,60
2022-12-28,60
2022-12-29,61
2022-12-30,61
2022-12-31,55
2023-01-01,49
2023-01-02,52
2023-01-03,53
2023-01-04,52
2023-01-05,53
2023-01-06,55
2023-01-07,50
2023-01-08,47
2023-01-09,50
2023-01-10,52
2023-01-11,54
2023-01-12,51
2023-01-13,49
2023-01-14,45
2023-01-15,44
2023-01-16,50
2023-01-17,49
2023-01-18,52
2023-01-19,49
2023-01-20,48
2023-01-21,44
2023-01-22,43
2023-01-23,50
2023-01-24,48
2023-01-25,47
2023-01-26,47
2023-01-27,48
2023-01-28,44
2023-01-29,42
2023-01-30,48
2023-01-31,52
2023-02-01,50
2023-02-02,49
2023-02-03,48
2023-02-04,46
2023-02-05,45
2023-02-06,49
2023-02-07,52
2023-02-08,49
2023-02-09,50
2023-02-10,48
2023-02-11,46
2023-02-12,45
2023-02-13,48
2023-02-14,56
2023-02-15,52
2023-02-16,49
2023-02-17,50
2023-02-18,44
2023-02-19,45
2023-02-20,50
2023-02-21,48
2023-02-22,47
2023-02-23,46
2023-02-24,47
2023-02-25,47
2023-02-26,44
2023-02-27,48
2023-02-28,49
2023-03-01,49
2023-03-02,48
2023-03-03,46
2023-03-04,44
2023-03-05,44
2023-03-06,49
2023-03-07,50
2023-03-08,48
2023-03-09,47
2023-03-10,47
2023-03-11,43
2023-03-12,44
2023-03-13,53
2023-03-14,49
2023-03-15,48
2023-03-16,48
2023-03-17,46
2023-03-18,42
2023-03-19,46
2023-03-20,53
2023-03-21,50
2023-03-22,49
2023-03-23,48
2023-03-24,46
2023-03-25,44
2023-03-26,46
2023-03-27,49
2023-03-28,50
2023-03-29,49
2023-03-30,47
2023-03-31,47
2023-04-01,43
2023-04-02,46
2023-04-03,51
2023-04-04,50
2023-04-05,52
2023-04-06,49
2023-04-07,50
2023-04-08,47
2023-04-09,52
2023-04-10,55
2023-04-11,50
2023-04-12,51
2023-04-13,50
2023-04-14,49
2023-04-15,44
2023-04-16,45
2023-04-17,48
2023-04-18,47
2023-04-19,49
2023-04-20,48
2023-04-21,47
2023-04-22,46
2023-04-23,47
2023-04-24,50
2023-04-25,47
2023-04-26,47
2023-04-27,47
2023-04-28,45
2023-04-29,44
2023-04-30,45
2023-05-01,50
2023-05-02,50
2023-05-03,51
2023-05-04,49
2023-05-05,46
2023-05-06,46
2023-05-07,45
2023-05-08,51
2023-05-09,49
2023-05-10,50
2023-05-11,50
2023-05-12,50
2023-05-13,49
2023-05-14,49
2023-05-15,51
2023-05-16,49
2023-05-17,50
2023-05-18,46
2023-05-19,48
2023-05-20,44
2023-05-21,46
2023-05-22,48
2023-05-23,49
2023-05-24,49
2023-05-25,50
