Time,cvs
2023-04-26,47
2023-04-27,47
2023-04-28,46
2023-04-29,44
2023-04-30,46
2023-05-01,50
2023-05-02,50
2023-05-03,51
2023-05-04,49
2023-05-05,46
2023-05-06,46
2023-05-07,46
2023-05-08,51
2023-05-09,49
2023-05-10,51
2023-05-11,51
2023-05-12,50
2023-05-13,49
2023-05-14,49
2023-05-15,51
2023-05-16,50
2023-05-17,51
2023-05-18,47
2023-05-19,48
2023-05-20,45
2023-05-21,46
2023-05-22,49
2023-05-23,49
2023-05-24,50
2023-05-25,51
2023-05-26,50
2023-05-27,46
2023-05-28,46
2023-05-29,47
2023-05-30,53
2023-05-31,54
2023-06-01,51
2023-06-02,49
2023-06-03,46
2023-06-04,47
2023-06-05,53
2023-06-06,52
2023-06-07,52
2023-06-08,50
2023-06-09,49
2023-06-10,46
2023-06-11,45
2023-06-12,51
2023-06-13,53
2023-06-14,53
2023-06-15,53
2023-06-16,52
2023-06-17,50
2023-06-18,48
2023-06-19,54
2023-06-20,51
2023-06-21,51
2023-06-22,46
2023-06-23,48
2023-06-24,43
2023-06-25,45
2023-06-26,52
2023-06-27,50
2023-06-28,49
2023-06-29,49
2023-06-30,48
2023-07-01,45
2023-07-02,44
2023-07-03,51
2023-07-04,47
2023-07-05,48
2023-07-06,51
2023-07-07,50
2023-07-08,48
2023-07-09,45
2023-07-10,54
2023-07-11,55
2023-07-12,52
2023-07-13,48
2023-07-14,48
2023-07-15,45
2023-07-16,45
2023-07-17,51
2023-07-18,52
2023-07-19,52
2023-07-20,48
2023-07-21,48
2023-07-22,44
2023-07-23,46
2023-07-24,52
2023-07-25,49
2023-07-26,48
2023-07-27,46
2023-07-28,50
2023-07-29,47
2023-07-30,43
2023-07-31,51
2023-08-01,52
2023-08-02,51
2023-08-03,50
2023-08-04,51
2023-08-05,42
2023-08-06,44
2023-08-07,53
2023-08-08,51
2023-08-09,52
2023-08-10,49
2023-08-11,49
2023-08-12,44
2023-08-13,46
2023-08-14,51
2023-08-15,51
2023-08-16,50
2023-08-17,52
2023-08-18,50
2023-08-19,46
2023-08-20,45
2023-08-21,50
2023-08-22,51
2023-08-23,51
2023-08-24,51
2023-08-25,48
2023-08-26,45
2023-08-27,47
2023-08-28,49
2023-08-29,48
2023-08-30,48
2023-08-31,52
2023-09-01,50
2023-09-02,44
2023-09-03,47
2023-09-04,50
2023-09-05,52
2023-09-06,52
2023-09-07,51
2023-09-08,48
2023-09-09,45
2023-09-10,45
2023-09-11,54
2023-09-12,53
2023-09-13,54
2023-09-14,54
2023-09-15,51
2023-09-16,48
2023-09-17,50
2023-09-18,58
2023-09-19,58
2023-09-20,59
2023-09-21,56
2023-09-22,57
2023-09-23,52
2023-09-24,52
2023-09-25,59
2023-09-26,60
2023-09-27,59
2023-09-28,58
2023-09-29,56
2023-09-30,53
2023-10-01,50
2023-10-02,60
2023-10-03,58
2023-10-04,57
2023-10-05,55
2023-10-06,56
2023-10-07,48
2023-10-08,48
2023-10-09,58
2023-10-10,56
2023-10-11,54
2023-10-12,53
2023-10-13,51
2023-10-14,50
2023-10-15,48
2023-10-16,55
2023-10-17,54
2023-10-18,53
2023-10-19,52
2023-10-20,52
2023-10-21,47
2023-10-22,48
2023-10-23,54
2023-10-24,53
2023-10-25,52
2023-10-26,50
2023-10-27,50
2023-10-28,46
2023-10-29,43
2023-10-30,55
2023-10-31,55
2023-11-01,51
2023-11-02,51
2023-11-03,52
2023-11-04,47
2023-11-05,46
2023-11-06,52
2023-11-07,50
2023-11-08,49
2023-11-09,50
2023-11-10,49
2023-11-11,46
2023-11-12,46
2023-11-13,52
2023-11-14,50
2023-11-15,51
2023-11-16,51
2023-11-17,52
2023-11-18,48
2023-11-19,46
2023-11-20,52
2023-11-21,50
2023-11-22,58
2023-11-23,69
2023-11-24,48
2023-11-25,44
2023-11-26,47
2023-11-27,50
2023-11-28,54
2023-11-29,53
2023-11-30,50
2023-12-01,50
2023-12-02,47
2023-12-03,46
2023-12-04,52
2023-12-05,53
2023-12-06,51
2023-12-07,50
2023-12-08,49
2023-12-09,46
2023-12-10,51
2023-12-11,53
2023-12-12,53
2023-12-13,55
2023-12-14,53
2023-12-15,52
2023-12-16,51
2023-12-17,53
2023-12-18,55
2023-12-19,58
2023-12-20,59
2023-12-21,61
2023-12-22,64
2023-12-23,68
2023-12-24,80
2023-12-25,100
2023-12-26,59
2023-12-27,56
2023-12-28,56
2023-12-29,59
2023-12-30,52
2023-12-31,56
2024-01-01,55
2024-01-02,57
2024-01-03,58
2024-01-04,57
2024-01-05,55
2024-01-06,48
2024-01-07,44
2024-01-08,49
2024-01-09,47
2024-01-10,50
2024-01-11,52
2024-01-12,49
2024-01-13,44
2024-01-14,41
2024-01-15,45
2024-01-16,44
2024-01-17,47
2024-01-18,46
2024-01-19,45
2024-01-20,41
