Time,cvs
2023-12-22,64
2023-12-23,68
2023-12-24,80
2023-12-25,100
2023-12-26,59
2023-12-27,56
2023-12-28,56
2023-12-29,59
2023-12-30,52
2023-12-31,56
2024-01-01,55
2024-01-02,57
2024-01-03,58
2024-01-04,57
2024-01-05,55
2024-01-06,48
2024-01-07,44
2024-01-08,49
2024-01-09,47
2024-01-10,50
2024-01-11,52
2024-01-12,49
2024-01-13,44
2024-01-14,41
2024-01-15,45
2024-01-16,44
2024-01-17,47
2024-01-18,46
2024-01-19,45
2024-01-20,41
2024-01-21,40
2024-01-22,43
2024-01-23,46
2024-01-24,46
2024-01-25,44
2024-01-26,43
2024-01-27,42
2024-01-28,40
2024-01-29,45
2024-01-30,46
2024-01-31,45
2024-02-01,44
2024-02-02,44
2024-02-03,44
2024-02-04,42
2024-02-05,44
2024-02-06,43
2024-02-07,43
2024-02-08,43
2024-02-09,46
2024-02-10,42
2024-02-11,40
2024-02-12,43
2024-02-13,47
2024-02-14,49
2024-02-15,43
2024-02-16,44
2024-02-17,40
2024-02-18,41
2024-02-19,43
2024-02-20,43
2024-02-21,45
2024-02-22,43
2024-02-23,46
2024-02-24,41
2024-02-25,41
2024-02-26,45
2024-02-27,45
2024-02-28,46
2024-02-29,44
2024-03-01,44
2024-03-02,41
2024-03-03,41
2024-03-04,46
2024-03-05,45
2024-03-06,44
2024-03-07,43
2024-03-08,42
2024-03-09,39
2024-03-10,40
2024-03-11,42
2024-03-12,45
2024-03-13,46
2024-03-14,42
2024-03-15,43
2024-03-16,41
2024-03-17,41
2024-03-18,46
2024-03-19,43
2024-03-20,45
2024-03-21,43
2024-03-22,40
2024-03-23,39
2024-03-24,41
2024-03-25,46
2024-03-26,44
2024-03-27,44
2024-03-28,44
2024-03-29,46
2024-03-30,42
2024-03-31,49
2024-04-01,50
2024-04-02,44
2024-04-03,44
2024-04-04,44
2024-04-05,42
2024-04-06,39
2024-04-07,44
2024-04-08,49
2024-04-09,45
2024-04-10,43
2024-04-11,42
2024-04-12,44
2024-04-13,37
2024-04-14,41
2024-04-15,45
2024-04-16,42
2024-04-17,43
2024-04-18,42
2024-04-19,43
2024-04-20,39
2024-04-21,43
2024-04-22,46
2024-04-23,44
2024-04-24,43
2024-04-25,44
2024-04-26,42
2024-04-27,39
2024-04-28,40
2024-04-29,45
2024-04-30,43
2024-05-01,45
2024-05-02,46
2024-05-03,44
2024-05-04,39
2024-05-05,41
2024-05-06,46
2024-05-07,43
2024-05-08,42
2024-05-09,45
2024-05-10,46
2024-05-11,45
2024-05-12,45
2024-05-13,49
2024-05-14,44
2024-05-15,46
2024-05-16,44
2024-05-17,44
2024-05-18,41
2024-05-19,43
2024-05-20,45
2024-05-21,46
2024-05-22,45
2024-05-23,44
2024-05-24,46
2024-05-25,42
2024-05-26,44
2024-05-27,44
2024-05-28,49
2024-05-29,49
2024-05-30,47
2024-05-31,44
2024-06-01,43
2024-06-02,45
2024-06-03,47
2024-06-04,47
2024-06-05,47
2024-06-06,47
2024-06-07,47
2024-06-08,43
2024-06-09,43
2024-06-10,49
2024-06-11,47
2024-06-12,49
2024-06-13,46
2024-06-14,46
2024-06-15,45
2024-06-16,46
2024-06-17,50
2024-06-18,47
2024-06-19,47
2024-06-20,42
2024-06-21,46
2024-06-22,42
2024-06-23,43
2024-06-24,48
2024-06-25,46
2024-06-26,45
2024-06-27,47
2024-06-28,47
2024-06-29,43
2024-06-30,43
2024-07-01,54
2024-07-02,51
2024-07-03,51
2024-07-04,49
2024-07-05,47
2024-07-06,41
2024-07-07,43
2024-07-08,49
2024-07-09,49
2024-07-10,50
2024-07-11,50
2024-07-12,48
2024-07-13,42
2024-07-14,41
2024-07-15,47
2024-07-16,48
2024-07-17,48
2024-07-18,47
2024-07-19,48
2024-07-20,43
2024-07-21,42
2024-07-22,49
2024-07-23,48
2024-07-24,46
2024-07-25,48
2024-07-26,47
2024-07-27,41
2024-07-28,42
2024-07-29,48
2024-07-30,48
2024-07-31,47
2024-08-01,48
2024-08-02,47
2024-08-03,43
2024-08-04,42
2024-08-05,48
2024-08-06,47
2024-08-07,49
2024-08-08,49
2024-08-09,48
2024-08-10,42
2024-08-11,45
2024-08-12,52
2024-08-13,51
2024-08-14,51
2024-08-15,51
2024-08-16,49
2024-08-17,42
2024-08-18,47
2024-08-19,50
2024-08-20,51
2024-08-21,50
2024-08-22,49
2024-08-23,47
2024-08-24,46
2024-08-25,49
2024-08-26,52
2024-08-27,51
2024-08-28,51
2024-08-29,53
2024-08-30,48
2024-08-31,46
2024-09-01,48
2024-09-02,51
2024-09-03,49
2024-09-04,50
2024-09-05,46
2024-09-06,47
2024-09-07,43
2024-09-08,47
2024-09-09,49
2024-09-10,49
2024-09-11,46
2024-09-12,47
2024-09-13,47
2024-09-14,45
2024-09-15,44
2024-09-16,48
