Time,panera bread
2025-12-11,79
2025-12-12,77
2025-12-13,77
2025-12-14,74
2025-12-15,86
2025-12-16,77
2025-12-17,88
2025-12-18,84
2025-12-19,81
2025-12-20,82
2025-12-21,83
2025-12-22,85
2025-12-23,90
2025-12-24,100
2025-12-25,52
2025-12-26,68
2025-12-27,68
2025-12-28,75
2025-12-29,79
2025-12-30,89
2025-12-31,89
2026-01-01,83
2026-01-02,77
2026-01-03,78
2026-01-04,77
2026-01-05,72
2026-01-06,76
2026-01-07,83
2026-01-08,76
2026-01-09,78
2026-01-10,86
2026-01-11,79
2026-01-12,73
2026-01-13,74
2026-01-14,80
2026-01-15,98
2026-01-16,86
2026-01-17,75
2026-01-18,79
2026-01-19,76
2026-01-20,76
2026-01-21,88
2026-01-22,74
2026-01-23,74
2026-01-24,71
2026-01-25,54
2026-01-26,61
2026-01-27,69
2026-01-28,82
2026-01-29,77
2026-01-30,76
2026-01-31,79
2026-02-01,82
2026-02-02,71
2026-02-03,73
2026-02-04,78
2026-02-05,77
2026-02-06,74
2026-02-07,75
2026-02-08,61
2026-02-09,56
2026-02-10,72
2026-02-11,82
2026-02-12,79
2026-02-13,74
2026-02-14,73
2026-02-15,74
2026-02-16,75
2026-02-17,68
2026-02-18,75
2026-02-19,74
2026-02-20,70
2026-02-21,80
2026-02-22,72
2026-02-23,69
2026-02-24,72
2026-02-25,80
2026-02-26,84
2026-02-27,78
2026-02-28,82
2026-03-01,76
2026-03-02,73
2026-03-03,81
2026-03-04,77
2026-03-05,77
2026-03-06,79
2026-03-07,81
2026-03-08,84
2026-03-09,67
2026-03-10,73
2026-03-11,78
2026-03-12,81
2026-03-13,78
2026-03-14,79
2026-03-15,77
2026-03-16,71
2026-03-17,77
2026-03-18,84
2026-03-19,76
2026-03-20,76
2026-03-21,75
2026-03-22,78
2026-03-23,71
2026-03-24,86
2026-03-25,80
2026-03-26,72
2026-03-27,78
2026-03-28,76
2026-03-29,77
2026-03-30,71
2026-03-31,71
2026-04-01,77
2026-04-02,82
2026-04-03,72
2026-04-04,69
2026-04-05,82
2026-04-06,71
2026-04-07,73
2026-04-08,81
2026-04-09,78
2026-04-10,81
2026-04-11,76
2026-04-12,78
2026-04-13,70
2026-04-14,77
2026-04-15,82
2026-04-16,78
2026-04-17,77
2026-04-18,75
2026-04-19,77
2026-04-20,72
2026-04-21,81
2026-04-22,88
2026-04-23,76
2026-04-24,74
2026-04-25,75
2026-04-26,80
2026-04-27,76
2026-04-28,96
2026-04-29,77
2026-04-30,79
2026-05-01,82
2026-05-02,77
2026-05-03,83
2026-05-04,75
2026-05-05,73
2026-05-06,85
2026-05-07,79
2026-05-08,77
2026-05-09,81
2026-05-10,84
2026-05-11,75
2026-05-12,74
2026-05-13,78
2026-05-14,78
2026-05-15,80
2026-05-16,83
2026-05-17,78
2026-05-18,76
2026-05-19,74
2026-05-20,85
2026-05-21,76
2026-05-22,73
2026-05-23,77
2026-05-24,74
2026-05-25,72
2026-05-26,69
2026-05-27,75
2026-05-28,71
2026-05-29,74
2026-05-30,74
2026-05-31,74
