Time,panera bread
2022-01-01,89
2022-01-02,83
2022-01-03,82
2022-01-04,100
2022-01-05,93
2022-01-06,76
2022-01-07,85
2022-01-08,90
2022-01-09,80
2022-01-10,70
2022-01-11,81
2022-01-12,79
2022-01-13,79
2022-01-14,71
2022-01-15,81
2022-01-16,61
2022-01-17,68
2022-01-18,66
2022-01-19,68
2022-01-20,74
2022-01-21,80
2022-01-22,77
2022-01-23,73
2022-01-24,86
2022-01-25,66
2022-01-26,70
2022-01-27,74
2022-01-28,82
2022-01-29,74
2022-01-30,69
2022-01-31,69
2022-02-01,69
2022-02-02,70
2022-02-03,72
2022-02-04,71
2022-02-05,74
2022-02-06,73
2022-02-07,68
2022-02-08,74
2022-02-09,68
2022-02-10,64
2022-02-11,75
2022-02-12,71
2022-02-13,62
2022-02-14,61
2022-02-15,68
2022-02-16,67
2022-02-17,67
2022-02-18,71
2022-02-19,73
2022-02-20,71
2022-02-21,73
2022-02-22,69
2022-02-23,71
2022-02-24,84
2022-02-25,69
2022-02-26,70
2022-02-27,69
2022-02-28,66
2022-03-01,69
2022-03-02,71
2022-03-03,79
2022-03-04,77
2022-03-05,74
2022-03-06,70
2022-03-07,68
2022-03-08,77
2022-03-09,75
2022-03-10,76
2022-03-11,75
2022-03-12,68
2022-03-13,73
2022-03-14,68
2022-03-15,72
2022-03-16,70
2022-03-17,69
2022-03-18,74
2022-03-19,67
2022-03-20,70
2022-03-21,68
2022-03-22,77
2022-03-23,75
2022-03-24,80
2022-03-25,80
2022-03-26,67
2022-03-27,69
2022-03-28,63
2022-03-29,66
2022-03-30,66
2022-03-31,69
2022-04-01,68
2022-04-02,70
2022-04-03,70
2022-04-04,63
2022-04-05,69
2022-04-06,75
2022-04-07,76
2022-04-08,74
2022-04-09,79
2022-04-10,75
2022-04-11,70
2022-04-12,72
2022-04-13,73
2022-04-14,72
2022-04-15,74
2022-04-16,71
2022-04-17,79
2022-04-18,67
2022-04-19,72
2022-04-20,71
2022-04-21,73
2022-04-22,74
2022-04-23,73
2022-04-24,71
2022-04-25,71
2022-04-26,72
2022-04-27,80
2022-04-28,80
2022-04-29,73
2022-04-30,73
2022-05-01,75
2022-05-02,68
2022-05-03,72
2022-05-04,70
2022-05-05,69
2022-05-06,83
2022-05-07,80
2022-05-08,87
2022-05-09,68
2022-05-10,69
2022-05-11,71
2022-05-12,77
2022-05-13,77
2022-05-14,77
2022-05-15,78
2022-05-16,71
2022-05-17,77
2022-05-18,78
2022-05-19,74
2022-05-20,76
2022-05-21,76
2022-05-22,77
2022-05-23,71
2022-05-24,78
2022-05-25,74
2022-05-26,74
2022-05-27,73
2022-05-28,67
2022-05-29,73
2022-05-30,76
2022-05-31,68
2022-06-01,74
2022-06-02,70
2022-06-03,71
2022-06-04,70
2022-06-05,70
2022-06-06,71
2022-06-07,71
2022-06-08,75
2022-06-09,73
2022-06-10,71
2022-06-11,69
2022-06-12,69
2022-06-13,71
2022-06-14,70
2022-06-15,74
2022-06-16,78
2022-06-17,73
2022-06-18,70
2022-06-19,70
2022-06-20,70
2022-06-21,70
2022-06-22,75
2022-06-23,73
2022-06-24,70
2022-06-25,68
2022-06-26,66
2022-06-27,70
2022-06-28,71
2022-06-29,73
2022-06-30,73
2022-07-01,66
2022-07-02,62
2022-07-03,65
2022-07-04,72
2022-07-05,65
2022-07-06,66
2022-07-07,67
2022-07-08,70
2022-07-09,67
2022-07-10,67
2022-07-11,70
2022-07-12,69
2022-07-13,72
2022-07-14,71
2022-07-15,71
2022-07-16,66
2022-07-17,66
2022-07-18,67
2022-07-19,68
2022-07-20,72
2022-07-21,72
2022-07-22,72
2022-07-23,65
2022-07-24,67
2022-07-25,68
2022-07-26,71
2022-07-27,63
2022-07-28,70
2022-07-29,70
2022-07-30,63
2022-07-31,69
2022-08-01,62
2022-08-02,67
2022-08-03,66
2022-08-04,69
2022-08-05,67
2022-08-06,64
2022-08-07,66
2022-08-08,64
2022-08-09,66
2022-08-10,66
2022-08-11,70
2022-08-12,65
2022-08-13,60
2022-08-14,68
2022-08-15,67
2022-08-16,67
2022-08-17,70
2022-08-18,68
2022-08-19,68
2022-08-20,67
2022-08-21,69
2022-08-22,62
2022-08-23,66
2022-08-24,65
2022-08-25,66
2022-08-26,62
2022-08-27,63
2022-08-28,64
2022-08-29,57
2022-08-30,65
2022-08-31,63
2022-09-01,62
2022-09-02,63
2022-09-03,58
2022-09-04,61
2022-09-05,72
2022-09-06,60
2022-09-07,60
2022-09-08,62
2022-09-09,61
2022-09-10,68
2022-09-11,70
2022-09-12,65
2022-09-13,67
2022-09-14,70
2022-09-15,71
2022-09-16,68
2022-09-17,69
2022-09-18,64
2022-09-19,66
2022-09-20,66
2022-09-21,65
2022-09-22,70
2022-09-23,70
2022-09-24,67
2022-09-25,73
2022-09-26,61
2022-09-27,62
