Time,panera bread
2023-04-26,69
2023-04-27,70
2023-04-28,70
2023-04-29,74
2023-04-30,75
2023-05-01,66
2023-05-02,72
2023-05-03,72
2023-05-04,70
2023-05-05,66
2023-05-06,68
2023-05-07,73
2023-05-08,68
2023-05-09,66
2023-05-10,68
2023-05-11,71
2023-05-12,70
2023-05-13,75
2023-05-14,77
2023-05-15,67
2023-05-16,70
2023-05-17,69
2023-05-18,74
2023-05-19,80
2023-05-20,71
2023-05-21,74
2023-05-22,65
2023-05-23,68
2023-05-24,66
2023-05-25,69
2023-05-26,69
2023-05-27,65
2023-05-28,71
2023-05-29,69
2023-05-30,64
2023-05-31,67
2023-06-01,69
2023-06-02,67
2023-06-03,66
2023-06-04,69
2023-06-05,66
2023-06-06,71
2023-06-07,72
2023-06-08,68
2023-06-09,74
2023-06-10,67
2023-06-11,74
2023-06-12,65
2023-06-13,74
2023-06-14,72
2023-06-15,72
2023-06-16,77
2023-06-17,68
2023-06-18,68
2023-06-19,72
2023-06-20,70
2023-06-21,73
2023-06-22,70
2023-06-23,70
2023-06-24,67
2023-06-25,71
2023-06-26,67
2023-06-27,77
2023-06-28,67
2023-06-29,69
2023-06-30,67
2023-07-01,64
2023-07-02,69
2023-07-03,62
2023-07-04,71
2023-07-05,58
2023-07-06,64
2023-07-07,66
2023-07-08,65
2023-07-09,70
2023-07-10,65
2023-07-11,66
2023-07-12,73
2023-07-13,68
2023-07-14,70
2023-07-15,66
2023-07-16,69
2023-07-17,67
2023-07-18,68
2023-07-19,69
2023-07-20,68
2023-07-21,71
2023-07-22,67
2023-07-23,69
2023-07-24,65
2023-07-25,68
2023-07-26,65
2023-07-27,68
2023-07-28,63
2023-07-29,63
2023-07-30,68
2023-07-31,62
2023-08-01,67
2023-08-02,66
2023-08-03,69
2023-08-04,70
2023-08-05,63
2023-08-06,70
2023-08-07,65
2023-08-08,68
2023-08-09,68
2023-08-10,71
2023-08-11,67
2023-08-12,65
2023-08-13,67
2023-08-14,66
2023-08-15,68
2023-08-16,69
2023-08-17,70
2023-08-18,72
2023-08-19,70
2023-08-20,69
2023-08-21,63
2023-08-22,69
2023-08-23,68
2023-08-24,67
2023-08-25,64
2023-08-26,63
2023-08-27,65
2023-08-28,63
2023-08-29,64
2023-08-30,65
2023-08-31,64
2023-09-01,68
2023-09-02,63
2023-09-03,65
2023-09-04,70
2023-09-05,60
2023-09-06,63
2023-09-07,61
2023-09-08,67
2023-09-09,61
2023-09-10,66
2023-09-11,63
2023-09-12,68
2023-09-13,68
2023-09-14,67
2023-09-15,66
2023-09-16,66
2023-09-17,69
2023-09-18,61
2023-09-19,67
2023-09-20,62
2023-09-21,64
2023-09-22,66
2023-09-23,67
2023-09-24,68
2023-09-25,63
2023-09-26,65
2023-09-27,68
2023-09-28,69
2023-09-29,65
2023-09-30,66
2023-10-01,72
2023-10-02,62
2023-10-03,65
2023-10-04,67
2023-10-05,66
2023-10-06,68
2023-10-07,66
2023-10-08,75
2023-10-09,69
2023-10-10,64
2023-10-11,70
2023-10-12,72
2023-10-13,66
2023-10-14,72
2023-10-15,76
2023-10-16,65
2023-10-17,69
2023-10-18,68
2023-10-19,69
2023-10-20,65
2023-10-21,67
2023-10-22,73
2023-10-23,73
2023-10-24,100
2023-10-25,97
2023-10-26,91
2023-10-27,77
2023-10-28,73
2023-10-29,81
2023-10-30,70
2023-10-31,76
2023-11-01,82
2023-11-02,72
2023-11-03,72
2023-11-04,71
2023-11-05,70
2023-11-06,68
2023-11-07,69
2023-11-08,69
2023-11-09,71
2023-11-10,71
2023-11-11,77
2023-11-12,69
2023-11-13,68
2023-11-14,62
2023-11-15,68
2023-11-16,68
2023-11-17,65
2023-11-18,64
2023-11-19,68
2023-11-20,60
2023-11-21,63
2023-11-22,60
2023-11-23,50
2023-11-24,48
2023-11-25,56
2023-11-26,66
2023-11-27,61
2023-11-28,64
2023-11-29,67
2023-11-30,62
2023-12-01,66
2023-12-02,64
2023-12-03,62
2023-12-04,61
2023-12-05,78
2023-12-06,92
2023-12-07,91
2023-12-08,82
2023-12-09,86
2023-12-10,82
2023-12-11,70
2023-12-12,81
2023-12-13,75
2023-12-14,65
2023-12-15,70
2023-12-16,66
2023-12-17,67
2023-12-18,58
2023-12-19,70
2023-12-20,69
2023-12-21,71
2023-12-22,73
2023-12-23,72
2023-12-24,73
2023-12-25,47
2023-12-26,61
2023-12-27,64
2023-12-28,72
2023-12-29,74
2023-12-30,65
2023-12-31,71
2024-01-01,77
2024-01-02,65
2024-01-03,69
2024-01-04,68
2024-01-05,67
2024-01-06,63
2024-01-07,63
2024-01-08,61
2024-01-09,62
2024-01-10,67
2024-01-11,66
2024-01-12,66
2024-01-13,64
2024-01-14,61
2024-01-15,65
2024-01-16,57
2024-01-17,67
2024-01-18,64
2024-01-19,58
2024-01-20,63
