Time,indeed
2022-08-29,81
2022-08-30,85
2022-08-31,83
2022-09-01,75
2022-09-02,66
2022-09-03,45
2022-09-04,45
2022-09-05,56
2022-09-06,81
2022-09-07,84
2022-09-08,78
2022-09-09,67
2022-09-10,47
2022-09-11,50
2022-09-12,84
2022-09-13,84
2022-09-14,87
2022-09-15,78
2022-09-16,69
2022-09-17,48
2022-09-18,48
2022-09-19,84
2022-09-20,85
2022-09-21,88
2022-09-22,78
2022-09-23,66
2022-09-24,45
2022-09-25,48
2022-09-26,79
2022-09-27,79
2022-09-28,75
2022-09-29,70
2022-09-30,64
2022-10-01,45
2022-10-02,49
2022-10-03,78
2022-10-04,82
2022-10-05,79
2022-10-06,75
2022-10-07,69
2022-10-08,47
2022-10-09,47
2022-10-10,78
2022-10-11,79
2022-10-12,79
2022-10-13,77
2022-10-14,66
2022-10-15,44
2022-10-16,48
2022-10-17,82
2022-10-18,79
2022-10-19,82
2022-10-20,73
2022-10-21,64
2022-10-22,45
2022-10-23,46
2022-10-24,79
2022-10-25,79
2022-10-26,77
2022-10-27,73
2022-10-28,61
2022-10-29,43
2022-10-30,44
2022-10-31,71
2022-11-01,78
2022-11-02,79
2022-11-03,74
2022-11-04,67
2022-11-05,45
2022-11-06,47
2022-11-07,75
2022-11-08,76
2022-11-09,73
2022-11-10,70
2022-11-11,61
2022-11-12,47
2022-11-13,47
2022-11-14,78
2022-11-15,80
2022-11-16,75
2022-11-17,76
2022-11-18,64
2022-11-19,46
2022-11-20,43
2022-11-21,65
2022-11-22,70
2022-11-23,55
2022-11-24,30
2022-11-25,42
2022-11-26,39
2022-11-27,46
2022-11-28,73
2022-11-29,76
2022-11-30,73
2022-12-01,73
2022-12-02,63
2022-12-03,46
2022-12-04,45
2022-12-05,75
2022-12-06,77
2022-12-07,75
2022-12-08,70
2022-12-09,61
2022-12-10,46
2022-12-11,45
2022-12-12,72
2022-12-13,73
2022-12-14,68
2022-12-15,66
2022-12-16,58
2022-12-17,44
2022-12-18,39
2022-12-19,63
2022-12-20,67
2022-12-21,62
2022-12-22,54
2022-12-23,45
2022-12-24,29
2022-12-25,27
2022-12-26,54
2022-12-27,74
2022-12-28,77
2022-12-29,73
2022-12-30,60
2022-12-31,42
2023-01-01,44
2023-01-02,81
2023-01-03,87
2023-01-04,90
2023-01-05,84
2023-01-06,79
2023-01-07,56
2023-01-08,55
2023-01-09,86
2023-01-10,92
2023-01-11,90
2023-01-12,85
2023-01-13,77
2023-01-14,53
2023-01-15,52
2023-01-16,87
2023-01-17,90
2023-01-18,89
2023-01-19,85
2023-01-20,74
2023-01-21,55
2023-01-22,52
2023-01-23,89
2023-01-24,92
2023-01-25,84
2023-01-26,80
2023-01-27,75
2023-01-28,54
2023-01-29,52
2023-01-30,82
2023-01-31,88
2023-02-01,87
2023-02-02,79
2023-02-03,74
2023-02-04,53
2023-02-05,53
2023-02-06,83
2023-02-07,90
2023-02-08,82
2023-02-09,78
2023-02-10,72
2023-02-11,54
2023-02-12,47
2023-02-13,72
2023-02-14,77
2023-02-15,81
2023-02-16,86
2023-02-17,75
2023-02-18,53
2023-02-19,54
2023-02-20,88
2023-02-21,85
2023-02-22,85
2023-02-23,78
2023-02-24,71
2023-02-25,51
2023-02-26,51
2023-02-27,82
2023-02-28,79
2023-03-01,82
2023-03-02,84
2023-03-03,71
2023-03-04,53
2023-03-05,54
2023-03-06,85
2023-03-07,86
2023-03-08,84
2023-03-09,81
2023-03-10,72
2023-03-11,51
2023-03-12,50
2023-03-13,82
2023-03-14,88
2023-03-15,81
2023-03-16,79
2023-03-17,66
2023-03-18,49
2023-03-19,54
2023-03-20,84
2023-03-21,89
2023-03-22,89
2023-03-23,84
2023-03-24,69
2023-03-25,52
2023-03-26,55
2023-03-27,85
2023-03-28,83
2023-03-29,82
2023-03-30,79
2023-03-31,70
2023-04-01,48
2023-04-02,53
2023-04-03,90
2023-04-04,84
2023-04-05,81
2023-04-06,81
2023-04-07,67
2023-04-08,48
2023-04-09,52
2023-04-10,90
2023-04-11,90
2023-04-12,88
2023-04-13,81
2023-04-14,72
2023-04-15,54
2023-04-16,55
2023-04-17,87
2023-04-18,92
2023-04-19,91
2023-04-20,81
2023-04-21,72
2023-04-22,54
2023-04-23,54
2023-04-24,91
2023-04-25,87
2023-04-26,85
2023-04-27,80
2023-04-28,72
2023-04-29,53
2023-04-30,54
2023-05-01,87
2023-05-02,91
2023-05-03,88
2023-05-04,84
2023-05-05,71
2023-05-06,51
2023-05-07,53
2023-05-08,91
2023-05-09,89
2023-05-10,87
2023-05-11,82
2023-05-12,73
2023-05-13,53
2023-05-14,46
2023-05-15,94
2023-05-16,100
2023-05-17,93
2023-05-18,90
2023-05-19,78
2023-05-20,57
2023-05-21,56
2023-05-22,92
2023-05-23,96
2023-05-24,94
2023-05-25,85
