Time,crowdstrike
2023-04-26,54
2023-04-27,49
2023-04-28,45
2023-04-29,12
2023-04-30,15
2023-05-01,46
2023-05-02,52
2023-05-03,44
2023-05-04,56
2023-05-05,50
2023-05-06,13
2023-05-07,14
2023-05-08,59
2023-05-09,59
2023-05-10,61
2023-05-11,51
2023-05-12,43
2023-05-13,12
2023-05-14,6
2023-05-15,49
2023-05-16,53
2023-05-17,53
2023-05-18,58
2023-05-19,56
2023-05-20,14
2023-05-21,8
2023-05-22,41
2023-05-23,55
2023-05-24,52
2023-05-25,53
2023-05-26,52
2023-05-27,14
2023-05-28,15
2023-05-29,16
2023-05-30,66
2023-05-31,100
2023-06-01,95
2023-06-02,56
2023-06-03,19
2023-06-04,13
2023-06-05,56
2023-06-06,63
2023-06-07,61
2023-06-08,53
2023-06-09,47
2023-06-10,11
2023-06-11,12
2023-06-12,60
2023-06-13,60
2023-06-14,63
2023-06-15,59
2023-06-16,44
2023-06-17,15
2023-06-18,16
2023-06-19,29
2023-06-20,56
2023-06-21,54
2023-06-22,50
2023-06-23,41
2023-06-24,12
2023-06-25,13
2023-06-26,47
2023-06-27,71
2023-06-28,50
2023-06-29,48
2023-06-30,39
2023-07-01,16
2023-07-02,14
2023-07-03,26
2023-07-04,11
2023-07-05,44
2023-07-06,49
2023-07-07,42
2023-07-08,13
2023-07-09,14
2023-07-10,40
2023-07-11,48
2023-07-12,61
2023-07-13,57
2023-07-14,48
2023-07-15,10
2023-07-16,12
2023-07-17,50
2023-07-18,51
2023-07-19,51
2023-07-20,45
2023-07-21,40
2023-07-22,10
2023-07-23,21
2023-07-24,47
2023-07-25,61
2023-07-26,50
2023-07-27,49
2023-07-28,40
2023-07-29,16
2023-07-30,16
2023-07-31,51
2023-08-01,54
2023-08-02,54
2023-08-03,53
2023-08-04,50
2023-08-05,10
2023-08-06,19
2023-08-07,53
2023-08-08,56
2023-08-09,51
2023-08-10,50
2023-08-11,42
2023-08-12,11
2023-08-13,12
2023-08-14,44
2023-08-15,48
2023-08-16,51
2023-08-17,52
2023-08-18,53
2023-08-19,10
2023-08-20,12
2023-08-21,53
2023-08-22,50
2023-08-23,51
2023-08-24,47
2023-08-25,52
2023-08-26,16
2023-08-27,9
2023-08-28,56
2023-08-29,60
2023-08-30,87
2023-08-31,81
2023-09-01,39
2023-09-02,17
2023-09-03,11
2023-09-04,14
2023-09-05,48
2023-09-06,60
2023-09-07,47
2023-09-08,45
2023-09-09,17
2023-09-10,10
2023-09-11,50
2023-09-12,54
2023-09-13,54
2023-09-14,51
2023-09-15,42
2023-09-16,15
2023-09-17,12
2023-09-18,46
2023-09-19,63
2023-09-20,66
2023-09-21,58
2023-09-22,46
2023-09-23,16
2023-09-24,14
2023-09-25,46
2023-09-26,58
2023-09-27,54
2023-09-28,50
2023-09-29,44
2023-09-30,12
2023-10-01,11
2023-10-02,51
2023-10-03,60
2023-10-04,58
2023-10-05,58
2023-10-06,61
2023-10-07,17
2023-10-08,14
2023-10-09,66
2023-10-10,78
2023-10-11,68
2023-10-12,79
2023-10-13,57
2023-10-14,22
2023-10-15,14
2023-10-16,48
2023-10-17,65
2023-10-18,66
2023-10-19,63
2023-10-20,51
2023-10-21,14
2023-10-22,16
2023-10-23,51
2023-10-24,57
2023-10-25,53
2023-10-26,53
2023-10-27,48
2023-10-28,15
2023-10-29,10
2023-10-30,46
2023-10-31,52
2023-11-01,52
2023-11-02,55
2023-11-03,42
2023-11-04,19
2023-11-05,9
2023-11-06,49
2023-11-07,53
2023-11-08,56
2023-11-09,57
2023-11-10,42
2023-11-11,15
2023-11-12,8
2023-11-13,64
2023-11-14,58
2023-11-15,63
2023-11-16,65
2023-11-17,47
2023-11-18,20
2023-11-19,14
2023-11-20,51
2023-11-21,54
2023-11-22,38
2023-11-23,11
2023-11-24,18
2023-11-25,11
2023-11-26,13
2023-11-27,47
2023-11-28,73
2023-11-29,94
2023-11-30,75
2023-12-01,50
2023-12-02,20
2023-12-03,14
2023-12-04,45
2023-12-05,56
2023-12-06,65
2023-12-07,60
2023-12-08,58
2023-12-09,21
2023-12-10,14
2023-12-11,47
2023-12-12,63
2023-12-13,63
2023-12-14,61
2023-12-15,63
2023-12-16,22
2023-12-17,10
2023-12-18,46
2023-12-19,57
2023-12-20,62
2023-12-21,50
2023-12-22,41
2023-12-23,14
2023-12-24,13
2023-12-25,8
2023-12-26,25
2023-12-27,43
2023-12-28,44
2023-12-29,40
2023-12-30,14
2023-12-31,12
2024-01-01,15
2024-01-02,44
2024-01-03,59
2024-01-04,59
2024-01-05,63
2024-01-06,15
2024-01-07,10
2024-01-08,67
2024-01-09,73
2024-01-10,73
2024-01-11,69
2024-01-12,59
2024-01-13,23
2024-01-14,14
2024-01-15,27
2024-01-16,63
2024-01-17,71
2024-01-18,72
2024-01-19,59
2024-01-20,23
