Time,crowdstrike
2024-08-18,24
2024-08-19,73
2024-08-20,78
2024-08-21,73
2024-08-22,72
2024-08-23,63
2024-08-24,25
2024-08-25,19
2024-08-26,64
2024-08-27,69
2024-08-28,100
2024-08-29,90
2024-08-30,62
2024-08-31,18
2024-09-01,16
2024-09-02,19
2024-09-03,53
2024-09-04,51
2024-09-05,51
2024-09-06,47
2024-09-07,15
2024-09-08,11
2024-09-09,49
2024-09-10,50
2024-09-11,46
2024-09-12,44
2024-09-13,51
2024-09-14,19
2024-09-15,18
2024-09-16,48
2024-09-17,53
2024-09-18,55
2024-09-19,51
2024-09-20,52
2024-09-21,19
2024-09-22,14
2024-09-23,49
2024-09-24,58
2024-09-25,57
2024-09-26,51
2024-09-27,36
2024-09-28,14
2024-09-29,10
2024-09-30,38
2024-10-01,44
2024-10-02,47
2024-10-03,44
2024-10-04,38
2024-10-05,13
2024-10-06,12
2024-10-07,38
2024-10-08,48
2024-10-09,46
2024-10-10,51
2024-10-11,39
2024-10-12,17
2024-10-13,11
2024-10-14,45
2024-10-15,39
2024-10-16,49
2024-10-17,46
2024-10-18,40
2024-10-19,15
2024-10-20,12
2024-10-21,41
2024-10-22,46
2024-10-23,44
2024-10-24,40
2024-10-25,47
2024-10-26,23
2024-10-27,19
2024-10-28,49
2024-10-29,45
2024-10-30,43
2024-10-31,41
2024-11-01,34
2024-11-02,12
2024-11-03,10
2024-11-04,39
2024-11-05,37
2024-11-06,34
2024-11-07,45
2024-11-08,38
2024-11-09,17
2024-11-10,10
2024-11-11,31
2024-11-12,41
2024-11-13,43
2024-11-14,42
2024-11-15,31
2024-11-16,13
2024-11-17,13
2024-11-18,38
2024-11-19,48
2024-11-20,50
2024-11-21,49
2024-11-22,45
2024-11-23,20
2024-11-24,15
2024-11-25,53
2024-11-26,69
2024-11-27,65
2024-11-28,14
2024-11-29,19
2024-11-30,12
2024-12-01,10
2024-12-02,34
2024-12-03,45
2024-12-04,46
2024-12-05,41
2024-12-06,35
2024-12-07,16
2024-12-08,12
2024-12-09,35
2024-12-10,40
2024-12-11,45
2024-12-12,37
2024-12-13,36
2024-12-14,11
2024-12-15,14
2024-12-16,38
2024-12-17,42
2024-12-18,37
2024-12-19,38
2024-12-20,31
2024-12-21,12
2024-12-22,10
2024-12-23,28
2024-12-24,21
2024-12-25,11
2024-12-26,21
2024-12-27,20
2024-12-28,9
2024-12-29,12
2024-12-30,24
2024-12-31,25
2025-01-01,11
2025-01-02,29
2025-01-03,29
2025-01-04,13
2025-01-05,9
2025-01-06,33
2025-01-07,40
2025-01-08,39
2025-01-09,31
2025-01-10,29
2025-01-11,13
2025-01-12,9
2025-01-13,32
2025-01-14,39
2025-01-15,37
2025-01-16,35
2025-01-17,38
2025-01-18,13
2025-01-19,11
2025-01-20,16
2025-01-21,34
2025-01-22,45
2025-01-23,38
2025-01-24,36
2025-01-25,12
2025-01-26,13
2025-01-27,33
2025-01-28,58
2025-01-29,55
2025-01-30,47
2025-01-31,35
2025-02-01,13
2025-02-02,11
2025-02-03,39
2025-02-04,40
2025-02-05,42
2025-02-06,40
2025-02-07,39
2025-02-08,15
2025-02-09,10
2025-02-10,39
2025-02-11,41
2025-02-12,38
2025-02-13,46
2025-02-14,38
2025-02-15,14
2025-02-16,12
2025-02-17,22
2025-02-18,41
2025-02-19,39
2025-02-20,40
2025-02-21,48
2025-02-22,17
2025-02-23,13
2025-02-24,40
2025-02-25,47
2025-02-26,46
2025-02-27,44
2025-02-28,39
2025-03-01,17
2025-03-02,13
2025-03-03,39
2025-03-04,55
2025-03-05,63
2025-03-06,45
2025-03-07,41
2025-03-08,14
2025-03-09,11
2025-03-10,43
2025-03-11,52
2025-03-12,45
2025-03-13,39
2025-03-14,37
2025-03-15,15
2025-03-16,13
2025-03-17,40
2025-03-18,45
2025-03-19,41
2025-03-20,40
2025-03-21,32
2025-03-22,9
2025-03-23,9
2025-03-24,33
2025-03-25,42
2025-03-26,40
2025-03-27,34
2025-03-28,29
2025-03-29,9
2025-03-30,9
2025-03-31,33
2025-04-01,36
2025-04-02,33
2025-04-03,40
2025-04-04,40
2025-04-05,12
2025-04-06,9
2025-04-07,39
2025-04-08,38
2025-04-09,43
2025-04-10,38
2025-04-11,33
2025-04-12,11
2025-04-13,11
2025-04-14,37
2025-04-15,40
2025-04-16,45
2025-04-17,35
2025-04-18,26
2025-04-19,9
2025-04-20,8
2025-04-21,34
2025-04-22,38
2025-04-23,38
2025-04-24,38
2025-04-25,34
2025-04-26,14
2025-04-27,9
2025-04-28,32
2025-04-29,40
2025-04-30,38
2025-05-01,38
2025-05-02,32
2025-05-03,12
2025-05-04,13
2025-05-05,34
2025-05-06,35
2025-05-07,77
2025-05-08,55
2025-05-09,47
2025-05-10,12
2025-05-11,12
2025-05-12,44
2025-05-13,43
2025-05-14,43
