Time,real madrid
2022-08-29,6
2022-08-30,3
2022-08-31,3
2022-09-01,3
2022-09-02,3
2022-09-03,23
2022-09-04,5
2022-09-05,4
2022-09-06,22
2022-09-07,6
2022-09-08,3
2022-09-09,3
2022-09-10,8
2022-09-11,20
2022-09-12,4
2022-09-13,5
2022-09-14,22
2022-09-15,6
2022-09-16,4
2022-09-17,10
2022-09-18,38
2022-09-19,6
2022-09-20,4
2022-09-21,3
2022-09-22,2
2022-09-23,2
2022-09-24,3
2022-09-25,3
2022-09-26,2
2022-09-27,2
2022-09-28,2
2022-09-29,2
2022-09-30,3
2022-10-01,6
2022-10-02,24
2022-10-03,5
2022-10-04,5
2022-10-05,19
2022-10-06,5
2022-10-07,3
2022-10-08,20
2022-10-09,7
2022-10-10,4
2022-10-11,18
2022-10-12,6
2022-10-13,4
2022-10-14,5
2022-10-15,10
2022-10-16,63
2022-10-17,6
2022-10-18,5
2022-10-19,18
2022-10-20,6
2022-10-21,4
2022-10-22,24
2022-10-23,7
2022-10-24,4
2022-10-25,24
2022-10-26,6
2022-10-27,3
2022-10-28,3
2022-10-29,9
2022-10-30,22
2022-10-31,4
2022-11-01,5
2022-11-02,16
2022-11-03,4
2022-11-04,3
2022-11-05,7
2022-11-06,9
2022-11-07,23
2022-11-08,7
2022-11-09,5
2022-11-10,18
2022-11-11,6
2022-11-12,4
2022-11-13,3
2022-11-14,2
2022-11-15,2
2022-11-16,2
2022-11-17,2
2022-11-18,2
2022-11-19,2
2022-11-20,2
2022-11-21,2
2022-11-22,2
2022-11-23,3
2022-11-24,3
2022-11-25,2
2022-11-26,2
2022-11-27,2
2022-11-28,2
2022-11-29,2
2022-11-30,2
2022-12-01,2
2022-12-02,2
2022-12-03,2
2022-12-04,2
2022-12-05,2
2022-12-06,2
2022-12-07,2
2022-12-08,2
2022-12-09,2
2022-12-10,3
2022-12-11,2
2022-12-12,2
2022-12-13,2
2022-12-14,3
2022-12-15,4
2022-12-16,3
2022-12-17,3
2022-12-18,4
2022-12-19,3
2022-12-20,3
2022-12-21,3
2022-12-22,3
2022-12-23,3
2022-12-24,3
2022-12-25,3
2022-12-26,3
2022-12-27,3
2022-12-28,4
2022-12-29,4
2022-12-30,17
2022-12-31,8
2023-01-01,3
2023-01-02,4
2023-01-03,12
2023-01-04,6
2023-01-05,3
2023-01-06,4
2023-01-07,20
2023-01-08,5
2023-01-09,4
2023-01-10,5
2023-01-11,24
2023-01-12,8
2023-01-13,7
2023-01-14,10
2023-01-15,70
2023-01-16,9
2023-01-17,4
2023-01-18,5
2023-01-19,23
2023-01-20,7
2023-01-21,7
2023-01-22,21
2023-01-23,6
2023-01-24,4
2023-01-25,6
2023-01-26,35
2023-01-27,9
2023-01-28,7
2023-01-29,22
2023-01-30,7
2023-01-31,5
2023-02-01,6
2023-02-02,20
2023-02-03,8
2023-02-04,8
2023-02-05,22
2023-02-06,5
2023-02-07,6
2023-02-08,27
2023-02-09,7
2023-02-10,6
2023-02-11,36
2023-02-12,9
2023-02-13,5
2023-02-14,5
2023-02-15,18
2023-02-16,6
2023-02-17,4
2023-02-18,21
2023-02-19,8
2023-02-20,6
2023-02-21,61
2023-02-22,12
2023-02-23,6
2023-02-24,6
2023-02-25,30
2023-02-26,9
2023-02-27,5
2023-02-28,5
2023-03-01,7
2023-03-02,60
2023-03-03,12
2023-03-04,9
2023-03-05,26
2023-03-06,8
2023-03-07,6
2023-03-08,6
2023-03-09,6
2023-03-10,5
2023-03-11,19
2023-03-12,7
2023-03-13,5
2023-03-14,8
2023-03-15,46
2023-03-16,10
2023-03-17,8
2023-03-18,10
2023-03-19,72
2023-03-20,12
2023-03-21,5
2023-03-22,4
2023-03-23,4
2023-03-24,3
2023-03-25,4
2023-03-26,4
2023-03-27,3
2023-03-28,3
2023-03-29,3
2023-03-30,3
2023-03-31,4
2023-04-01,7
2023-04-02,24
2023-04-03,6
2023-04-04,6
2023-04-05,60
2023-04-06,12
2023-04-07,6
2023-04-08,27
2023-04-09,9
2023-04-10,5
2023-04-11,8
2023-04-12,49
2023-04-13,10
2023-04-14,6
2023-04-15,22
2023-04-16,8
2023-04-17,6
2023-04-18,42
2023-04-19,10
2023-04-20,7
2023-04-21,6
2023-04-22,23
2023-04-23,8
2023-04-24,5
2023-04-25,31
2023-04-26,8
2023-04-27,6
2023-04-28,6
2023-04-29,24
2023-04-30,7
2023-05-01,6
2023-05-02,26
2023-05-03,9
2023-05-04,7
2023-05-05,7
2023-05-06,46
2023-05-07,11
2023-05-08,9
2023-05-09,96
2023-05-10,17
2023-05-11,7
2023-05-12,9
2023-05-13,27
2023-05-14,11
2023-05-15,9
2023-05-16,14
2023-05-17,100
2023-05-18,18
2023-05-19,7
2023-05-20,8
2023-05-21,21
2023-05-22,8
2023-05-23,6
2023-05-24,17
2023-05-25,6
