Time,tractor supply
2023-04-26,40
2023-04-27,39
2023-04-28,44
2023-04-29,66
2023-04-30,68
2023-05-01,44
2023-05-02,40
2023-05-03,39
2023-05-04,42
2023-05-05,45
2023-05-06,64
2023-05-07,71
2023-05-08,47
2023-05-09,44
2023-05-10,42
2023-05-11,43
2023-05-12,50
2023-05-13,71
2023-05-14,66
2023-05-15,43
2023-05-16,40
2023-05-17,44
2023-05-18,44
2023-05-19,49
2023-05-20,65
2023-05-21,71
2023-05-22,47
2023-05-23,42
2023-05-24,44
2023-05-25,46
2023-05-26,57
2023-05-27,72
2023-05-28,77
2023-05-29,80
2023-05-30,44
2023-05-31,42
2023-06-01,44
2023-06-02,50
2023-06-03,66
2023-06-04,72
2023-06-05,45
2023-06-06,41
2023-06-07,46
2023-06-08,42
2023-06-09,46
2023-06-10,65
2023-06-11,62
2023-06-12,45
2023-06-13,39
2023-06-14,41
2023-06-15,43
2023-06-16,49
2023-06-17,66
2023-06-18,64
2023-06-19,47
2023-06-20,41
2023-06-21,39
2023-06-22,41
2023-06-23,43
2023-06-24,63
2023-06-25,62
2023-06-26,38
2023-06-27,41
2023-06-28,44
2023-06-29,39
2023-06-30,50
2023-07-01,65
2023-07-02,65
2023-07-03,55
2023-07-04,64
2023-07-05,39
2023-07-06,42
2023-07-07,43
2023-07-08,57
2023-07-09,57
2023-07-10,40
2023-07-11,38
2023-07-12,35
2023-07-13,39
2023-07-14,40
2023-07-15,51
2023-07-16,54
2023-07-17,39
2023-07-18,40
2023-07-19,38
2023-07-20,37
2023-07-21,37
2023-07-22,50
2023-07-23,55
2023-07-24,38
2023-07-25,36
2023-07-26,35
2023-07-27,34
2023-07-28,40
2023-07-29,49
2023-07-30,53
2023-07-31,33
2023-08-01,33
2023-08-02,36
2023-08-03,39
2023-08-04,41
2023-08-05,49
2023-08-06,51
2023-08-07,35
2023-08-08,37
2023-08-09,37
2023-08-10,38
2023-08-11,43
2023-08-12,49
2023-08-13,48
2023-08-14,36
2023-08-15,35
2023-08-16,35
2023-08-17,36
2023-08-18,41
2023-08-19,54
2023-08-20,53
2023-08-21,36
2023-08-22,36
2023-08-23,34
2023-08-24,34
2023-08-25,33
2023-08-26,45
2023-08-27,49
2023-08-28,33
2023-08-29,34
2023-08-30,34
2023-08-31,34
2023-09-01,39
2023-09-02,49
2023-09-03,53
2023-09-04,56
2023-09-05,34
2023-09-06,32
2023-09-07,32
2023-09-08,34
2023-09-09,45
2023-09-10,46
2023-09-11,32
2023-09-12,31
2023-09-13,32
2023-09-14,33
2023-09-15,32
2023-09-16,47
2023-09-17,46
2023-09-18,33
2023-09-19,33
2023-09-20,32
2023-09-21,34
2023-09-22,36
2023-09-23,47
2023-09-24,48
2023-09-25,34
2023-09-26,30
2023-09-27,34
2023-09-28,32
2023-09-29,36
2023-09-30,47
2023-10-01,44
2023-10-02,33
2023-10-03,31
2023-10-04,33
2023-10-05,33
2023-10-06,36
2023-10-07,46
2023-10-08,49
2023-10-09,38
2023-10-10,31
2023-10-11,33
2023-10-12,32
2023-10-13,35
2023-10-14,43
2023-10-15,50
2023-10-16,34
2023-10-17,34
2023-10-18,33
2023-10-19,34
2023-10-20,39
2023-10-21,45
2023-10-22,49
2023-10-23,34
2023-10-24,33
2023-10-25,30
2023-10-26,31
2023-10-27,36
2023-10-28,44
2023-10-29,45
2023-10-30,35
2023-10-31,34
2023-11-01,36
2023-11-02,35
2023-11-03,41
2023-11-04,51
2023-11-05,51
2023-11-06,38
2023-11-07,35
2023-11-08,34
2023-11-09,34
2023-11-10,44
2023-11-11,52
2023-11-12,48
2023-11-13,32
2023-11-14,34
2023-11-15,33
2023-11-16,33
2023-11-17,35
2023-11-18,50
2023-11-19,57
2023-11-20,39
2023-11-21,46
2023-11-22,56
2023-11-23,62
2023-11-24,100
2023-11-25,72
2023-11-26,69
2023-11-27,48
2023-11-28,41
2023-11-29,38
2023-11-30,36
2023-12-01,39
2023-12-02,49
2023-12-03,51
2023-12-04,35
2023-12-05,35
2023-12-06,33
2023-12-07,36
2023-12-08,38
2023-12-09,50
2023-12-10,52
2023-12-11,35
2023-12-12,37
2023-12-13,34
2023-12-14,37
2023-12-15,37
2023-12-16,50
2023-12-17,51
2023-12-18,41
2023-12-19,40
2023-12-20,42
2023-12-21,45
2023-12-22,53
2023-12-23,66
2023-12-24,71
2023-12-25,29
2023-12-26,44
2023-12-27,41
2023-12-28,38
2023-12-29,40
2023-12-30,45
2023-12-31,51
2024-01-01,49
2024-01-02,35
2024-01-03,34
2024-01-04,34
2024-01-05,36
2024-01-06,42
2024-01-07,44
2024-01-08,33
2024-01-09,31
2024-01-10,36
2024-01-11,36
2024-01-12,41
2024-01-13,60
2024-01-14,64
2024-01-15,45
2024-01-16,37
2024-01-17,48
2024-01-18,34
2024-01-19,36
2024-01-20,47
