Time,tractor supply
2022-08-29,37
2022-08-30,34
2022-08-31,38
2022-09-01,40
2022-09-02,43
2022-09-03,56
2022-09-04,62
2022-09-05,66
2022-09-06,39
2022-09-07,35
2022-09-08,34
2022-09-09,39
2022-09-10,47
2022-09-11,49
2022-09-12,36
2022-09-13,35
2022-09-14,34
2022-09-15,37
2022-09-16,38
2022-09-17,48
2022-09-18,50
2022-09-19,35
2022-09-20,38
2022-09-21,34
2022-09-22,36
2022-09-23,42
2022-09-24,55
2022-09-25,52
2022-09-26,38
2022-09-27,37
2022-09-28,36
2022-09-29,38
2022-09-30,43
2022-10-01,61
2022-10-02,53
2022-10-03,38
2022-10-04,35
2022-10-05,39
2022-10-06,35
2022-10-07,41
2022-10-08,54
2022-10-09,52
2022-10-10,39
2022-10-11,43
2022-10-12,37
2022-10-13,38
2022-10-14,40
2022-10-15,50
2022-10-16,51
2022-10-17,36
2022-10-18,41
2022-10-19,39
2022-10-20,38
2022-10-21,39
2022-10-22,50
2022-10-23,52
2022-10-24,35
2022-10-25,35
2022-10-26,35
2022-10-27,34
2022-10-28,40
2022-10-29,51
2022-10-30,52
2022-10-31,33
2022-11-01,34
2022-11-02,33
2022-11-03,36
2022-11-04,39
2022-11-05,48
2022-11-06,52
2022-11-07,34
2022-11-08,33
2022-11-09,32
2022-11-10,35
2022-11-11,44
2022-11-12,51
2022-11-13,54
2022-11-14,42
2022-11-15,40
2022-11-16,42
2022-11-17,44
2022-11-18,47
2022-11-19,66
2022-11-20,65
2022-11-21,46
2022-11-22,51
2022-11-23,55
2022-11-24,59
2022-11-25,97
2022-11-26,64
2022-11-27,63
2022-11-28,45
2022-11-29,43
2022-11-30,36
2022-12-01,36
2022-12-02,39
2022-12-03,49
2022-12-04,51
2022-12-05,38
2022-12-06,34
2022-12-07,36
2022-12-08,40
2022-12-09,39
2022-12-10,54
2022-12-11,55
2022-12-12,41
2022-12-13,39
2022-12-14,41
2022-12-15,40
2022-12-16,49
2022-12-17,66
2022-12-18,70
2022-12-19,60
2022-12-20,65
2022-12-21,73
2022-12-22,79
2022-12-23,87
2022-12-24,100
2022-12-25,36
2022-12-26,68
2022-12-27,48
2022-12-28,42
2022-12-29,39
2022-12-30,45
2022-12-31,53
2023-01-01,49
2023-01-02,46
2023-01-03,30
2023-01-04,33
2023-01-05,33
2023-01-06,36
2023-01-07,46
2023-01-08,47
2023-01-09,34
2023-01-10,33
2023-01-11,33
2023-01-12,31
2023-01-13,32
2023-01-14,47
2023-01-15,44
2023-01-16,37
2023-01-17,31
2023-01-18,30
2023-01-19,34
2023-01-20,36
2023-01-21,49
2023-01-22,44
2023-01-23,31
2023-01-24,33
2023-01-25,30
2023-01-26,36
2023-01-27,36
2023-01-28,51
2023-01-29,49
2023-01-30,34
2023-01-31,33
2023-02-01,39
2023-02-02,34
2023-02-03,36
2023-02-04,45
2023-02-05,51
2023-02-06,34
2023-02-07,33
2023-02-08,31
2023-02-09,35
2023-02-10,36
2023-02-11,50
2023-02-12,42
2023-02-13,30
2023-02-14,31
2023-02-15,33
2023-02-16,33
2023-02-17,38
2023-02-18,54
2023-02-19,56
2023-02-20,43
2023-02-21,35
2023-02-22,39
2023-02-23,39
2023-02-24,44
2023-02-25,61
2023-02-26,58
2023-02-27,36
2023-02-28,36
2023-03-01,38
2023-03-02,39
2023-03-03,40
2023-03-04,61
2023-03-05,64
2023-03-06,42
2023-03-07,39
2023-03-08,40
2023-03-09,40
2023-03-10,42
2023-03-11,59
2023-03-12,59
2023-03-13,38
2023-03-14,36
2023-03-15,39
2023-03-16,41
2023-03-17,43
2023-03-18,58
2023-03-19,59
2023-03-20,40
2023-03-21,38
2023-03-22,38
2023-03-23,40
2023-03-24,45
2023-03-25,63
2023-03-26,66
2023-03-27,42
2023-03-28,41
2023-03-29,39
2023-03-30,40
2023-03-31,45
2023-04-01,64
2023-04-02,67
2023-04-03,42
2023-04-04,41
2023-04-05,43
2023-04-06,43
2023-04-07,56
2023-04-08,69
2023-04-09,65
2023-04-10,51
2023-04-11,62
2023-04-12,75
2023-04-13,63
2023-04-14,61
2023-04-15,77
2023-04-16,75
2023-04-17,47
2023-04-18,43
2023-04-19,46
2023-04-20,45
2023-04-21,53
2023-04-22,74
2023-04-23,74
2023-04-24,45
2023-04-25,40
2023-04-26,41
2023-04-27,41
2023-04-28,45
2023-04-29,69
2023-04-30,71
2023-05-01,45
2023-05-02,41
2023-05-03,41
2023-05-04,43
2023-05-05,47
2023-05-06,67
2023-05-07,73
2023-05-08,48
2023-05-09,45
2023-05-10,44
2023-05-11,45
2023-05-12,52
2023-05-13,74
2023-05-14,69
2023-05-15,44
2023-05-16,42
2023-05-17,46
2023-05-18,46
2023-05-19,51
2023-05-20,68
2023-05-21,74
2023-05-22,49
2023-05-23,44
2023-05-24,46
2023-05-25,48
