Time,tractor supply
2022-01-01,68
2022-01-02,62
2022-01-03,47
2022-01-04,58
2022-01-05,52
2022-01-06,47
2022-01-07,51
2022-01-08,63
2022-01-09,54
2022-01-10,43
2022-01-11,45
2022-01-12,47
2022-01-13,43
2022-01-14,49
2022-01-15,67
2022-01-16,61
2022-01-17,47
2022-01-18,41
2022-01-19,42
2022-01-20,47
2022-01-21,49
2022-01-22,65
2022-01-23,56
2022-01-24,49
2022-01-25,38
2022-01-26,39
2022-01-27,42
2022-01-28,50
2022-01-29,61
2022-01-30,60
2022-01-31,49
2022-02-01,50
2022-02-02,53
2022-02-03,45
2022-02-04,48
2022-02-05,58
2022-02-06,61
2022-02-07,44
2022-02-08,43
2022-02-09,42
2022-02-10,37
2022-02-11,44
2022-02-12,55
2022-02-13,51
2022-02-14,37
2022-02-15,41
2022-02-16,43
2022-02-17,40
2022-02-18,44
2022-02-19,65
2022-02-20,66
2022-02-21,52
2022-02-22,44
2022-02-23,42
2022-02-24,42
2022-02-25,48
2022-02-26,66
2022-02-27,65
2022-02-28,49
2022-03-01,46
2022-03-02,46
2022-03-03,43
2022-03-04,52
2022-03-05,74
2022-03-06,74
2022-03-07,50
2022-03-08,48
2022-03-09,45
2022-03-10,49
2022-03-11,51
2022-03-12,65
2022-03-13,76
2022-03-14,52
2022-03-15,53
2022-03-16,53
2022-03-17,50
2022-03-18,59
2022-03-19,77
2022-03-20,86
2022-03-21,58
2022-03-22,59
2022-03-23,52
2022-03-24,54
2022-03-25,62
2022-03-26,85
2022-03-27,80
2022-03-28,49
2022-03-29,54
2022-03-30,50
2022-03-31,51
2022-04-01,57
2022-04-02,81
2022-04-03,84
2022-04-04,53
2022-04-05,53
2022-04-06,51
2022-04-07,55
2022-04-08,60
2022-04-09,79
2022-04-10,83
2022-04-11,56
2022-04-12,51
2022-04-13,51
2022-04-14,58
2022-04-15,71
2022-04-16,86
2022-04-17,85
2022-04-18,61
2022-04-19,54
2022-04-20,55
2022-04-21,60
2022-04-22,66
2022-04-23,88
2022-04-24,95
2022-04-25,61
2022-04-26,57
2022-04-27,54
2022-04-28,52
2022-04-29,59
2022-04-30,84
2022-05-01,91
2022-05-02,57
2022-05-03,56
2022-05-04,53
2022-05-05,56
2022-05-06,56
2022-05-07,83
2022-05-08,80
2022-05-09,59
2022-05-10,56
2022-05-11,58
2022-05-12,59
2022-05-13,59
2022-05-14,84
2022-05-15,91
2022-05-16,54
2022-05-17,53
2022-05-18,51
2022-05-19,53
2022-05-20,59
2022-05-21,83
2022-05-22,84
2022-05-23,56
2022-05-24,49
2022-05-25,50
2022-05-26,52
2022-05-27,64
2022-05-28,89
2022-05-29,100
2022-05-30,98
2022-05-31,58
2022-06-01,55
2022-06-02,55
2022-06-03,57
2022-06-04,84
2022-06-05,91
2022-06-06,55
2022-06-07,55
2022-06-08,50
2022-06-09,54
2022-06-10,61
2022-06-11,77
2022-06-12,85
2022-06-13,61
2022-06-14,60
2022-06-15,57
2022-06-16,59
2022-06-17,64
2022-06-18,85
2022-06-19,85
2022-06-20,65
2022-06-21,55
2022-06-22,57
2022-06-23,55
2022-06-24,58
2022-06-25,77
2022-06-26,79
2022-06-27,55
2022-06-28,51
2022-06-29,52
2022-06-30,51
2022-07-01,62
2022-07-02,78
2022-07-03,85
2022-07-04,85
2022-07-05,50
2022-07-06,52
2022-07-07,50
2022-07-08,56
2022-07-09,68
2022-07-10,74
2022-07-11,53
2022-07-12,50
2022-07-13,48
2022-07-14,50
2022-07-15,52
2022-07-16,67
2022-07-17,70
2022-07-18,48
2022-07-19,48
2022-07-20,47
2022-07-21,48
2022-07-22,49
2022-07-23,65
2022-07-24,67
2022-07-25,47
2022-07-26,45
2022-07-27,43
2022-07-28,45
2022-07-29,51
2022-07-30,63
2022-07-31,68
2022-08-01,45
2022-08-02,48
2022-08-03,44
2022-08-04,43
2022-08-05,50
2022-08-06,66
2022-08-07,65
2022-08-08,45
2022-08-09,44
2022-08-10,44
2022-08-11,46
2022-08-12,45
2022-08-13,65
2022-08-14,71
2022-08-15,41
2022-08-16,44
2022-08-17,44
2022-08-18,45
2022-08-19,53
2022-08-20,62
2022-08-21,63
2022-08-22,45
2022-08-23,44
2022-08-24,42
2022-08-25,41
2022-08-26,47
2022-08-27,63
2022-08-28,65
2022-08-29,43
2022-08-30,41
2022-08-31,45
2022-09-01,48
2022-09-02,51
2022-09-03,66
2022-09-04,73
2022-09-05,79
2022-09-06,46
2022-09-07,42
2022-09-08,40
2022-09-09,46
2022-09-10,55
2022-09-11,58
2022-09-12,43
2022-09-13,42
2022-09-14,40
2022-09-15,43
2022-09-16,46
2022-09-17,57
2022-09-18,59
2022-09-19,42
2022-09-20,45
2022-09-21,40
2022-09-22,43
2022-09-23,49
2022-09-24,65
2022-09-25,62
2022-09-26,45
2022-09-27,44
