Time,bangladesh
2023-04-26,11
2023-04-27,12
2023-04-28,11
2023-04-29,10
2023-04-30,10
2023-05-01,11
2023-05-02,11
2023-05-03,11
2023-05-04,12
2023-05-05,11
2023-05-06,9
2023-05-07,10
2023-05-08,12
2023-05-09,15
2023-05-10,12
2023-05-11,11
2023-05-12,17
2023-05-13,14
2023-05-14,21
2023-05-15,13
2023-05-16,13
2023-05-17,11
2023-05-18,11
2023-05-19,10
2023-05-20,9
2023-05-21,11
2023-05-22,11
2023-05-23,10
2023-05-24,10
2023-05-25,12
2023-05-26,10
2023-05-27,10
2023-05-28,10
2023-05-29,11
2023-05-30,11
2023-05-31,11
2023-06-01,10
2023-06-02,10
2023-06-03,10
2023-06-04,11
2023-06-05,11
2023-06-06,11
2023-06-07,11
2023-06-08,10
2023-06-09,11
2023-06-10,10
2023-06-11,10
2023-06-12,10
2023-06-13,10
2023-06-14,16
2023-06-15,15
2023-06-16,14
2023-06-17,14
2023-06-18,12
2023-06-19,11
2023-06-20,11
2023-06-21,11
2023-06-22,11
2023-06-23,10
2023-06-24,11
2023-06-25,12
2023-06-26,11
2023-06-27,11
2023-06-28,10
2023-06-29,10
2023-06-30,9
2023-07-01,10
2023-07-02,9
2023-07-03,10
2023-07-04,12
2023-07-05,17
2023-07-06,10
2023-07-07,10
2023-07-08,17
2023-07-09,11
2023-07-10,10
2023-07-11,16
2023-07-12,10
2023-07-13,11
2023-07-14,14
2023-07-15,10
2023-07-16,16
2023-07-17,11
2023-07-18,10
2023-07-19,11
2023-07-20,10
2023-07-21,9
2023-07-22,11
2023-07-23,10
2023-07-24,10
2023-07-25,10
2023-07-26,9
2023-07-27,9
2023-07-28,10
2023-07-29,12
2023-07-30,10
2023-07-31,10
2023-08-01,10
2023-08-02,8
2023-08-03,8
2023-08-04,9
2023-08-05,9
2023-08-06,9
2023-08-07,10
2023-08-08,9
2023-08-09,8
2023-08-10,9
2023-08-11,9
2023-08-12,9
2023-08-13,9
2023-08-14,10
2023-08-15,10
2023-08-16,9
2023-08-17,9
2023-08-18,9
2023-08-19,8
2023-08-20,9
2023-08-21,9
2023-08-22,9
2023-08-23,10
2023-08-24,9
2023-08-25,9
2023-08-26,9
2023-08-27,9
2023-08-28,9
2023-08-29,9
2023-08-30,9
2023-08-31,17
2023-09-01,9
2023-09-02,9
2023-09-03,24
2023-09-04,12
2023-09-05,11
2023-09-06,30
2023-09-07,12
2023-09-08,11
2023-09-09,22
2023-09-10,11
2023-09-11,10
2023-09-12,11
2023-09-13,11
2023-09-14,12
2023-09-15,35
2023-09-16,12
2023-09-17,11
2023-09-18,10
2023-09-19,12
2023-09-20,11
2023-09-21,19
2023-09-22,12
2023-09-23,18
2023-09-24,13
2023-09-25,12
2023-09-26,16
2023-09-27,12
2023-09-28,11
2023-09-29,19
2023-09-30,11
2023-10-01,11
2023-10-02,16
2023-10-03,11
2023-10-04,14
2023-10-05,12
2023-10-06,29
2023-10-07,37
2023-10-08,12
2023-10-09,12
2023-10-10,31
2023-10-11,13
2023-10-12,12
2023-10-13,34
2023-10-14,13
2023-10-15,12
2023-10-16,12
2023-10-17,13
2023-10-18,15
2023-10-19,100
2023-10-20,18
2023-10-21,12
2023-10-22,13
2023-10-23,12
2023-10-24,41
2023-10-25,13
2023-10-26,11
2023-10-27,12
2023-10-28,30
2023-10-29,13
2023-10-30,14
2023-10-31,42
2023-11-01,13
2023-11-02,12
2023-11-03,12
2023-11-04,11
2023-11-05,13
2023-11-06,42
2023-11-07,16
2023-11-08,13
2023-11-09,11
2023-11-10,12
2023-11-11,32
2023-11-12,12
2023-11-13,12
2023-11-14,11
2023-11-15,11
2023-11-16,14
2023-11-17,11
2023-11-18,10
2023-11-19,11
2023-11-20,11
2023-11-21,12
2023-11-22,10
2023-11-23,10
2023-11-24,10
2023-11-25,11
2023-11-26,12
2023-11-27,11
2023-11-28,23
2023-11-29,18
2023-11-30,18
2023-12-01,18
2023-12-02,20
2023-12-03,11
2023-12-04,11
2023-12-05,12
2023-12-06,17
2023-12-07,16
2023-12-08,16
2023-12-09,18
2023-12-10,11
2023-12-11,11
2023-12-12,11
2023-12-13,11
2023-12-14,11
2023-12-15,11
2023-12-16,15
2023-12-17,16
2023-12-18,11
2023-12-19,12
2023-12-20,16
2023-12-21,11
2023-12-22,12
2023-12-23,14
2023-12-24,10
2023-12-25,10
2023-12-26,9
2023-12-27,15
2023-12-28,10
2023-12-29,13
2023-12-30,10
2023-12-31,15
2024-01-01,11
2024-01-02,10
2024-01-03,11
2024-01-04,11
2024-01-05,10
2024-01-06,12
2024-01-07,18
2024-01-08,15
2024-01-09,11
2024-01-10,12
2024-01-11,12
2024-01-12,10
2024-01-13,10
2024-01-14,10
2024-01-15,10
2024-01-16,11
2024-01-17,11
2024-01-18,11
2024-01-19,10
2024-01-20,11
