Time,powerball
2022-01-01,26.0
2022-01-02,83.0
2022-01-03,30.0
2022-01-04,82.0
2022-01-05,37.0
2022-01-06,100.0
2022-01-07,26.0
2022-01-08,14.0
2022-01-09,18.0
2022-01-10,7.0
2022-01-11,9.0
2022-01-12,6.0
2022-01-13,9.0
2022-01-14,4.0
2022-01-15,5.0
2022-01-16,11.0
2022-01-17,4.0
2022-01-18,6.0
2022-01-19,4.0
2022-01-20,8.0
2022-01-21,4.0
2022-01-22,4.0
2022-01-23,11.0
2022-01-24,5.0
2022-01-25,6.0
2022-01-26,4.0
2022-01-27,8.0
2022-01-28,4.0
2022-01-29,5.0
2022-01-30,15.0
2022-01-31,5.0
2022-02-01,8.0
2022-02-02,4.0
2022-02-03,12.0
2022-02-04,4.0
2022-02-05,4.0
2022-02-06,15.0
2022-02-07,5.0
2022-02-08,8.0
2022-02-09,4.0
2022-02-10,8.0
2022-02-11,5.0
2022-02-12,4.0
2022-02-13,14.0
2022-02-14,4.0
2022-02-15,10.0
2022-02-16,4.0
2022-02-17,8.0
2022-02-18,3.0
2022-02-19,3.0
2022-02-20,10.0
2022-02-21,4.0
2022-02-22,6.0
2022-02-23,4.0
2022-02-24,7.0
2022-02-25,3.0
2022-02-26,3.0
2022-02-27,9.0
2022-02-28,4.0
2022-03-01,5.0
2022-03-02,3.0
2022-03-03,7.0
2022-03-04,3.0
2022-03-05,3.0
2022-03-06,10.0
2022-03-07,4.0
2022-03-08,6.0
2022-03-09,3.0
2022-03-10,8.0
2022-03-11,3.0
2022-03-12,3.0
2022-03-13,10.0
2022-03-14,4.0
2022-03-15,7.0
2022-03-16,3.0
2022-03-17,9.0
2022-03-18,3.0
2022-03-19,3.0
2022-03-20,12.0
2022-03-21,4.0
2022-03-22,7.0
2022-03-23,4.0
2022-03-24,9.0
2022-03-25,3.0
2022-03-26,4.0
2022-03-27,13.0
2022-03-28,4.0
2022-03-29,7.0
2022-03-30,4.0
2022-03-31,9.0
2022-04-01,3.0
2022-04-02,4.0
2022-04-03,16.0
2022-04-04,4.0
2022-04-05,8.0
2022-04-06,4.0
2022-04-07,10.0
2022-04-08,4.0
2022-04-09,4.0
2022-04-10,26.0
2022-04-11,6.0
2022-04-12,9.0
2022-04-13,5.0
2022-04-14,12.0
2022-04-15,4.0
2022-04-16,5.0
2022-04-17,19.0
2022-04-18,7.0
2022-04-19,12.0
2022-04-20,6.0
2022-04-21,15.0
2022-04-22,6.0
2022-04-23,7.0
2022-04-24,29.0
2022-04-25,11.0
2022-04-26,24.0
2022-04-27,13.0
2022-04-28,41.0
2022-04-29,10.0
2022-04-30,6.0
2022-05-01,12.0
2022-05-02,4.0
2022-05-03,6.0
2022-05-04,4.0
2022-05-05,7.0
2022-05-06,3.0
2022-05-07,4.0
2022-05-08,10.0
2022-05-09,4.0
2022-05-10,6.0
2022-05-11,3.0
2022-05-12,8.0
2022-05-13,3.0
2022-05-14,3.0
2022-05-15,13.0
2022-05-16,4.0
2022-05-17,7.0
2022-05-18,3.0
2022-05-19,9.0
2022-05-20,3.0
2022-05-21,4.0
2022-05-22,13.0
2022-05-23,4.0
2022-05-24,7.0
2022-05-25,3.0
2022-05-26,9.0
2022-05-27,3.0
2022-05-28,4.0
2022-05-29,14.0
2022-05-30,5.0
2022-05-31,7.0
2022-06-01,4.0
2022-06-02,9.0
2022-06-03,3.0
