Time,john travolta
2023-12-22,49
2023-12-23,57
2023-12-24,74
2023-12-25,74
2023-12-26,92
2023-12-27,45
2023-12-28,39
2023-12-29,44
2023-12-30,85
2023-12-31,89
2024-01-01,100
2024-01-02,42
2024-01-03,36
2024-01-04,35
2024-01-05,30
2024-01-06,39
2024-01-07,65
2024-01-08,26
2024-01-09,62
2024-01-10,20
2024-01-11,19
2024-01-12,31
2024-01-13,34
2024-01-14,32
2024-01-15,25
2024-01-16,22
2024-01-17,21
2024-01-18,22
2024-01-19,22
2024-01-20,35
2024-01-21,33
2024-01-22,29
2024-01-23,23
2024-01-24,20
2024-01-25,22
2024-01-26,21
2024-01-27,29
2024-01-28,29
2024-01-29,18
2024-01-30,21
2024-01-31,23
2024-02-01,22
2024-02-02,23
2024-02-03,30
2024-02-04,37
2024-02-05,20
2024-02-06,18
2024-02-07,20
2024-02-08,26
2024-02-09,25
2024-02-10,30
2024-02-11,31
2024-02-12,21
2024-02-13,18
2024-02-14,21
2024-02-15,19
2024-02-16,20
2024-02-17,26
2024-02-18,65
2024-02-19,59
2024-02-20,34
2024-02-21,29
2024-02-22,24
2024-02-23,30
2024-02-24,33
2024-02-25,37
2024-02-26,21
2024-02-27,21
2024-02-28,20
2024-02-29,21
2024-03-01,21
2024-03-02,29
2024-03-03,33
2024-03-04,22
2024-03-05,19
2024-03-06,21
2024-03-07,21
2024-03-08,21
2024-03-09,36
2024-03-10,34
2024-03-11,25
2024-03-12,19
2024-03-13,21
2024-03-14,21
2024-03-15,22
2024-03-16,30
2024-03-17,26
2024-03-18,20
2024-03-19,31
2024-03-20,41
2024-03-21,35
2024-03-22,33
2024-03-23,62
2024-03-24,57
2024-03-25,30
2024-03-26,25
2024-03-27,23
2024-03-28,26
2024-03-29,24
2024-03-30,31
2024-03-31,30
2024-04-01,22
2024-04-02,19
2024-04-03,23
2024-04-04,24
2024-04-05,23
2024-04-06,28
2024-04-07,30
2024-04-08,20
2024-04-09,21
2024-04-10,18
2024-04-11,22
2024-04-12,23
2024-04-13,34
2024-04-14,35
2024-04-15,20
2024-04-16,18
2024-04-17,21
2024-04-18,20
2024-04-19,37
2024-04-20,42
2024-04-21,36
2024-04-22,25
2024-04-23,22
2024-04-24,22
2024-04-25,24
2024-04-26,24
2024-04-27,29
2024-04-28,35
2024-04-29,27
2024-04-30,20
2024-05-01,19
2024-05-02,20
2024-05-03,22
2024-05-04,30
2024-05-05,35
2024-05-06,23
2024-05-07,21
2024-05-08,25
2024-05-09,24
2024-05-10,21
2024-05-11,25
2024-05-12,40
2024-05-13,25
2024-05-14,22
2024-05-15,21
2024-05-16,21
2024-05-17,26
2024-05-18,30
2024-05-19,35
2024-05-20,19
2024-05-21,22
2024-05-22,21
2024-05-23,25
2024-05-24,31
2024-05-25,28
2024-05-26,28
2024-05-27,28
2024-05-28,17
2024-05-29,19
2024-05-30,22
2024-05-31,26
2024-06-01,28
2024-06-02,31
2024-06-03,21
2024-06-04,18
2024-06-05,18
2024-06-06,20
2024-06-07,21
2024-06-08,24
2024-06-09,28
2024-06-10,23
2024-06-11,23
2024-06-12,31
2024-06-13,35
2024-06-14,26
2024-06-15,27
2024-06-16,33
2024-06-17,25
2024-06-18,21
2024-06-19,21
2024-06-20,20
2024-06-21,23
2024-06-22,29
2024-06-23,27
2024-06-24,23
2024-06-25,18
2024-06-26,21
2024-06-27,20
2024-06-28,18
2024-06-29,25
2024-06-30,27
2024-07-01,21
2024-07-02,24
2024-07-03,21
2024-07-04,25
2024-07-05,22
2024-07-06,39
2024-07-07,49
2024-07-08,32
2024-07-09,26
2024-07-10,28
2024-07-11,23
2024-07-12,23
2024-07-13,28
2024-07-14,28
2024-07-15,22
2024-07-16,20
2024-07-17,18
2024-07-18,21
2024-07-19,22
2024-07-20,26
2024-07-21,34
2024-07-22,27
2024-07-23,20
2024-07-24,19
2024-07-25,21
2024-07-26,23
2024-07-27,29
2024-07-28,27
2024-07-29,23
2024-07-30,20
2024-07-31,18
2024-08-01,22
2024-08-02,23
2024-08-03,76
2024-08-04,70
2024-08-05,29
2024-08-06,23
2024-08-07,21
2024-08-08,21
2024-08-09,21
2024-08-10,27
2024-08-11,36
2024-08-12,24
2024-08-13,23
2024-08-14,23
2024-08-15,21
2024-08-16,22
2024-08-17,32
2024-08-18,29
2024-08-19,25
2024-08-20,22
2024-08-21,18
2024-08-22,18
2024-08-23,20
2024-08-24,27
2024-08-25,26
2024-08-26,19
2024-08-27,20
2024-08-28,20
2024-08-29,20
2024-08-30,21
2024-08-31,30
2024-09-01,29
2024-09-02,24
2024-09-03,20
2024-09-04,18
2024-09-05,18
2024-09-06,25
2024-09-07,37
2024-09-08,36
2024-09-09,23
2024-09-10,26
2024-09-11,21
2024-09-12,24
2024-09-13,29
2024-09-14,29
2024-09-15,36
2024-09-16,24
